,ID,Importance,std(importance),Uncertainty in importance,Source,Unit,Definition,num_loop,num_training_samples,id_loop
tmp_dc_cyr,15,6.039568045567146,1.2298804786880795,7.281215881008971,RiverAtlas,deg. C,Annual avg. air temp. over reach catchment,7,474,Dec-2022-log10
Mean_Temp_Deg_C,23,6.039568045567146,1.2298804786880795,7.281215881008971,WHONDRS,degrees_Celsius,Mean water temperature from dissolved oxygen (DO) sensor (miniDOT) in degrees Celsius measured during in situ sensor deployment. This calculation excludes the first 20 minutes and last 5 minutes inside the water to account for the equilibration time of the instrument for the CM Data. SSS data are trimmed to the average time of equilibrated CM data.,7,474,Dec-2022-log10
crp_pc_cse,21,6.039568045567146,1.2298804786880795,7.281215881008971,RiverAtlas,percent,Cropland extent over reach catchment,7,474,Dec-2022-log10
prm_pc_cse,1,6.039568045567146,1.2298804786880795,7.281215881008971,RiverAtlas,percent,Permafrost extent over reach catchment,7,474,Dec-2022-log10
for_pc_cse,22,6.039568045567146,1.2298804786880795,7.281215881008971,RiverAtlas,percent,Forest cover extent over reach catchment,7,474,Dec-2022-log10
ele_mt_cav,24,6.039568045567146,1.2298804786880795,7.281215881008971,RiverAtlas,m,Mean elevation over reach catchment,7,474,Dec-2022-log10
gwt_cm_cav,18,6.039568045567146,1.2298804786880795,7.281215881008971,RiverAtlas,cm,Mean ground water table depth over reach catchment,7,474,Dec-2022-log10
slp_dg_cav,17,6.039568045567146,1.2298804786880795,7.281215881008971,RiverAtlas,degx10,Mean terrain slope over reach catchment,7,474,Dec-2022-log10
run_mm_cyr,9,4.671238337454911,1.0849901243866233,6.192386760622753,RiverAtlas,mm/year,Annual avg. land surface runoff over reach catchment,7,474,Dec-2022-log10
pre_mm_cyr,10,4.671238337454911,1.0849901243866233,6.192386760622753,RiverAtlas,mm,Annual avg. precipitation over reach catchment,7,474,Dec-2022-log10
pst_pc_cse,6,4.671238337454911,1.0849901243866233,6.192386760622753,RiverAtlas,percent,Pasture extent over reach catchment,7,474,Dec-2022-log10
tmp_dc_cdi,8,4.671238337454911,1.0849901243866233,6.192386760622753,RiverAtlas,deg. C,Range of annual min and max air temp. over reach catchment derived from RA data,7,474,Dec-2022-log10
pre_mm_cdi,7,4.671238337454911,1.0849901243866233,6.192386760622753,RiverAtlas,mm,Range of annual min and max precip. over reach catchment derived from RA data,7,474,Dec-2022-log10
RA_ms_av,12,4.509315652091201,0.883943308753532,5.832577615328379,RiverAtlas,m/s,Annual avg. stream speed,7,474,Dec-2022-log10
RA_dm,14,4.509315652091201,0.883943308753532,5.832577615328379,RiverAtlas,m,Est. avg. depth of reach derived from other RA vars.,7,474,Dec-2022-log10
RA_ms_di,11,4.509315652091201,0.883943308753532,5.832577615328379,RiverAtlas,m/s,Range between annual min and max avg. stream speed,7,474,Dec-2022-log10
RA_SO,13,4.509315652091201,0.883943308753532,5.832577615328379,RiverAtlas,non-dim.,Stream order,7,474,Dec-2022-log10
Mean_DO_mg_per_L,20,2.9122620583078906,0.6995043205557125,4.235302266590394,WHONDRS,milligrams_per_liter,Dissolved oxygen measured during in situ sensor deployment.,7,474,Dec-2022-log10
Mean_DO_percent_saturation,19,2.9122620583078906,0.6995043205557125,4.235302266590394,WHONDRS,percent_saturation,Dissolved oxygen saturation measured during in situ sensor deployment.,7,474,Dec-2022-log10
pH,5,2.2852048356557155,0.6402718381026735,3.180325101130269,WHONDRS,pH,pH.,7,474,Dec-2022-log10
ppd_pk_cav,3,1.8218609201118858,0.49385476998961336,2.644693297423268,RiverAtlas,people/km^2,Average population density over reach catchment,7,474,Dec-2022-log10
ire_pc_cse,16,1.62906747616472,0.3687716937096936,2.2050053947858337,RiverAtlas,percent,Irrigated area extent (Equipped) over reach catchment,7,474,Dec-2022-log10
sgr_dk_rav,4,1.5664175734892953,0.3902127362182323,2.133093918933428,RiverAtlas,dm/km,Avg. stream gradient over reach,7,474,Dec-2022-log10
dor_pc_pva,2,1.4078132191603023,0.29853560761367226,2.1694902464929298,RiverAtlas,percent,Degree of dam regulation on reach,7,474,Dec-2022-log10
gla_pc_cse,0,1.0171851871258173,0.0265214313885533,1.0869113787057234,RiverAtlas,percent,Glacier extent over reach catchment,7,474,Dec-2022-log10
