,ID,Importance,std(importance),Uncertainty in importance,Source,Unit,Definition,num_loop,num_training_samples,id_loop
tmp_dc_cyr,15,6.386715418185619,1.211339041672552,8.441692371192962,RiverAtlas,deg. C,Annual avg. air temp. over reach catchment,8,486,Jan-2023-log10
Mean_Temp_Deg_C,23,6.386715418185619,1.211339041672552,8.441692371192962,WHONDRS,degrees_Celsius,Mean water temperature from dissolved oxygen (DO) sensor (miniDOT) in degrees Celsius measured during in situ sensor deployment. This calculation excludes the first 20 minutes and last 5 minutes inside the water to account for the equilibration time of the instrument for the CM Data. SSS data are trimmed to the average time of equilibrated CM data.,8,486,Jan-2023-log10
crp_pc_cse,21,6.386715418185619,1.211339041672552,8.441692371192962,RiverAtlas,percent,Cropland extent over reach catchment,8,486,Jan-2023-log10
prm_pc_cse,1,6.386715418185619,1.211339041672552,8.441692371192962,RiverAtlas,percent,Permafrost extent over reach catchment,8,486,Jan-2023-log10
for_pc_cse,22,6.386715418185619,1.211339041672552,8.441692371192962,RiverAtlas,percent,Forest cover extent over reach catchment,8,486,Jan-2023-log10
ele_mt_cav,24,6.386715418185619,1.211339041672552,8.441692371192962,RiverAtlas,m,Mean elevation over reach catchment,8,486,Jan-2023-log10
slp_dg_cav,17,6.386715418185619,1.211339041672552,8.441692371192962,RiverAtlas,degx10,Mean terrain slope over reach catchment,8,486,Jan-2023-log10
gwt_cm_cav,18,6.386715418185619,1.211339041672552,8.441692371192962,RiverAtlas,cm,Mean ground water table depth over reach catchment,8,486,Jan-2023-log10
run_mm_cyr,9,4.672700852165969,1.118487759958263,7.01197437178475,RiverAtlas,mm/year,Annual avg. land surface runoff over reach catchment,8,486,Jan-2023-log10
pre_mm_cyr,10,4.672700852165969,1.118487759958263,7.01197437178475,RiverAtlas,mm,Annual avg. precipitation over reach catchment,8,486,Jan-2023-log10
pst_pc_cse,6,4.672700852165969,1.118487759958263,7.01197437178475,RiverAtlas,percent,Pasture extent over reach catchment,8,486,Jan-2023-log10
tmp_dc_cdi,8,4.672700852165969,1.118487759958263,7.01197437178475,RiverAtlas,deg. C,Range of annual min and max air temp. over reach catchment derived from RA data,8,486,Jan-2023-log10
pre_mm_cdi,7,4.672700852165969,1.118487759958263,7.01197437178475,RiverAtlas,mm,Range of annual min and max precip. over reach catchment derived from RA data,8,486,Jan-2023-log10
RA_ms_av,12,4.497850357288148,0.6129127810473809,5.209096462676125,RiverAtlas,m/s,Annual avg. stream speed,8,486,Jan-2023-log10
RA_dm,14,4.497850357288148,0.6129127810473809,5.209096462676125,RiverAtlas,m,Est. avg. depth of reach derived from other RA vars.,8,486,Jan-2023-log10
RA_SO,13,4.497850357288148,0.6129127810473809,5.209096462676125,RiverAtlas,non-dim.,Stream order,8,486,Jan-2023-log10
RA_ms_di,11,4.497850357288148,0.6129127810473809,5.209096462676125,RiverAtlas,m/s,Range between annual min and max avg. stream speed,8,486,Jan-2023-log10
Mean_DO_mg_per_L,20,3.096835803128268,0.7050292696176906,4.079418182934926,WHONDRS,milligrams_per_liter,Dissolved oxygen measured during in situ sensor deployment.,8,486,Jan-2023-log10
Mean_DO_percent_saturation,19,3.096835803128268,0.7050292696176906,4.079418182934926,WHONDRS,percent_saturation,Dissolved oxygen saturation measured during in situ sensor deployment.,8,486,Jan-2023-log10
pH,5,2.39154876602007,0.5898475499938145,3.2993634193247714,WHONDRS,pH,pH.,8,486,Jan-2023-log10
ppd_pk_cav,3,1.9066843055413485,0.5129623515127855,2.774239720967408,RiverAtlas,people/km^2,Average population density over reach catchment,8,486,Jan-2023-log10
ire_pc_cse,16,1.6720621506488602,0.46193277223930646,2.31762637496216,RiverAtlas,percent,Irrigated area extent (Equipped) over reach catchment,8,486,Jan-2023-log10
sgr_dk_rav,4,1.5267187246298806,0.27049906489657105,1.84990782609684,RiverAtlas,dm/km,Avg. stream gradient over reach,8,486,Jan-2023-log10
dor_pc_pva,2,1.4254161296998678,0.25556948763306814,1.950730465246937,RiverAtlas,percent,Degree of dam regulation on reach,8,486,Jan-2023-log10
gla_pc_cse,0,1.0064146243029986,0.007088317100657205,1.0196515970148663,RiverAtlas,percent,Glacier extent over reach catchment,8,486,Jan-2023-log10
