,ID,Importance,std(importance),Uncertainty in importance,Source,Unit,Definition,num_loop,num_training_samples,id_loop
Mean_Temp_Deg_C,23,5.2388947806338075,1.2944673321278066,7.4509444401042195,WHONDRS,degrees_Celsius,Mean water temperature from dissolved oxygen (DO) sensor (miniDOT) in degrees Celsius measured during in situ sensor deployment. This calculation excludes the first 20 minutes and last 5 minutes inside the water to account for the equilibration time of the instrument for the CM Data. SSS data are trimmed to the average time of equilibrated CM data.,10,513,Mar-2023-log10
tmp_dc_cyr,15,5.2388947806338075,1.2944673321278066,7.4509444401042195,RiverAtlas,deg. C,Annual avg. air temp. over reach catchment,10,513,Mar-2023-log10
prm_pc_cse,1,5.2388947806338075,1.2944673321278066,7.4509444401042195,RiverAtlas,percent,Permafrost extent over reach catchment,10,513,Mar-2023-log10
for_pc_cse,22,5.2388947806338075,1.2944673321278066,7.4509444401042195,RiverAtlas,percent,Forest cover extent over reach catchment,10,513,Mar-2023-log10
ele_mt_cav,24,5.2388947806338075,1.2944673321278066,7.4509444401042195,RiverAtlas,m,Mean elevation over reach catchment,10,513,Mar-2023-log10
gwt_cm_cav,18,5.2388947806338075,1.2944673321278066,7.4509444401042195,RiverAtlas,cm,Mean ground water table depth over reach catchment,10,513,Mar-2023-log10
slp_dg_cav,17,5.2388947806338075,1.2944673321278066,7.4509444401042195,RiverAtlas,degx10,Mean terrain slope over reach catchment,10,513,Mar-2023-log10
pre_mm_cyr,10,4.927783255259104,1.7059025977972466,8.319758675529899,RiverAtlas,mm,Annual avg. precipitation over reach catchment,10,513,Mar-2023-log10
run_mm_cyr,9,4.927783255259104,1.7059025977972466,8.319758675529899,RiverAtlas,mm/year,Annual avg. land surface runoff over reach catchment,10,513,Mar-2023-log10
pst_pc_cse,6,4.927783255259104,1.7059025977972466,8.319758675529899,RiverAtlas,percent,Pasture extent over reach catchment,10,513,Mar-2023-log10
tmp_dc_cdi,8,4.927783255259104,1.7059025977972466,8.319758675529899,RiverAtlas,deg. C,Range of annual min and max air temp. over reach catchment derived from RA data,10,513,Mar-2023-log10
pre_mm_cdi,7,4.927783255259104,1.7059025977972466,8.319758675529899,RiverAtlas,mm,Range of annual min and max precip. over reach catchment derived from RA data,10,513,Mar-2023-log10
RA_ms_av,12,4.193393613362436,0.7398756779035299,5.1107044708347935,RiverAtlas,m/s,Annual avg. stream speed,10,513,Mar-2023-log10
RA_ms_di,11,4.193393613362436,0.7398756779035299,5.1107044708347935,RiverAtlas,m/s,Range between annual min and max avg. stream speed,10,513,Mar-2023-log10
RA_dm,14,4.193393613362436,0.7398756779035299,5.1107044708347935,RiverAtlas,m,Est. avg. depth of reach derived from other RA vars.,10,513,Mar-2023-log10
RA_SO,13,4.193393613362436,0.7398756779035299,5.1107044708347935,RiverAtlas,non-dim.,Stream order,10,513,Mar-2023-log10
Mean_DO_percent_saturation,19,3.582365791025161,1.3406564049472829,5.936252259371314,WHONDRS,percent_saturation,Dissolved oxygen saturation measured during in situ sensor deployment.,10,513,Mar-2023-log10
Mean_DO_mg_per_L,20,3.582365791025161,1.3406564049472829,5.936252259371314,WHONDRS,milligrams_per_liter,Dissolved oxygen measured during in situ sensor deployment.,10,513,Mar-2023-log10
crp_pc_cse,21,2.673629189474848,0.6578411557862202,3.434040276416685,RiverAtlas,percent,Cropland extent over reach catchment,10,513,Mar-2023-log10
pH,5,2.274714236184725,0.7365044709674207,3.681137619898556,WHONDRS,pH,pH.,10,513,Mar-2023-log10
ppd_pk_cav,3,1.847429859372913,0.44504650054724376,2.5612987695711644,RiverAtlas,people/km^2,Average population density over reach catchment,10,513,Mar-2023-log10
sgr_dk_rav,4,1.6196400044057189,0.4576182037391813,2.742754926103048,RiverAtlas,dm/km,Avg. stream gradient over reach,10,513,Mar-2023-log10
ire_pc_cse,16,1.5645336109909818,0.4237027587350848,2.564919793719972,RiverAtlas,percent,Irrigated area extent (Equipped) over reach catchment,10,513,Mar-2023-log10
dor_pc_pva,2,1.4788244663713042,0.3510435322322672,2.3317404584808,RiverAtlas,percent,Degree of dam regulation on reach,10,513,Mar-2023-log10
gla_pc_cse,0,1.0076036732754523,0.007166409439155295,1.0206428646090409,RiverAtlas,percent,Glacier extent over reach catchment,10,513,Mar-2023-log10
