,ID,Importance,std(importance),Uncertainty in importance,Source,Unit,Definition,num_loop,num_training_samples,id_loop
gwt_cm_cav,18,6.820033414386224,3.3304442216827166,14.861252145140703,RiverAtlas,cm,Mean ground water table depth over reach catchment,6,456,Nov-2022-log10
prm_pc_cse,1,6.820033414386224,3.3304442216827166,14.861252145140703,RiverAtlas,percent,Permafrost extent over reach catchment,6,456,Nov-2022-log10
tmp_dc_cyr,15,6.820033414386224,3.3304442216827166,14.861252145140703,RiverAtlas,deg. C,Annual avg. air temp. over reach catchment,6,456,Nov-2022-log10
Mean_Temp_Deg_C,23,6.820033414386224,3.3304442216827166,14.861252145140703,WHONDRS,degrees_Celsius,Mean water temperature from dissolved oxygen (DO) sensor (miniDOT) in degrees Celsius measured during in situ sensor deployment. This calculation excludes the first 20 minutes and last 5 minutes inside the water to account for the equilibration time of the instrument for the CM Data. SSS data are trimmed to the average time of equilibrated CM data.,6,456,Nov-2022-log10
ele_mt_cav,24,6.820033414386224,3.3304442216827166,14.861252145140703,RiverAtlas,m,Mean elevation over reach catchment,6,456,Nov-2022-log10
crp_pc_cse,21,6.820033414386224,3.3304442216827166,14.861252145140703,RiverAtlas,percent,Cropland extent over reach catchment,6,456,Nov-2022-log10
slp_dg_cav,17,6.820033414386224,3.3304442216827166,14.861252145140703,RiverAtlas,degx10,Mean terrain slope over reach catchment,6,456,Nov-2022-log10
for_pc_cse,22,6.820033414386224,3.3304442216827166,14.861252145140703,RiverAtlas,percent,Forest cover extent over reach catchment,6,456,Nov-2022-log10
pst_pc_cse,6,5.245317913258452,3.8009110811230156,15.611899908105228,RiverAtlas,percent,Pasture extent over reach catchment,6,456,Nov-2022-log10
tmp_dc_cdi,8,5.245317913258452,3.8009110811230156,15.611899908105228,RiverAtlas,deg. C,Range of annual min and max air temp. over reach catchment derived from RA data,6,456,Nov-2022-log10
pre_mm_cdi,7,5.245317913258452,3.8009110811230156,15.611899908105228,RiverAtlas,mm,Range of annual min and max precip. over reach catchment derived from RA data,6,456,Nov-2022-log10
pre_mm_cyr,10,5.245317913258452,3.8009110811230156,15.611899908105228,RiverAtlas,mm,Annual avg. precipitation over reach catchment,6,456,Nov-2022-log10
run_mm_cyr,9,5.245317913258452,3.8009110811230156,15.611899908105228,RiverAtlas,mm/year,Annual avg. land surface runoff over reach catchment,6,456,Nov-2022-log10
RA_SO,13,4.500226486160146,1.393668113608328,7.368189569847842,RiverAtlas,non-dim.,Stream order,6,456,Nov-2022-log10
RA_ms_av,12,4.500226486160146,1.393668113608328,7.368189569847842,RiverAtlas,m/s,Annual avg. stream speed,6,456,Nov-2022-log10
RA_dm,14,4.500226486160146,1.393668113608328,7.368189569847842,RiverAtlas,m,Est. avg. depth of reach derived from other RA vars.,6,456,Nov-2022-log10
RA_ms_di,11,4.500226486160146,1.393668113608328,7.368189569847842,RiverAtlas,m/s,Range between annual min and max avg. stream speed,6,456,Nov-2022-log10
Mean_DO_percent_saturation,19,3.3634740315055263,1.8005408277433737,7.974161771544503,WHONDRS,percent_saturation,Dissolved oxygen saturation measured during in situ sensor deployment.,6,456,Nov-2022-log10
Mean_DO_mg_per_L,20,3.3634740315055263,1.8005408277433737,7.974161771544503,WHONDRS,milligrams_per_liter,Dissolved oxygen measured during in situ sensor deployment.,6,456,Nov-2022-log10
pH,5,2.3735054580619717,1.0609219593122274,4.818374115046922,WHONDRS,pH,pH.,6,456,Nov-2022-log10
ppd_pk_cav,3,1.834160606753254,0.8139529155748921,3.847231144894712,RiverAtlas,people/km^2,Average population density over reach catchment,6,456,Nov-2022-log10
ire_pc_cse,16,1.6796086979042208,0.7082270800713975,3.341824638309883,RiverAtlas,percent,Irrigated area extent (Equipped) over reach catchment,6,456,Nov-2022-log10
sgr_dk_rav,4,1.657987991453401,0.4936731420878727,2.720628915675276,RiverAtlas,dm/km,Avg. stream gradient over reach,6,456,Nov-2022-log10
dor_pc_pva,2,1.4528295010386434,0.306530399713489,2.183695580987496,RiverAtlas,percent,Degree of dam regulation on reach,6,456,Nov-2022-log10
gla_pc_cse,0,1.0073598972046724,0.007136078489812234,1.021130676453747,RiverAtlas,percent,Glacier extent over reach catchment,6,456,Nov-2022-log10
