,ID,Importance,std(importance),Uncertainty in importance,Source,Unit,Definition,num_loop,num_training_samples,id_loop
for_pc_cse,22,5.504053980980994,1.0067260339603312,6.855114904509286,RiverAtlas,percent,Forest cover extent over reach catchment,5,438,Oct-2022-log10
tmp_dc_cdi,8,5.504053980980994,1.0067260339603312,6.855114904509286,RiverAtlas,deg. C,Range of annual min and max air temp. over reach catchment derived from RA data,5,438,Oct-2022-log10
run_mm_cyr,9,5.504053980980994,1.0067260339603312,6.855114904509286,RiverAtlas,mm/year,Annual avg. land surface runoff over reach catchment,5,438,Oct-2022-log10
pre_mm_cyr,10,5.504053980980994,1.0067260339603312,6.855114904509286,RiverAtlas,mm,Annual avg. precipitation over reach catchment,5,438,Oct-2022-log10
crp_pc_cse,21,5.504053980980994,1.0067260339603312,6.855114904509286,RiverAtlas,percent,Cropland extent over reach catchment,5,438,Oct-2022-log10
prm_pc_cse,1,5.504053980980994,1.0067260339603312,6.855114904509286,RiverAtlas,percent,Permafrost extent over reach catchment,5,438,Oct-2022-log10
pst_pc_cse,6,5.504053980980994,1.0067260339603312,6.855114904509286,RiverAtlas,percent,Pasture extent over reach catchment,5,438,Oct-2022-log10
ele_mt_cav,24,5.504053980980994,1.0067260339603312,6.855114904509286,RiverAtlas,m,Mean elevation over reach catchment,5,438,Oct-2022-log10
slp_dg_cav,17,5.504053980980994,1.0067260339603312,6.855114904509286,RiverAtlas,degx10,Mean terrain slope over reach catchment,5,438,Oct-2022-log10
gwt_cm_cav,18,5.504053980980994,1.0067260339603312,6.855114904509286,RiverAtlas,cm,Mean ground water table depth over reach catchment,5,438,Oct-2022-log10
tmp_dc_cyr,15,5.504053980980994,1.0067260339603312,6.855114904509286,RiverAtlas,deg. C,Annual avg. air temp. over reach catchment,5,438,Oct-2022-log10
Mean_Temp_Deg_C,23,5.504053980980994,1.0067260339603312,6.855114904509286,WHONDRS,degrees_Celsius,Mean water temperature from dissolved oxygen (DO) sensor (miniDOT) in degrees Celsius measured during in situ sensor deployment. This calculation excludes the first 20 minutes and last 5 minutes inside the water to account for the equilibration time of the instrument for the CM Data. SSS data are trimmed to the average time of equilibrated CM data.,5,438,Oct-2022-log10
pre_mm_cdi,7,5.504053980980994,1.0067260339603312,6.855114904509286,RiverAtlas,mm,Range of annual min and max precip. over reach catchment derived from RA data,5,438,Oct-2022-log10
dor_pc_pva,2,3.4693084264697456,0.5794248954958087,4.2592171631697004,RiverAtlas,percent,Degree of dam regulation on reach,5,438,Oct-2022-log10
RA_ms_av,12,3.4693084264697456,0.5794248954958087,4.2592171631697004,RiverAtlas,m/s,Annual avg. stream speed,5,438,Oct-2022-log10
RA_dm,14,3.4693084264697456,0.5794248954958087,4.2592171631697004,RiverAtlas,m,Est. avg. depth of reach derived from other RA vars.,5,438,Oct-2022-log10
RA_ms_di,11,3.4693084264697456,0.5794248954958087,4.2592171631697004,RiverAtlas,m/s,Range between annual min and max avg. stream speed,5,438,Oct-2022-log10
RA_SO,13,3.4693084264697456,0.5794248954958087,4.2592171631697004,RiverAtlas,non-dim.,Stream order,5,438,Oct-2022-log10
Mean_DO_mg_per_L,20,3.1078104316175486,0.8548465673434832,4.178848472583023,WHONDRS,milligrams_per_liter,Dissolved oxygen measured during in situ sensor deployment.,5,438,Oct-2022-log10
Mean_DO_percent_saturation,19,3.1078104316175486,0.8548465673434832,4.178848472583023,WHONDRS,percent_saturation,Dissolved oxygen saturation measured during in situ sensor deployment.,5,438,Oct-2022-log10
pH,5,1.8618040080614595,0.6197895686035083,3.1046836731546907,WHONDRS,pH,pH.,5,438,Oct-2022-log10
ppd_pk_cav,3,1.7195276705773819,0.276187189694677,2.096490114923521,RiverAtlas,people/km^2,Average population density over reach catchment,5,438,Oct-2022-log10
sgr_dk_rav,4,1.5310831212459495,0.29872548343922894,2.0362667502293568,RiverAtlas,dm/km,Avg. stream gradient over reach,5,438,Oct-2022-log10
ire_pc_cse,16,1.4654258865999155,0.342340738364882,2.1346831173504044,RiverAtlas,percent,Irrigated area extent (Equipped) over reach catchment,5,438,Oct-2022-log10
gla_pc_cse,0,1.0068170530976457,0.009520282631044201,1.0299916176030013,RiverAtlas,percent,Glacier extent over reach catchment,5,438,Oct-2022-log10
