short_name,long_name(unit)
ele_mt_cav,Elevation
Mean_Temp_Deg_C,Water temperature
for_pc_cse,Forest cover
crp_pc_cse,Cropland
Mean_DO_mg_per_L,Oxygen concentration
Mean_DO_percent_saturation,Oxygen saturation
gwt_cm_cav,Ground water table
slp_dg_cav,Slope
ire_pc_cse,Irrigated area
tmp_dc_cyr,MAAT
RA_dm,Reach depth
RA_SO,Stream order
RA_ms_av,Stream speed
RA_ms_di,Stream speed range
pre_mm_cyr,MAP
run_mm_cyr,Runoff
tmp_dc_cdi,MAAT range
pre_mm_cdi,MAP range
pst_pc_cse,Pasture extent
pH,pH
sgr_dk_rav,Stream gradient
ppd_pk_cav,Population density
dor_pc_pva,Dam regulation
prm_pc_cse,Permafrost extent
gla_pc_cse,Glacier extent
