gid,RA_SO,RA_dm,run_mm_cyr,dor_pc_pva,gwt_cm_cav,ele_mt_cav,slp_dg_cav,sgr_dk_rav,tmp_dc_cyr,tmp_dc_cdi,pre_mm_cyr,pre_mm_cdi,for_pc_cse,crp_pc_cse,pst_pc_cse,ire_pc_cse,gla_pc_cse,prm_pc_cse,ppd_pk_cav,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,RA_ms_av,RA_ms_di,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,log10_RR
0,2.0,0.705442,187.0,0.0,49.0,743.0,46.0,16.0,87.0,203.0,526.0,50.0,0.0,81.0,1.0,1.0,0.0,0.0,2168.388,14.38,7.0,10.42,97.77792733093618,0.4932690453230473,1.1869623915139826,-296.4633333333333,1.9372524631539498
1,2.0,0.275159,429.0,0.0,134.0,97.0,26.0,38.0,127.0,243.0,1005.0,31.0,100.0,1.0,0.0,3.0,0.0,0.0,146.491,19.95,6.5,9.58,106.48996297329388,0.6029664567514101,0.8370694793583332,-128.51999999999998,2.0802452622056165
2,2.0,0.518305,442.0,0.0,456.0,244.0,76.0,59.0,106.0,254.0,1047.0,30.0,100.0,26.0,4.0,1.0,0.0,0.0,180.212,14.93,6.5,9.58,97.68130354890714,0.43371586063599893,1.098662793483167,-8.22,0.9092036163921368
3,3.0,0.969993,692.0,0.0,298.0,317.0,78.0,31.0,72.0,270.0,1119.0,35.0,100.0,8.0,0.0,0.0,0.0,0.0,262.081,14.89,6.5,11.49,118.08852942364469,0.5623373387964529,1.153774800036044,-11.643333333333333,1.0345522828355416
4,4.0,1.5834,922.0,0.0,72.0,17.0,10.0,11.0,98.0,135.0,948.0,98.0,0.0,44.0,5.0,13.0,0.0,0.0,450.464,5.31,6.3,11.39,90.08497185056332,1.1690567660152835,1.209016961846248,-1.8399999999999999,0.2426568198806914
5,4.0,1.05476,296.0,142.0,1.0,1429.0,2.0,10.0,98.0,201.0,284.0,40.0,20.0,100.0,0.0,93.0,0.0,0.0,1.683,17.8,7.5,7.75,96.86815887162864,0.7277055889432574,1.3360581911649294,-2684.4166666666665,3.415736370049693
6,5.0,3.01622,278.0,1152.0,15.0,13.0,0.0,2.0,165.0,183.0,499.0,99.0,88.0,55.0,10.0,77.0,0.0,0.0,7.791,13.15,6.5,10.71,102.1449446054818,0.8116245049166295,1.945217205221485,-3.616666666666667,0.4733863587341622
7,2.0,0.443779,163.0,0.0,28.0,187.0,6.0,53.0,181.0,122.0,284.0,47.0,1.0,37.0,8.0,48.0,0.0,0.0,560.795,29.98,9.5,19.48,263.47385580534933,0.3064108168873345,1.1862197102173369,-3046.9300000000003,3.4796292683741754
8,5.0,1.62604,123.0,2409.0,20.0,22.0,2.0,10.0,163.0,176.0,306.0,59.0,73.0,48.0,13.0,75.0,0.0,0.0,455.559,16.62,6.25,9.51,97.87585553058749,0.7300764298762527,1.6102154444293386,-15.229999999999999,1.180275847290802
9,5.0,1.5045399999999998,487.0,0.0,14.0,14.0,5.0,0.0,173.0,196.0,1234.0,87.0,4.0,21.0,1.0,0.0,0.0,0.0,127.834,25.62,6.5,6.56,80.4286869526792,1.0284795551796615,0.9266532126378548,-5.496666666666667,0.7321245587966105
10,3.0,0.800472,697.0,0.0,328.0,242.0,53.0,29.0,78.0,267.0,1032.0,36.0,100.0,5.0,5.0,0.0,0.0,0.0,31.026,24.95,6.5,8.76,109.03521542108967,0.5496860114387434,1.0862685632344944,-93.75666666666666,1.969844239568112
11,3.0,0.561562,664.0,0.0,345.0,326.0,107.0,108.0,73.0,271.0,1073.0,41.0,100.0,5.0,2.0,0.0,0.0,0.0,32.56,22.49,6.5,10.4,124.86385673351798,0.4535803898861223,0.9883139443069958,-33.516666666666666,1.521560509852745
12,4.0,1.37035,231.0,0.0,7.0,200.0,1.0,9.0,98.0,271.0,881.0,51.0,0.0,71.0,1.0,0.0,0.0,0.0,24.683000000000003,24.56,7.0,8.83,108.56686583048297,0.5659472313543772,1.35340421343675,-37.74666666666667,1.5763108435857063
13,4.0,1.3516699999999997,477.0,0.0,17.0,11.0,6.0,5.0,160.0,204.0,1279.0,79.0,8.0,34.0,2.0,1.0,0.0,0.0,99.73899999999999,27.92,6.5,5.24,66.93451007579566,1.013842986061942,1.033357768509646,-45.13666666666666,1.6436881159372563
14,2.0,0.279864,129.0,0.0,415.0,3195.0,105.0,201.0,0.0,218.0,556.0,28.0,91.0,0.0,1.0,1.0,0.0,6.0,141.195,11.050000000000002,6.5,7.989999999999999,105.96432546523032,0.2761422398056383,0.9671616427808054,-32.21,1.4958924169540566
15,6.0,1.97875,207.0,72.0,36.0,184.0,3.0,4.0,86.0,281.0,769.0,64.0,0.0,24.0,1.0,0.0,0.0,0.0,1055.878,26.100000000000005,7.2,11.71,147.81727718960303,0.9810025269558741,1.133999134190418,-3721.4,3.5701669073723408
16,5.0,1.8478699999999997,252.0,0.0,490.0,1595.0,139.0,25.0,57.0,231.0,463.0,54.0,91.0,6.0,36.0,2.0,0.0,0.0,11.205,0.38000000000000006,6.0,12.06,101.0613542163445,0.8940084835001502,1.4501253055472787,-2.6300000000000003,0.41920619510016194
17,6.0,2.22074,21.0,1900.0,107.0,1014.0,15.0,0.0,92.0,284.0,426.0,69.0,0.0,35.0,39.0,4.0,0.0,0.0,3.9760000000000004,20.47,8.0,8.4,105.37785854514487,0.5607933267972806,1.7104100033751746,-1.4266666666666667,0.13325410053338652
18,2.0,0.454634,460.0,0.0,2.0,2.0,2.0,12.0,174.0,196.0,1287.0,95.0,100.0,8.0,1.0,1.0,0.0,0.0,367.817,30.16,6.5,4.44,58.91605471033723,0.7669969014436772,0.6471536355931026,-18.55333333333333,1.2649389164611018
19,5.0,0.7069930000000001,15.0,0.0,31.0,654.0,6.0,20.0,206.0,204.0,309.0,50.0,0.0,1.0,57.0,7.0,0.0,0.0,251.05000000000004,32.44,7.0,4.9,73.1148919495991,0.45070886910649516,1.2091988130563798,-5.213333333333334,0.7122040144594899
20,6.0,3.09366,1136.0,168.0,11.0,68.0,6.0,41.0,112.0,146.0,1094.0,179.0,64.0,68.0,32.0,11.0,0.0,0.0,420.9669999999999,15.67,6.25,9.59,97.26989344376257,1.2448682052386553,1.7416557597044349,-6.906666666666666,0.8217949154256861
21,2.0,0.45827599999999996,1159.0,0.0,10.0,73.0,8.0,18.0,112.0,146.0,1108.0,184.0,100.0,54.0,36.0,9.0,0.0,0.0,1928.633,19.14,6.25,8.57,93.46190661949477,0.5485605390321923,1.0607091812427687,-2412.2933333333335,3.3807211762840788
22,1.0,0.15764,516.0,0.0,142.0,299.0,18.0,21.0,160.0,206.0,1285.0,67.0,15.0,0.0,0.0,0.0,0.0,0.0,984.224,23.66,6.0,7.5,91.76535458936918,0.2531757927630053,0.4831522100935439,-5.083333333333333,0.7059421686743462
23,2.0,0.537201,517.0,0.0,24.0,12.0,4.0,7.0,203.0,171.0,1260.0,99.0,48.0,35.0,53.0,4.0,0.0,0.0,60.595,32.93,7.5,11.14,155.12467741276708,0.836275916347703,0.8512755898842203,-2650.81,3.413312417443427
24,5.0,1.55837,371.0,122.0,32.0,11.0,3.0,12.0,210.0,170.0,1062.0,103.0,69.0,48.0,38.0,3.0,0.0,0.0,27.286999999999995,33.25,8.0,8.36,117.02291969384198,1.187652188992536,1.3126187706380916,-37.97,1.5741866272158604
25,5.0,1.08914,74.0,1810.0,6.0,275.0,1.0,3.0,52.0,360.0,527.0,76.0,0.0,70.0,0.0,1.0,0.0,0.0,992.877,15.020000000000001,7.599999999999999,9.44,96.80158994630112,1.2914360171374577,0.4447886509645213,-3993.843333333333,3.6013876433432284
26,5.0,0.672827,14.0,0.0,17.0,594.0,1.0,24.0,208.0,206.0,312.0,48.0,0.0,7.0,46.0,31.0,0.0,0.0,46.27,28.8,7.5,6.37,88.65013359741464,0.47183219720630437,1.0968378552094369,-3.1666666666666665,0.48271883483192407
27,7.0,5.967850000000001,551.0,168.0,55.0,187.0,8.0,13.0,43.0,281.0,879.0,51.0,0.0,10.0,1.0,0.0,0.0,0.0,823.2689999999999,20.7,6.5,6.260000000000001,71.39216693376882,1.777193281760156,1.3134641291878697,-1720.3566666666666,3.234364942364156
28,5.0,1.94611,234.0,44.0,226.0,262.0,29.0,15.0,70.0,339.0,780.0,93.0,32.0,18.0,4.0,1.0,0.0,0.0,74.601,7.86,6.5,13.71,119.05433866113724,1.5293957527890134,0.508657318209077,-2733.59,3.4349379888853058
29,2.0,0.47167999999999993,885.0,0.0,252.0,59.0,44.0,28.0,101.0,249.0,1187.0,25.0,100.0,4.0,1.0,0.0,0.0,0.0,914.285,10.800000000000002,6.5,10.33,93.90589828518608,0.707891896023004,0.8394075744114436,-7.02,0.8431564557496563
30,1.0,0.223965,789.0,0.0,377.0,121.0,30.0,82.0,93.0,247.0,1248.0,29.0,100.0,3.0,0.0,1.0,0.0,0.0,62.757,10.06,6.0,6.739999999999999,60.66878765823508,0.6926203759074084,0.8379571105240448,-4.796666666666667,0.6783389019699243
31,6.0,1.89367,193.0,3746.0,157.0,165.0,13.0,11.0,201.0,196.0,813.0,73.0,51.0,11.0,10.0,0.0,0.0,0.0,1911.477,24.59,7.5,9.95,121.89152105632014,1.0734465733884058,1.1981860426177784,-10.893333333333333,1.0100739249285993
32,9.0,12.707500000000001,712.0,484.0,20.0,11.0,3.0,0.0,194.0,177.0,1517.0,71.0,2.0,4.0,0.0,0.0,0.0,0.0,424.184,22.7,7.75,8.48,98.42260256364172,1.7512733987943674,2.217051650220057,-3520.903333333333,3.544907307355221
33,5.0,2.65794,507.0,53.0,437.0,586.0,102.0,6.0,114.0,225.0,936.0,38.0,91.0,7.0,7.0,0.0,0.0,0.0,57.381,15.97,6.0,10.1,109.73657981735145,0.8127561512073399,1.4698057664139548,-58.94,1.7631883393552616
34,1.0,0.16904299999999997,512.0,0.0,169.0,648.0,58.0,116.0,112.0,219.0,1011.0,35.0,18.0,24.0,17.0,0.0,0.0,0.0,20.759,14.49,6.0,10.26,108.79572688559504,0.2821943891774176,0.5444356397261289,-9.83,0.9880913002835888
35,2.0,0.428899,733.0,0.0,312.0,110.0,35.0,20.0,78.0,268.0,1084.0,37.0,100.0,0.0,1.0,0.0,0.0,0.0,42.489,7.34,6.0,10.839999999999998,91.25072883186463,0.59542723760368,0.8338951038359769,-2.9466666666666668,0.4664425107195596
36,3.0,0.592019,777.0,0.0,67.0,50.0,19.0,20.0,81.0,265.0,1104.0,39.0,100.0,1.0,1.0,0.0,0.0,0.0,89.529,9.5,6.0,10.71,94.32676306362184,0.623607681729955,0.9116442606778198,-2.8266666666666667,0.4512137161077679
37,2.0,0.42026,615.0,0.0,173.0,191.0,35.0,30.0,164.0,212.0,1405.0,82.0,6.0,1.0,1.0,0.0,0.0,0.0,304.837,16.14,6.5,9.8,101.89228953880615,0.6325110689437065,1.2194225026844945,-26.403333333333336,1.4130778527948473
38,3.0,0.591328,558.0,0.0,147.0,79.0,25.0,8.0,173.0,204.0,1397.0,78.0,100.0,3.0,2.0,0.0,0.0,0.0,3.4919999999999995,14.78,6.0,9.13,90.9690803713549,0.5822752850028299,1.1695151583065366,-17.166666666666668,1.197048603425135
39,2.0,0.544346,863.0,0.0,164.0,55.0,18.0,32.0,66.0,268.0,1162.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,22.161999999999995,4.32,6.0,10.75,83.24746565370307,0.7908640756044196,0.6589232772064465,-1.25,0.09665392580387076
40,3.0,0.934631,742.0,0.0,11.0,7.0,3.0,4.0,195.0,179.0,1498.0,54.0,1.0,69.0,6.0,24.0,0.0,0.0,94.524,22.929999999999996,6.5,3.51,40.897567842613874,0.8973140892883831,1.0167175523624483,-314.08666666666664,2.493589275998461
41,1.0,0.290658,214.0,0.0,670.0,2320.0,192.0,377.0,48.0,229.0,779.0,58.0,81.0,2.0,3.0,0.0,0.0,0.0,302.399,4.67,6.5,11.54,118.38782731540637,0.5960232546778055,1.5784845375934342,-1780.3866666666665,3.246568236637142
42,4.0,1.47626,567.0,0.0,307.0,288.0,87.0,15.0,59.0,280.0,1003.0,34.0,100.0,10.0,4.0,0.0,0.0,0.0,22.896,0.27,6.0,14.37,102.52390513513411,0.6094712400761926,1.4224413608998512,-6.796666666666667,0.8271303539765015
43,1.0,0.150099,191.0,0.0,148.0,365.0,18.0,45.0,101.0,303.0,796.0,94.0,1.0,71.0,19.0,1.0,0.0,0.0,6.471,10.41,6.5,11.76,109.90922807233876,0.2364327438790903,0.6077863470370095,-271.1466666666667,2.3960596214520735
44,6.0,1.8435999999999997,162.0,2883.0,58.0,105.0,6.0,6.0,196.0,201.0,898.0,71.0,0.0,45.0,35.0,7.0,0.0,0.0,0.858,16.31,7.0,13.22,136.52701610774355,1.0711602473535164,1.321378815098451,-309.4433333333333,2.4357142730349866
45,2.0,0.623131,716.0,0.0,394.0,298.0,117.0,117.0,58.0,287.0,1016.0,64.0,100.0,3.0,2.0,0.0,0.0,0.0,30.377,0.09000000000000001,6.0,13.42,95.37584754287148,0.537692401169324,1.0521730938067066,-4.12,0.6142639556543541
46,5.0,1.49592,146.0,1351.0,457.0,832.0,8.0,20.0,106.0,246.0,326.0,33.0,100.0,1.0,12.0,2.0,0.0,0.0,1710.648,3.24,6.0,12.22,101.0018982250955,0.6469897392846484,1.533847048997653,-7.2,0.8483950121920995
47,6.0,2.51528,378.0,0.0,4.0,10.0,0.0,0.0,202.0,155.0,1214.0,128.0,0.0,6.0,26.0,4.0,0.0,0.0,132.235,21.350000000000005,7.0,5.18,58.57233727302904,1.1221491831864905,1.188475128487518,-55.35,1.7430611012714528
48,8.0,5.477439999999999,230.0,2136.0,72.0,266.0,19.0,8.0,118.0,295.0,908.0,97.0,14.0,17.0,2.0,0.0,0.0,0.0,780.2999999999998,1.5599999999999998,7.5,12.39,91.38736982779183,1.1940105739618054,1.9254043533701701,-9.156666666666666,0.9611412186691779
49,2.0,0.143919,14.0,0.0,913.0,2656.0,169.0,222.0,58.0,186.0,566.0,75.0,100.0,0.0,1.0,0.0,0.0,0.0,0.031,0.38999999999999996,6.5,10.83,102.9154803852607,0.1630046649897562,0.764084367139482,-6.6433333333333335,0.8216606657101485
50,5.0,2.29306,641.0,66.0,115.0,34.0,19.0,13.0,123.0,251.0,1114.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,4811.539,9.64,6.75,12.82,113.06933525215955,0.673619357158851,1.544243674386098,-186.51666666666665,2.2650087410064725
51,5.0,1.9829999999999999,363.0,2530.0,8.0,10.0,3.0,5.0,229.0,108.0,1310.0,192.0,0.0,14.0,18.0,18.0,0.0,0.0,32.611,24.149999999999995,6.5,8.5,101.37595771566572,1.5513066300118965,0.5142318574965437,-75.92666666666666,1.8697359765489752
52,5.0,1.78055,736.0,12.0,7.0,6.0,3.0,8.0,196.0,177.0,1518.0,51.0,8.0,65.0,5.0,17.0,0.0,0.0,48.407000000000004,15.67,6.5,2.34,23.558393299168724,1.0266657185522292,1.245835299593388,-167.75,2.2160235125712693
53,6.0,3.48063,342.0,130.0,55.0,26.0,6.0,5.0,191.0,174.0,1258.0,104.0,69.0,6.0,0.0,1.0,0.0,0.0,63.85999999999999,20.28,6.5,7.099999999999999,78.76665450774549,0.9537728303674672,1.730961109508363,-19.606666666666666,1.2405461642893298
54,6.0,3.53351,334.0,125.0,20.0,11.0,5.0,6.0,193.0,170.0,1289.0,113.0,100.0,1.0,0.0,1.0,0.0,0.0,2.302,20.26,6.5,6.64,73.50199814471607,0.9731920314605912,1.710718110148995,-104.37333333333333,2.014811093388215
55,5.0,1.29074,39.0,2315.0,27.0,49.0,3.0,12.0,216.0,180.0,658.0,73.0,0.0,19.0,58.0,1.0,0.0,0.0,77.855,31.070000000000004,8.0,7.8,105.7235927347315,0.6017970373878495,1.325808403715105,-47.05666666666667,1.6706011805789969
56,1.0,0.16632,157.0,0.0,745.0,3383.0,189.0,243.0,-13.0,212.0,746.0,35.0,100.0,0.0,27.0,0.0,0.0,16.0,0.8000000000000002,0.61,6.5,9.59,99.50722123934888,0.2583082693013371,0.8059661449874339,-11.69,1.0676877379716745
57,1.0,0.125949,354.0,0.0,152.0,135.0,20.0,98.0,151.0,215.0,1140.0,41.0,90.0,1.0,1.0,0.0,0.0,0.0,1297.693,12.32,6.0,10.41,98.88799999817452,0.2005026636954751,0.2690956802228745,-36.36666666666667,1.4980840364136017
58,5.0,1.94411,179.0,513.0,8.0,2.0,1.0,9.0,156.0,162.0,416.0,87.0,19.0,66.0,12.0,66.0,0.0,0.0,41.703,21.459999999999997,6.5,7.580000000000001,85.81113164702926,0.6831882597636069,1.7203095130843262,-673.3033333333334,2.828089544666222
59,5.0,2.83099,106.0,1222.0,19.0,15.0,1.0,5.0,164.0,175.0,281.0,54.0,9.0,99.0,2.0,88.0,0.0,0.0,12.487,23.48,7.0,7.29,85.9114324689743,0.7548699781841228,1.8956778562752128,-48.73333333333333,1.652525445019438
60,4.0,1.6546399999999999,1414.0,52.0,110.0,26.0,35.0,11.0,118.0,155.0,1275.0,178.0,54.0,27.0,58.0,4.0,0.0,0.0,295.718,9.64,6.5,11.43,100.71318181869897,0.9175039397828298,1.500891022614686,-17.46666666666667,1.2358808227868299
61,1.0,0.156765,160.0,0.0,481.0,2672.0,174.0,972.0,56.0,155.0,761.0,121.0,100.0,2.0,12.0,0.0,0.0,0.0,0.387,8.32,7.5,9.59,112.35249604971857,0.19589768773640218,0.8640966500153632,-3.56,0.5509453850718377
62,4.0,1.3674,162.0,1153.0,14.0,13.0,1.0,9.0,154.0,159.0,438.0,87.0,13.0,55.0,14.0,62.0,0.0,0.0,754.744,15.6,6.5,10.14,102.01951390187456,0.6791891811796781,1.5463642560085349,-24.833333333333332,1.366817846929618
63,6.0,4.09768,540.0,293.0,10.0,25.0,8.0,3.0,196.0,166.0,1487.0,110.0,100.0,1.0,1.0,1.0,0.0,0.0,16.246,26.62,6.5,7.61,95.13587348346861,1.0543056534117174,1.84002244404133,-31.236666666666668,1.4826145155038013
64,6.0,4.25019,526.0,258.0,0.0,11.0,9.0,0.0,199.0,159.0,1534.0,125.0,100.0,0.0,0.0,0.0,0.0,0.0,5.299,26.52,7.5,5.61,69.88922256842835,1.101607139749517,1.757336690121645,-8.676666666666668,0.9149752958033542
