Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate,Observed_Normalized_Respiration_Rate,Predicted_Normalized_Respiration_Rate,Observed_RR_percent_error,Sample_Longitude,Sample_Latitude,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std
S19S_0019-D,-84.278999,35.9563807,18.3,8.0,11.46,,-4.6,-84.278999,35.9563807,-30.270588608697857,286.13860925759144,491.1509071728642,0.564480577434278,0.3575142286651302,0.0380015259260328,0.0135860862295435,0.6627578316815741,1.4810208658533064,-4.6,-30.270588608697857,558.0562741021273,0.0,0.0,10.927806857182205,472.0881964689174,493.3552592390456,0.0,0.36648496613342,0.0,0.0139269879420204
S19S_0019-M,-84.2789099,35.956601,18.3,8.0,11.46,,-36.16,-84.2789099,35.956601,-30.270588608697857,286.13860925759144,491.1509071728642,0.564480577434278,0.3575142286651302,0.0380015259260328,0.0135860862295435,1.5582284218033258,1.4810208658533064,-36.16,-30.270588608697857,16.28708902461875,0.0,0.0,10.927806857182205,472.0881964689174,493.3552592390456,0.0,0.36648496613342,0.0,0.0139269879420204
S19S_0019-U,-84.2786976,35.9572803,18.3,8.0,11.46,,-11.18,-84.2786976,35.9572803,-30.270588608697857,286.13860925759144,491.1509071728642,0.564480577434278,0.3575142286651302,0.0380015259260328,0.0135860862295435,1.0484418035504044,1.4810208658533064,-11.18,-30.270588608697857,170.75660651786993,0.0,0.0,10.927806857182205,472.0881964689174,493.3552592390456,0.0,0.36648496613342,0.0,0.0139269879420204
S19S_0006-M,-76.717316,39.31162,25.7,7.5,,,-3.28,-76.717316,39.31162,-41.74954147264052,249.84206066297548,469.9129656384938,1.338741441083957,0.3240546369815163,0.0901257184309939,0.029205656968854,0.5158738437116791,1.6206517100712243,-3.28,-41.74954147264052,1172.8518741658697,0.0,0.0,17.58020429801281,437.0187566895005,461.06465701654446,0.0,0.3420273823694441,0.0,0.0308254635591184
S19S_0006-U,-76.717476,39.311813,25.7,7.5,,,-47.48,-76.717476,39.311813,-41.74954147264052,249.84206066297548,469.9129656384938,1.338741441083957,0.3240546369815163,0.0901257184309939,0.029205656968854,1.6765107102825536,1.6206517100712243,-47.48,-41.74954147264052,12.069204986014057,0.0,0.0,17.58020429801281,437.0187566895005,461.06465701654446,0.0,0.3420273823694441,0.0,0.0308254635591184
S19S_0007-D,-119.195598,37.05255,11.2,6.5,,,-10.36,-119.195598,37.05255,-22.066705168617567,314.35931022524267,511.4695598383661,2.392241957244959,0.3948844580226626,0.1610486673833741,0.0635956157349557,1.0153597554092142,1.3437374924769967,-10.36,-22.066705168617567,112.99908463916573,0.0,0.0,8.298123480409293,508.13650851453485,524.3365620433552,0.0,0.4103101789886563,0.0,0.0660799075399568
S19S_0007-U,-119.195359,37.05229,11.2,6.5,,,-16.41,-119.195359,37.05229,-22.066705168617567,314.35931022524267,511.4695598383661,2.392241957244959,0.3948844580226626,0.1610486673833741,0.0635956157349557,1.2151085810530933,1.3437374924769967,-16.41,-22.066705168617567,34.47108573197786,0.0,0.0,8.298123480409293,508.13650851453485,524.3365620433552,0.0,0.4103101789886563,0.0,0.0660799075399568
S19S_0008-D,-119.027785,36.961112,12.6,6.5,4.62,,-7.46,-119.027785,36.961112,-26.699579159171765,299.5490314820992,501.5514717075759,7.80166011106075,0.3778249988565223,0.525217342860818,0.1984402419658142,0.8727388274726688,1.4265044160353668,-7.46,-26.699579159171765,257.903205887021,0.0,0.0,11.262141082858342,497.9276351403669,515.4796279708976,0.0,0.3881120387054588,0.0,0.203843173701176
S19S_0008-M,-119.028281,36.961369,12.6,6.5,4.62,,-10.64,-119.02828100000002,36.961369,-26.699579159171765,299.5490314820992,501.5514717075759,7.80166011106075,0.3778249988565223,0.525217342860818,0.1984402419658142,1.0269416279590293,1.4265044160353668,-10.64,-26.699579159171765,150.9358943531181,0.0,0.0,11.262141082858342,497.9276351403669,515.4796279708976,0.0,0.3881120387054588,0.0,0.203843173701176
S19S_0008-U,-119.028254,36.961273,12.6,6.5,4.62,,-15.32,-119.02825400000002,36.961273,-26.699579159171765,299.5490314820992,501.5514717075759,7.80166011106075,0.3778249988565223,0.525217342860818,0.1984402419658142,1.1852587652965851,1.4265044160353668,-15.32,-26.699579159171765,74.27923733140838,0.0,0.0,11.262141082858342,497.9276351403669,515.4796279708976,0.0,0.3881120387054588,0.0,0.203843173701176
