Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Respiration_Rate_mg_DO_per_L_per_H_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Respiration_Rate_mg_DO_per_L_per_H_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate,Observed_Normalized_Respiration_Rate,Predicted_Normalized_Respiration_Rate,Observed_RR_percent_error,Sample_Longitude,Sample_Latitude,Respiration_Rate_mg_DO_per_L_per_H,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std
S19S_0019-D,-84.278999,35.9563807,18.3,8.0,11.46,,-1.43,-84.278999,35.9563807,-9.31681766520137,31.302360491443267,113.41569385777191,0.564480577434278,0.1461757525425461,0.0380015259260328,0.0055549016500028,0.15533603746506178,0.9692675962110782,-1.43,-9.31681766520137,551.5257108532427,0.0,0.0,3.2413160144631137,29.57307613753397,71.82078207797782,0.0,0.1686646107623682,0.0,0.0064095125786903
S19S_0019-M,-84.2789099,35.956601,18.3,8.0,11.46,,-11.47,-84.2789099,35.956601,-9.31681766520137,31.302360491443267,113.41569385777191,0.564480577434278,0.1461757525425461,0.0380015259260328,0.0055549016500028,1.0595634179012676,0.9692675962110782,-11.47,-9.31681766520137,18.77229585700637,0.0,0.0,3.2413160144631137,29.57307613753397,71.82078207797782,0.0,0.1686646107623682,0.0,0.0064095125786903
S19S_0019-U,-84.2786976,35.9572803,18.3,8.0,11.46,,-3.75,-84.2786976,35.9572803,-9.31681766520137,31.302360491443267,113.41569385777191,0.564480577434278,0.1461757525425461,0.0380015259260328,0.0055549016500028,0.5740312677277188,0.9692675962110782,-3.75,-9.31681766520137,148.44847107203654,0.0,0.0,3.2413160144631137,29.57307613753397,71.82078207797782,0.0,0.1686646107623682,0.0,0.0064095125786903
S19S_0006-M,-76.717316,39.31162,25.7,7.5,,,-1.05,-76.717316,39.31162,-18.332833162619128,21.010134353830487,110.22260003452024,1.338741441083957,0.111644056243379,0.0901257184309939,0.0100620007774848,0.021189299069938092,1.2632295861739797,-1.05,-18.332833162619128,1645.984110725631,0.0,0.0,4.627428835309682,13.561692646765954,68.28458179845562,0.0,0.1185498563193923,0.0,0.0106843909706763
S19S_0006-U,-76.717476,39.311813,25.7,7.5,,,-15.22,-76.717476,39.311813,-18.332833162619128,21.010134353830487,110.22260003452024,1.338741441083957,0.111644056243379,0.0901257184309939,0.0100620007774848,1.182414652434554,1.2632295861739797,-15.22,-18.332833162619128,20.45225468212304,0.0,0.0,4.627428835309682,13.561692646765954,68.28458179845562,0.0,0.1185498563193923,0.0,0.0106843909706763
S19S_0007-D,-119.195598,37.05255,11.2,6.5,,,-3.32,-119.195598,37.05255,-7.1384652755646885,37.1067416897117,115.76500379280992,2.392241957244959,0.1981054663253011,0.1610486673833741,0.0319046213530516,0.5211380837040362,0.8536048512723385,-3.32,-7.1384652755646885,115.0140143242376,0.0,0.0,2.4058572668633587,36.90915512434115,74.08707557721135,0.0,0.2809501941385659,0.0,0.0452466543671162
S19S_0007-U,-119.195359,37.05229,11.2,6.5,,,-5.26,-119.195359,37.05229,-7.1384652755646885,37.1067416897117,115.76500379280992,2.392241957244959,0.1981054663253011,0.1610486673833741,0.0319046213530516,0.7209857441537391,0.8536048512723385,-5.26,-7.1384652755646885,35.71226759628686,0.0,0.0,2.4058572668633587,36.90915512434115,74.08707557721135,0.0,0.2809501941385659,0.0,0.0452466543671162
S19S_0008-D,-119.027785,36.961112,12.6,6.5,4.62,,-2.39,-119.027785,36.961112,-9.931168781740633,34.11274600009078,114.44462599306205,7.80166011106075,0.1903887820999113,0.525217342860818,0.0999954902450226,0.37839790094813774,0.9970003628549308,-2.39,-9.931168781740633,315.5300745498172,0.0,0.0,3.580248384476852,32.66317357626963,72.76198331695385,0.0,0.2694891925230468,0.0,0.1415403976266621
S19S_0008-M,-119.028281,36.961369,12.6,6.5,4.62,,-3.41,-119.02828100000002,36.961369,-9.931168781740633,34.11274600009078,114.44462599306205,7.80166011106075,0.1903887820999113,0.525217342860818,0.0999954902450226,0.5327543789924978,0.9970003628549308,-3.41,-9.931168781740633,191.23662116541445,0.0,0.0,3.580248384476852,32.66317357626963,72.76198331695385,0.0,0.2694891925230468,0.0,0.1415403976266621
S19S_0008-U,-119.028254,36.961273,12.6,6.5,4.62,,-4.91,-119.02825400000002,36.961273,-9.931168781740633,34.11274600009078,114.44462599306205,7.80166011106075,0.1903887820999113,0.525217342860818,0.0999954902450226,0.6910814921229685,0.9970003628549308,-4.91,-9.931168781740633,102.26412997435096,0.0,0.0,3.580248384476852,32.66317357626963,72.76198331695385,0.0,0.2694891925230468,0.0,0.1415403976266621
