Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error_pre_avg,predict.error_pre_avg,pca.dist_pre_avg,mean.error.scaled_pre_avg,pca.dist.scaled_pre_avg,combined.metric_pre_avg,Sample_Longitude_pre_std,Sample_Latitude_pre_std,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_std,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std,Sample_ID
-79.6031055582,39.6439783973,-43.7433820427,273.832799745,483.96708238,0.0199500626217,0.356558119066,0.00134306272395,0.000478879918638,0,0,19.3943681234,464.836846295,486.551437865,0,0.352807563631,0,0.000473842687439,103632
-75.200871175,41.4802444592,-41.0772973723,264.679076703,483.051609592,0.027640446811,0.341728125397,0.00186078883505,0.000635883880363,0,0,17.0110967858,475.057297907,491.77737805,0,0.361788286097,0,0.000673211603422,100295
-75.3399053315,41.3362067423,-36.879537625,268.720435261,482.647068809,0.0474111594421,0.346467207894,0.00319177749731,0.00110584623771,0,0,15.2783887461,465.224770456,485.210148588,0,0.361741246493,0,0.0011545975704,100297
-79.4643644298,39.3644143022,-58.390750856,255.661992107,468.054080414,0.0539012602922,0.36004330813,0.0036286990595,0.00130648881359,0,0,40.8904587824,416.072576202,447.121688186,0,0.327709034914,0,0.00118915746678,101115
-72.5854805586,43.8809085789,-59.6955139329,256.014643017,472.977615503,0.0682708676065,0.340904037028,0.00459607867667,0.00156682177538,0,0,21.8115409288,440.958251426,465.078578842,0,0.340683524469,0,0.00156580828231,104155
-79.2479559839,40.1935180808,-51.5891425252,239.682385631,461.50553967,0.0748558729118,0.327703766146,0.00503938932337,0.00165142686035,0,0,14.8319416315,414.055284664,442.958143925,0,0.327469969889,0,0.00165024866998,101093
-90.9932932957,37.6020946454,-44.4589562106,261.29871958,477.52526184,0.0732056889018,0.338984358526,0.0049282969086,0.00167061556619,0,0,13.2456866599,457.754826521,479.194949967,0,0.347867760362,0,0.00171439560799,102146
-75.8301824111,40.2392164166,-45.3196541207,267.263553019,481.181258972,0.0829095619137,0.343915460863,0.00558157356078,0.00191958944349,0,0,17.4165000427,461.996659758,482.843506826,0,0.352425512404,0,0.00196708892218,100369
-78.1272318171,40.3220294054,-73.6178514168,228.066047909,458.986249329,0.0869819865963,0.331704993301,0.0058557341933,0.00194237627136,0,0,50.8038749461,414.278279122,439.244844728,0,0.320980369668,0,0.00187957572605,103892
-80.1940163281,39.3937348706,-50.3992715921,251.693255066,470.258994913,0.0881073205992,0.334250678639,0.00593149306083,0.00198260558092,0,0,15.0070734927,436.247964541,461.061422858,0,0.338778723287,0,0.00200946364633,103582
-114.584979947,47.3687408305,-28.3420862124,287.415692223,493.5942116,0.0846411322907,0.355883479299,0.00569814500576,0.0020278756702,0,0,13.5904251562,479.537323071,498.626798799,0,0.370490477659,0,0.00211110846495,102706
-72.5812883103,43.8397980155,-52.0551085556,259.37231243,475.511285665,0.102274156964,0.337730247896,0.00688522188855,0.00232534769524,0,0,20.0522404365,447.355713335,470.354802621,0,0.34742862697,0,0.00239212318712,104153
-80.0772214515,39.5685675611,-48.7251488842,255.880438511,473.918411334,0.106254364961,0.33599187315,0.00715317438056,0.00240340845909,0,0,14.4005181522,447.924087574,470.556844414,0,0.343207037719,0,0.00245501978944,103614
-82.6226962101,35.7229132619,-34.3941196737,282.034017205,488.811497091,0.10476342388,0.358829802697,0.00705280239539,0.002530755692,0,0,13.0579588751,470.496829843,491.787995426,0,0.36559966999,0,0.00257850222826,103225
-80.1982718195,39.3693373296,-54.8440390196,241.83403629,462.211718488,0.115686013317,0.33325288354,0.0077881245345,0.00259541495849,0,0,19.1806231564,413.535801536,442.95415296,0,0.326053443828,0,0.00253934482544,103575
-78.7148533317,41.1063796743,-43.566148013,268.231296015,479.757912039,0.115449649432,0.349235256143,0.00777221222735,0.00271433052802,0,0,13.8519246189,455.836291097,479.144222867,0,0.348685430419,0,0.0027100571658,101076
-80.2309553852,39.8773179886,-66.9860549187,266.101690381,468.20388099,0.117525255507,0.345287487714,0.00791194457819,0.00273189546634,0,0,35.2961986767,390.52367858,430.356372289,0,0.304656471397,0,0.00241042511708,101111
-79.563941317,41.5347913227,-39.7218940898,267.098160526,480.561072971,0.119431007559,0.344074805867,0.0080402421475,0.00276644475602,0,0,16.7520292477,463.106142605,484.488153408,0,0.350457199941,0,0.00281776074986,101043
-73.2142040396,42.7439122568,-47.2317282611,261.186619579,477.181980781,0.124751062266,0.335509123438,0.00839839476592,0.0028177380662,0,0,18.4135600535,449.657283669,471.7828535,0,0.352497170431,0,0.00296041039115,100166
-72.506003884,42.360166402,-43.5036104576,270.292569825,482.891826299,0.117723014341,0.357974751017,0.00792525794581,0.0028370422399,0,0,18.6770858191,459.704664489,480.626835981,0,0.36518563026,0,0.00289419031791,100090
-76.6102424226,40.6764829067,-42.9028557531,261.942857403,475.391770348,0.123244885484,0.343427202007,0.00829699709467,0.00284941449728,0,0,15.8034102049,442.978130443,467.922392308,0,0.346058447622,0,0.0028712459345,100447
-79.7230969582,41.0523954378,-41.4459474598,271.269417245,479.913159191,0.121621795953,0.354473687768,0.00818772871348,0.00290233439152,0,0,14.7490477425,448.478511115,473.899867097,0,0.350608087319,0,0.00287068390372,101073
-71.1021736139,43.2522405659,-23.0585788388,306.978604581,504.406138161,0.113106522228,0.386169761634,0.00761447002547,0.00294047807471,0,0,8.22164936675,494.297819048,513.744914876,0,0.396331073615,0,0.0030178510802,100018
-71.7895840108,42.4104253072,-40.6149602231,283.480869481,489.30170216,0.119425562933,0.375636180275,0.00803987560859,0.0030200681635,0,0,25.0327847981,466.08804121,487.957586264,0,0.37131845139,0,0.00298535416035,100027
-72.5337066063,43.6192450232,-55.993061161,254.542098725,469.893211314,0.133973007039,0.340220720425,0.00901922741701,0.00306852804949,0,0,19.5050675159,428.174398006,455.612988068,0,0.338073092118,0,0.00304915810139,104150
-75.4556811451,41.1650054122,-40.0040010821,272.110021202,487.114322951,0.135504389782,0.352742933159,0.00912232198457,0.00321783461406,0,0,16.2222825507,481.91171843,498.454673927,0,0.369036742947,0,0.0033664719933,100331
-79.2354196268,40.7187580472,-39.1785782143,276.972228596,482.423024558,0.14046832014,0.360874174532,0.00945649987438,0.00341260658613,0,0,18.0454662083,446.272756321,472.649645139,0,0.353846758442,0,0.00334615182676,101085
-73.5065018478,42.5070344312,-46.9178992926,260.296722532,476.729840186,0.151160430354,0.345251362666,0.010176305869,0.00351338346817,0,0,18.865819765,450.655433298,472.69578268,0,0.349511801602,0,0.00355673899792,100201
-76.60270342,40.631507246,-33.094473316,281.486501819,486.904130616,0.149250199098,0.358366666688,0.0100477067541,0.00360076317735,0,0,13.4115211542,462.223918479,485.658448631,0,0.360676322718,0,0.00362396992383,103960
-91.190136813,37.3897757208,-80.16240013,235.368777609,463.996837599,0.161644081385,0.350537673459,0.0108820781354,0.00381457835197,0,0,46.4643919543,428.101428183,450.779556284,0,0.356218474443,0,0.00387639727214,102151
-74.9195839207,40.6806083811,-68.0375815474,269.023448943,484.845267875,0.155195038233,0.380632798787,0.0104479206278,0.00397682127008,0,0,50.9355640561,469.28513005,486.868912408,0,0.353174311297,0,0.00368993717222,100246
-76.7941378978,40.7317592263,-46.4838556653,269.962070705,480.690352598,0.170720322507,0.351000093578,0.0114931018377,0.00403407982053,0,0,17.4980867251,450.167628992,473.796664235,0,0.356763253405,0,0.00410031640333,104003
-72.2071738603,41.5732498469,-39.4226713829,288.13972424,493.799188015,0.16348336471,0.376877764623,0.0110059009484,0.00414787934708,0,0,24.1708411613,479.543854314,498.871818111,0,0.375813553318,0,0.00413616674288,100057
-75.0147845426,40.4160285052,-44.8602001909,268.609052176,482.496938196,0.187225567424,0.350859587098,0.0126042552019,0.00442232377581,0,0,16.977006026,467.090349203,487.096185179,0,0.355456473663,0,0.00448026410722,100345
-79.6104901419,41.6311097667,-36.681102253,271.577541041,483.409404489,0.189557654637,0.34868486283,0.0127612541779,0.00444965616257,0,0,14.6934199618,467.533047764,488.342987335,0,0.355910230609,0,0.00454186091733,101046
-82.0558614772,36.9519254036,-58.3877121718,241.016131506,464.309335966,0.200168860226,0.333772285651,0.0134756135739,0.00449778634312,0,0,23.8136096784,424.636913019,450.460647085,0,0.332944213366,0,0.00448662756099,101251
-82.2022972853,38.2228617717,-42.9869871492,272.008927104,483.608959162,0.192607583889,0.350449270435,0.012966579162,0.00454412820736,0,0,12.5400039728,464.303542013,485.299534172,0,0.357032803123,0,0.00462949410512,101155
-79.3229860571,40.8563296496,-46.2581651596,262.461173992,476.528855603,0.195970121832,0.345523694756,0.0131929493471,0.00455847660314,0,0,14.3175242801,448.286906859,471.998111144,0,0.34537803714,0,0.00455655494959,101082
-80.3021134181,39.7020901871,-52.2592816569,240.087140674,462.566779649,0.206552326101,0.328435784015,0.0139053563386,0.00456701661106,0,0,18.5542606971,416.613516791,444.368204987,0,0.329670513846,0,0.00458418596935,103651
-80.1180052408,39.7064494505,-52.5819585846,250.474250311,468.943680738,0.203056973358,0.336979870192,0.0136700448979,0.00460652995522,0,0,18.2965479854,430.986275549,456.844574749,0,0.335578169601,0,0.0045873686452,103657
-115.085547215,47.3018809799,-32.1633611201,280.45480307,493.518753313,0.19786968233,0.351453586786,0.0133208300934,0.0046816535153,0,0,11.6302737248,493.11660871,507.471476292,0,0.378260185544,0,0.00503873966274,102702
-80.1645625197,39.5516902587,-52.4438310301,241.480548715,462.918270744,0.211785899512,0.330381430284,0.0142576869299,0.00471047500045,0,0,17.4330841247,416.490048266,444.684577498,0,0.329567969445,0,0.00469887693048,103611
-75.2393388172,41.1645756581,-32.2410171965,288.135277786,493.052289242,0.198919789352,0.364074763133,0.0133915245882,0.00487551614242,0,0,14.8934608452,479.784827603,499.920385797,0,0.372039777927,0,0.00498217983388,100324
-91.0727309652,37.0522590629,-40.0711691815,267.428450663,483.145545422,0.212859531197,0.340464627616,0.0143299651339,0.00487884624306,0,0,14.6389052089,473.468112716,491.794953174,0,0.357586035566,0,0.00512419542203,102156
-90.9647226083,37.6147684874,-45.5603788805,258.886036451,475.846618579,0.217635110998,0.335464577705,0.0146514630328,0.00491504685906,0,0,14.2195829456,453.706120543,475.732343886,0,0.344693344392,0,0.00505026179301,102143
-74.765834875,40.6616748705,-56.6453082394,281.851777483,490.986569372,0.192112343419,0.385425482983,0.0129332389652,0.00498479987468,0,0,44.9180125948,481.118512658,499.480814771,0,0.363649065838,0,0.00470316026795,100252
-91.3143743492,37.3146237606,-47.639800779,257.338017063,477.463805895,0.222504418455,0.337645326907,0.0149792707927,0.00505768078362,0,0,13.1402059466,462.717069605,481.641162837,0,0.351180715779,0,0.00526043103882,102152
-72.0643015915,44.1522482693,-47.7906281619,268.752667806,483.567050656,0.216211597766,0.351209402319,0.0145556303733,0.00511207424376,0,0,20.9412473622,471.056758066,489.817163377,0,0.361396741901,0,0.00526035739322,100067
-73.3259502449,42.0531561276,-78.2989124119,279.329450652,486.622461013,0.207851396797,0.373894498667,0.0139928113737,0.00523183519351,0,0,59.945984036,451.750148244,474.607137019,0,0.341212694597,0,0.0047745248738,100127
-92.0479231669,37.5604235279,-40.0090987304,269.551937176,482.549554018,0.229719195818,0.345581836589,0.0154649784679,0.00534441566174,0,0,13.0127660107,466.278715435,486.839322111,0,0.354973888807,0,0.00548966354706,102082
-71.8350039595,44.5144766393,-29.5731069498,286.594824621,493.122393873,0.219613719841,0.363870643166,0.0147846654108,0.005379705712,0,0,9.29916399753,482.065879046,501.052781154,0,0.378394524899,0,0.0055944364439,100061
-79.5812825024,41.7229337923,-43.5469986278,270.16001816,481.925882336,0.232137306536,0.349160239017,0.0156277686521,0.00545659543786,0,0,14.2540061309,464.146779457,485.862041192,0,0.35026061575,0,0.00547379187086,101045
-74.572633889,41.1936032705,-83.0785115598,245.859247398,467.34018414,0.216049189059,0.376648147816,0.0145446968196,0.00547823311763,0,0,69.1117810616,420.564049027,446.043683766,0,0.333146371297,0,0.00484551296706,100210
-78.6807991369,41.4975949617,-45.884882147,251.254808075,472.073463876,0.248262596204,0.327907801639,0.0167133429621,0.00548043554874,0,0,19.8147420569,445.822393706,467.844123099,0,0.34200470237,0,0.00571604188536,101063
-75.7110242022,40.7823240405,-42.9541498465,275.141556663,484.910373185,0.226847895936,0.361478458537,0.0152716790326,0.00552038299596,0,0,24.0252293346,462.094980009,483.708178211,0,0.358649269797,0,0.0054771765336,100333
-74.089105559,43.9606475065,-52.1759144165,290.338001888,495.19321644,0.225901918158,0.367632568713,0.0152079946464,0.00559095413684,0,0,32.2258364295,485.130959043,504.126878029,0,0.368482210562,0,0.00560387548552,100155
-79.9228376017,41.368666714,-44.5146526941,263.551003201,478.25356894,0.242443135928,0.343421195539,0.0163215697473,0.00560517299567,0,0,14.6319832536,455.412054385,477.523265589,0,0.34902939702,0,0.00569670764731,101056
-73.5604178793,41.6645917735,-58.5875018066,271.109188312,485.26224761,0.233915484381,0.358245513988,0.0157474777691,0.0056414632674,0,0,25.8890365655,469.995257934,488.37550795,0,0.358631514813,0,0.0056475418068,100128
-72.5567576592,42.8512016967,-48.8083779888,271.012137458,484.523910777,0.24560444394,0.349634799689,0.0165343928862,0.00578099914477,0,0,24.596036664,470.77066223,489.874717698,0,0.359126939559,0,0.0059379459147,104141
-74.0473410066,44.0160862191,-32.868829059,283.981637241,493.204666995,0.238737047276,0.364990196942,0.0160720713064,0.00586614847137,0,0,12.2800451343,488.272028636,505.300994043,0,0.381593283038,0,0.00613299445501,100154
-79.177021364,38.9227751706,-52.9409216144,240.891393871,467.05415116,0.268384811977,0.324803851698,0.0180679952477,0.00586855444891,0,0,17.0654134612,436.548636531,458.547424183,0,0.341561759028,0,0.00617133623891,100497
-82.5937451397,35.6901164842,-40.5696965888,287.029096996,491.175757602,0.235405132949,0.374849382726,0.0158477627407,0.00594052408093,0,0,28.7747858853,471.65340796,493.486646231,0,0.364544456589,0,0.00577721405644,103224
-79.5102083596,39.8353612721,-41.3244008481,268.119531938,482.737314249,0.262409647188,0.341859927691,0.0176657398137,0.00603920853533,0,0,11.9448287661,469.762867613,489.097862592,0,0.354302201965,0,0.00625901051535,101130
-71.2312026375,43.0816073977,-25.5464775168,293.27514193,496.775367611,0.242458806199,0.373641652078,0.0163226246891,0.00609881245509,0,0,10.48593261,483.682710478,502.893243373,0,0.387820190815,0,0.00633024342153,100020
-72.3685226497,43.5189925879,-66.2338691933,244.000764831,470.183024281,0.266965307349,0.339954693089,0.0179724324523,0.00610981275839,0,0,44.9462148491,442.720213459,462.71926623,0,0.339497957485,0,0.00610160410859,104148
-74.8975015839,40.6636193107,-76.3219473959,258.726401939,477.556241766,0.243466322922,0.373972071759,0.0163904519526,0.00612957127379,0,0,58.39017776,449.753802931,469.944280102,0,0.338964438712,0,0.00555578034635,100245
-76.602273646,40.6400421547,-54.9598998285,252.828046592,472.192485051,0.268476906727,0.343270484798,0.0180741951794,0.00620433774157,0,0,20.1373728461,441.459851926,464.503606978,0,0.343049417974,0,0.00620034213665,103961
