Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error_pre_avg,predict.error_pre_avg,pca.dist_pre_avg,mean.error.scaled_pre_avg,pca.dist.scaled_pre_avg,combined.metric_pre_avg,Sample_Longitude_pre_std,Sample_Latitude_pre_std,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_std,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std,Sample_ID
-79.1226984845,35.77278906,-147.423340074,106.63599301,1093.23683466,0.00353440415702,0.191315883263,0.000242579770522,4.64093630591e-05,0,0,37.2480269876,28.1156478565,264.500524464,0,0.0400168992176,0,9.7072902292e-06,103191
-71.514167281,42.8933420742,-82.1256720141,109.677803797,1093.53948327,0.0298576312836,0.196283852631,0.00204924423561,0.000402233553548,0,0,24.1138128127,29.5874978434,264.652965372,0,0.0404552215415,0,8.29026295444e-05,100025
-94.1813773075,36.6230937984,-638.875361409,110.591149629,1093.68313852,0.0476483418881,0.198348957333,0.00327028922768,0.000648658458486,0,0,460.271868628,30.9949282591,264.576784861,0,0.048858457982,0,0.000159781288819,102183
-79.1103381165,40.8397782942,-153.220714704,106.246904665,1093.19645605,0.0514449553088,0.190625106042,0.0035308654299,0.000673071596995,0,0,61.4173172299,27.2833576011,264.424810437,0,0.0402398776408,0,0.000142081592865,101081
-79.4059366209,39.5105649203,-140.181701418,107.335445387,1093.30722052,0.0534990189446,0.192288663284,0.00367184372872,0.000706053922383,0,0,57.728937471,28.6253397941,264.546286926,0,0.0407536273253,0,0.000149640950917,101120
-77.4307825305,38.5686260993,-169.944390697,105.610913828,1093.1357885,0.0739348071702,0.189812859601,0.00507443058579,0.000963192180337,0,0,46.5084599094,27.0661565722,264.398074959,0,0.0404300549262,0,0.000205159507303,100600
-86.1351997157,35.422818282,-143.416705887,106.540140284,1093.22491426,0.0824831272731,0.191331235025,0.00566113471944,0.00108315189751,0,0,44.714777255,26.9375363525,264.389720317,0,0.0401475218901,0,0.000227280530072,101317
-74.6180179748,40.3686904413,-137.326537561,107.188585787,1093.29169556,0.0827658395414,0.192128702117,0.00568053835132,0.00109139446077,0,0,34.7611762522,28.4766560251,264.535368247,0,0.04002249855,0,0.000227349337929,100257
-75.1729853127,41.477361937,-156.833838571,105.933691921,1093.16580562,0.0929602496062,0.19027250861,0.00638021997919,0.00121398046092,0,0,60.3770874124,26.498870775,264.346185718,0,0.0398413662686,0,0.000254196681065,100296
-73.9140263065,41.8001016617,-481.780225453,108.94475173,1093.48779156,0.0939390462833,0.193030288431,0.0064473985651,0.00124454320465,0,0,388.817781835,31.5661892371,264.782439387,0,0.0374123675833,0,0.000241212445073,103111
-71.6311427616,42.3273972203,-107.850148084,108.27531818,1093.3972059,0.0935215342154,0.194098772486,0.00641874310378,0.00124587015735,0,0,30.1763580924,28.2500957307,264.518286393,0,0.0404406359514,0,0.000259578053126,100030
-91.0982012264,37.4938527774,-201.760870192,104.927370092,1093.06926552,0.10065467084,0.188462427955,0.00690831774454,0.00130195833522,0,0,87.2565987575,26.7860630992,264.37274466,0,0.0402280850461,0,0.000277908393753,102140
-72.0394479844,42.589443982,-145.804531338,106.547591593,1093.22686167,0.0998640510063,0.191360050585,0.00685405446018,0.00131159220821,0,0,60.2517797094,26.9407391606,264.384435901,0,0.0405268465228,0,0.000277773213166,100079
-83.1767086079,36.618893891,-210.84173124,104.938665928,1093.07082168,0.106734151517,0.188557765124,0.00732557591935,0.0013812942236,0,0,104.540468827,26.3080694065,264.322574651,0,0.0404154150313,0,0.000296066191124,101264
-71.7109029692,42.2303806253,-98.1609887835,108.868068896,1093.45766492,0.105490981,0.194947792624,0.00724025233853,0.00141147121143,0,0,23.9415388514,29.0598204914,264.598633082,0,0.0402685687565,0,0.000291554599108,100046
-80.2059299151,40.0234068447,-160.281288306,106.468912775,1093.22353621,0.109211463209,0.191175676781,0.00749560336245,0.0014329770457,0,0,65.0504131383,28.6639994667,264.545663573,0,0.0416792248778,0,0.000312410938138,101109
-82.2389713643,36.5354166411,-208.180451302,104.500876748,1093.02794044,0.116320383987,0.187700620303,0.00798351597636,0.00149851090096,0,0,80.1906846516,26.0771647326,264.304006357,0,0.0398186599594,0,0.000317892907943,101234
-79.8103638084,39.5146744106,-168.079797774,105.989139883,1093.17373972,0.116161999862,0.19014158348,0.00797264546387,0.00151593143303,0,0,43.3594902074,27.8754689418,264.475972063,0,0.0401612955887,0,0.000320191771098,103605
-91.0147004764,36.993448762,-213.808770454,104.38186368,1093.01699592,0.118140128209,0.187895146688,0.00810841203131,0.00152353126803,0,0,109.813939301,25.1583478216,264.212969631,0,0.0403833628327,0,0.000327444945057,102157
-73.7396750721,42.0144464324,-109.393541493,108.368316429,1093.4074292,0.118603509418,0.194085518409,0.00814021566849,0.00157989797798,0,0,38.703155073,28.946766965,264.588958441,0,0.0407458925084,0,0.000331680352623,103109
-70.7435056312,43.3151044661,-88.1638032117,109.363451666,1093.50755991,0.126135417835,0.195748704347,0.00865715955328,0.00169462776588,0,0,22.3367899258,29.3694839006,264.630699864,0,0.0402331396389,0,0.000348304709183,100017
-74.9533349535,40.9808415929,-479.248619745,108.941714498,1093.48848674,0.135547649663,0.19333439189,0.0093031572761,0.00179862025464,0,0,401.653926918,30.6812489629,264.673818801,0,0.0374439615038,0,0.00034834706291,100328
-79.9725965438,39.760747745,-86.4800624836,109.465207715,1093.51782827,0.152298679005,0.195885970435,0.0104528449387,0.00204756567461,0,0,24.0272811736,29.5233393704,264.64742047,0,0.0403995189324,0,0.000422289906997,101107
-91.4609446474,37.1432351374,-167.923771204,106.909116337,1093.26543602,0.15812993033,0.191475453884,0.0108530661769,0.00207809577226,0,0,100.528017832,28.7203035575,264.556634323,0,0.0404015936611,0,0.000438481169657,102154
-73.4315026816,43.1014738944,-113.15934333,108.245266406,1093.39590316,0.160273304974,0.193738295083,0.0110001742342,0.00213115500175,0,0,22.2555948403,29.07899862,264.600415025,0,0.0398336807526,0,0.00043817742867,100164
-78.6354192332,37.4145907428,-136.083742029,107.269537108,1093.30137143,0.16901159537,0.192446226503,0.0115999167608,0.00223236020836,0,0,44.0964998798,28.8438225325,264.567172681,0,0.0408184102625,0,0.000473490161353,100607
-75.0771232948,40.1395509563,-583.733648168,111.006260299,1093.71519754,0.163803581347,0.198879175636,0.011242470699,0.00223589330474,0,0,480.189458732,31.6689131366,264.702474961,0,0.048604858359,0,0.000546438695932,100360
-79.5889140431,40.6024169556,-682.088270646,116.379057686,1094.33275371,0.175658994488,0.205178605979,0.0120561533656,0.00247366474102,0,0,502.416333201,35.7394422249,264.948762016,0,0.0410845821992,0,0.000495322023954,101096
-71.4427783441,42.4594531053,-92.9033417327,109.116741456,1093.48281851,0.184491998393,0.195400734218,0.012662396445,0.00247424156233,0,0,21.6140951985,29.2336161321,264.61609179,0,0.0404665364616,0,0.000512403327435,100032
-79.2813933786,39.9611329365,-168.247420435,107.173492972,1093.29166713,0.191078753814,0.192474524368,0.0131144708394,0.00252420153715,0,0,134.587656392,28.3848724854,264.518839378,0,0.041317375446,0,0.000541855515448,101128
-71.3521754796,42.7816340779,-117.247091379,108.100675231,1093.38280988,0.190164446816,0.193649324711,0.0130517184285,0.00252745646,0,0,31.3570486249,29.1448630142,264.60209843,0,0.0402720127575,0,0.000525618971061,102550
-91.0062332217,37.477176391,-186.778200794,105.518046441,1093.12635789,0.196632542976,0.189419145426,0.0134956487807,0.00255633425902,0,0,88.6149945602,27.1319969951,264.406946915,0,0.0403487687644,0,0.000544532811979,102141
-76.3282949733,39.905942085,-126.734782716,107.669080289,1093.33849961,0.193540868899,0.192824974204,0.0132834552809,0.00256138192187,0,0,37.4642071139,28.741165087,264.565851712,0,0.0403686893118,0,0.00053623567922,100476
-91.3899381275,37.3475849153,-186.350419037,105.032572642,1093.0799257,0.199669355227,0.188703845891,0.0137040769022,0.00258601201584,0,0,71.2621236291,26.944263308,264.38626417,0,0.039858520922,0,0.000546224235924,102150
-73.4270844722,41.1395916761,-117.516095375,107.547425637,1093.32361206,0.199201724663,0.193162479386,0.0136719816155,0.00264091386697,0,0,44.6160253689,26.9661790906,264.392303374,0,0.040597032569,0,0.000555041882925,100141
-71.9019858951,41.9770770293,-108.139800293,108.419434685,1093.41273657,0.216147857635,0.194238848185,0.0148350599916,0.00288154496552,0,0,38.0283497866,28.9368982238,264.586777744,0,0.0408887299428,0,0.00060658676168,100054
-75.1144798409,40.4313281274,-152.675952314,106.757183198,1093.24981577,0.223468996834,0.191361023212,0.0153375379732,0.0029350069601,0,0,57.3353986727,28.2070395394,264.504958011,0,0.040628460442,0,0.000623140554821,100344
-71.1354171316,42.4645920047,-97.2453180091,108.851668,1093.45525502,0.220733066648,0.194951552893,0.0151497605467,0.00295346934453,0,0,26.5482279374,28.8998941474,264.584685166,0,0.0404262076933,0,0.000612447366363,100037
-92.0893939594,36.9183750158,-626.226880599,111.727182816,1093.79373995,0.216071641758,0.199516785649,0.0148298290024,0.00295879981428,0,0,474.270043935,32.4950589513,264.779005271,0,0.0472091229955,0,0.000700103221375,102132
-74.9680571647,40.7116748736,-141.588778386,107.147341719,1093.28856499,0.227844208082,0.192097067553,0.0156378255728,0.00300398043544,0,0,53.5042480063,28.302840666,264.512524151,0,0.040597938641,0,0.000634863483084,100341
-78.9562527597,39.0104243909,-101.013117254,108.84726174,1093.45646341,0.22762360772,0.194750586018,0.0156226849203,0.0030425270434,0,0,30.1929481741,29.5256445162,264.646204074,0,0.040198683974,0,0.000628011373937,100498
-119.972775825,39.5227100953,-98.658851579,109.017874482,1093.47451722,0.227378511291,0.195073248392,0.0156058630083,0.00304428639099,0,0,29.5785978068,29.7485076869,264.666308065,0,0.0404853678448,0,0.000631809104428,102534
-74.9858348862,39.6444524383,-135.663450372,107.305903431,1093.30392236,0.233020864903,0.19229007334,0.015993119469,0.00307531811562,0,0,32.5729983638,28.6642075386,264.552324247,0,0.0399300042292,0,0.000638605328035,100281
-78.1896636033,38.927372909,-269.354691989,103.95091028,1092.97819445,0.241775839067,0.186372726859,0.0165940070669,0.00309267034656,0,0,162.475608254,27.5009765445,264.435892686,0,0.039243074589,0,0.000651199857055,100551
-75.0694460721,40.485841492,-223.500575349,103.633373326,1092.94543492,0.241594643839,0.186666740973,0.0165815709404,0.00309522780765,0,0,103.086730938,25.4845909119,264.245773582,0,0.0407954075227,0,0.000676451943881,100343
-81.6270867727,36.8062571725,-148.47458886,106.576759184,1093.22931249,0.240024153151,0.19098155964,0.0164737821156,0.0031461886016,0,0,59.0575560679,27.9631538654,264.492377029,0,0.0398002536845,0,0.000655660707343,101232
-76.7899152855,40.64373925,-160.340262603,107.662981113,1093.340171,0.242234397167,0.193110960447,0.0166254796755,0.00321056234802,0,0,139.337378544,28.9190226254,264.574800442,0,0.0409885919248,0,0.000681455001971,103964
-79.9934806995,39.8810920219,-188.70368373,105.42476094,1093.11755862,0.248891098651,0.189280141661,0.0170823547374,0.0032333505246,0,0,90.3403481523,26.6953103329,264.361567537,0,0.0402128524604,0,0.000686930210732,101108
-80.493955069,39.1062165618,-137.240304884,107.207036823,1093.29277599,0.248297727068,0.19203254071,0.0170416293602,0.00327254738389,0,0,36.8426056478,28.5386146508,264.545391292,0,0.0402391602353,0,0.000685740854497,103544
-79.1723718886,38.9939481805,-100.157213866,108.856509849,1093.45693755,0.245056749711,0.1947942903,0.0168191886012,0.00327628190698,0,0,33.4531913962,29.4589077565,264.640816659,0,0.0402706667958,0,0.000677319939933,100495
-81.7980622299,36.6645198618,-272.934480367,105.565063826,1093.13337346,0.252492660905,0.18963444686,0.0173295438268,0.00328627845794,0,0,273.746983416,26.2069037917,264.302242447,0,0.0395495311328,0,0.000685375333097,101230
-78.4105791616,40.3976527067,-112.682464906,108.287757465,1093.40014401,0.248824262013,0.193777164261,0.0170777674815,0.00330928135448,0,0,24.9745744931,29.0599140529,264.598164749,0,0.0396726735341,0,0.000677520693986,103911
-79.8433860031,40.5111872361,-234.828122832,103.855564397,1092.96703136,0.260750963085,0.186881559918,0.0178963429134,0.00334449648049,0,0,110.005753738,24.9551686431,264.192914957,0,0.0399644136649,0,0.000715216851279,101099
-80.8854198913,36.9395905625,-164.52438044,106.69867822,1093.24365696,0.25512692448,0.191356802387,0.0175103434822,0.00335072333745,0,0,97.4201285513,28.013397171,264.486432133,0,0.0407748767968,0,0.000713982098155,101141
-91.4228892512,37.6894602336,-623.25247948,110.942568445,1093.7075412,0.247024202918,0.19923350715,0.0169542224927,0.00337784920823,0,0,465.188558374,30.1422232423,264.529649141,0,0.0478343888724,0,0.000810994871747,102087
-79.4522663148,39.3684403335,-206.129430433,105.603739395,1093.13539295,0.259528488538,0.189879059176,0.0178124397767,0.00338220930643,0,0,136.643137167,27.2095133533,264.41142178,0,0.0414702193146,0,0.000738685784068,101116
-73.3896074161,42.1939738853,-441.795544704,110.172553727,1093.60939959,0.254019867917,0.194662136807,0.0174343619263,0.00339381014643,0,0,409.164207993,32.8813843477,264.948874092,0,0.0362758666421,0,0.000632446588227,100120
-74.9356826111,40.3312399122,-478.793275493,109.043031934,1093.49941727,0.25862096353,0.193309753342,0.0177501528399,0.00343127766727,0,0,400.737864967,31.2133133876,264.732205873,0,0.0373719371756,0,0.00066335759679,100347
-75.5548457373,40.1021599832,-194.917030061,110.371254162,1093.61967972,0.255925784007,0.196191955032,0.0175651722885,0.00344614549174,0,0,269.244387108,30.2857746676,264.684069276,0,0.0371125745525,0,0.000651888766084,102950
-79.5687731754,40.7564064193,-154.81064339,107.81829092,1093.35481859,0.260350144632,0.193466004618,0.0178688331991,0.00345701176623,0,0,141.442902249,28.8192080884,264.566925536,0,0.041152480436,0,0.000735346808642,101084
-80.2978641547,38.8853855255,-499.940774329,114.807817091,1094.23376347,0.252842138193,0.199289620961,0.0173535297992,0.00345837837602,0,0,489.941183892,40.0478244402,265.257373606,0,0.0313917364521,0,0.000544757433969,103523
-74.9480571391,40.3808414753,-271.949090302,106.172909846,1093.20157043,0.267536358488,0.189975386038,0.0183620507347,0.00348833767678,0,0,238.381055908,26.3948322074,264.278067607,0,0.0378575394064,0,0.000695142059272,100346
-75.1849126617,40.5937082969,-152.317545723,106.653587076,1093.23941797,0.26781822553,0.19135449023,0.0183813963555,0.00351736272932,0,0,55.5496570878,27.8341323726,264.466766101,0,0.0407074578339,0,0.000748259917069,100342
-79.1686116343,35.772868861,-157.144500387,105.815701967,1093.15379966,0.269957024931,0.190289736581,0.0185281903963,0.00352572446983,0,0,49.9522385782,26.1645748474,264.315542104,0,0.0397699275357,0,0.000736864789427,103190
-77.593634465,40.6644960437,-122.14204296,107.860397385,1093.35739895,0.270872736881,0.193062373809,0.0185910392344,0.00358923016616,0,0,27.5658193636,28.7595082156,264.567650521,0,0.03975097745,0,0.000739011981378,103977
-72.4181499338,43.7142450081,-128.782810416,108.967556769,1093.4720109,0.274492003315,0.195527185667,0.0188394434298,0.00368362335337,0,0,143.343968207,29.6569800811,264.64451692,0,0.0420228851442,0,0.000791687767432,100068
-115.085547215,47.3018809799,-140.44568911,108.712033058,1093.44655356,0.275924361034,0.194885279751,0.018937751657,0.00369068902953,0,0,149.145357462,29.8406140774,264.665265163,0,0.0415660784604,0,0.000787168071237,102702
-73.3986001479,41.4504455218,-83.2861744186,109.615901256,1093.53321887,0.274974337449,0.196177589134,0.0188725478792,0.00370237094375,0,0,21.275708531,29.5551723851,264.649617608,0,0.0403462478966,0,0.000761436495173,100130
-91.1641978808,37.5061411934,-221.676855553,104.353107368,1093.01401473,0.296616291381,0.187650327712,0.0203579185344,0.0038201700845,0,0,101.661675408,25.9031602109,264.286012232,0,0.0401492248493,0,0.000817354648701,102139
-78.6807991369,41.4975949617,-119.75487528,107.720831127,1093.34162951,0.289037021243,0.192936315923,0.0198377240323,0.00382741739108,0,0,34.2499526727,28.1679521495,264.513231103,0,0.0395107645739,0,0.000783803643921,101063
-79.1147709128,35.9228071704,-204.845183431,106.090151398,1093.18214226,0.296699704063,0.190259616312,0.020363643468,0.00387437899295,0,0,136.266569249,27.616134033,264.455174736,0,0.0389776044271,0,0.00079372603979,100658
-111.581261144,36.8645889613,-83.84476875,109.668316065,1093.53923126,0.293787179968,0.196180682876,0.0201637457214,0.00395573740497,0,0,29.1788544711,29.9230679804,264.687480083,0,0.0405240064488,0,0.000817115761648,102446
-78.6520860266,39.4479244891,-88.3178674286,109.443944802,1093.51649109,0.296198907381,0.195779790398,0.0203292718628,0.00398006058426,0,0,25.6854774736,29.7523971726,264.669439682,0,0.0403901060396,0,0.000821101446247,100501
-73.8645846044,40.9854249643,-175.5906075,106.753955219,1093.24915656,0.304369116702,0.191128351767,0.0208900247972,0.00399267600786,0,0,158.013218728,28.3186667915,264.518465031,0,0.0393243286545,0,0.000821486200725,100224
-71.5018674879,43.0229070829,-99.6824803237,108.836345747,1093.45482036,0.300460187211,0.194825935885,0.0206217399105,0.00401764977763,0,0,27.0115645186,29.1697548786,264.609290157,0,0.0401210200384,0,0.000827365240175,100024
