Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Respiration_Rate_mg_per_L_per_H_pre_avg,mean.error_pre_avg,predict.error_pre_avg,pca.dist_pre_avg,mean.error.scaled_pre_avg,pca.dist.scaled_pre_avg,combined.metric_pre_avg,Sample_Longitude_pre_std,Sample_Latitude_pre_std,Respiration_Rate_mg_per_L_per_H_pre_std,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std,Sample_ID
-72.4181499338,43.7142450081,-5.45526111521,1.95585097964,19.4137738371,0.0417401143461,0.133966355196,0.00287551081152,0.000385221702747,0,0,1.1237552362,0.699392345258,5.16920783093,0,0.107630171006,0,0.000309491720373,100068
-86.9979215741,35.0104232589,-10.6559219076,2.0895954938,19.433664749,0.0531793609715,0.158758408815,0.00366356992114,0.000581622531262,0,0,3.02064493115,0.694365102742,5.14356964809,0,0.146329180034,0,0.000536087182557,101301
-80.2978641547,38.8853855255,-11.823487223,2.34103647127,19.4728982718,0.0480273274371,0.180476836686,0.00330864209304,0.000597133258677,0,0,3.79072837547,1.07910785673,5.16530912713,0,0.189011109491,0,0.000625370112914,103523
-73.9061416109,41.3146691515,-7.96976020402,1.88365395345,19.4067700385,0.0874938436029,0.133976391504,0.00602752285573,0.000807545761916,0,0,2.04350572108,0.583303998033,5.1542122561,0,0.106480319144,0,0.000641812557322,100220
-73.3986001479,41.4504455218,-5.89442701963,1.94847337158,19.4135040774,0.0995897103211,0.13242213573,0.00686081706366,0.000908524048422,0,0,1.83145573378,0.727537564623,5.17112208195,0,0.10728052543,0,0.000736032059471,100130
-71.9521896582,42.0230114781,-7.56133064486,1.85530669959,19.4031227613,0.100942157378,0.133127537112,0.0069539882539,0.000925767329348,0,0,1.82006016731,0.5143938625,5.150706154,0,0.106360051159,0,0.00073962654644,100053
-91.3899381275,37.3475849153,-14.3530076805,2.71686854083,19.5273898467,0.0630638992512,0.214384900615,0.00434452389396,0.000931400323229,0,0,3.92819991469,1.18018134256,5.16329256934,0,0.210772985888,0,0.000915708273393,102150
-71.9019858951,41.9770770293,-9.16937698892,1.86653671031,19.4049071532,0.103184328168,0.140944167675,0.00710845324399,0.00100189502593,0,0,2.41663126591,0.403766884914,5.13786900157,0,0.115662996172,0,0.000822185000349,100054
-74.1161126532,43.9688977411,-6.98062261777,1.88606660977,19.4062596905,0.132419029832,0.134997482966,0.00912245588922,0.00123150858351,0,0,2.04345768086,0.584823777093,5.15749880634,0,0.110191109004,0,0.00100521353127,104158
-79.9725965438,39.760747745,-6.35400671322,1.90265815339,19.4085400322,0.145024573097,0.132222295825,0.00999086213373,0.0013210147286,0,0,1.60167596586,0.642529150371,5.161600387,0,0.106257326846,0,0.00106160230322,101107
-73.3107955946,42.0484651793,-8.06704712711,1.82470627069,19.4002703526,0.146846745576,0.132076695476,0.0101163930946,0.00133613977007,0,0,1.54074902,0.440013314983,5.14360220322,0,0.104001119855,0,0.00105211621074,100126
-73.2727681735,42.09433842,-9.55910330925,1.91993454003,19.4105555956,0.144231728252,0.138659402211,0.00993624240019,0.00137775343143,0,0,2.37910812858,0.437071559462,5.13874973934,0,0.107859683749,0,0.00107171996294,100123
-71.0594449203,43.0980643491,-5.85093452813,1.97325635122,19.4164295045,0.141385764122,0.141658683213,0.00974018159021,0.00137978129832,0,0,1.79814065062,0.665341292775,5.16097348177,0,0.118185973218,0,0.00115115284056,100021
-73.4270844722,41.1395916761,-8.31018585643,1.84671758038,19.4024501279,0.149222483823,0.135554394365,0.0102800596567,0.0013935072608,0,0,1.99599298964,0.450268013002,5.14408263125,0,0.109454924125,0,0.00112520314972,100141
