Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error_pre_avg,predict.error_pre_avg,pca.dist_pre_avg,mean.error.scaled_pre_avg,pca.dist.scaled_pre_avg,combined.metric_pre_avg,Sample_Longitude_pre_std,Sample_Latitude_pre_std,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_std,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std,Sample_ID
-71.7109029692,42.2303806253,-249.585782942,111.005376612,1123.65381065,0.0128657897865,0.14435581161,0.000883006477039,0.00012746711665,0,0,451.517752245,16.5355943497,195.74156856,0,0.0300976288977,0,2.65764012602e-05,100046
-73.9140263065,41.8001016617,-245.843637364,103.367459549,1122.86290146,0.0191682122371,0.134608611035,0.00131555511472,0.000177085046733,0,0,138.601392783,19.03450114,196.363359244,0,0.0328396735714,0,4.32024005327e-05,103111
-86.1351997157,35.422818282,-169.690705026,105.046867784,1123.01856796,0.0243438929322,0.137619732431,0.00167077307279,0.00022993134323,0,0,108.766747281,17.2150003421,196.196488263,0,0.0352458992955,0,5.88878994692e-05,101317
-82.2389713643,36.5354166411,-178.632340895,105.130717004,1123.02521357,0.0263226176376,0.136677959896,0.00180657715168,0.000246919279486,0,0,91.9718200509,19.1821002366,196.386494712,0,0.0318568428927,0,5.75518444947e-05,101234
-70.7435056312,43.3151044661,-72.8448779835,109.089347286,1123.40067258,0.0422054821405,0.141963798506,0.00289665187408,0.000411219702995,0,0,22.3687365728,18.9068821587,196.372753404,0,0.0329915524289,0,9.55650421721e-05,100017
-79.9725965438,39.760747745,-77.8111238186,108.870815154,1123.37953036,0.0562134368897,0.141636562923,0.00385804755821,0.000546440595736,0,0,21.5841631686,18.9296163737,196.374577565,0,0.0327562831691,0,0.000126375298296,101107
-71.514167281,42.8933420742,-70.6755500457,109.255683891,1123.41699548,0.0679614530691,0.142105669379,0.0046643388587,0.000662828995726,0,0,19.1013138855,19.2135521528,196.401510513,0,0.0329126192624,0,0.000153515608967,100025
-71.6311427616,42.3273972203,-137.861462217,106.773239122,1123.18105394,0.0738450012002,0.138774583584,0.00506813926224,0.000703328915662,0,0,76.1630756308,20.0540896123,196.467948405,0,0.0329984057273,0,0.000167240515658,100030
-91.0982012264,37.4938527774,-201.901275938,104.185745546,1122.93797012,0.0789410719608,0.135676002674,0.00541789342143,0.000735078122334,0,0,96.4683655637,18.0937763565,196.277937469,0,0.0320606474047,0,0.000173701170661,102140
-91.3899381275,37.3475849153,-184.363416166,104.659030569,1122.98050212,0.083325259366,0.136434122633,0.00571878951406,0.000780238029876,0,0,80.6115944245,17.640597137,196.246078225,0,0.0325827119988,0,0.000186333671718,102150
-71.3521754796,42.7816340779,-103.690408192,107.780222893,1123.2748769,0.102148738515,0.140160777397,0.00701068486484,0.000982623040737,0,0,26.6521058575,18.8572002975,196.364334664,0,0.0321956440349,0,0.000225713514349,102550
-79.1226984845,35.77278906,-135.463917599,106.094355476,1123.11563452,0.104213482612,0.138712896237,0.00715239263721,0.000992129097728,0,0,75.532680616,17.0993168894,196.195272548,0,0.0340531120775,0,0.000243561228097,103191
-79.1103381165,40.8397782942,-155.478865799,105.512807304,1123.06155678,0.129119603718,0.137298858604,0.00886175262361,0.00121670852045,0,0,70.5147775185,18.0271451298,196.273808497,0,0.0311763273443,0,0.000276276900638,101081
-77.4307825305,38.5686260993,-153.880217204,106.021520663,1123.10808381,0.134060783033,0.138012599645,0.00920087625397,0.00126983685082,0,0,66.5947667867,19.9032833826,196.46378317,0,0.0339467027981,0,0.000312339411675,100600
-73.7396750721,42.0144464324,-97.728905875,108.002351635,1123.29653856,0.145966584602,0.140382524781,0.0100179967009,0.00140635167012,0,0,35.3500156378,18.9902845796,196.375086068,0,0.0319786609043,0,0.000320362119437,103109
-80.2978641547,38.8853855255,-205.69006068,104.976967452,1123.01290434,0.151330733109,0.136655584573,0.0103861496051,0.00141932534574,0,0,152.554074928,19.8154678199,196.436200023,0,0.0336611910169,0,0.000349610165787,103523
-71.9019858951,41.9770770293,-104.364924444,107.745096838,1123.27167753,0.148417824107,0.140006945008,0.0101862304739,0.0014261430098,0,0,29.7040503231,19.1904386807,196.395532713,0,0.0318823876623,0,0.000324761348788,100054
-94.1813773075,36.6230937984,-452.556249979,102.469210568,1122.77980597,0.161729790578,0.133601663395,0.0110998590044,0.00148295962644,0,0,270.151311128,19.1687103646,196.381252426,0,0.0340750931051,0,0.000378228729027,102183
-74.6180179748,40.3686904413,-152.204725521,106.354032111,1123.14087821,0.157498423894,0.13847222806,0.0108094513224,0.00149680880872,0,0,99.7752608678,20.147176976,196.480025747,0,0.0343128130888,0,0.000370902682819,100257
-91.0062332217,37.477176391,-217.170811474,103.869406257,1122.90932179,0.161681298184,0.135248243211,0.0110965308684,0.00150078630569,0,0,121.384248113,17.7555462765,196.242867751,0,0.0315452647772,0,0.000350043004354,102141
-91.4609446474,37.1432351374,-165.458819048,105.676028042,1123.07938209,0.16365600266,0.137056720278,0.0112320590304,0.00153942917268,0,0,88.2406841193,19.2057498772,196.369815311,0,0.0301180272156,0,0.000338287459566,102154
-73.4270844722,41.1395916761,-145.885306664,106.780904661,1123.18321552,0.165233420315,0.138266110238,0.0113403205542,0.00156798201188,0,0,104.247825802,19.9407953485,196.447314149,0,0.0296664869223,0,0.000336427471415,100141
-80.493955069,39.1062165618,-157.149046386,105.800685735,1123.08771577,0.170051591008,0.137485249072,0.0116710018415,0.0016045905951,0,0,67.2631628207,19.8105826814,196.451508876,0,0.0323120912217,0,0.000377114476152,103544
-72.4181499338,43.7142450081,-75.6373596998,108.97833654,1123.38992492,0.165392642854,0.141762191968,0.0113512483352,0.00160917784557,0,0,22.1848921363,18.9921222636,196.380808634,0,0.0327471596752,0,0.000371721141745,100068
-115.085547215,47.3018809799,-149.664346444,106.426255043,1123.15068634,0.172829712534,0.137940356623,0.0118616702219,0.00163620302056,0,0,94.0502718979,18.8854369776,196.335800898,0,0.0293733088341,0,0.000348416502717,102702
-78.6354192332,37.4145907428,-94.7870678797,108.203563873,1123.31496954,0.173837772041,0.140790861382,0.0119308554868,0.00167975542101,0,0,23.2853857858,19.3648778521,196.417593242,0,0.0332604379757,0,0.000396825478915,100607
-75.1729853127,41.477361937,-362.931722706,116.804406627,1124.58272829,0.164067261867,0.150180748167,0.0112602846232,0.00169107796928,0,0,647.129832775,44.2034901524,197.845071476,0,0.0511465552517,0,0.00057592476963,100296
-79.5889140431,40.6024169556,-503.115717496,105.133842232,1123.04628579,0.179040046933,0.138220770375,0.0122878986611,0.00169844281922,0,0,331.948407165,20.0792549126,196.344137578,0,0.041747809519,0,0.000512992852691,101096
