Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate,Observed_Normalized_Respiration_Rate,Predicted_Normalized_Respiration_Rate,Observed_RR_percent_error
CM_001-1,-117.180494,46.732215,8.66,6.5,10.25,87.93,-41.53,-117.180494,46.732215,-186.8337658597001,115.08216276297964,1119.107863247646,2.626553877700049,0.1923888088048244,0.1774319873661073,0.0341359286932379,1.6183619311098782,2.271455367618628,-41.53,-186.8337658597001,349.87663342090076
CM_001-2,-117.180494,46.732215,8.66,6.5,10.25,87.93,-47.82,-117.180494,46.732215,-186.8337658597001,115.08216276297964,1119.107863247646,2.626553877700049,0.1923888088048244,0.1774319873661073,0.0341359286932379,1.679609571779756,2.271455367618628,-47.82,-186.8337658597001,290.70214525240505
CM_001-3,-117.180494,46.732215,8.66,6.5,10.25,87.93,-42.31,-117.180494,46.732215,-186.8337658597001,115.08216276297964,1119.107863247646,2.626553877700049,0.1923888088048244,0.1774319873661073,0.0341359286932379,1.6264430253312947,2.271455367618628,-42.31,-186.8337658597001,341.5829965958404
CM_002-1,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-83.28,-77.388447,38.7819267,-220.88283728995705,113.07122727406237,1118.8968825250292,0.6075598805523991,0.1884325348236516,0.0410425835790289,0.0077337580595079,1.9205407165024797,2.344161972277792,-83.28,-220.88283728995705,165.22915140484756
CM_002-2,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-173.76,-77.388447,38.7819267,-220.88283728995705,113.07122727406237,1118.8968825250292,0.6075598805523991,0.1884325348236516,0.0410425835790289,0.0077337580595079,2.239949807908753,2.344161972277792,-173.76,-220.88283728995705,27.119496598732194
CM_003-1,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-6.67,-77.1803039,40.1046605,-91.88371186907324,119.7971096086106,1119.6010425853678,0.3947936997116718,0.1997276708118344,0.0266695579078693,0.00532664868252,0.8241258339165489,1.963238531273689,-6.67,-91.88371186907324,1277.5668945888042
CM_003-2,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-8.08,-77.1803039,40.1046605,-91.88371186907324,119.7971096086106,1119.6010425853678,0.3947936997116718,0.1997276708118344,0.0266695579078693,0.00532664868252,0.9074113607745862,1.963238531273689,-8.08,-91.88371186907324,1037.1746518449659
CM_003-3,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-9.91,-77.1803039,40.1046605,-91.88371186907324,119.7971096086106,1119.6010425853678,0.3947936997116718,0.1997276708118344,0.0266695579078693,0.00532664868252,0.9960736544852753,1.963238531273689,-9.91,-91.88371186907324,827.1817544810621
CM_004-1,-73.19778,42.72306,14.89,6.5,11.31,111.85,-7.22,-73.19778,42.72306,-89.3235174059587,119.9232605070586,1119.614543195597,0.6004432142151617,0.1999432141735035,0.040561830352393,0.0081100627334177,0.8585371975696391,1.9509658165033092,-7.22,-89.3235174059587,1137.1678311074613
CM_004-2,-73.19778,42.72306,14.89,6.5,11.31,111.85,-17.87,-73.19778,42.72306,-89.3235174059587,119.9232605070586,1119.614543195597,0.6004432142151617,0.1999432141735035,0.040561830352393,0.0081100627334177,1.2521245525056444,1.9509658165033092,-17.87,-89.3235174059587,399.8518041743631
CM_004-3,-73.19778,42.72306,14.89,6.5,11.31,111.85,-9.84,-73.19778,42.72306,-89.3235174059587,119.9232605070586,1119.614543195597,0.6004432142151617,0.1999432141735035,0.040561830352393,0.0081100627334177,0.9929950984313415,1.9509658165033092,-9.84,-89.3235174059587,807.7593232312875
CM_006-1,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-3657.26,-119.8217832,38.9745676,-2546.816520605528,310.050066267548,1156.997007688112,5.320673211009644,0.5143724281244972,0.3594282340713742,0.1848799734957928,3.5631558360699276,3.4059976583680833,-3657.26,-2546.816520605528,30.36271633393503
CM_006-2,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-2199.18,-119.8217832,38.9745676,-2546.816520605528,310.050066267548,1156.997007688112,5.320673211009644,0.5143724281244972,0.3594282340713742,0.1848799734957928,3.3422607772495927,3.4059976583680833,-2199.18,-2546.816520605528,15.807551933244572
CM_006-3,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-2196.81,-119.8217832,38.9745676,-2546.816520605528,310.050066267548,1156.997007688112,5.320673211009644,0.5143724281244972,0.3594282340713742,0.1848799734957928,3.3417924968295583,3.4059976583680833,-2196.81,-2546.816520605528,15.932489409895615
CM_007-1,-121.580361,39.007299,13.15,6.5,10.53,100.23,-2.13,-121.580361,39.007299,-90.7375077168866,119.86549212320848,1119.607742370365,4.949494689539483,0.1994746792687503,0.3343539558350817,0.0666951481024408,0.3283796034387377,1.9577868463464816,-2.13,-90.7375077168866,4159.976888116742
CM_007-2,-121.580361,39.007299,13.15,6.5,10.53,100.23,-1.78,-121.580361,39.007299,-90.7375077168866,119.86549212320848,1119.607742370365,4.949494689539483,0.1994746792687503,0.3343539558350817,0.0666951481024408,0.250420002308894,1.9577868463464816,-1.78,-90.7375077168866,4997.612793083517
CM_007-3,-121.580361,39.007299,13.15,6.5,10.53,100.23,-6.94,-121.580361,39.007299,-90.7375077168866,119.86549212320848,1119.607742370365,4.949494689539483,0.1994746792687503,0.3343539558350817,0.0666951481024408,0.8413594704548549,1.9577868463464816,-6.94,-90.7375077168866,1207.4568835286254
CM_008-1,-117.611779,33.94849,29.98,9.5,18.88,249.65,-2719.07,-117.611779,33.94849,-3044.877394341472,378.8272812392483,1178.0999701564035,4.121118891027834,0.5996224529833922,0.2783945614880631,0.1669316298567082,3.434420388250395,3.483569809930155,-2719.07,-3044.877394341472,11.982309919989996
CM_008-2,-117.611779,33.94849,29.98,9.5,18.88,249.65,-3664.98,-117.611779,33.94849,-3044.877394341472,378.8272812392483,1178.0999701564035,4.121118891027834,0.5996224529833922,0.2783945614880631,0.1669316298567082,3.564071609014435,3.483569809930155,-3664.98,-3044.877394341472,16.91967229448804
