Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate,Observed_Normalized_Respiration_Rate,Predicted_Normalized_Respiration_Rate,Observed_RR_percent_error
CM_006-1,-119.8217832,38.9745676,17.8,7.5,7.75,,-3657.26,-119.8217832,38.9745676,-2442.445987417143,295.0331219202779,1241.6162973221928,6.579246352235103,0.3500871732276783,0.4447833895783636,0.1557129595561145,3.5631558360699276,3.3878249684497437,-3657.26,-2442.445987417143,33.21650669033257
CM_006-2,-119.8217832,38.9745676,17.8,7.5,7.75,,-2199.18,-119.8217832,38.9745676,-2442.445987417143,295.0331219202779,1241.6162973221928,6.579246352235103,0.3500871732276783,0.4447833895783636,0.1557129595561145,3.3422607772495927,3.3878249684497437,-2199.18,-2442.445987417143,11.061667867893632
CM_006-3,-119.8217832,38.9745676,17.8,7.5,7.75,,-2196.81,-119.8217832,38.9745676,-2442.445987417143,295.0331219202779,1241.6162973221928,6.579246352235103,0.3500871732276783,0.4447833895783636,0.1557129595561145,3.3417924968295583,3.3878249684497437,-2196.81,-2442.445987417143,11.181485309022767
CM_008-1,-117.611779,33.94849,29.98,9.5,19.48,,-2719.07,-117.611779,33.94849,-3184.4700566328925,386.7657718396836,1268.0691804312592,5.541454444137898,0.4343193048052781,0.3746245023976671,0.1627066534443779,3.434420388250395,3.5030371695978006,-2719.07,-3184.4700566328925,17.116148412247288
CM_008-2,-117.611779,33.94849,29.98,9.5,19.48,,-3664.98,-117.611779,33.94849,-3184.4700566328925,386.7657718396836,1268.0691804312592,5.541454444137898,0.4343193048052781,0.3746245023976671,0.1627066534443779,3.564071609014435,3.5030371695978006,-3664.98,-3184.4700566328925,13.110847627193259
CM_008-3,-117.611779,33.94849,29.98,9.5,19.48,,-2756.74,-117.611779,33.94849,-3184.4700566328925,386.7657718396836,1268.0691804312592,5.541454444137898,0.4343193048052781,0.3746245023976671,0.1627066534443779,3.440395807857696,3.5030371695978006,-2756.74,-3184.4700566328925,15.51579244444136
CM_016-1,-83.96496,43.40991,26.1,7.2,11.71,,-3860.77,-83.96496,43.40991,-3717.499078587085,451.40222699136285,1288.2614004721988,4.699699736629265,0.5191919895278696,0.3177185146971087,0.1649569077554315,3.5866739299052934,3.5702508695505233,-3860.77,-3717.499078587085,3.71094163632941
CM_016-2,-83.96496,43.40991,26.1,7.2,11.71,,-3462.55,-83.96496,43.40991,-3717.499078587085,451.40222699136285,1288.2614004721988,4.699699736629265,0.5191919895278696,0.3177185146971087,0.1649569077554315,3.5393960534276854,3.5702508695505233,-3462.55,-3717.499078587085,7.363043958559006
CM_016-3,-83.96496,43.40991,26.1,7.2,11.71,,-3840.88,-83.96496,43.40991,-3717.499078587085,451.40222699136285,1288.2614004721988,4.699699736629265,0.5191919895278696,0.3177185146971087,0.1649569077554315,3.584430738784042,3.5702508695505233,-3840.88,-3717.499078587085,3.212308674390116
CM_023-1,-123.27687,44.55596,19.14,6.25,8.57,,-2228.76,-123.27687,44.55596,-2284.4279991085123,286.6014419880132,1239.38690022296,3.127827962653716,0.3244158181098256,0.2114536907064571,0.0685989220628772,3.3480633047801924,3.3587774744588548,-2228.76,-2284.4279991085123,2.497711692084928
CM_023-2,-123.27687,44.55596,19.14,6.25,8.57,,-2718.25,-123.27687,44.55596,-2284.4279991085123,286.6014419880132,1239.38690022296,3.127827962653716,0.3244158181098256,0.2114536907064571,0.0685989220628772,3.4342893967038757,3.3587774744588548,-2718.25,-2284.4279991085123,15.959606397185238
CM_023-3,-123.27687,44.55596,19.14,6.25,8.57,,-2289.87,-123.27687,44.55596,-2284.4279991085123,286.6014419880132,1239.38690022296,3.127827962653716,0.3244158181098256,0.2114536907064571,0.0685989220628772,3.3598108273681695,3.3587774744588548,-2289.87,-2284.4279991085123,0.23765545168448968
CM_027-1,-95.28318,29.33381,32.93,7.5,11.14,,-3293.85,-95.28318,29.33381,-2563.097595316149,310.9487714746456,1245.4693183590755,4.052259895674549,0.3659457453401895,0.2739489898015885,0.1002504672581342,3.517703817767683,3.4087651431722668,-3293.85,-2563.097595316149,22.185357702501655
CM_027-2,-95.28318,29.33381,32.93,7.5,11.14,,-2717.18,-95.28318,29.33381,-2563.097595316149,310.9487714746456,1245.4693183590755,4.052259895674549,0.3659457453401895,0.2739489898015885,0.1002504672581342,3.434118409274495,3.4087651431722668,-2717.18,-2563.097595316149,5.670673443932705
CM_027-3,-95.28318,29.33381,32.93,7.5,11.14,,-1941.4,-95.28318,29.33381,-2563.097595316149,310.9487714746456,1245.4693183590755,4.052259895674549,0.3659457453401895,0.2739489898015885,0.1002504672581342,3.288115025288103,3.4087651431722668,-1941.4,-2563.097595316149,32.02315830411811
CM_032-1,-96.798,46.804,15.02,7.6,9.44,,-4001.81,-96.798,46.804,-4010.904325845085,495.404269503097,1304.5387552653797,5.527915948527638,0.5644411826999113,0.3737092459009594,0.2109368887422295,3.602256465132177,3.6032423026565152,-4001.81,-4010.904325845085,0.22725531309795377
CM_032-2,-96.798,46.804,15.02,7.6,9.44,,-3971.85,-96.798,46.804,-4010.904325845085,495.404269503097,1304.5387552653797,5.527915948527638,0.5644411826999113,0.3737092459009594,0.2109368887422295,3.5989928386646377,3.6032423026565152,-3971.85,-4010.904325845085,0.9832779648044427
CM_032-3,-96.798,46.804,15.02,7.6,9.44,,-4007.87,-96.798,46.804,-4010.904325845085,495.404269503097,1304.5387552653797,5.527915948527638,0.5644411826999113,0.3737092459009594,0.2109368887422295,3.6029136262328714,3.6032423026565152,-4007.87,-4010.904325845085,0.07570918829915335
CM_034-1,-84.37418,46.49794,20.7,6.5,6.26,,-1542.53,-84.37418,46.49794,-1853.8851629582896,254.17081859974337,1232.028101739869,5.086423084040138,0.2968080892966632,0.3438625610029694,0.1020611897119485,3.1882336191932925,3.2680828287091415,-1542.53,-1853.8851629582896,20.18470713427224
CM_034-2,-84.37418,46.49794,20.7,6.5,6.26,,-1776.15,-84.37418,46.49794,-1853.8851629582896,254.17081859974337,1232.028101739869,5.086423084040138,0.2968080892966632,0.3438625610029694,0.1020611897119485,3.249479640170859,3.2680828287091415,-1776.15,-1853.8851629582896,4.376610250164091
CM_034-3,-84.37418,46.49794,20.7,6.5,6.26,,-1842.39,-84.37418,46.49794,-1853.8851629582896,254.17081859974337,1232.028101739869,5.086423084040138,0.2968080892966632,0.3438625610029694,0.1020611897119485,3.265381567728317,3.2680828287091415,-1842.39,-1853.8851629582896,0.6239266907815112
CM_040-1,-91.191226,30.438365,22.7,7.75,8.48,,-3601.52,-91.191226,30.438365,-3472.0386853759555,419.04386251731,1277.0263107442297,8.204344469463972,0.4870514483686948,0.5546465274334949,0.2701413945191507,3.556485830848241,3.540584555430638,-3601.52,-3472.0386853759555,3.5951852169096505
CM_040-2,-91.191226,30.438365,22.7,7.75,8.48,,-3105.59,-91.191226,30.438365,-3472.0386853759555,419.04386251731,1277.0263107442297,8.204344469463972,0.4870514483686948,0.5546465274334949,0.2701413945191507,3.4921441196182794,3.540584555430638,-3105.59,-3472.0386853759555,11.799647905098722
CM_040-3,-91.191226,30.438365,22.7,7.75,8.48,,-3855.6,-91.191226,30.438365,-3472.0386853759555,419.04386251731,1277.0263107442297,8.204344469463972,0.4870514483686948,0.5546465274334949,0.2701413945191507,3.586091971599143,3.540584555430638,-3855.6,-3472.0386853759555,9.94816149559198
CM_050-1,-121.92941,45.79232,5.17,6.5,12.3,,-10.54,-121.92941,45.79232,-33.334853855012945,337.7972763098487,1252.1671345625523,4.502250896330086,0.3905640149729948,0.3043701827218589,0.1188760406019132,1.0228406108765278,1.5228985554537662,-10.54,-33.334853855012945,216.26996067374714
CM_050-2,-121.92941,45.79232,5.17,6.5,12.3,,-12.27,-121.92941,45.79232,-33.334853855012945,337.7972763098487,1252.1671345625523,4.502250896330086,0.3905640149729948,0.3043701827218589,0.1188760406019132,1.0888445627270043,1.5228985554537662,-12.27,-33.334853855012945,171.67770052985284
CM_050-3,-121.92941,45.79232,5.17,6.5,12.3,,-7.84,-121.92941,45.79232,-33.334853855012945,337.7972763098487,1252.1671345625523,4.502250896330086,0.3905640149729948,0.3043701827218589,0.1188760406019132,0.8943160626844384,1.5228985554537662,-7.84,-33.334853855012945,325.18946243638965
CM_051-1,-121.928947,45.792427,5.05,6.5,12.44,,-1.94,-121.928947,45.792427,-29.542634475478376,338.2157493233033,1252.278912662627,4.500914168327506,0.3910870999287671,0.3042798145580752,0.1189999102423806,0.287801729930226,1.470449221075693,-1.94,-29.542634475478376,1422.816210076205
CM_051-2,-121.928947,45.792427,5.05,6.5,12.44,,-2.15,-121.928947,45.792427,-29.542634475478376,338.2157493233033,1252.278912662627,4.500914168327506,0.3910870999287671,0.3042798145580752,0.1189999102423806,0.33243845991560533,1.470449221075693,-2.15,-29.542634475478376,1274.0760221152734
CM_051-3,-121.928947,45.792427,5.05,6.5,12.44,,-3.19,-121.928947,45.792427,-29.542634475478376,338.2157493233033,1252.278912662627,4.500914168327506,0.3910870999287671,0.3042798145580752,0.1189999102423806,0.5037906830571811,1.470449221075693,-3.19,-29.542634475478376,826.101394215623
CM_052-1,-121.92897,45.792488,4.67,6.5,12.28,,-5.6,-121.92897,45.792488,-31.32535877419955,338.01554664704423,1252.2246999146373,4.496734609648303,0.3908415959888129,0.3039972596609408,0.1188147741421076,0.7481880270062004,1.4958960537368287,-5.6,-31.32535877419955,459.38140668213487
