Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate,Observed_Normalized_Respiration_Rate,Predicted_Normalized_Respiration_Rate,Observed_RR_percent_error,Sample_Longitude,Sample_Latitude,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std
CM_002-1,-77.388447,38.7819267,19.95,6.5,9.58,,-83.28,-77.388447,38.7819267,-123.345000415348,8011.115405544806,8347.203501181151,0.3986064385132643,0.2804945645347939,0.0274997285002919,0.0077135243705143,1.9205407165024797,2.0911215507772716,-83.28,-123.345000415348,48.10879012409702,0.0,0.0,51.39842776509447,24764.99351368359,24649.09189274157,0.0,0.2972852018647134,0.0,0.008175262338434
CM_002-2,-77.388447,38.7819267,19.95,6.5,9.58,,-173.76,-77.388447,38.7819267,-123.345000415348,8011.115405544806,8347.203501181151,0.3986064385132643,0.2804945645347939,0.0274997285002919,0.0077135243705143,2.239949807908753,2.0911215507772716,-173.76,-123.345000415348,29.01415721952808,0.0,0.0,51.39842776509447,24764.99351368359,24649.09189274157,0.0,0.2972852018647134,0.0,0.008175262338434
CM_003-1,-77.1803039,40.1046605,14.93,6.5,9.58,,-6.67,-77.1803039,40.1046605,-73.53575387849435,8017.494465346735,8355.273329030215,0.6872603633285478,0.2417643636302631,0.0474138688553023,0.0114629838310508,0.8241258339165489,1.8664985491066988,-6.67,-73.53575387849435,1002.485065644593,0.0,0.0,32.057164084219,24797.98363242377,24681.50452424788,0.0,0.2953799240105308,0.0,0.0140051049795244
CM_003-2,-77.1803039,40.1046605,14.93,6.5,9.58,,-8.08,-77.1803039,40.1046605,-73.53575387849435,8017.494465346735,8355.273329030215,0.6872603633285478,0.2417643636302631,0.0474138688553023,0.0114629838310508,0.9074113607745862,1.8664985491066988,-8.08,-73.53575387849435,810.0959638427519,0.0,0.0,32.057164084219,24797.98363242377,24681.50452424788,0.0,0.2953799240105308,0.0,0.0140051049795244
CM_003-3,-77.1803039,40.1046605,14.93,6.5,9.58,,-9.91,-77.1803039,40.1046605,-73.53575387849435,8017.494465346735,8355.273329030215,0.6872603633285478,0.2417643636302631,0.0474138688553023,0.0114629838310508,0.9960736544852753,1.8664985491066988,-9.91,-73.53575387849435,642.0358615387927,0.0,0.0,32.057164084219,24797.98363242377,24681.50452424788,0.0,0.2953799240105308,0.0,0.0140051049795244
CM_004-1,-73.19778,42.72306,14.89,6.5,11.49,,-7.22,-73.19778,42.72306,-76.22875124833429,8016.473268795734,8356.480194460128,0.5670417364300628,0.2387121898139338,0.0391200249005559,0.0093384268095872,0.8585371975696391,1.882118805374128,-7.22,-76.22875124833429,955.7998787857935,0.0,0.0,30.94142292632497,24805.73631904336,24688.47149399058,0.0,0.291578308713131,0.0,0.0114065506973196
CM_004-2,-73.19778,42.72306,14.89,6.5,11.49,,-17.87,-73.19778,42.72306,-76.22875124833429,8016.473268795734,8356.480194460128,0.5670417364300628,0.2387121898139338,0.0391200249005559,0.0093384268095872,1.2521245525056444,1.882118805374128,-17.87,-76.22875124833429,326.5738738015349,0.0,0.0,30.94142292632497,24805.73631904336,24688.47149399058,0.0,0.291578308713131,0.0,0.0114065506973196
CM_004-3,-73.19778,42.72306,14.89,6.5,11.49,,-9.84,-73.19778,42.72306,-76.22875124833429,8016.473268795734,8356.480194460128,0.5670417364300628,0.2387121898139338,0.0391200249005559,0.0093384268095872,0.9929950984313415,1.882118805374128,-9.84,-76.22875124833429,674.6824313855111,0.0,0.0,30.94142292632497,24805.73631904336,24688.47149399058,0.0,0.291578308713131,0.0,0.0114065506973196
CM_011-1,-73.506215,42.505483,24.95,6.5,8.76,,-93.9,-73.506215,42.505483,-141.30277301824952,8043.822391641513,8367.539342419554,0.479480449993156,0.3250870960998566,0.0330792002386855,0.0107536211468999,1.972665592266111,2.150150684811806,-93.9,-141.30277301824952,50.48218638791215,0.0,0.0,56.54765359096706,24802.62469140039,24691.067151195268,0.0,0.3033721322380757,0.0,0.0100353075091403
CM_011-2,-73.506215,42.505483,24.95,6.5,8.76,,-82.29,-73.506215,42.505483,-141.30277301824952,8043.822391641513,8367.539342419554,0.479480449993156,0.3250870960998566,0.0330792002386855,0.0107536211468999,1.915347062324192,2.150150684811806,-82.29,-141.30277301824952,71.7131765928418,0.0,0.0,56.54765359096706,24802.62469140039,24691.067151195268,0.0,0.3033721322380757,0.0,0.0100353075091403
CM_011-3,-73.506215,42.505483,24.95,6.5,8.76,,-105.08,-73.506215,42.505483,-141.30277301824952,8043.822391641513,8367.539342419554,0.479480449993156,0.3250870960998566,0.0330792002386855,0.0107536211468999,2.0215200641140325,2.150150684811806,-105.08,-141.30277301824952,34.47161497739772,0.0,0.0,56.54765359096706,24802.62469140039,24691.067151195268,0.0,0.3033721322380757,0.0,0.0100353075091403
CM_024-1,-84.41527,33.68401,23.66,6.0,7.5,,-4.93,-84.41527,33.68401,-54.07217088430826,8019.340546087175,8343.99108974169,0.9399502990706472,0.2476540574591424,0.0648468653055909,0.016059589306436,0.69284691927723,1.7329738059386706,-4.93,-54.07217088430826,996.798598058991,0.0,0.0,36.49848781306783,24732.221032186186,24620.350612803788,0.0,0.2993346977439431,0.0,0.0194109168258912
CM_024-2,-84.41527,33.68401,23.66,6.0,7.5,,-5.02,-84.41527,33.68401,-54.07217088430826,8019.340546087175,8343.99108974169,0.9399502990706472,0.2476540574591424,0.0648468653055909,0.016059589306436,0.7007037171450193,1.7329738059386706,-5.02,-54.07217088430826,977.1348781734712,0.0,0.0,36.49848781306783,24732.221032186186,24620.350612803788,0.0,0.2993346977439431,0.0,0.0194109168258912
CM_024-3,-84.41527,33.68401,23.66,6.0,7.5,,-5.3,-84.41527,33.68401,-54.07217088430826,8019.340546087175,8343.99108974169,0.9399502990706472,0.2476540574591424,0.0648468653055909,0.016059589306436,0.724275869600789,1.7329738059386706,-5.3,-54.07217088430826,920.229639326571,0.0,0.0,36.49848781306783,24732.221032186186,24620.350612803788,0.0,0.2993346977439431,0.0,0.0194109168258912
CM_037-1,-72.8972,41.3825,10.8,6.5,10.33,,-6.16,-72.8972,41.3825,-61.81463163957873,8030.330204045058,8361.214013216257,0.4826262661120649,0.2441128020005033,0.0332962290691894,0.0081280357741303,0.7895807121644255,1.7910912855777625,-6.16,-61.81463163957873,903.484279863291,0.0,0.0,34.02644260712355,24803.531234157064,24689.478862224725,0.0,0.2973763411627631,0.0,0.0099015107751127
CM_037-2,-72.8972,41.3825,10.8,6.5,10.33,,-6.7,-72.8972,41.3825,-61.81463163957873,8030.330204045058,8361.214013216257,0.4826262661120649,0.2441128020005033,0.0332962290691894,0.0081280357741303,0.8260748027008264,1.7910912855777625,-6.7,-61.81463163957873,822.606442381772,0.0,0.0,34.02644260712355,24803.531234157064,24689.478862224725,0.0,0.2973763411627631,0.0,0.0099015107751127
CM_037-3,-72.8972,41.3825,10.8,6.5,10.33,,-8.2,-72.8972,41.3825,-61.81463163957873,8030.330204045058,8361.214013216257,0.4826262661120649,0.2441128020005033,0.0332962290691894,0.0081280357741303,0.9138138523837167,1.7910912855777625,-8.2,-61.81463163957873,653.8369712143749,0.0,0.0,34.02644260712355,24803.531234157064,24689.478862224725,0.0,0.2973763411627631,0.0,0.0099015107751127
CM_042-1,-80.5627036,37.0421794,14.49,6.0,10.26,,-11.88,-80.5627036,37.0421794,-74.072161446891,8004.859883444365,8340.547535305932,0.6992542557087102,0.2464015313204096,0.0482413235882122,0.0118867360050588,1.0748164406451748,1.8696550176738942,-11.88,-74.072161446891,523.5030424822475,0.0,0.0,33.079027868112725,24748.06255676169,24632.326766979488,0.0,0.2926855747978634,0.0,0.0141195395234256
CM_042-2,-80.5627036,37.0421794,14.49,6.0,10.26,,-8.82,-80.5627036,37.0421794,-74.072161446891,8004.859883444365,8340.547535305932,0.6992542557087102,0.2464015313204096,0.0482413235882122,0.0118867360050588,0.9454685851318197,1.8696550176738942,-8.82,-74.072161446891,739.8204245679251,0.0,0.0,33.079027868112725,24748.06255676169,24632.326766979488,0.0,0.2926855747978634,0.0,0.0141195395234256
CM_042-3,-80.5627036,37.0421794,14.49,6.0,10.26,,-8.79,-80.5627036,37.0421794,-74.072161446891,8004.859883444365,8340.547535305932,0.6992542557087102,0.2464015313204096,0.0482413235882122,0.0118867360050588,0.9439888750737718,1.8696550176738942,-8.79,-74.072161446891,742.6867058804437,0.0,0.0,33.079027868112725,24748.06255676169,24632.326766979488,0.0,0.2926855747978634,0.0,0.0141195395234256
CM_056-1,-87.40916,32.96328,13.94,6.5,9.47,,-1.16,-87.40916,32.96328,-42.75066730764017,8032.283892595942,8348.506570716225,0.8488133148453227,0.256999581057518,0.058559354416706,0.0150497295520921,0.06445798922691845,1.6309428981463903,-1.16,-42.75066730764017,3585.402354106912,0.0,0.0,40.26640259666911,24724.46369514412,24615.54608133316,0.0,0.3097495955985216,0.0,0.0181387363490851
CM_056-2,-87.40916,32.96328,13.94,6.5,9.47,,-1.58,-87.40916,32.96328,-42.75066730764017,8032.283892595942,8348.506570716225,0.8488133148453227,0.256999581057518,0.058559354416706,0.0150497295520921,0.19865708695442263,1.6309428981463903,-1.58,-42.75066730764017,2605.738437192416,0.0,0.0,40.26640259666911,24724.46369514412,24615.54608133316,0.0,0.3097495955985216,0.0,0.0181387363490851
CM_056-3,-87.40916,32.96328,13.94,6.5,9.47,,-1.65,-87.40916,32.96328,-42.75066730764017,8032.283892595942,8348.506570716225,0.8488133148453227,0.256999581057518,0.058559354416706,0.0150497295520921,0.21748394421390627,1.6309428981463903,-1.65,-42.75066730764017,2490.9495337963745,0.0,0.0,40.26640259666911,24724.46369514412,24615.54608133316,0.0,0.3097495955985216,0.0,0.0181387363490851
CM_062-1,-71.23459,43.08808,7.34,6.0,10.84,,-3.04,-71.23459,43.08808,-49.41477108601923,8042.019752440338,8363.425493507766,0.787379887090017,0.2529948193458065,0.0543210822241784,0.0137429523839746,0.48287358360875376,1.6938567878359299,-3.04,-49.41477108601923,1525.4858909874747,0.0,0.0,38.53854969244334,24784.84374041717,24674.102661589463,0.0,0.3061593963960833,0.0,0.0166309097453364
CM_062-2,-71.23459,43.08808,7.34,6.0,10.84,,-3.3,-71.23459,43.08808,-49.41477108601923,8042.019752440338,8363.425493507766,0.787379887090017,0.2529948193458065,0.0543210822241784,0.0137429523839746,0.5185139398778875,1.6938567878359299,-3.3,-49.41477108601923,1397.4173056369464,0.0,0.0,38.53854969244334,24784.84374041717,24674.102661589463,0.0,0.3061593963960833,0.0,0.0166309097453364
