Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate,Observed_Normalized_Respiration_Rate,Predicted_Normalized_Respiration_Rate,Observed_RR_percent_error
CM_001-1,-117.180494,46.732215,8.66,6.5,10.42,,-41.53,-117.180494,46.732215,-142.66901440576643,80.80292503207119,648.8531067587026,2.647760586989923,0.0937304315450705,0.1791727783845025,0.0167939418391086,1.6183619311098782,2.1543296610347245,-41.53,-142.66901440576643,243.5324209144388
CM_001-2,-117.180494,46.732215,8.66,6.5,10.42,,-47.82,-117.180494,46.732215,-142.66901440576643,80.80292503207119,648.8531067587026,2.647760586989923,0.0937304315450705,0.1791727783845025,0.0167939418391086,1.679609571779756,2.1543296610347245,-47.82,-142.66901440576643,198.34591050975834
CM_001-3,-117.180494,46.732215,8.66,6.5,10.42,,-42.31,-117.180494,46.732215,-142.66901440576643,80.80292503207119,648.8531067587026,2.647760586989923,0.0937304315450705,0.1791727783845025,0.0167939418391086,1.6264430253312947,2.1543296610347245,-42.31,-142.66901440576643,237.1992777257538
CM_002-1,-77.388447,38.7819267,19.95,6.5,9.58,,-83.28,-77.388447,38.7819267,-144.12083090973402,81.7762189869936,649.0243067279092,0.4388220848135445,0.0935529817133913,0.0296948948250289,0.0027780459525469,1.9205407165024797,2.158726757325581,-83.28,-144.12083090973402,73.05575277345584
CM_002-2,-77.388447,38.7819267,19.95,6.5,9.58,,-173.76,-77.388447,38.7819267,-144.12083090973402,81.7762189869936,649.0243067279092,0.4388220848135445,0.0935529817133913,0.0296948948250289,0.0027780459525469,2.239949807908753,2.158726757325581,-173.76,-144.12083090973402,17.05753285581605
CM_003-1,-77.1803039,40.1046605,14.93,6.5,9.58,,-6.67,-77.1803039,40.1046605,-49.56171679681608,78.83600973391422,648.5856908333526,0.5985475781610213,0.0907395552206708,0.0405034477442478,0.0036752648332167,0.8241258339165489,1.6951463417409522,-6.67,-49.56171679681608,643.0542248398212
CM_003-2,-77.1803039,40.1046605,14.93,6.5,9.58,,-8.08,-77.1803039,40.1046605,-49.56171679681608,78.83600973391422,648.5856908333526,0.5985475781610213,0.0907395552206708,0.0405034477442478,0.0036752648332167,0.9074113607745862,1.6951463417409522,-8.08,-49.56171679681608,513.387584119011
CM_003-3,-77.1803039,40.1046605,14.93,6.5,9.58,,-9.91,-77.1803039,40.1046605,-49.56171679681608,78.83600973391422,648.5856908333526,0.5985475781610213,0.0907395552206708,0.0405034477442478,0.0036752648332167,0.9960736544852753,1.6951463417409522,-9.91,-49.56171679681608,400.11823205667076
CM_004-1,-73.19778,42.72306,14.89,6.5,11.49,,-7.22,-73.19778,42.72306,-53.79816500517136,78.45190913546574,648.5383725595983,0.5878344530800875,0.0905166328338174,0.0397784953466016,0.00360061545797,0.8585371975696391,1.7307674626232776,-7.22,-53.79816500517136,645.1269391297974
CM_004-2,-73.19778,42.72306,14.89,6.5,11.49,,-17.87,-73.19778,42.72306,-53.79816500517136,78.45190913546574,648.5383725595983,0.5878344530800875,0.0905166328338174,0.0397784953466016,0.00360061545797,1.2521245525056444,1.7307674626232776,-17.87,-53.79816500517136,201.0529658935163
CM_004-3,-73.19778,42.72306,14.89,6.5,11.49,,-9.84,-73.19778,42.72306,-53.79816500517136,78.45190913546574,648.5383725595983,0.5878344530800875,0.0905166328338174,0.0397784953466016,0.00360061545797,0.9929950984313415,1.7307674626232776,-9.84,-53.79816500517136,446.72931915824563
CM_005-1,-122.58061,48.81862,5.31,6.3,11.39,,-1.16,-122.58061,48.81862,-38.28887745323245,79.99235288263688,648.7284169657302,2.483670554856669,0.0924787938311363,0.1680688790716342,0.0155428072170958,0.06445798922691845,1.583072633962908,-1.16,-38.28887745323245,3200.7652976924533
CM_005-2,-122.58061,48.81862,5.31,6.3,11.39,,-1.8,-122.58061,48.81862,-38.28887745323245,79.99235288263688,648.7284169657302,2.483670554856669,0.0924787938311363,0.1680688790716342,0.0155428072170958,0.25527250510330607,1.583072633962908,-1.8,-38.28887745323245,2027.159858512914
CM_005-3,-122.58061,48.81862,5.31,6.3,11.39,,-2.56,-122.58061,48.81862,-38.28887745323245,79.99235288263688,648.7284169657302,2.483670554856669,0.0924787938311363,0.1680688790716342,0.0155428072170958,0.4082399653118496,1.583072633962908,-2.56,-38.28887745323245,1395.6592755168924
CM_011-1,-73.506215,42.505483,24.95,6.5,8.76,,-93.9,-73.506215,42.505483,-143.88377941674833,82.16795813512636,649.1660927060735,0.5804996515722717,0.0957903171785045,0.0392821525988805,0.0037628498569011,1.972665592266111,2.1580118369743944,-93.9,-143.88377941674833,53.230861998667
CM_011-2,-73.506215,42.505483,24.95,6.5,8.76,,-82.29,-73.506215,42.505483,-143.88377941674833,82.16795813512636,649.1660927060735,0.5804996515722717,0.0957903171785045,0.0392821525988805,0.0037628498569011,1.915347062324192,2.1580118369743944,-82.29,-143.88377941674833,74.84965295509578
CM_011-3,-73.506215,42.505483,24.95,6.5,8.76,,-105.08,-73.506215,42.505483,-143.88377941674833,82.16795813512636,649.1660927060735,0.5804996515722717,0.0957903171785045,0.0392821525988805,0.0037628498569011,2.0215200641140325,2.1580118369743944,-105.08,-143.88377941674833,36.92784489603
CM_012-1,-73.33724,42.763802,22.49,6.5,10.4,,-38.69,-73.33724,42.763802,-94.633506193414,77.38145000906181,648.4104288438928,1.0431655886762794,0.0903113964985463,0.0705905502773259,0.0063751311751461,1.5875987297212448,1.9760449311007768,-38.69,-94.633506193414,144.59422639807184
CM_012-2,-73.33724,42.763802,22.49,6.5,10.4,,-33.77,-73.33724,42.763802,-94.633506193414,77.38145000906181,648.4104288438928,1.0431655886762794,0.0903113964985463,0.0705905502773259,0.0063751311751461,1.5285310606354117,1.9760449311007768,-33.77,-94.633506193414,180.22951197339054
CM_012-3,-73.33724,42.763802,22.49,6.5,10.4,,-28.09,-73.33724,42.763802,-94.633506193414,77.38145000906181,648.4104288438928,1.0431655886762794,0.0903113964985463,0.0705905502773259,0.0063751311751461,1.448551739201578,1.9760449311007768,-28.09,-94.633506193414,236.8939344728159
CM_017-1,-110.5660089,45.597409,0.38,6.0,12.06,,-2.54,-110.5660089,45.597409,-36.46159833746969,81.04051884408177,648.8668689906845,1.3046700152324002,0.0928244239368003,0.0882864382273661,0.0081951377698871,0.40483371661993806,1.5618357025506815,-2.54,-36.46159833746969,1335.4959975381767
CM_017-2,-110.5660089,45.597409,0.38,6.0,12.06,,-2.85,-110.5660089,45.597409,-36.46159833746969,81.04051884408177,648.8668689906845,1.3046700152324002,0.0928244239368003,0.0882864382273661,0.0081951377698871,0.4548448600085102,1.5618357025506815,-2.85,-36.46159833746969,1179.3543276305152
CM_017-3,-110.5660089,45.597409,0.38,6.0,12.06,,-2.5,-110.5660089,45.597409,-36.46159833746969,81.04051884408177,648.8668689906845,1.3046700152324002,0.0928244239368003,0.0882864382273661,0.0081951377698871,0.3979400086720376,1.5618357025506815,-2.5,-36.46159833746969,1358.4639334987876
CM_020-1,-79.04489,33.82767,30.16,6.5,4.44,,-18.49,-79.04489,33.82767,-55.851943293278,79.28893648257184,648.6456855408226,2.1352305803106444,0.0906299503074452,0.1444901013504164,0.0130951307053059,1.266936911159173,1.7470382884071325,-18.49,-55.851943293278,202.06567492308278
CM_020-2,-79.04489,33.82767,30.16,6.5,4.44,,-21.45,-79.04489,33.82767,-55.851943293278,79.28893648257184,648.6456855408226,2.1352305803106444,0.0906299503074452,0.1444901013504164,0.0130951307053059,1.331427296520743,1.7470382884071325,-21.45,-55.851943293278,160.38202001528202
CM_020-3,-79.04489,33.82767,30.16,6.5,4.44,,-15.72,-79.04489,33.82767,-55.851943293278,79.28893648257184,648.6456855408226,2.1352305803106444,0.0906299503074452,0.1444901013504164,0.0130951307053059,1.196452541703389,1.7470382884071325,-15.72,-55.851943293278,255.29226013535623
CM_024-1,-84.41527,33.68401,23.66,6.0,7.5,,-4.93,-84.41527,33.68401,-46.64961347499936,79.24024654920848,648.6361059103846,1.0295088992944097,0.0915959432596268,0.0696664081958602,0.0063811603722099,0.69284691927723,1.6688480496608609,-4.93,-46.64961347499936,846.239624239338
CM_024-2,-84.41527,33.68401,23.66,6.0,7.5,,-5.02,-84.41527,33.68401,-46.64961347499936,79.24024654920848,648.6361059103846,1.0295088992944097,0.0915959432596268,0.0696664081958602,0.0063811603722099,0.7007037171450193,1.6688480496608609,-5.02,-46.64961347499936,829.2751688246884
CM_024-3,-84.41527,33.68401,23.66,6.0,7.5,,-5.3,-84.41527,33.68401,-46.64961347499936,79.24024654920848,648.6361059103846,1.0295088992944097,0.0915959432596268,0.0696664081958602,0.0063811603722099,0.724275869600789,1.6688480496608609,-5.3,-46.64961347499936,780.1813863207427
CM_037-1,-72.8972,41.3825,10.8,6.5,10.33,,-6.16,-72.8972,41.3825,-36.27692349344414,81.43387873205256,648.9216486312182,0.5393172050690188,0.0931120188657028,0.0364953548057131,0.00339815616518,0.7895807121644255,1.5596304491026574,-6.16,-36.27692349344414,488.91109567279443
CM_037-2,-72.8972,41.3825,10.8,6.5,10.33,,-6.7,-72.8972,41.3825,-36.27692349344414,81.43387873205256,648.9216486312182,0.5393172050690188,0.0931120188657028,0.0364953548057131,0.00339815616518,0.8260748027008264,1.5596304491026574,-6.7,-36.27692349344414,441.4466193051363
CM_037-3,-72.8972,41.3825,10.8,6.5,10.33,,-8.2,-72.8972,41.3825,-36.27692349344414,81.43387873205256,648.9216486312182,0.5393172050690188,0.0931120188657028,0.0364953548057131,0.00339815616518,0.9138138523837167,1.5596304491026574,-8.2,-36.27692349344414,342.40150601761144
CM_038-1,-72.20667,41.52361,10.06,6.0,6.74,,-4.09,-72.20667,41.52361,-27.44960566581227,83.67834194852799,649.2315640468771,1.030601426314139,0.0951294702260219,0.0697403390121685,0.0066343615036107,0.6117233080073418,1.4385361098647311,-4.09,-27.44960566581227,571.1395028315959
CM_038-2,-72.20667,41.52361,10.06,6.0,6.74,,-5.29,-72.20667,41.52361,-27.44960566581227,83.67834194852799,649.2315640468771,1.030601426314139,0.0951294702260219,0.0697403390121685,0.0066343615036107,0.7234556720351858,1.4385361098647311,-5.29,-27.44960566581227,418.89613734994845
CM_038-3,-72.20667,41.52361,10.06,6.0,6.74,,-5.01,-72.20667,41.52361,-27.44960566581227,83.67834194852799,649.2315640468771,1.030601426314139,0.0951294702260219,0.0697403390121685,0.0066343615036107,0.6998377258672457,1.4385361098647311,-5.01,-27.44960566581227,447.89632067489566
CM_041-1,-80.8599379,37.3724372,15.97,6.0,10.1,,-73.38,-80.8599379,37.3724372,-105.58638880190078,76.54604398424168,648.3104762764381,1.4976095453004987,0.0889570225893697,0.1013425702025767,0.0090151333067753,1.8655777074199291,2.0236079366710644,-73.38,-105.58638880190078,43.88987299250584
CM_041-2,-80.8599379,37.3724372,15.97,6.0,10.1,,-56.24,-80.8599379,37.3724372,-105.58638880190078,76.54604398424168,648.3104762764381,1.4976095453004987,0.0889570225893697,0.1013425702025767,0.0090151333067753,1.7500453120117676,2.0236079366710644,-56.24,-105.58638880190078,87.74251209441817
