Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error_pre_avg,predict.error_pre_avg,pca.dist_pre_avg,mean.error.scaled_pre_avg,pca.dist.scaled_pre_avg,combined.metric_pre_avg,Sample_Longitude_pre_std,Sample_Latitude_pre_std,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_std,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std,Sample_ID
-80.8980291924,38.4565012641,-68.2152755528,159.030530388,771.488983724,0.0844134732445,0.145633915702,0.00577952018335,0.000841694155177,0,0,71.6355682414,98.3741098286,468.145498033,0,0.064667168012,0,0.000373745202725,103479
-116.252103198,47.56928555,-55.9999683693,160.17668675,771.725869601,0.248775330169,0.146605805571,0.0170328501667,0.00249711471986,0,0,55.0474875447,98.9549308108,468.268244276,0,0.0649303408224,0,0.0011059487665,102712
-116.310181249,47.5646999937,-59.3309679101,160.181602125,771.72734115,0.249968916404,0.146663600649,0.0171145711939,0.00251008463486,0,0,57.3905840531,98.9236072918,468.260799512,0,0.0649427819411,0,0.00111146786506,102721
-80.4854198572,38.3812575388,-71.3557654526,159.63147823,771.614695488,0.253274609991,0.146240708197,0.0173409014475,0.00253594570845,0,0,61.3256102098,99.0988148214,468.295370003,0,0.0651972016358,0,0.00113057824822,101147
-80.7682688517,37.9690024737,-54.946960245,160.250956633,771.742304479,0.254619200603,0.146641942475,0.0174329612607,0.00255640330235,0,0,57.1982693548,99.0833254091,468.293532695,0,0.0648698638516,0,0.00113087382351,103441
-79.5942386965,39.1852487263,-85.2185700581,158.76619217,771.433837584,0.279305061101,0.145642878894,0.0191231230738,0.00278514669793,0,0,87.350858462,98.2761071536,468.126196177,0,0.0646059575812,0,0.00123546767813,103554
-81.4648453783,38.1815703993,-62.9203057403,159.809054382,771.650094658,0.296044797833,0.146366646906,0.0202692392397,0.00296674058285,0,0,61.7301340823,98.2772837165,468.124695394,0,0.0644205374998,0,0.00130575528653,103460
-93.4062415643,35.9396050098,-67.2941273825,159.88316761,771.665851908,0.315277329067,0.146452083981,0.0215860290621,0.00316131894103,0,0,59.906052743,98.6208505708,468.196202113,0,0.064917586502,0,0.00140131290888,102122
-72.7249932171,42.6398265462,-67.8161355022,159.57687383,771.604680238,0.338388782601,0.146182350244,0.0231683962724,0.0033868106185,0,0,71.8580955776,98.6078672562,468.189380609,0,0.0646230975025,0,0.00149721353129,100083
-81.630491639,35.6021204149,-104.577827713,163.347817265,772.593760771,0.328970986981,0.153845110856,0.0225235899663,0.00346514419523,0,0,151.293336082,95.3242789584,467.140767075,0,0.0695471294689,0,0.00156645102749,103197
