Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate,Observed_Normalized_Respiration_Rate,Predicted_Normalized_Respiration_Rate,Observed_RR_percent_error,Sample_Longitude,Sample_Latitude,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std
CM_006-1,-119.8217832,38.9745676,17.8,7.5,7.75,,-3657.26,-119.8217832,38.9745676,-2546.3687032284934,527.4353925049253,930.1216929071492,6.613014018513928,0.5037971885544922,0.4527718920183016,0.2281052062553184,3.5631558360699276,3.4059212878424887,-3657.26,-2546.3687032284934,30.37496094812802,0.0,0.0,458.42711675759807,307.2457687507102,533.813019590109,0.0,0.233505451524266,0.0,0.1057247050832297
CM_006-2,-119.8217832,38.9745676,17.8,7.5,7.75,,-2199.18,-119.8217832,38.9745676,-2546.3687032284934,527.4353925049253,930.1216929071492,6.613014018513928,0.5037971885544922,0.4527718920183016,0.2281052062553184,3.3422607772495927,3.4059212878424887,-2199.18,-2546.3687032284934,15.787189008107275,0.0,0.0,458.42711675759807,307.2457687507102,533.813019590109,0.0,0.233505451524266,0.0,0.1057247050832297
CM_006-3,-119.8217832,38.9745676,17.8,7.5,7.75,,-2196.81,-119.8217832,38.9745676,-2546.3687032284934,527.4353925049253,930.1216929071492,6.613014018513928,0.5037971885544922,0.4527718920183016,0.2281052062553184,3.3417924968295583,3.4059212878424887,-2196.81,-2546.3687032284934,15.912104516480415,0.0,0.0,458.42711675759807,307.2457687507102,533.813019590109,0.0,0.233505451524266,0.0,0.1057247050832297
CM_007-1,-121.580361,39.007299,13.15,6.5,10.71,,-2.13,-121.580361,39.007299,-94.92926557418494,160.9995538307457,771.9564896328488,6.156977428475432,0.1495145443117851,0.4215485271315438,0.0630276359393769,0.3283796034387377,1.9774001209417729,-2.13,-94.92926557418494,4356.7730316518755,0.0,0.0,102.66026921367892,95.23142208031388,467.38654701219656,0.0,0.0651531283282478,0.0,0.0274652052847853
CM_007-2,-121.580361,39.007299,13.15,6.5,10.71,,-1.78,-121.580361,39.007299,-94.92926557418494,160.9995538307457,771.9564896328488,6.156977428475432,0.1495145443117851,0.4215485271315438,0.0630276359393769,0.250420002308894,1.9774001209417729,-1.78,-94.92926557418494,5233.10480753848,0.0,0.0,102.66026921367892,95.23142208031388,467.38654701219656,0.0,0.0651531283282478,0.0,0.0274652052847853
CM_007-3,-121.580361,39.007299,13.15,6.5,10.71,,-6.94,-121.580361,39.007299,-94.92926557418494,160.9995538307457,771.9564896328488,6.156977428475432,0.1495145443117851,0.4215485271315438,0.0630276359393769,0.8413594704548549,1.9774001209417729,-6.94,-94.92926557418494,1267.8568526539616,0.0,0.0,102.66026921367892,95.23142208031388,467.38654701219656,0.0,0.0651531283282478,0.0,0.0274652052847853
CM_009-1,-121.10824,37.7323106,16.62,6.25,9.51,,-16.93,-121.10824,37.7323106,-110.87028834699012,162.18240382856553,772.2909361658815,6.472163483103759,0.151896214593923,0.4431283069251939,0.067309512401351,1.2286569581089353,2.0448151770257414,-16.93,-110.87028834699012,554.8747096691678,0.0,0.0,120.68718230044954,94.934728185346,467.1666303403047,0.0,0.0675065635779462,0.0,0.0299140692246332
CM_009-2,-121.10824,37.7323106,16.62,6.25,9.51,,-15.64,-121.10824,37.7323106,-110.87028834699012,162.18240382856553,772.2909361658815,6.472163483103759,0.151896214593923,0.4431283069251939,0.067309512401351,1.1942367487238292,2.0448151770257414,-15.64,-110.87028834699012,608.8893116815225,0.0,0.0,120.68718230044954,94.934728185346,467.1666303403047,0.0,0.0675065635779462,0.0,0.0299140692246332
CM_009-3,-121.10824,37.7323106,16.62,6.25,9.51,,-13.12,-121.10824,37.7323106,-110.87028834699012,162.18240382856553,772.2909361658815,6.472163483103759,0.151896214593923,0.4431283069251939,0.067309512401351,1.1179338350396415,2.0448151770257414,-13.12,-110.87028834699012,745.0479294740102,0.0,0.0,120.68718230044954,94.934728185346,467.1666303403047,0.0,0.0675065635779462,0.0,0.0299140692246332
CM_040-1,-91.191226,30.438365,22.7,7.75,8.48,,-3601.52,-91.191226,30.438365,-3244.106841406131,694.26704109408,1038.6357086181492,8.116828694323992,0.6339764998560584,0.5557332669836641,0.3523218314558757,3.556485830848241,3.51109514882797,-3601.52,-3244.106841406131,9.92395318070895,0.0,0.0,745.2976680107238,491.8678385638888,649.2920698357445,0.0,0.2879178702438597,0.0,0.1600055386535988
