Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error_pre_avg,predict.error_pre_avg,pca.dist_pre_avg,mean.error.scaled_pre_avg,pca.dist.scaled_pre_avg,combined.metric_pre_avg,Sample_Longitude_pre_std,Sample_Latitude_pre_std,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_std,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std,Sample_ID
-86.1351997157,35.422818282,-139.882874782,115.25383398,1207.72239429,0.0020561173642,0.153317546371,0.000141160099427,2.16423200897e-05,0,0,50.7071059044,31.0409684732,304.954349802,0,0.0449699290782,0,6.34795965991e-06,101317
-73.9140263065,41.8001016617,-295.81481201,114.711044863,1207.68065947,0.00951748845983,0.153372447491,0.000653410958283,0.000100215237889,0,0,269.48195197,30.3979465606,304.845804348,0,0.046860707695,0,3.06192999208e-05,103111
-71.7109029692,42.2303806253,-111.731060461,116.264938474,1207.81830592,0.0293493564542,0.154781880369,0.00201494240909,0.000311876574914,0,0,39.378772924,30.6093662448,304.915113086,0,0.0450676048074,0,9.08086282025e-05,100046
-82.2389713643,36.5354166411,-173.631974505,114.056179606,1207.6091376,0.0318670473703,0.151575604972,0.00218779124847,0.00033161578204,0,0,54.524563288,30.3647875954,304.884293115,0,0.0433945412891,0,9.49381976638e-05,101234
-71.514167281,42.8933420742,-83.3992064001,117.572996563,1207.94497363,0.0492809990365,0.156421747611,0.00338332375621,0.000529225414678,0,0,27.3572323565,30.7378964388,304.927813726,0,0.0448967488737,0,0.000151900237041,100025
-70.7435056312,43.3151044661,-90.1787388471,117.314925097,1207.92048703,0.0555875228874,0.15601369043,0.00381629005927,0.000595393495896,0,0,30.695400203,30.9322281986,304.944801774,0,0.0449082577078,0,0.000171382937469,100017
-91.0982012264,37.4938527774,-285.285939284,111.466179326,1207.36821182,0.0600659216231,0.148621894419,0.00412374877821,0.000612879355527,0,0,137.080395588,29.4946773383,304.794722179,0,0.0448390828317,0,0.000184905113044,102140
-71.6311427616,42.3273972203,-110.821240175,116.383307598,1207.83019661,0.061494068365,0.154824136368,0.00422179636032,0.00065363597541,0,0,38.7350350397,30.6230886855,304.914331188,0,0.0445876297066,0,0.000188239892811,100030
-79.9725965438,39.760747745,-90.7432509496,117.201772855,1207.90882209,0.0754984634352,0.155984203695,0.00518325013477,0.000808505144826,0,0,23.5628764971,30.3518517604,304.889474105,0,0.0448212275814,0,0.000232319633902,101107
-79.1226984845,35.77278906,-196.014346075,113.604148538,1207.56755264,0.0834299326102,0.151385402518,0.00572777497408,0.000867101519985,0,0,96.8285805339,30.1725679018,304.860699765,0,0.0456099572535,0,0.000261243571725,103191
-79.1103381165,40.8397782942,-135.972286039,115.347609837,1207.73045742,0.102063970424,0.153444158506,0.00700707093076,0.00107519410256,0,0,45.4180295536,31.0121809334,304.955335406,0,0.0446729596625,0,0.000313026597042,101081
-91.3899381275,37.3475849153,-311.630849387,112.030809892,1207.41816181,0.10755961961,0.149600381862,0.00738436767416,0.00110470422387,0,0,186.026917464,28.6160346425,304.721115448,0,0.0451919312995,0,0.000333713836621,102150
-77.4307825305,38.5686260993,-186.097650697,113.40162395,1207.54694451,0.119506182519,0.151119360572,0.00820454362199,0.00123986538594,0,0,41.2504466537,29.5203234768,304.803757361,0,0.0448684410252,0,0.000368125081642,100600
-71.3521754796,42.7816340779,-130.851308773,115.551125654,1207.75033391,0.121168830771,0.153825130703,0.00831869060435,0.00127962366949,0,0,52.0240359189,30.5756625283,304.909395257,0,0.0450199730565,0,0.000374507226874,102550
-73.7396750721,42.0144464324,-101.283312792,116.781356332,1207.86846422,0.127189152806,0.155380976027,0.008732008089,0.00135678793955,0,0,38.2088963001,30.8065475171,304.933481167,0,0.044851949553,0,0.000391647586304,103109
-74.6180179748,40.3686904413,-136.850014409,115.270290868,1207.72327694,0.138835715551,0.153526507507,0.00953158791049,0.0014633514029,0,0,42.950254192,29.7474362769,304.828427236,0,0.0446974715372,0,0.000426037879334,100257
-94.1813773075,36.6230937984,-653.125670898,115.721761758,1207.82213333,0.136485485191,0.156766252348,0.00937023586073,0.0014689367595,0,0,334.126379073,28.6694191024,304.479793504,0,0.0543776253366,0,0.00050953117495,102183
-75.1729853127,41.477361937,-117.680450418,116.116009802,1207.80432867,0.144212280503,0.154562038814,0.00990070907858,0.00153027378089,0,0,37.7684392161,30.8285786929,304.935658588,0,0.0452382651811,0,0.000447890902777,100296
-91.4609446474,37.1432351374,-189.151217529,113.419952386,1207.54882491,0.149431362511,0.15133980993,0.0102590184572,0.00155259790339,0,0,75.6035721807,30.7412459275,304.92372567,0,0.046434902802,0,0.000476376524906,102154
-79.4059366209,39.5105649203,-127.695013653,115.583282797,1207.75294501,0.154092064899,0.153918227621,0.0105789929995,0.0016282998525,0,0,56.1484064048,30.7560232327,304.92958483,0,0.044946518939,0,0.000475488909208,101120
-71.9019858951,41.9770770293,-105.023086167,116.58599308,1207.84932474,0.154592069241,0.155159965089,0.0106133201561,0.00164676238489,0,0,39.1770113868,30.7511263887,304.929060744,0,0.044885948656,0,0.000476388943595,100054
-73.4270844722,41.1395916761,-129.432291567,115.696883309,1207.76498434,0.16087350918,0.154015779586,0.0110445643554,0.00170103718937,0,0,73.388220156,30.7719096505,304.926072245,0,0.0443503820347,0,0.000489830648567,100141
-91.0062332217,37.477176391,-249.864556686,111.723030018,1207.39160277,0.167866777382,0.149019056349,0.0115246782106,0.00171739667168,0,0,102.583642695,28.9746496045,304.746375533,0,0.0446022720742,0,0.000514026833118,102141
-78.6354192332,37.4145907428,-145.898506832,114.934300039,1207.69193496,0.171204240756,0.153076629,0.0117538074763,0.00179923322638,0,0,36.7281083822,30.4573400058,304.895530277,0,0.0454672911567,0,0.000534413786723,100607
-80.2978641547,38.8853855255,-264.389184175,114.884910615,1207.68995588,0.171036245567,0.153523753496,0.0117422739821,0.00180271797632,0,0,249.257091468,30.3173171685,304.8696018,0,0.0467667845299,0,0.000549148397213,103523
-83.1767086079,36.618893891,-247.872291052,112.892711215,1207.49852268,0.178980610751,0.150433125834,0.0122876841804,0.00184847474052,0,0,190.600274706,29.914942246,304.845467485,0,0.044432863774,0,0.000545976997283,101264
-72.0394479844,42.589443982,-137.02956746,115.404006797,1207.73773002,0.178563856136,0.153357611814,0.012259072427,0.00188002207045,0,0,57.5736845423,31.0092149657,304.946739135,0,0.0442480333936,0,0.000542439846125,100079
-80.2059299151,40.0234068447,-135.604069574,115.243444715,1207.72016153,0.179850462773,0.153521982653,0.0123474027549,0.00189559775154,0,0,41.3887906524,29.9401081015,304.849725904,0,0.0448877722415,0,0.000554247402635,101109
-79.5889140431,40.6024169556,-592.166657606,118.765728058,1208.19685761,0.176566570221,0.160906023182,0.0121219513253,0.00195049498095,0,0,467.217936316,31.4438760467,304.404126157,0,0.0613561052605,0,0.000743755721474,101096
-80.493955069,39.1062165618,-151.423341314,114.470867419,1207.64656077,0.188826004778,0.152673915555,0.0129636070746,0.00197920465181,0,0,47.3015965706,28.5629089009,304.718098008,0,0.0443849569918,0,0.000575389142467,103544
-72.4181499338,43.7142450081,-90.4572406208,117.251296884,1207.91395525,0.186424378361,0.155990674099,0.0127987264945,0.00199648197349,0,0,32.8855005468,30.8647115132,304.939517664,0,0.0450189009336,0,0.000576184600133,100068
-79.8103638084,39.5146744106,-165.529532065,113.982523088,1207.6008608,0.196024149127,0.151887508808,0.0134577864389,0.00204406965629,0,0,50.6783821187,28.5510176714,304.71481912,0,0.0437099126674,0,0.000588238669942,103605
-115.085547215,47.3018809799,-103.245059773,116.752055247,1207.86556336,0.195787545305,0.155292340762,0.0134415427072,0.00208736863045,0,0,29.6770655756,31.1161111571,304.965211438,0,0.0451072560372,0,0.000606311108428,102702
-91.0147004764,36.993448762,-227.261136188,113.231769106,1207.53208935,0.206421251728,0.150777264013,0.0141715861774,0.00213675299056,0,0,170.591238927,30.4379976004,304.889231314,0,0.0442674259028,0,0.000627339641035,102157
-78.6807991369,41.4975949617,-106.631816428,116.633393453,1207.85433078,0.212774571178,0.155089603982,0.0146077651723,0.00226551251563,0,0,33.4876147187,31.0242313216,304.95483181,0,0.0447920220711,0,0.000654311340009,101063
-74.9533349535,40.9808415929,-293.740791914,114.351996034,1207.64319018,0.217175312842,0.152597548779,0.0149098924447,0.00227521303961,0,0,252.41671976,30.620721355,304.883142855,0,0.0455728219168,0,0.00067948587318,100328
-73.3986001479,41.4504455218,-89.9252457472,117.221040346,1207.91058839,0.214506433605,0.156008474034,0.0147266639651,0.00229748437281,0,0,30.739977857,30.5773948042,304.912464501,0,0.044920688249,0,0.000661531880924,100130
-71.5018674879,43.0229070829,-115.576857856,116.132700951,1207.8061548,0.228466385828,0.154569351378,0.0156850665729,0.0024244305665,0,0,42.4359455436,30.5284240811,304.904485306,0,0.0450411901044,0,0.000706474065311,100024
