Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error_pre_avg,predict.error_pre_avg,pca.dist_pre_avg,mean.error.scaled_pre_avg,pca.dist.scaled_pre_avg,combined.metric_pre_avg,Sample_Longitude_pre_std,Sample_Latitude_pre_std,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_std,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std,Sample_ID
-73.3986001479,41.4504455218,-93.9696939131,132.119152973,706.443048488,0.0522362048742,0.0991041788938,0.00357527304317,0.000354324499265,0,0,75.7938944586,50.313421449,204.532914571,0,0.160812559508,0,0.000574948809013,100130
-80.2978641547,38.8853855255,-112.043109278,107.110066305,700.44385584,0.102232954415,0.0864375339111,0.00699726802365,0.000604826592079,0,0,22.0628580269,24.0567861345,206.425081506,0,0.145988333739,0,0.0010215194995,103523
-71.9019858951,41.9770770293,-97.5675526826,111.890761766,701.233203887,0.098591080968,0.0926099458753,0.006748002366,0.000624932133882,0,0,30.5503319691,24.7638514836,206.34872184,0,0.156015393415,0,0.0010527922439,100054
-71.9851717969,44.1566503267,-85.1277762514,108.094542857,700.525531496,0.116445675503,0.0881870689329,0.00797004846779,0.000702855213627,0,0,24.5201651353,30.3336981795,207.511406655,0,0.150341736526,0,0.00119823092684,100065
-73.4270844722,41.1395916761,-133.198360751,124.333471574,705.569194429,0.118478682185,0.0940338223164,0.00810919628688,0.000762538722769,0,0,63.2365126892,40.8988764829,200.318429777,0,0.15706399818,0,0.00127366279084,100141
-91.3899381275,37.3475849153,-87.4424622921,111.315678873,701.306298708,0.139616391403,0.0852478175647,0.00955595303622,0.000814624141088,0,0,22.9419455752,37.604140186,207.663391204,0,0.145094589834,0,0.00138651708626,102150
-91.4609446474,37.1432351374,-88.1502835437,113.494062001,701.518936898,0.13824661238,0.0887601084659,0.00946219940253,0.000839865845294,0,0,26.3760741996,31.9095744549,207.221936298,0,0.149136628639,0,0.0014111605184,102154
-86.9979215741,35.0104232589,-80.00531028,113.811616026,701.530092522,0.130354669525,0.0945183708947,0.00892204051057,0.000843296734116,0,0,17.3580058601,35.6250204101,207.977554245,0,0.16206354698,0,0.00144593753144,101301
-81.497684454,38.4641215337,-87.7667209232,108.88438699,700.775836972,0.144120039747,0.0873104632859,0.00986420231583,0.00086124807414,0,0,18.8796872578,36.8569652274,208.08647777,0,0.150567878691,0,0.00148523201767,103481
-79.9562532385,41.4395914879,-70.8501884088,111.819385779,701.154425117,0.143412129222,0.0906816325387,0.00981574984067,0.000890108220143,0,0,16.5428540176,34.1327489932,207.934132029,0,0.152961629345,0,0.00150143308887,101051
-91.0982012264,37.4938527774,-133.982212288,121.468368815,703.66171674,0.143934341563,0.0918806119059,0.00985149232444,0.000905161142956,0,0,40.7648404943,29.7321511874,203.821025556,0,0.151023113417,0,0.00148780304264,102140
-111.581261144,36.8645889613,-92.5262664696,124.434503098,705.084345965,0.157106231013,0.0856748245923,0.0107530337246,0.000921264278188,0,0,60.1724504313,72.6056440948,210.983906441,0,0.143227606269,0,0.0015401312805,102446
-78.6520860266,39.4479244891,-123.440544624,112.875085725,701.831184476,0.16814759097,0.0876749350894,0.0115087524203,0.00100902912141,0,0,31.9918140702,25.3342036644,204.748541783,0,0.146968537863,0,0.00169142451583,100501
-82.114587019,38.3895908085,-76.9631676267,112.10291712,701.335365982,0.170145794206,0.0880229280542,0.0116455181401,0.0010250726054,0,0,14.9048197545,38.5797968757,208.203118685,0,0.148456305548,0,0.00172885059927,101156
-73.7396750721,42.0144464324,-141.76120977,120.498337053,703.502242065,0.180144333691,0.0869122723329,0.0123298616674,0.00107161629506,0,0,65.6218939529,32.0186254197,204.139041512,0,0.143364817027,0,0.00176766836191,103109
-74.6018845324,41.4436874772,-117.027600627,112.264968833,701.478563123,0.183263591022,0.0857782280827,0.0125433572051,0.00107594695526,0,0,35.3491386225,28.4544475327,206.123734132,0,0.143836847552,0,0.0018041969581,100313
-72.4181499338,43.7142450081,-80.9665049321,116.659222032,702.074024092,0.167492886644,0.0983071465412,0.0114639416088,0.00112698738768,0,0,22.03385592,37.2171035823,207.970072535,0,0.16521070819,0,0.00189396591184,100068
-75.1854649017,41.4562366442,-87.0473971649,118.900384099,702.633131501,0.181843684285,0.09146493077,0.0124461726127,0.00113838831637,0,0,43.240177614,38.7164758101,207.555637705,0,0.157152992942,0,0.00195595327676,100298
