,Sample_ID,Sample_Longitude,Sample_Latitude,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,mean.error,predict.error
19,300135,-0.326989446909,42.7815326509,-999.618539048188,70.33120968716608,702.2076190310779
48,300049,-0.693616038244,40.9894170896,134.3890511441557,62.13998174618829,701.4345575323845
49,300242,0.724716805109,42.7403664075,-661.7505253563444,57.78801455349388,701.0624193288857
67,102323,-100.180657326,33.0102132144,703.9535603976967,89.14597723072796,704.3408737434288
69,102224,-100.194220496,34.5683416663,58.85880129211836,59.59959000119873,701.2140702364338
80,102334,-100.764591705,32.0562554455,612.0469307228603,84.13220707006694,703.7238730039759
88,102333,-101.013093652,32.1979221272,544.4563494423339,80.5652246128197,703.3063461864606
93,102223,-101.418754189,34.8389546627,-414.3725073708948,53.42066257898332,700.7159398498175
95,102390,-101.443953398,29.802283315,585.3467523154967,82.71003309573051,703.5552648825337
96,102196,-101.489320042,36.7189463133,-1630.042331997688,104.20288159074434,706.4044887322349
99,102384,-101.756258492,29.7770883199,256.20979443020514,66.89484233325908,701.8717696987298
101,102170,-102.01048068,38.0308437008,-517.5392674119199,54.63804468435573,700.8098009418568
107,102193,-103.043704761,35.3938102936,522.3167979310506,79.42170500726566,703.1762712119178
109,102005,-103.527093074,40.3562566352,-367.6406221367322,53.17527491198982,700.6972748849541
111,102003,-103.918558176,40.3189248751,-33.777716064663124,56.98375051382784,700.9965827248072
113,102389,-104.001812299,30.6143737422,-639.031886143699,57.18821632646058,701.0132332958041
114,102388,-104.039592477,32.0770886432,314.39052366071394,69.41126018733675,702.1160760230672
119,102387,-104.385426059,34.6020890471,359.4726720731784,71.45572598780892,702.3211387575346
131,101971,-104.864617579,39.6563259203,-178.06174127836178,54.17838729245829,700.7741139759994
139,101973,-105.002093351,39.7395897812,299.63514163220066,68.75954541949325,702.0519469779503
155,103716,-105.063756705,39.8854549663,319.08488395783,69.62045061127323,702.1367874656278
166,103800,-105.160332804,40.1021619892,-140.3724099841769,54.75020510179221,700.81855435478
173,103988,-105.247612894,40.7019953428,223.96736148805093,65.56484711375987,701.7462578071122
184,102383,-105.606259441,31.0812550748,109.74554336013524,61.27387120312378,701.3583595149147
193,102399,-105.786129271,39.9277710858,83.91275431345099,60.40415332026142,701.282912174233
196,102400,-105.826648719,39.9897739309,37.98663303272176,58.95973717325629,701.1599758805226
197,103648,-105.827082693,39.6934534954,-117.6126170489632,55.15219724803619,700.8500738606807
203,103796,-105.96881836,40.0977422438,-49.489793536614044,56.59988908099698,700.9654831824578
218,102369,-106.110671147,36.0731670909,562.3782977907124,81.50017367897017,703.4140597677427
221,102402,-106.180969095,40.0020890899,-56.62209047226949,56.43166831778648,700.9519201474263
222,102408,-106.222813576,39.8319364219,75.81104489734074,60.13970957405119,701.2601841234726
233,102409,-106.402277819,39.5524428757,30.30118960154072,58.73129548088185,701.1408034325902
236,102412,-106.443760335,39.6104229975,-69.26812315006633,56.14279402772827,700.9287228316979
238,102375,-106.535254648,35.3897254313,577.5056244248005,82.29556331865082,703.5066601754168
239,102382,-106.539593022,31.8020884895,558.1769444499118,81.28027094782459,703.388614931026
240,102381,-106.635519043,31.9395562678,-406.0146110235952,53.36251847495395,700.7115095010394
247,101961,-106.823038182,41.0230340804,-267.0993508896554,53.31039980940837,700.7075423435048
248,101909,-106.838393982,48.9690056739,-278.4231383596497,53.2499453402943,700.7029455111343
250,102377,-106.856563874,34.4102225793,44.81654635965122,59.16600733542639,701.1773510270074
252,103558,-106.880648376,39.2603857586,-71.48691501162483,56.093359647663824,700.9247649825176
258,102379,-106.994209658,33.6813115459,-497.1060482267151,54.32488908007949,700.7854555731008
263,101962,-107.056196326,41.8729876817,-383.8037625539747,53.23813397291561,700.7020480048232
264,102413,-107.077637674,39.6437562913,85.57410721436548,60.4588779470506,701.2876279329698
265,102416,-107.081363102,39.3770594352,47.26101786857592,59.24057146097866,701.1836467547276
266,102380,-107.206259919,33.1479220078,536.0539990257087,80.1297229364612,703.2565916272022
267,103595,-107.285694622,39.4778129316,-118.7344232728396,55.13140155145947,700.8484376855411
271,102417,-107.331383769,39.543450231,-20.54519630971473,57.32098572549262,701.0240770285836
275,103438,-107.664749535,37.9567125117,-163.19164191380577,54.3898275731362,700.7904925958048
276,103445,-107.673035471,38.0230633522,-218.7249084028216,53.69637580253541,700.7370133962972
277,103443,-107.697871499,37.9980323731,-550.5272747258408,55.21606912781371,700.8551030413939
283,102426,-107.997850935,38.7857116103,-322.98492711854004,53.123353436277526,700.6933365242965
285,102438,-108.027182994,40.5021785323,-476.7272659143501,54.04749137572728,700.7640062768953
286,102428,-108.047746462,38.6477419689,-320.3859107732112,53.12584665439167,700.6935255530633
292,102419,-108.26554118,39.2395894888,97.23202690284036,60.84759246945872,701.3212464189037
293,102418,-108.317874301,39.3770895032,-215.33695808329188,53.73109277051969,700.7396745579272
295,102439,-108.422927558,40.5476230751,-372.5132855864856,53.19176478613392,700.698526479326
297,102429,-108.460427378,38.9812561085,73.86671062520927,60.07684818848924,701.2547959604256
299,102456,-108.648113093,33.1647748042,-697.1162931436658,58.79295061140122,701.1459706871531
301,101906,-108.688797062,47.6312570792,101.17402646062472,60.98087784745736,701.3328230107885
303,102430,-108.802621135,39.2113753135,-404.4520961151052,53.352334642850906,700.7107340273003
305,410207,-1.08887625195,9.68960497987,-174.50325455248378,54.227289796068725,700.777896432145
306,102431,-109.027094185,39.1291717377,183.27977687218848,63.957767052079085,701.5979312508863
307,102432,-109.102094196,39.0895894124,165.96623294975242,63.29940160715776,701.5382209210412
309,102433,-109.19376085,38.7979227003,116.174457608588,61.49645154855912,701.377840199061
310,102434,-109.293054528,38.8145893627,260.1308101080999,67.05983032426943,701.8875137886093
314,102440,-109.63542776,40.0645894971,-297.00099807568705,53.17554823259602,700.6972956270578
