,Sample_ID,Sample_Longitude,Sample_Latitude,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,mean.error,predict.error
19,300135,-0.326989446909,42.7815326509,-663.3113194441506,50.93156156263343,576.12583161077
48,300049,-0.693616038244,40.9894170896,-98.8652953908048,44.52323728264172,575.5947085789786
49,300242,0.724716805109,42.7403664075,-175.66782141127487,43.821703027878605,575.5408686985282
67,102323,-100.180657326,33.0102132144,-136.23168284448346,44.11861143593665,575.5635514528592
69,102224,-100.194220496,34.5683416663,-166.62692202832932,43.877808474746686,575.5451432881174
80,102334,-100.764591705,32.0562554455,-118.31841686998372,44.29780077301061,575.5773145627948
88,102333,-101.013093652,32.1979221272,-128.9443960362534,44.18819799150497,575.5688896454789
93,102223,-101.418754189,34.8389546627,-152.76693159057254,43.97767487386984,575.5527654119167
95,102390,-101.443953398,29.802283315,-141.2876867108311,44.07301207596978,575.5600579257056
96,102196,-101.489320042,36.7189463133,-1860.4096886245156,109.8515848212709,584.2895862273585
99,102384,-101.756258492,29.7770883199,-120.23610626798204,44.2773094627976,575.5757378653632
101,102170,-102.01048068,38.0308437008,-158.32111776096883,43.9356466822175,575.5495555861177
107,102193,-103.043704761,35.3938102936,-153.20422355428073,43.97426872549501,575.5525051599853
109,102005,-103.527093074,40.3562566352,-179.15859872495255,43.80195708532848,575.5393655784962
111,102003,-103.918558176,40.3189248751,-145.33674874841392,44.038083080406125,575.5573843218326
113,102389,-104.001812299,30.6143737422,-73.88107045093273,44.85911323306851,575.620786565296
114,102388,-104.039592477,32.0770886432,-149.6255915426666,44.00263087767917,575.5546728245287
119,102387,-104.385426059,34.6020890471,-96.88034883446802,44.54802794006421,575.596626709488
131,101971,-104.864617579,39.6563259203,-69.7404372802218,44.91974013006686,575.6255144964872
139,101973,-105.002093351,39.7395897812,-96.04528151865163,44.55855570593915,575.5974415966355
155,103716,-105.063756705,39.8854549663,-77.28604413309401,44.81030789189739,575.6169851379992
166,103800,-105.160332804,40.1021619892,-125.44870033779983,44.22319206386622,575.5715773058208
173,103988,-105.247612894,40.7019953428,-42.47868582548685,45.35348752487739,575.6595249942991
184,102383,-105.606259441,31.0812550748,-118.92425375564449,44.29129339138728,575.5768137757766
197,103648,-105.827082693,39.6934534954,-1384.1719508224323,83.47198628826403,579.9090638892455
218,102369,-106.110671147,36.0731670909,-81.12979564944882,44.75635621671192,575.6127876513777
238,102375,-106.535254648,35.3897254313,-117.89527300635666,44.30236430823302,575.5776658013168
239,102382,-106.539593022,31.8020884895,-106.12931568073796,44.435327784742086,575.587915301677
240,102381,-106.635519043,31.9395562678,-206.0063407519482,43.68595153464344,575.5305484919808
248,101909,-106.838393982,48.9690056739,-160.51358911643817,43.91979499956799,575.548345735436
250,102377,-106.856563874,34.4102225793,-138.6377474580194,44.09663707011624,575.5618674711576
258,102379,-106.994209658,33.6813115459,-111.28262645504446,44.3756521631689,575.5833114249401
260,103526,-107.035261467,38.9109377127,-117.2267404749472,44.30960529158182,575.5782231869867
263,101962,-107.056196326,41.8729876817,-280.5266081757049,43.69874378353232,575.531519635764
266,102380,-107.206259919,33.1479220078,-102.32234431421728,44.48084800402359,575.5914312471564
271,102417,-107.331383769,39.543450231,-55.14843784997032,45.14448569485711,575.6430964361912
275,103438,-107.664749535,37.9567125117,-161.54210088228402,43.91250308482204,575.5477893391368
276,103445,-107.673035471,38.0230633522,-112.07149570245788,44.366714754889976,575.5826224480154
277,103443,-107.697871499,37.9980323731,-1009.1381755937408,64.7250857754349,577.5086896442601
299,102456,-108.648113093,33.1647748042,-86.55386198569721,44.68229314496576,575.6070336667939
301,101906,-108.688797062,47.6312570792,-92.36756633408449,44.605612725176776,575.6010863198412
305,410207,-1.08887625195,9.68960497987,-242.77856907752687,43.63063259783853,575.5263521220211
318,102445,-109.864594151,37.1479224398,-123.43555838946251,44.2438182269013,575.5731624539908
321,103325,-110.106135376,31.4397651895,-202.31199377449576,43.69813805229915,575.5314736443445
322,103326,-110.134686082,31.5492367015,-153.96995141389445,43.9683443091934,575.5520525437163
325,102459,-110.17263302,31.626794209,-64.41474095773545,44.99977048542738,575.6317653063754
339,102814,-110.888257694,43.1978825264,-53.46536371309005,45.17151201733952,575.6452165908491
340,102466,-110.9229274,33.6187552268,-109.99211611496312,44.3903861712799,575.5844475578092
348,102463,-111.039593956,31.6145882639,-100.63342830739674,44.5014319331843,575.5930223083814
368,102447,-111.411016453,35.8778676467,-125.62273007044035,44.22142523212534,575.5714415566094
375,110155,-111.522932882,58.3819217617,-161.21130073640924,43.91483832608814,575.5479675154795
377,102467,-111.573165691,33.5521596723,-87.8817501324053,44.66453189546152,575.6056551975785
379,102446,-111.581261144,36.8645889613,-92.94404605400791,44.59816213384118,575.6005089918782
448,102465,-112.16908913,33.2314138527,-133.69312114846198,44.14233528681452,575.5653704407227
450,103335,-112.256236704,33.3854441485,-148.36003056403254,44.01292663324518,575.5554600529965
460,102477,-112.727094404,33.3520884307,-1214.3221770299351,74.66062978900098,578.7064536761994
461,102478,-112.76876107,33.2270884114,-105.06975119028832,44.44787478636992,575.5888840648486
466,410004,11.2895247222,3.43535075239,-168.19804633727082,43.867545007779015,575.5443609236411
479,101575,-113.656017451,48.7984186747,-153.3154852501207,43.973404736050895,575.5524391487481
485,102448,-113.922928274,36.8937554797,-138.19342114182854,44.1006575690686,575.5621755153974
492,102454,-114.027094723,34.2645884822,-115.08741767135876,44.33303136484383,575.5800270648637
499,102449,-114.298051936,36.6725702364,-115.48658041418946,44.328631004213925,575.5796881516067
505,102450,-114.418786197,36.5229554071,-123.36688433522188,44.24452793914047,575.5732170094004
506,102479,-114.419727233,32.7604671378,-124.73374984795024,44.2304776941664,575.5721371323034
509,102455,-114.46876137,32.8832158339,-92.42082545489008,44.60492322989519,575.6010328885258
514,102480,-114.54002434,32.7187927953,-176.69051266787216,43.81580731420669,575.5404198286934
522,102481,-114.718761406,32.7187549123,-141.73826961651818,44.06905519196168,575.5597549442674
523,102452,-114.739652747,36.01453092,-101.81649422015316,44.48698805190082,575.5919057734594
526,410001,11.4847156654,3.31858991073,-122.83761727359668,44.25001113404534,575.573638530602
530,102451,-114.91028175,36.1188669246,-110.79967775582836,44.38114961940452,575.5837352875192
533,410002,11.5020282958,3.5104069246,-199.69879216259105,43.70748723937091,575.5321835716685
534,103087,-115.043761746,36.1437553197,-175.57457125757776,43.82224516977221,575.5409099774859
542,102515,-115.397928224,33.1104215957,-1044.788693738256,66.38164950233622,577.6966966121962
544,102516,-115.502094879,32.6645881998,-166.19262668046466,43.88068358993475,575.5453624852805
562,110068,-115.969147248,50.9479251026,-422.7300122164796,45.06888321308032,575.6371722882976
584,110052,-116.439598099,51.4229232259,-920.2539073097464,60.75164188145945,577.0768682569818
605,102899,-117.036291124,46.7310043947,-234.7705112054112,43.63245253604476,575.5264900943337
622,102513,-117.243762442,38.8895888029,-231.79731300209983,43.634578792740434,575.5266512963694
624,102517,-117.318762014,34.5729216677,-122.73620940757068,44.25106444153684,575.5737195096749
654,110060,-117.60209767,49.018756278,-196.04520702246637,43.72157045346653,575.5332532607567
656,103357,-117.614524166,33.947860708,-463.4276971640607,45.76978016202816,575.6924722992939
668,110059,-117.702098291,51.2145897347,-834.1567574614419,57.15096261620224,576.7089234734898
670,110061,-117.714597732,49.1729229417,-72.4576104514716,44.87979761474541,575.6223989039459
673,102709,-117.772931012,48.92292292,-215.2637534319581,43.6607232801704,575.5286340776978
683,410003,11.79380547,3.29845975306,-188.4977941625245,43.75439433479325,575.5357477251935
690,102569,-118.206262104,33.7979215286,-1829.110574179,108.06576268642424,583.9564700823098
701,102527,-118.602119047,39.4774492935,-168.0584059598552,43.86844848091214,575.5444297863678
703,102528,-118.722929451,39.5588113623,-131.0037158510711,44.16807205250414,575.5673448648978
711,102526,-118.993001503,39.4943576249,-191.1648729325271,43.74222109901935,575.5348223979748
720,102519,-119.096413596,39.1520886896,-139.8316861098115,44.08591787813579,575.5610463201542
726,102525,-119.25602611,39.2937629243,-126.79786430058203,44.209562390627575,575.5705302504322
730,102524,-119.310723414,39.289804197,-103.8712209491298,44.46218110735376,575.5899889980853
732,102542,-119.322726153,39.7358830519,-123.2832609105614,44.24539268833521,575.5732834836394
744,102584,-119.560236008,37.731301737,-39.207757171699086,45.40951496533468,575.6639418405325
745,103422,-119.560252212,37.7353400994,-38.065202815981664,45.42928457658098,575.6655016440823
764,102757,-119.83116917,46.831255896,-90.93953218953769,44.62418805163098,575.6025260935364
768,102741,-119.896551189,46.9312558973,-171.9110247132769,43.844147708599536,575.5425780724537
771,410210,-11.9978107056,13.6684454691,-96.19671517082288,44.55664224918863,575.5972934739315
835,102589,-121.014499195,37.4147918659,-2929.2639678944283,172.96336674750518,599.3690650364139
843,102687,-121.164774392,48.7313824702,-258.86604382783185,43.64419781749324,575.5273806597957
851,102655,-121.377040129,47.1769098546,-31.686522673672684,45.54153939429107,575.674371234637
871,102572,-121.672929591,36.631254939,-234.91258856350595,43.63237059339424,575.5264838820124
888,104194,-122.00259398,45.018739029,-282.4341938622901,43.70553844597392,575.5320355782512
920,104165,-122.331747331,44.1887429703,-31.32946668029421,45.54791720878632,575.674875817984
938,103955,-122.469105897,40.630867227,-26.820916603602623,45.629305262488906,575.6813210316367
1019,102638,-123.326893764,47.5143843585,-122.46665072508571,44.25386856363178,575.5739351020337
1021,102931,-123.372931223,45.6437554577,-34.860265648114336,45.48528758098814,575.6699238906946
1027,500002,123.54467898,66.8054046416,-1264.4314510843903,77.21410169743059,579.0414211323177
1030,102635,-123.6229317,47.5979222014,-136.720252262839,44.114109093150354,575.5632063527648
1050,102636,-124.31471178,47.5393028916,-146.62801433109297,44.02724186116777,575.5565549204481
1070,410007,12.5359715964,3.89785788066,-348.40681802647174,44.13701580112285,575.5649624932198
1133,110006,-129.972935417,55.9604216253,-1285.7670265537083,78.31378419215336,579.1890871559029
1165,110005,-131.672070062,56.7356235315,-64.8975842533554,44.99241981346141,575.6311907173408
1167,110004,-131.764391158,56.8291644892,-87.45360217638492,44.67024266829408,575.6060983572336
