,Sample_ID,Sample_Longitude,Sample_Latitude,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,mean.error,predict.error
19,300135,-0.326989446909,42.7815326509,-310.2802870785957,53.28042581133615,699.9299948333386
48,300049,-0.693616038244,40.9894170896,-135.4689945735559,53.89072343656118,699.9767167308322
49,300242,0.724716805109,42.7403664075,-99.49476481585056,54.48069734076222,700.0223855531304
67,102323,-100.180657326,33.0102132144,-192.8052774415449,53.27214124826418,699.9293642403745
69,102224,-100.194220496,34.5683416663,-363.38452969391335,53.84702435597446,699.9733537248063
80,102334,-100.764591705,32.0562554455,-162.06469023632144,53.55389186713545,699.9508648661539
88,102333,-101.013093652,32.1979221272,-169.7001128579446,53.4730688465479,699.9446856606796
93,102223,-101.418754189,34.8389546627,-281.8166673313128,53.1199084415483,699.9177941484261
95,102390,-101.443953398,29.802283315,-164.00547913782194,53.5326725108097,699.9492416732156
96,102196,-101.489320042,36.7189463133,-477.8774321787201,56.19697640000204,700.1580493354785
99,102384,-101.756258492,29.7770883199,-162.03973772219575,53.55416767578662,699.9508859685844
101,102170,-102.01048068,38.0308437008,-241.08633393184925,53.06642585708644,699.9137371462326
107,102193,-103.043704761,35.3938102936,-276.01725551737985,53.09960028440489,699.9162531639936
109,102005,-103.527093074,40.3562566352,-251.9742017721804,53.06035041086931,699.9132765410898
111,102003,-103.918558176,40.3189248751,-239.74716195230724,53.06820002955819,699.9138716636048
113,102389,-104.001812299,30.6143737422,-101.10251222487432,54.45108966966531,700.0200818969223
114,102388,-104.039592477,32.0770886432,-194.7350198948274,53.25834471172564,699.9283143109678
119,102387,-104.385426059,34.6020890471,-148.34295445225075,53.71699544861308,699.9633629646528
131,101971,-104.864617579,39.6563259203,-125.30116139947948,54.04196973825644,699.9883773220455
139,101973,-105.002093351,39.7395897812,-170.43628498519095,53.46565346159317,699.9441191929789
155,103716,-105.063756705,39.8854549663,-151.4572840427931,53.67797209685832,699.9603692932843
166,103800,-105.160332804,40.1021619892,-255.19384399802703,53.06140287464937,699.9133563290428
173,103988,-105.247612894,40.7019953428,-69.93836483974538,55.07784810258403,700.0691131912415
184,102383,-105.606259441,31.0812550748,-257.6821404467944,53.06310713448224,699.913485533409
197,103648,-105.827082693,39.6934534954,-68.43226325972672,55.11092923849608,700.0717166221546
218,102369,-106.110671147,36.0731670909,-115.1774134973553,54.20475616961416,700.0009639165986
238,102375,-106.535254648,35.3897254313,-167.01287756738887,53.500700676238935,699.9467971679052
239,102382,-106.539593022,31.8020884895,-172.49445178873697,53.44527446388466,699.9425628258934
240,102381,-106.635519043,31.9395562678,-505.3050113951282,56.97333086677388,700.2207896962321
248,101909,-106.838393982,48.9690056739,-373.4862521829489,53.993504470908285,699.9846372727118
250,102377,-106.856563874,34.4102225793,-182.9242349140076,53.35001024279257,699.9352952135405
258,102379,-106.994209658,33.6813115459,-335.19041121048105,53.5032802721018,699.9469943450254
263,101962,-107.056196326,41.8729876817,-221.1396719098187,53.11610794359888,699.9175057218072
266,102380,-107.206259919,33.1479220078,-140.68655273490532,53.81791206299596,699.9711147980181
