Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate,Observed_Normalized_Respiration_Rate,Predicted_Normalized_Respiration_Rate
CM_001-1,-117.180494,46.732215,8.66,6.5,10.25,87.93,-41.53,-117.180494,46.732215,-254.50840483121573,177.84704232583505,1321.141017140866,2.339861551908335,0.1427776114453741,0.1616699002721482,0.0230828422034691,1.6183619311098782,2.405702128957832,-41.53,-254.50840483121573
CM_001-2,-117.180494,46.732215,8.66,6.5,10.25,87.93,-47.82,-117.180494,46.732215,-254.50840483121573,177.84704232583505,1321.141017140866,2.339861551908335,0.1427776114453741,0.1616699002721482,0.0230828422034691,1.6796095717797561,2.405702128957832,-47.82,-254.50840483121573
CM_001-3,-117.180494,46.732215,8.66,6.5,10.25,87.93,-42.31,-117.180494,46.732215,-254.50840483121573,177.84704232583505,1321.141017140866,2.339861551908335,0.1427776114453741,0.1616699002721482,0.0230828422034691,1.6264430253312947,2.405702128957832,-42.31,-254.50840483121573
CM_002-1,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-83.28,-77.388447,38.7819267,-225.76042901782972,167.3894335068072,1319.5771213091955,0.3753797467459837,0.1356907629134622,0.0259364090029651,0.0035193311248478,1.9205407165024797,2.3536478217110304,-83.28,-225.76042901782972
CM_002-2,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-173.76,-77.388447,38.7819267,-225.76042901782972,167.3894335068072,1319.5771213091955,0.3753797467459837,0.1356907629134622,0.0259364090029651,0.0035193311248478,2.239949807908753,2.3536478217110304,-173.76,-225.76042901782972
CM_003-1,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-6.67,-77.1803039,40.1046605,-113.74953606343288,177.01859466492365,1320.8629533364344,0.7720353347010853,0.1423799536743185,0.0533428464884612,0.0075949520118833,0.8241258339165489,2.055949634028034,-6.67,-113.74953606343288
CM_003-2,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-8.08,-77.1803039,40.1046605,-113.74953606343288,177.01859466492365,1320.8629533364344,0.7720353347010853,0.1423799536743185,0.0533428464884612,0.0075949520118833,0.9074113607745862,2.055949634028034,-8.08,-113.74953606343288
CM_003-3,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-9.91,-77.1803039,40.1046605,-113.74953606343288,177.01859466492365,1320.8629533364344,0.7720353347010853,0.1423799536743185,0.0533428464884612,0.0075949520118833,0.9960736544852753,2.055949634028034,-9.91,-113.74953606343288
CM_004-1,-73.19778,42.72306,14.89,6.5,11.31,111.85,-7.22,-73.19778,42.72306,-112.71496622381952,177.29730703988267,1320.903086164217,0.8535987553371627,0.1424865358903899,0.0589783722610589,0.008403623955932,0.8585371975696391,2.051981585228754,-7.22,-112.71496622381952
CM_004-2,-73.19778,42.72306,14.89,6.5,11.31,111.85,-17.87,-73.19778,42.72306,-112.71496622381952,177.29730703988267,1320.903086164217,0.8535987553371627,0.1424865358903899,0.0589783722610589,0.008403623955932,1.2521245525056444,2.051981585228754,-17.87,-112.71496622381952
CM_004-3,-73.19778,42.72306,14.89,6.5,11.31,111.85,-9.84,-73.19778,42.72306,-112.71496622381952,177.29730703988267,1320.903086164217,0.8535987553371627,0.1424865358903899,0.0589783722610589,0.008403623955932,0.9929950984313415,2.051981585228754,-9.84,-112.71496622381952
CM_006-1,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-3657.26,-119.8217832,38.9745676,-2374.5332651393355,538.3117849089689,1422.9347824502,5.008334976041361,0.4283947193188866,0.3460448398948003,0.1482437820584819,3.5631558360699276,3.3755782580474367,-3657.26,-2374.5332651393355
CM_006-2,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-2199.18,-119.8217832,38.9745676,-2374.5332651393355,538.3117849089689,1422.9347824502,5.008334976041361,0.4283947193188866,0.3460448398948003,0.1482437820584819,3.3422607772495927,3.3755782580474367,-2199.18,-2374.5332651393355
CM_006-3,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-2196.81,-119.8217832,38.9745676,-2374.5332651393355,538.3117849089689,1422.9347824502,5.008334976041361,0.4283947193188866,0.3460448398948003,0.1482437820584819,3.3417924968295583,3.3755782580474367,-2196.81,-2374.5332651393355
CM_007-1,-121.580361,39.007299,13.15,6.5,10.53,100.23,-2.13,-121.580361,39.007299,-169.1841756892058,180.3754235715218,1321.3357378538758,4.607293043910624,0.1444885386271029,0.31833533327051,0.0459958070976277,0.3283796034387377,2.228359739718096,-2.13,-169.1841756892058
CM_007-2,-121.580361,39.007299,13.15,6.5,10.53,100.23,-1.78,-121.580361,39.007299,-169.1841756892058,180.3754235715218,1321.3357378538758,4.607293043910624,0.1444885386271029,0.31833533327051,0.0459958070976277,0.250420002308894,2.228359739718096,-1.78,-169.1841756892058
CM_007-3,-121.580361,39.007299,13.15,6.5,10.53,100.23,-6.94,-121.580361,39.007299,-169.1841756892058,180.3754235715218,1321.3357378538758,4.607293043910624,0.1444885386271029,0.31833533327051,0.0459958070976277,0.8413594704548549,2.228359739718096,-6.94,-169.1841756892058
CM_008-1,-117.611779,33.94849,29.98,9.5,18.88,249.65,-2719.07,-117.611779,33.94849,-3127.9563735697666,738.979947358495,1513.3459858870624,3.767729059026504,0.5703336041314644,0.2603266764772895,0.1484730516468582,3.434420388250395,3.495260687210687,-2719.07,-3127.9563735697666
CM_008-2,-117.611779,33.94849,29.98,9.5,18.88,249.65,-3664.98,-117.611779,33.94849,-3127.9563735697666,738.979947358495,1513.3459858870624,3.767729059026504,0.5703336041314644,0.2603266764772895,0.1484730516468582,3.564071609014435,3.495260687210687,-3664.98,-3127.9563735697666
CM_008-3,-117.611779,33.94849,29.98,9.5,18.88,249.65,-2756.74,-117.611779,33.94849,-3127.9563735697666,738.979947358495,1513.3459858870624,3.767729059026504,0.5703336041314644,0.2603266764772895,0.1484730516468582,3.440395807857696,3.495260687210687,-2756.74,-3127.9563735697666
CM_010-1,-79.8466751,33.666607,25.62,6.5,6.36,77.85,-6.64,-79.8466751,33.666607,-228.9125177809856,172.47978956829633,1320.239696575404,3.2914780701432216,0.1393753280781404,0.2274206911575698,0.0316968334418437,0.8221680793680175,2.3596695421483904,-6.64,-228.9125177809856
CM_010-2,-79.8466751,33.666607,25.62,6.5,6.36,77.85,-4.16,-79.8466751,33.666607,-228.9125177809856,172.47978956829633,1320.239696575404,3.2914780701432216,0.1393753280781404,0.2274206911575698,0.0316968334418437,0.6190933306267428,2.3596695421483904,-4.16,-228.9125177809856
CM_010-3,-79.8466751,33.666607,25.62,6.5,6.36,77.85,-5.69,-79.8466751,33.666607,-228.9125177809856,172.47978956829633,1320.239696575404,3.2914780701432216,0.1393753280781404,0.2274206911575698,0.0316968334418437,0.7551122663950712,2.3596695421483904,-5.69,-228.9125177809856
CM_013-1,-83.1577589,41.309341,24.56,7.0,8.56,102.8,-38.07,-83.1577589,41.309341,-225.21175727559572,167.3997229309148,1319.598951153432,3.007329042523218,0.1357740893496689,0.2077877582089141,0.0282121936488244,1.5805828768143673,2.3525910592993244,-38.07,-225.21175727559572
CM_013-2,-83.1577589,41.309341,24.56,7.0,8.56,102.8,-35.25,-83.1577589,41.309341,-225.21175727559572,167.3997229309148,1319.598951153432,3.007329042523218,0.1357740893496689,0.2077877582089141,0.0282121936488244,1.5471591213274176,2.3525910592993244,-35.25,-225.21175727559572
CM_013-3,-83.1577589,41.309341,24.56,7.0,8.56,102.8,-39.92,-83.1577589,41.309341,-225.21175727559572,167.3997229309148,1319.598951153432,3.007329042523218,0.1357740893496689,0.2077877582089141,0.0282121936488244,1.6011905326153335,2.3525910592993244,-39.92,-225.21175727559572
CM_014-1,-77.4402867,35.3667814,27.92,6.5,5.15,65.74,-46.59,-77.4402867,35.3667814,-238.84484394684503,167.8727911229294,1319.648972387042,3.157064821014909,0.1358682510816731,0.2181335704883547,0.0296374267244535,1.668292710448221,2.378115870406464,-46.59,-238.84484394684503
CM_014-2,-77.4402867,35.3667814,27.92,6.5,5.15,65.74,-56.28,-77.4402867,35.3667814,-238.84484394684503,167.8727911229294,1319.648972387042,3.157064821014909,0.1358682510816731,0.2181335704883547,0.0296374267244535,1.750354088762708,2.378115870406464,-56.28,-238.84484394684503
CM_014-3,-77.4402867,35.3667814,27.92,6.5,5.15,65.74,-32.54,-77.4402867,35.3667814,-238.84484394684503,167.8727911229294,1319.648972387042,3.157064821014909,0.1358682510816731,0.2181335704883547,0.0296374267244535,1.51241754860084,2.378115870406464,-32.54,-238.84484394684503
