Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric
CM_001-1,-117.180494,46.732215,8.66,6.5,10.25,87.93,-41.53,-117.180494,46.732215,-204.9511192849301,112.78931847932787,1207.489265019844,2.615933843228025,0.1504090223820696,0.179593581491834,0.0270124950182812
CM_001-2,-117.180494,46.732215,8.66,6.5,10.25,87.93,-47.82,-117.180494,46.732215,-204.9511192849301,112.78931847932787,1207.489265019844,2.615933843228025,0.1504090223820696,0.179593581491834,0.0270124950182812
CM_001-3,-117.180494,46.732215,8.66,6.5,10.25,87.93,-42.31,-117.180494,46.732215,-204.9511192849301,112.78931847932787,1207.489265019844,2.615933843228025,0.1504090223820696,0.179593581491834,0.0270124950182812
CM_002-1,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-83.28,-77.388447,38.7819267,-202.5816944521022,112.9162763662998,1207.5010335470515,0.4479412537888555,0.1502718272171604,0.0307528320236922,0.0046212842603025
CM_002-2,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-173.76,-77.388447,38.7819267,-202.5816944521022,112.9162763662998,1207.5010335470515,0.4479412537888555,0.1502718272171604,0.0307528320236922,0.0046212842603025
CM_003-1,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-6.67,-77.1803039,40.1046605,-96.71620155239596,116.87837130337248,1207.8776708489058,0.5262940362914269,0.1556680119453132,0.0361320417716433,0.0056246031101166
CM_003-2,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-8.08,-77.1803039,40.1046605,-96.71620155239596,116.87837130337248,1207.8776708489058,0.5262940362914269,0.1556680119453132,0.0361320417716433,0.0056246031101166
CM_003-3,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-9.91,-77.1803039,40.1046605,-96.71620155239596,116.87837130337248,1207.8776708489058,0.5262940362914269,0.1556680119453132,0.0361320417716433,0.0056246031101166
CM_004-1,-73.19778,42.72306,14.89,6.5,11.31,111.85,-7.22,-73.19778,42.72306,-85.67169562522217,117.45626591508643,1207.9335321598833,0.5702626394158075,0.1562887870908008,0.0391506498028604,0.0061188075715057
CM_004-2,-73.19778,42.72306,14.89,6.5,11.31,111.85,-17.87,-73.19778,42.72306,-85.67169562522217,117.45626591508643,1207.9335321598833,0.5702626394158075,0.1562887870908008,0.0391506498028604,0.0061188075715057
