Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate
CM_001-1,-117.180494,46.732215,8.66,6.5,10.25,87.93,-41.53,-117.180494,46.732215,-184.5618817480543,100.96965741314496,1055.2004019982946,2.577732900935944,0.1890861405900736,0.1770385002923919,0.0334755267561429,1.6183619311098782,2.266142009496512
CM_001-2,-117.180494,46.732215,8.66,6.5,10.25,87.93,-47.82,-117.180494,46.732215,-184.5618817480543,100.96965741314496,1055.2004019982946,2.577732900935944,0.1890861405900736,0.1770385002923919,0.0334755267561429,1.6796095717797561,2.266142009496512
CM_001-3,-117.180494,46.732215,8.66,6.5,10.25,87.93,-42.31,-117.180494,46.732215,-184.5618817480543,100.96965741314496,1055.2004019982946,2.577732900935944,0.1890861405900736,0.1770385002923919,0.0334755267561429,1.6264430253312947,2.266142009496512
CM_002-1,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-83.28,-77.388447,38.7819267,-195.14595395125124,100.50697250120294,1055.1555056278469,0.4206556672130049,0.188391855699389,0.0288905993463659,0.0054427536231293,1.9205407165024797,2.2903595512879766
CM_002-2,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-173.76,-77.388447,38.7819267,-195.14595395125124,100.50697250120294,1055.1555056278469,0.4206556672130049,0.188391855699389,0.0288905993463659,0.0054427536231293,2.239949807908753,2.2903595512879766
CM_003-1,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-6.67,-77.1803039,40.1046605,-87.95431376284728,105.0305566858432,1055.5959189075588,0.5604392981842955,0.1964362813991825,0.0384909285284922,0.0075610148677386,0.8241258339165489,1.9442571445036345
CM_003-2,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-8.08,-77.1803039,40.1046605,-87.95431376284728,105.0305566858432,1055.5959189075588,0.5604392981842955,0.1964362813991825,0.0384909285284922,0.0075610148677386,0.9074113607745862,1.9442571445036345
CM_003-3,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-9.91,-77.1803039,40.1046605,-87.95431376284728,105.0305566858432,1055.5959189075588,0.5604392981842955,0.1964362813991825,0.0384909285284922,0.0075610148677386,0.9960736544852753,1.9442571445036345
CM_004-1,-73.19778,42.72306,14.89,6.5,11.31,111.85,-7.22,-73.19778,42.72306,-80.6612801995619,105.40664161296895,1055.6335658550663,0.6139373067818372,0.1971142533100305,0.042165167704824,0.0083113555478285,0.8585371975696391,1.9066651105453087
CM_004-2,-73.19778,42.72306,14.89,6.5,11.31,111.85,-17.87,-73.19778,42.72306,-80.6612801995619,105.40664161296895,1055.6335658550663,0.6139373067818372,0.1971142533100305,0.042165167704824,0.0083113555478285,1.2521245525056444,1.9066651105453087
CM_004-3,-73.19778,42.72306,14.89,6.5,11.31,111.85,-9.84,-73.19778,42.72306,-80.6612801995619,105.40664161296895,1055.6335658550663,0.6139373067818372,0.1971142533100305,0.042165167704824,0.0083113555478285,0.9929950984313415,1.9066651105453087
CM_005-1,-122.58061,48.81862,5.31,6.3,11.04,87.15,-1.16,-122.58061,48.81862,-84.45183028896838,105.2106702034926,1055.6148415420084,2.540500442339248,0.1967679199241319,0.174481377857494,0.0343323377865155,0.06445798922691845,1.926609066290516
CM_005-2,-122.58061,48.81862,5.31,6.3,11.04,87.15,-1.8,-122.58061,48.81862,-84.45183028896838,105.2106702034926,1055.6148415420084,2.540500442339248,0.1967679199241319,0.174481377857494,0.0343323377865155,0.25527250510330607,1.926609066290516
CM_005-3,-122.58061,48.81862,5.31,6.3,11.04,87.15,-2.56,-122.58061,48.81862,-84.45183028896838,105.2106702034926,1055.6148415420084,2.540500442339248,0.1967679199241319,0.174481377857494,0.0343323377865155,0.4082399653118496,1.926609066290516
CM_006-1,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-3657.26,-119.8217832,38.9745676,-2609.6964014034725,267.3742957239815,1085.2555298493185,5.279283226606744,0.4838339364499228,0.3625807719325313,0.1754288821651683,3.5631558360699276,3.416589986700606
CM_006-2,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-2199.18,-119.8217832,38.9745676,-2609.6964014034725,267.3742957239815,1085.2555298493185,5.279283226606744,0.4838339364499228,0.3625807719325313,0.1754288821651683,3.3422607772495927,3.416589986700606
CM_006-3,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-2196.81,-119.8217832,38.9745676,-2609.6964014034725,267.3742957239815,1085.2555298493185,5.279283226606744,0.4838339364499228,0.3625807719325313,0.1754288821651683,3.3417924968295583,3.416589986700606
CM_007-1,-121.580361,39.007299,13.15,6.5,10.53,100.23,-2.13,-121.580361,39.007299,-90.06812767478067,104.86049679155768,1055.5790923032273,4.815989110892796,0.1962085278255937,0.3307617671743166,0.0648982793982644,0.3283796034387377,1.9545711347770343
CM_007-2,-121.580361,39.007299,13.15,6.5,10.53,100.23,-1.78,-121.580361,39.007299,-90.06812767478067,104.86049679155768,1055.5790923032273,4.815989110892796,0.1962085278255937,0.3307617671743166,0.0648982793982644,0.250420002308894,1.9545711347770343
CM_007-3,-121.580361,39.007299,13.15,6.5,10.53,100.23,-6.94,-121.580361,39.007299,-90.06812767478067,104.86049679155768,1055.5790923032273,4.815989110892796,0.1962085278255937,0.3307617671743166,0.0648982793982644,0.8413594704548549,1.9545711347770343
CM_008-1,-117.611779,33.94849,29.98,9.5,18.88,249.65,-2719.07,-117.611779,33.94849,-3033.7665790773563,314.5976268937048,1098.057445734722,4.056553874100007,0.571043479486303,0.2786038126623592,0.1590948905808636,3.434420388250395,3.481982162700399
CM_008-2,-117.611779,33.94849,29.98,9.5,18.88,249.65,-3664.98,-117.611779,33.94849,-3033.7665790773563,314.5976268937048,1098.057445734722,4.056553874100007,0.571043479486303,0.2786038126623592,0.1590948905808636,3.564071609014435,3.481982162700399
CM_008-3,-117.611779,33.94849,29.98,9.5,18.88,249.65,-2756.74,-117.611779,33.94849,-3033.7665790773563,314.5976268937048,1098.057445734722,4.056553874100007,0.571043479486303,0.2786038126623592,0.1590948905808636,3.440395807857696,3.481982162700399
CM_010-1,-79.8466751,33.666607,25.62,6.5,6.36,77.85,-6.64,-79.8466751,33.666607,-119.01695147050586,103.55940240595676,1055.451001108113,3.3857546732331465,0.1937534974911203,0.2325333743808427,0.0450541545697003,0.8221680793680175,2.075608821945469
CM_010-2,-79.8466751,33.666607,25.62,6.5,6.36,77.85,-4.16,-79.8466751,33.666607,-119.01695147050586,103.55940240595676,1055.451001108113,3.3857546732331465,0.1937534974911203,0.2325333743808427,0.0450541545697003,0.6190933306267428,2.075608821945469
CM_010-3,-79.8466751,33.666607,25.62,6.5,6.36,77.85,-5.69,-79.8466751,33.666607,-119.01695147050586,103.55940240595676,1055.451001108113,3.3857546732331465,0.1937534974911203,0.2325333743808427,0.0450541545697003,0.7551122663950712,2.075608821945469
