Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate,Observed_Normalized_Respiration_Rate,Predicted_Normalized_Respiration_Rate,Observed_RR_percent_error,Sample_Longitude,Sample_Latitude,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std
CM_001-1,-117.180494,46.732215,8.66,6.5,10.25,87.93,-41.53,-117.180494,46.732215,-236.64522113521457,179.76144078479624,1374.918160785332,2.466421180183201,0.1386448096964498,0.1687404758604654,0.0233949911637625,1.6183619311098782,2.3740977386558537,-41.53,-236.64522113521457,469.81753223023014,0.0,0.0,131.92306349292855,22.199212363108707,162.2149931309444,0.0,0.0773488798430901,0.0,0.0130518867919969
CM_001-2,-117.180494,46.732215,8.66,6.5,10.25,87.93,-47.82,-117.180494,46.732215,-236.64522113521457,179.76144078479624,1374.918160785332,2.466421180183201,0.1386448096964498,0.1687404758604654,0.0233949911637625,1.6796095717797561,2.3740977386558537,-47.82,-236.64522113521457,394.86662721709445,0.0,0.0,131.92306349292855,22.199212363108707,162.2149931309444,0.0,0.0773488798430901,0.0,0.0130518867919969
CM_001-3,-117.180494,46.732215,8.66,6.5,10.25,87.93,-42.31,-117.180494,46.732215,-236.64522113521457,179.76144078479624,1374.918160785332,2.466421180183201,0.1386448096964498,0.1687404758604654,0.0233949911637625,1.6264430253312947,2.3740977386558537,-42.31,-236.64522113521457,459.3127419882169,0.0,0.0,131.92306349292855,22.199212363108707,162.2149931309444,0.0,0.0773488798430901,0.0,0.0130518867919969
CM_002-1,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-83.28,-77.388447,38.7819267,-234.69002264840688,176.81343457368504,1374.533981724931,0.5249039431327942,0.1374738225758587,0.0359113609049867,0.0049368720575097,1.9205407165024797,2.370494626876624,-83.28,-234.69002264840688,181.80838454419654,0.0,0.0,64.12248211331426,21.59666259076152,162.15109659832228,0.0,0.0785187168343472,0.0,0.0028197139780346
CM_002-2,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-173.76,-77.388447,38.7819267,-234.69002264840688,176.81343457368504,1374.533981724931,0.5249039431327942,0.1374738225758587,0.0359113609049867,0.0049368720575097,2.239949807908753,2.370494626876624,-173.76,-234.69002264840688,35.06562076911079,0.0,0.0,64.12248211331426,21.59666259076152,162.15109659832228,0.0,0.0785187168343472,0.0,0.0028197139780346
CM_003-1,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-6.67,-77.1803039,40.1046605,-93.40877479073762,190.7717984194996,1376.4118012334152,0.581278530217016,0.1474679827421117,0.039768234470402,0.0058645413145654,0.8241258339165489,1.9703876756326297,-6.67,-93.40877479073762,1300.4314061579853,0.0,0.0,23.837628799648375,23.8479555095853,162.3469101643353,0.0,0.0839381980449685,0.0,0.0033380739408753
CM_003-2,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-8.08,-77.1803039,40.1046605,-93.40877479073762,190.7717984194996,1376.4118012334152,0.581278530217016,0.1474679827421117,0.039768234470402,0.0058645413145654,0.9074113607745862,1.9703876756326297,-8.08,-93.40877479073762,1056.0491929546736,0.0,0.0,23.837628799648375,23.8479555095853,162.3469101643353,0.0,0.0839381980449685,0.0,0.0033380739408753
CM_003-3,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-9.91,-77.1803039,40.1046605,-93.40877479073762,190.7717984194996,1376.4118012334152,0.581278530217016,0.1474679827421117,0.039768234470402,0.0058645413145654,0.9960736544852753,1.9703876756326297,-9.91,-93.40877479073762,842.570885880299,0.0,0.0,23.837628799648375,23.8479555095853,162.3469101643353,0.0,0.0839381980449685,0.0,0.0033380739408753
CM_004-1,-73.19778,42.72306,14.89,6.5,11.31,111.85,-7.22,-73.19778,42.72306,-90.30333979924222,191.19863186480987,1376.4725838070958,0.7399205660410918,0.1479925207523242,0.0506217467705352,0.0074916399094573,0.8585371975696391,1.9557038126563544,-7.22,-90.30333979924222,1150.7387783828563,0.0,0.0,23.681463797803566,23.53896451545169,162.28712468385382,0.0,0.0847861502067609,0.0,0.0042920230254152
CM_004-2,-73.19778,42.72306,14.89,6.5,11.31,111.85,-17.87,-73.19778,42.72306,-90.30333979924222,191.19863186480987,1376.4725838070958,0.7399205660410918,0.1479925207523242,0.0506217467705352,0.0074916399094573,1.2521245525056444,1.9557038126563544,-17.87,-90.30333979924222,405.3348617752782,0.0,0.0,23.681463797803566,23.53896451545169,162.28712468385382,0.0,0.0847861502067609,0.0,0.0042920230254152
CM_004-3,-73.19778,42.72306,14.89,6.5,11.31,111.85,-9.84,-73.19778,42.72306,-90.30333979924222,191.19863186480987,1376.4725838070958,0.7399205660410918,0.1479925207523242,0.0506217467705352,0.0074916399094573,0.9929950984313415,1.9557038126563544,-9.84,-90.30333979924222,817.716867878478,0.0,0.0,23.681463797803566,23.53896451545169,162.28712468385382,0.0,0.0847861502067609,0.0,0.0042920230254152
CM_006-1,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-3657.26,-119.8217832,38.9745676,-2347.2171915927465,636.2935213082029,1518.1356046718795,5.138553718149412,0.4399350441807831,0.3515547168511951,0.1546612398898932,3.5631558360699276,3.370553277389853,-3657.26,-2347.2171915927465,35.82033567225884,0.0,0.0,394.24282439693314,272.567703399719,231.71378672790823,0.0,0.2177617934757261,0.0,0.0765551856463673
