Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric
CM_001-1,-117.180494,46.732215,8.66,6.5,10.25,87.93,-41.53,-117.180494,46.732215,-206.4862175293441,78.41463160302798,950.14867352599,2.646660506219756,0.1441449009643844,0.183881202841068,0.0265055377727376
CM_001-2,-117.180494,46.732215,8.66,6.5,10.25,87.93,-47.82,-117.180494,46.732215,-206.4862175293441,78.41463160302798,950.14867352599,2.646660506219756,0.1441449009643844,0.183881202841068,0.0265055377727376
CM_001-3,-117.180494,46.732215,8.66,6.5,10.25,87.93,-42.31,-117.180494,46.732215,-206.4862175293441,78.41463160302798,950.14867352599,2.646660506219756,0.1441449009643844,0.183881202841068,0.0265055377727376
CM_002-1,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-83.28,-77.388447,38.7819267,-166.33395271548193,79.34998198732903,950.2264687502686,0.318506649537494,0.1456602839086987,0.0221287867077009,0.0032232853543987
CM_002-2,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-173.76,-77.388447,38.7819267,-166.33395271548193,79.34998198732903,950.2264687502686,0.318506649537494,0.1456602839086987,0.0221287867077009,0.0032232853543987
CM_003-1,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-6.67,-77.1803039,40.1046605,-61.45735620016946,82.6056768694762,950.5044108684996,0.6570202879509282,0.1511955552985712,0.0456475927137177,0.0069017131283935
CM_003-2,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-8.08,-77.1803039,40.1046605,-61.45735620016946,82.6056768694762,950.5044108684996,0.6570202879509282,0.1511955552985712,0.0456475927137177,0.0069017131283935
CM_003-3,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-9.91,-77.1803039,40.1046605,-61.45735620016946,82.6056768694762,950.5044108684996,0.6570202879509282,0.1511955552985712,0.0456475927137177,0.0069017131283935
CM_004-1,-73.19778,42.72306,14.89,6.5,11.31,111.85,-7.22,-73.19778,42.72306,-57.91804415362016,82.72098585388925,950.5145580562609,0.5613504249899378,0.1513674042027479,0.0390007676163675,0.0059034449560041
CM_004-2,-73.19778,42.72306,14.89,6.5,11.31,111.85,-17.87,-73.19778,42.72306,-57.91804415362016,82.72098585388925,950.5145580562609,0.5613504249899378,0.1513674042027479,0.0390007676163675,0.0059034449560041
CM_004-3,-73.19778,42.72306,14.89,6.5,11.31,111.85,-9.84,-73.19778,42.72306,-57.91804415362016,82.72098585388925,950.5145580562609,0.5613504249899378,0.1513674042027479,0.0390007676163675,0.0059034449560041
CM_005-1,-122.58061,48.81862,5.31,6.3,11.04,87.15,-1.16,-122.58061,48.81862,-78.37804925225232,82.02532002982848,950.4540874944852,2.442232573931892,0.1504697882960415,0.169678227432977,0.0255314469602876
CM_005-2,-122.58061,48.81862,5.31,6.3,11.04,87.15,-1.8,-122.58061,48.81862,-78.37804925225232,82.02532002982848,950.4540874944852,2.442232573931892,0.1504697882960415,0.169678227432977,0.0255314469602876
CM_005-3,-122.58061,48.81862,5.31,6.3,11.04,87.15,-2.56,-122.58061,48.81862,-78.37804925225232,82.02532002982848,950.4540874944852,2.442232573931892,0.1504697882960415,0.169678227432977,0.0255314469602876
CM_006-1,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-3657.26,-119.8217832,38.9745676,-2679.8828591160136,231.1357830230457,975.109632985623,5.355038635300129,0.4284308790490443,0.3720503416306386,0.1593978549153117
CM_006-2,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-2199.18,-119.8217832,38.9745676,-2679.8828591160136,231.1357830230457,975.109632985623,5.355038635300129,0.4284308790490443,0.3720503416306386,0.1593978549153117
CM_006-3,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-2196.81,-119.8217832,38.9745676,-2679.8828591160136,231.1357830230457,975.109632985623,5.355038635300129,0.4284308790490443,0.3720503416306386,0.1593978549153117
CM_007-1,-121.580361,39.007299,13.15,6.5,10.53,100.23,-2.13,-121.580361,39.007299,-63.35082175130695,82.53230804957096,950.497967189374,4.804334624187187,0.1511951449846841,0.3337892515758794,0.0504673142863442
CM_007-2,-121.580361,39.007299,13.15,6.5,10.53,100.23,-1.78,-121.580361,39.007299,-63.35082175130695,82.53230804957096,950.497967189374,4.804334624187187,0.1511951449846841,0.3337892515758794,0.0504673142863442
CM_007-3,-121.580361,39.007299,13.15,6.5,10.53,100.23,-6.94,-121.580361,39.007299,-63.35082175130695,82.53230804957096,950.497967189374,4.804334624187187,0.1511951449846841,0.3337892515758794,0.0504673142863442
CM_008-1,-117.611779,33.94849,29.98,9.5,18.88,249.65,-2719.07,-117.611779,33.94849,-3054.9383196862013,270.7440481390459,986.29160605839,4.093117946680207,0.5022727220328083,0.2843762732836977,0.1428344448637485
CM_008-2,-117.611779,33.94849,29.98,9.5,18.88,249.65,-3664.98,-117.611779,33.94849,-3054.9383196862013,270.7440481390459,986.29160605839,4.093117946680207,0.5022727220328083,0.2843762732836977,0.1428344448637485
CM_008-3,-117.611779,33.94849,29.98,9.5,18.88,249.65,-2756.74,-117.611779,33.94849,-3054.9383196862013,270.7440481390459,986.29160605839,4.093117946680207,0.5022727220328083,0.2843762732836977,0.1428344448637485
CM_009-1,-121.10824,37.7323106,16.62,6.25,9.35,95.97,-16.93,-121.10824,37.7323106,-86.60271713743411,81.75601189824704,950.4308629680776,5.098012385544488,0.1497417590342294,0.3541930093979145,0.053037484264871
CM_009-2,-121.10824,37.7323106,16.62,6.25,9.35,95.97,-15.64,-121.10824,37.7323106,-86.60271713743411,81.75601189824704,950.4308629680776,5.098012385544488,0.1497417590342294,0.3541930093979145,0.053037484264871
CM_009-3,-121.10824,37.7323106,16.62,6.25,9.35,95.97,-13.12,-121.10824,37.7323106,-86.60271713743411,81.75601189824704,950.4308629680776,5.098012385544488,0.1497417590342294,0.3541930093979145,0.053037484264871
CM_010-1,-79.8466751,33.666607,25.62,6.5,6.36,77.85,-6.64,-79.8466751,33.666607,-106.3079002830514,81.14965899120227,950.3789198124708,3.2562119934011924,0.1488174769438683,0.226230820554817,0.0336670999219088
CM_010-2,-79.8466751,33.666607,25.62,6.5,6.36,77.85,-4.16,-79.8466751,33.666607,-106.3079002830514,81.14965899120227,950.3789198124708,3.2562119934011924,0.1488174769438683,0.226230820554817,0.0336670999219088
CM_010-3,-79.8466751,33.666607,25.62,6.5,6.36,77.85,-5.69,-79.8466751,33.666607,-106.3079002830514,81.14965899120227,950.3789198124708,3.2562119934011924,0.1488174769438683,0.226230820554817,0.0336670999219088
CM_011-1,-73.506215,42.505483,24.95,6.5,8.49,102.7,-93.9,-73.506215,42.505483,-130.16394827765362,80.35311708298413,950.3112006422756,0.4863082337065104,0.1470580301912039,0.0337870848018931,0.0049686621368695
CM_011-2,-73.506215,42.505483,24.95,6.5,8.49,102.7,-82.29,-73.506215,42.505483,-130.16394827765362,80.35311708298413,950.3112006422756,0.4863082337065104,0.1470580301912039,0.0337870848018931,0.0049686621368695
CM_011-3,-73.506215,42.505483,24.95,6.5,8.49,102.7,-105.08,-73.506215,42.505483,-130.16394827765362,80.35311708298413,950.3112006422756,0.4863082337065104,0.1470580301912039,0.0337870848018931,0.0049686621368695
CM_012-1,-73.33724,42.763802,22.49,6.5,10.32,119.16,-38.69,-73.33724,42.763802,-81.62146621535756,81.88238626704994,950.4418845459584,0.999674338768174,0.1498114715964783,0.0694540608551999,0.0104050150650688
CM_012-2,-73.33724,42.763802,22.49,6.5,10.32,119.16,-33.77,-73.33724,42.763802,-81.62146621535756,81.88238626704994,950.4418845459584,0.999674338768174,0.1498114715964783,0.0694540608551999,0.0104050150650688
CM_012-3,-73.33724,42.763802,22.49,6.5,10.32,119.16,-28.09,-73.33724,42.763802,-81.62146621535756,81.88238626704994,950.4418845459584,0.999674338768174,0.1498114715964783,0.0694540608551999,0.0104050150650688
CM_013-1,-83.1577589,41.309341,24.56,7.0,8.56,102.8,-38.07,-83.1577589,41.309341,-192.53043645596216,78.86332871552113,950.1859819179688,3.2075368470088854,0.1448934129293337,0.2228490326579378,0.0322893569098091
CM_013-2,-83.1577589,41.309341,24.56,7.0,8.56,102.8,-35.25,-83.1577589,41.309341,-192.53043645596216,78.86332871552113,950.1859819179688,3.2075368470088854,0.1448934129293337,0.2228490326579378,0.0322893569098091
CM_013-3,-83.1577589,41.309341,24.56,7.0,8.56,102.8,-39.92,-83.1577589,41.309341,-192.53043645596216,78.86332871552113,950.1859819179688,3.2075368470088854,0.1448934129293337,0.2228490326579378,0.0322893569098091
CM_014-1,-77.4402867,35.3667814,27.92,6.5,5.15,65.74,-46.59,-77.4402867,35.3667814,-155.3757424390671,79.66425002613512,950.2528383358082,3.139898204115448,0.146361920070267,0.2181497238555604,0.0319288124462983
CM_014-2,-77.4402867,35.3667814,27.92,6.5,5.15,65.74,-56.28,-77.4402867,35.3667814,-155.3757424390671,79.66425002613512,950.2528383358082,3.139898204115448,0.146361920070267,0.2181497238555604,0.0319288124462983
CM_014-3,-77.4402867,35.3667814,27.92,6.5,5.15,65.74,-32.54,-77.4402867,35.3667814,-155.3757424390671,79.66425002613512,950.2528383358082,3.139898204115448,0.146361920070267,0.2181497238555604,0.0319288124462983
CM_015-1,-106.046835,39.480297,11.05,6.5,7.86,71.4,-40.73,-106.04683500000002,39.480297,-73.01088212032889,82.17896411729782,950.4674725403804,3.743566007838377,0.1504238564843513,0.2600905627369116,0.0391238254820713
CM_015-2,-106.046835,39.480297,11.05,6.5,7.86,71.4,-33.1,-106.04683500000002,39.480297,-73.01088212032889,82.17896411729782,950.4674725403804,3.743566007838377,0.1504238564843513,0.2600905627369116,0.0391238254820713
CM_015-3,-106.046835,39.480297,11.05,6.5,7.86,71.4,-22.8,-106.04683500000002,39.480297,-73.01088212032889,82.17896411729782,950.4674725403804,3.743566007838377,0.1504238564843513,0.2600905627369116,0.0391238254820713
CM_016-1,-83.96496,43.40991,26.1,7.2,11.35,140.2,-3860.77,-83.96496,43.40991,-3741.984057100515,332.3985337933258,1005.0237268273476,3.2651347651056257,0.6237596190835094,0.2268507451691874,0.1415003343955426
CM_016-2,-83.96496,43.40991,26.1,7.2,11.35,140.2,-3462.55,-83.96496,43.40991,-3741.984057100515,332.3985337933258,1005.0237268273476,3.2651347651056257,0.6237596190835094,0.2268507451691874,0.1415003343955426
CM_016-3,-83.96496,43.40991,26.1,7.2,11.35,140.2,-3840.88,-83.96496,43.40991,-3741.984057100515,332.3985337933258,1005.0237268273476,3.2651347651056257,0.6237596190835094,0.2268507451691874,0.1415003343955426
CM_017-1,-110.5660089,45.597409,0.38,6.0,11.69,80.84,-2.54,-110.5660089,45.597409,-46.69150883168882,83.12629488349417,950.5499042235806,1.1219709978006167,0.1521876453506809,0.0779508275215259,0.011863152893638
CM_017-2,-110.5660089,45.597409,0.38,6.0,11.69,80.84,-2.85,-110.5660089,45.597409,-46.69150883168882,83.12629488349417,950.5499042235806,1.1219709978006167,0.1521876453506809,0.0779508275215259,0.011863152893638
CM_017-3,-110.5660089,45.597409,0.38,6.0,11.69,80.84,-2.5,-110.5660089,45.597409,-46.69150883168882,83.12629488349417,950.5499042235806,1.1219709978006167,0.1521876453506809,0.0779508275215259,0.011863152893638
CM_018-1,-102.126046,41.316592,20.47,8.0,8.26,91.71,-1.78,-102.126046,41.316592,-160.01251860499292,80.14837060506379,950.29520860562,3.591954566414012,0.1465731588298306,0.2495571021181187,0.0365783727658712
CM_018-2,-102.126046,41.316592,20.47,8.0,8.26,91.71,-1.64,-102.126046,41.316592,-160.01251860499292,80.14837060506379,950.29520860562,3.591954566414012,0.1465731588298306,0.2495571021181187,0.0365783727658712
CM_018-3,-102.126046,41.316592,20.47,8.0,8.26,91.71,-0.86,-102.126046,41.316592,-160.01251860499292,80.14837060506379,950.29520860562,3.591954566414012,0.1465731588298306,0.2495571021181187,0.0365783727658712
CM_020-1,-79.04489,33.82767,30.16,6.5,4.36,57.87,-18.49,-79.04489,33.82767,-95.85394764534308,81.45454174848368,950.4048194255528,1.9647256366429324,0.149146597868747,0.1365026275450034,0.0203589024984819
CM_020-2,-79.04489,33.82767,30.16,6.5,4.36,57.87,-21.45,-79.04489,33.82767,-95.85394764534308,81.45454174848368,950.4048194255528,1.9647256366429324,0.149146597868747,0.1365026275450034,0.0203589024984819
CM_020-3,-79.04489,33.82767,30.16,6.5,4.36,57.87,-15.72,-79.04489,33.82767,-95.85394764534308,81.45454174848368,950.4048194255528,1.9647256366429324,0.149146597868747,0.1365026275450034,0.0203589024984819
CM_021-1,-111.0953268,32.3504894,32.44,7.0,4.87,67.11,-5.78,-111.0953268,32.3504894,-189.96429713291352,80.59907998790047,950.3326595298436,3.143018256537785,0.1472367914717675,0.2183664947602527,0.0321515820534361
CM_021-2,-111.0953268,32.3504894,32.44,7.0,4.87,67.11,-4.15,-111.0953268,32.3504894,-189.96429713291352,80.59907998790047,950.3326595298436,3.143018256537785,0.1472367914717675,0.2183664947602527,0.0321515820534361
CM_021-3,-111.0953268,32.3504894,32.44,7.0,4.87,67.11,-5.71,-111.0953268,32.3504894,-189.96429713291352,80.59907998790047,950.3326595298436,3.143018256537785,0.1472367914717675,0.2183664947602527,0.0321515820534361
CM_022-1,-123.2497244,44.550507,15.67,6.25,9.42,94.79,-6.39,-123.24972440000002,44.550507,-73.14569262402298,82.17573243042601,950.4672043642464,4.166436423928663,0.1505940683524924,0.289470198158172,0.0435924948074412
CM_022-2,-123.2497244,44.550507,15.67,6.25,9.42,94.79,-4.79,-123.24972440000002,44.550507,-73.14569262402298,82.17573243042601,950.4672043642464,4.166436423928663,0.1505940683524924,0.289470198158172,0.0435924948074412
CM_022-3,-123.2497244,44.550507,15.67,6.25,9.42,94.79,-9.54,-123.24972440000002,44.550507,-73.14569262402298,82.17573243042601,950.4672043642464,4.166436423928663,0.1505940683524924,0.289470198158172,0.0435924948074412
CM_023-1,-123.27687,44.55596,19.14,6.25,8.31,89.78,-2228.76,-123.27687,44.55596,-2087.6928062730285,189.8915435329804,966.769417126296,2.2016508596269606,0.3649355975511976,0.1529634070379944,0.0558217923508775
CM_023-2,-123.27687,44.55596,19.14,6.25,8.31,89.78,-2718.25,-123.27687,44.55596,-2087.6928062730285,189.8915435329804,966.769417126296,2.2016508596269606,0.3649355975511976,0.1529634070379944,0.0558217923508775
CM_023-3,-123.27687,44.55596,19.14,6.25,8.31,89.78,-2289.87,-123.27687,44.55596,-2087.6928062730285,189.8915435329804,966.769417126296,2.2016508596269606,0.3649355975511976,0.1529634070379944,0.0558217923508775
CM_024-1,-84.41527,33.68401,23.66,6.0,7.27,85.82,-4.93,-84.41527,33.68401,-75.74945044601961,82.13819908388125,950.4638945000734,0.8474366630698652,0.1504259438494841,0.0588770915539437,0.0088566420681144
