Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate,Observed_Normalized_Respiration_Rate,Predicted_Normalized_Respiration_Rate,Sample_Longitude,Sample_Latitude,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std
CM_001-1,-117.180494,46.732215,8.66,6.5,10.25,87.93,-41.53,-117.180494,46.732215,-206.4862175293441,78.41463160302798,950.14867352599,2.646660506219756,0.1441449009643844,0.183881202841068,0.0265055377727376,1.6183619311098782,2.314891068821899,-41.53,-206.4862175293441,0.0,0.0,72.25697794890898,9.33534573455974,113.29766077514904,0.0,0.0455300006224644,0.0,0.0083721112798133
CM_001-2,-117.180494,46.732215,8.66,6.5,10.25,87.93,-47.82,-117.180494,46.732215,-206.4862175293441,78.41463160302798,950.14867352599,2.646660506219756,0.1441449009643844,0.183881202841068,0.0265055377727376,1.6796095717797561,2.314891068821899,-47.82,-206.4862175293441,0.0,0.0,72.25697794890898,9.33534573455974,113.29766077514904,0.0,0.0455300006224644,0.0,0.0083721112798133
CM_001-3,-117.180494,46.732215,8.66,6.5,10.25,87.93,-42.31,-117.180494,46.732215,-206.4862175293441,78.41463160302798,950.14867352599,2.646660506219756,0.1441449009643844,0.183881202841068,0.0265055377727376,1.6264430253312947,2.314891068821899,-42.31,-206.4862175293441,0.0,0.0,72.25697794890898,9.33534573455974,113.29766077514904,0.0,0.0455300006224644,0.0,0.0083721112798133
CM_002-1,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-83.28,-77.388447,38.7819267,-166.33395271548193,79.34998198732903,950.2264687502686,0.318506649537494,0.1456602839086987,0.0221287867077009,0.0032232853543987,1.9205407165024797,2.2209809081006124,-83.28,-166.33395271548193,0.0,0.0,42.17423907651027,10.011767425699189,113.35405276906737,0.0,0.0462376214573568,0.0,0.0010231824631012
CM_002-2,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-173.76,-77.388447,38.7819267,-166.33395271548193,79.34998198732903,950.2264687502686,0.318506649537494,0.1456602839086987,0.0221287867077009,0.0032232853543987,2.239949807908753,2.2209809081006124,-173.76,-166.33395271548193,0.0,0.0,42.17423907651027,10.011767425699189,113.35405276906737,0.0,0.0462376214573568,0.0,0.0010231824631012
CM_003-1,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-6.67,-77.1803039,40.1046605,-61.45735620016946,82.6056768694762,950.5044108684996,0.6570202879509282,0.1511955552985712,0.0456475927137177,0.0069017131283935,0.8241258339165489,1.7885738736493875,-6.67,-61.45735620016946,0.0,0.0,8.7110994600608,10.85955007805823,113.4271038591248,0.0,0.0467758138165897,0.0,0.0021352032979523
CM_003-2,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-8.08,-77.1803039,40.1046605,-61.45735620016946,82.6056768694762,950.5044108684996,0.6570202879509282,0.1511955552985712,0.0456475927137177,0.0069017131283935,0.9074113607745862,1.7885738736493875,-8.08,-61.45735620016946,0.0,0.0,8.7110994600608,10.85955007805823,113.4271038591248,0.0,0.0467758138165897,0.0,0.0021352032979523
CM_003-3,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-9.91,-77.1803039,40.1046605,-61.45735620016946,82.6056768694762,950.5044108684996,0.6570202879509282,0.1511955552985712,0.0456475927137177,0.0069017131283935,0.9960736544852753,1.7885738736493875,-9.91,-61.45735620016946,0.0,0.0,8.7110994600608,10.85955007805823,113.4271038591248,0.0,0.0467758138165897,0.0,0.0021352032979523
CM_004-1,-73.19778,42.72306,14.89,6.5,11.31,111.85,-7.22,-73.19778,42.72306,-57.91804415362016,82.72098585388925,950.5145580562609,0.5613504249899378,0.1513674042027479,0.0390007676163675,0.0059034449560041,0.8585371975696391,1.762813887656769,-7.22,-57.91804415362016,0.0,0.0,8.661992061004169,10.799833357388742,113.42029344887769,0.0,0.0467382854307849,0.0,0.0018228290088734
CM_004-2,-73.19778,42.72306,14.89,6.5,11.31,111.85,-17.87,-73.19778,42.72306,-57.91804415362016,82.72098585388925,950.5145580562609,0.5613504249899378,0.1513674042027479,0.0390007676163675,0.0059034449560041,1.2521245525056444,1.762813887656769,-17.87,-57.91804415362016,0.0,0.0,8.661992061004169,10.799833357388742,113.42029344887769,0.0,0.0467382854307849,0.0,0.0018228290088734
