Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate
CM_001-1,-117.180494,46.732215,8.66,6.5,10.25,87.93,-41.53,-117.180494,46.732215,-219.4136918099,93.0451291396603,1098.4527603571655,2.615990018471621,0.1331511978943966,0.182069866051292,0.0242428207652018,1.6183619311098782,2.3412637248428574
CM_001-2,-117.180494,46.732215,8.66,6.5,10.25,87.93,-47.82,-117.180494,46.732215,-219.4136918099,93.0451291396603,1098.4527603571655,2.615990018471621,0.1331511978943966,0.182069866051292,0.0242428207652018,1.6796095717797561,2.3412637248428574
CM_001-3,-117.180494,46.732215,8.66,6.5,10.25,87.93,-42.31,-117.180494,46.732215,-219.4136918099,93.0451291396603,1098.4527603571655,2.615990018471621,0.1331511978943966,0.182069866051292,0.0242428207652018,1.6264430253312947,2.3412637248428574
CM_002-1,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-83.28,-77.388447,38.7819267,-172.0192407808875,94.1492203110544,1098.546496924728,0.2907296249118447,0.13408501344297,0.0202344441267279,0.0027131357127432,1.9205407165024797,2.235577026544878
CM_002-2,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-173.76,-77.388447,38.7819267,-172.0192407808875,94.1492203110544,1098.546496924728,0.2907296249118447,0.13408501344297,0.0202344441267279,0.0027131357127432,2.239949807908753,2.235577026544878
CM_003-1,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-6.67,-77.1803039,40.1046605,-64.24985352964232,98.00405552428836,1098.884461158782,0.6853012887535743,0.1394459032014963,0.0476961735202028,0.0066510359957799,0.8241258339165489,1.8078721419435562
CM_003-2,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-8.08,-77.1803039,40.1046605,-64.24985352964232,98.00405552428836,1098.884461158782,0.6853012887535743,0.1394459032014963,0.0476961735202028,0.0066510359957799,0.9074113607745862,1.8078721419435562
CM_003-3,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-9.91,-77.1803039,40.1046605,-64.24985352964232,98.00405552428836,1098.884461158782,0.6853012887535743,0.1394459032014963,0.0476961735202028,0.0066510359957799,0.9960736544852753,1.8078721419435562
CM_004-1,-73.19778,42.72306,14.89,6.5,11.31,111.85,-7.22,-73.19778,42.72306,-60.00274799981753,98.14057995792032,1098.8965775465103,0.5905678435957422,0.1396791094323964,0.041102835797706,0.0057412074993695,0.8585371975696391,1.7781711406141112
CM_004-2,-73.19778,42.72306,14.89,6.5,11.31,111.85,-17.87,-73.19778,42.72306,-60.00274799981753,98.14057995792032,1098.8965775465103,0.5905678435957422,0.1396791094323964,0.041102835797706,0.0057412074993695,1.2521245525056444,1.7781711406141112
