Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate,Sample_Longitude,Sample_Latitude,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std
CM_001-1,-117.180494,46.732215,8.66,6.5,10.25,87.93,-41.53,-117.180494,46.732215,-208.9197797892827,103.94435947507924,1122.91376796117,2.6401144351312817,0.1354357790721672,0.1811966606815864,0.0245405109046857,1.6183619311098782,2.3199795593995445,0.0,0.0,79.78277156563203,18.943047389379267,196.36968955787387,0.0,0.0331872579372478,0.0,0.0060134203154077
CM_001-2,-117.180494,46.732215,8.66,6.5,10.25,87.93,-47.82,-117.180494,46.732215,-208.9197797892827,103.94435947507924,1122.91376796117,2.6401144351312817,0.1354357790721672,0.1811966606815864,0.0245405109046857,1.6796095717797561,2.3199795593995445,0.0,0.0,79.78277156563203,18.943047389379267,196.36968955787387,0.0,0.0331872579372478,0.0,0.0060134203154077
CM_001-3,-117.180494,46.732215,8.66,6.5,10.25,87.93,-42.31,-117.180494,46.732215,-208.9197797892827,103.94435947507924,1122.91376796117,2.6401144351312817,0.1354357790721672,0.1811966606815864,0.0245405109046857,1.6264430253312947,2.3199795593995445,0.0,0.0,79.78277156563203,18.943047389379267,196.36968955787387,0.0,0.0331872579372478,0.0,0.0060134203154077
CM_002-1,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-83.28,-77.388447,38.7819267,-170.0753262117734,104.90413880213636,1123.0014666395607,0.4598222124469602,0.1367430112020055,0.0315585749973239,0.0043154145743783,1.9205407165024797,2.230641312628855,0.0,0.0,29.781655753115093,18.024534128232755,196.29307583916585,0.0,0.032670235020375,0.0,0.0010310260620707
CM_002-2,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-173.76,-77.388447,38.7819267,-170.0753262117734,104.90413880213636,1123.0014666395607,0.4598222124469602,0.1367430112020055,0.0315585749973239,0.0043154145743783,2.239949807908753,2.230641312628855,0.0,0.0,29.781655753115093,18.024534128232755,196.29307583916585,0.0,0.032670235020375,0.0,0.0010310260620707
CM_003-1,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-6.67,-77.1803039,40.1046605,-74.50983416954776,109.05321241860835,1123.3972647905937,0.5111584020709943,0.1418442500108803,0.0350818867175332,0.0049761639104151,0.8241258339165489,1.8722135968249043,0.0,0.0,21.70949606986889,19.10896239370619,196.39167369960896,0.0,0.0328032160944054,0.0,0.0011507987109947
CM_003-2,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-8.08,-77.1803039,40.1046605,-74.50983416954776,109.05321241860835,1123.3972647905937,0.5111584020709943,0.1418442500108803,0.0350818867175332,0.0049761639104151,0.9074113607745862,1.8722135968249043,0.0,0.0,21.70949606986889,19.10896239370619,196.39167369960896,0.0,0.0328032160944054,0.0,0.0011507987109947
CM_003-3,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-9.91,-77.1803039,40.1046605,-74.50983416954776,109.05321241860835,1123.3972647905937,0.5111584020709943,0.1418442500108803,0.0350818867175332,0.0049761639104151,0.9960736544852753,1.8722135968249043,0.0,0.0,21.70949606986889,19.10896239370619,196.39167369960896,0.0,0.0328032160944054,0.0,0.0011507987109947
CM_004-1,-73.19778,42.72306,14.89,6.5,11.31,111.85,-7.22,-73.19778,42.72306,-73.64563506334615,109.06855202369483,1123.3986367087143,0.5489947596928236,0.141929982243828,0.0376786762968792,0.0053477338577869,0.8585371975696391,1.8671470115441742,0.0,0.0,18.86252653311652,18.904381798975987,196.37261892492205,0.0,0.0329473853271805,0.0,0.0012414138665713
CM_004-2,-73.19778,42.72306,14.89,6.5,11.31,111.85,-17.87,-73.19778,42.72306,-73.64563506334615,109.06855202369483,1123.3986367087143,0.5489947596928236,0.141929982243828,0.0376786762968792,0.0053477338577869,1.2521245525056444,1.8671470115441742,0.0,0.0,18.86252653311652,18.904381798975987,196.37261892492205,0.0,0.0329473853271805,0.0,0.0012414138665713
CM_004-3,-73.19778,42.72306,14.89,6.5,11.31,111.85,-9.84,-73.19778,42.72306,-73.64563506334615,109.06855202369483,1123.3986367087143,0.5489947596928236,0.141929982243828,0.0376786762968792,0.0053477338577869,0.9929950984313415,1.8671470115441742,0.0,0.0,18.86252653311652,18.904381798975987,196.37261892492205,0.0,0.0329473853271805,0.0,0.0012414138665713
CM_005-1,-122.58061,48.81862,5.31,6.3,11.04,87.15,-1.16,-122.58061,48.81862,-79.97341187770749,108.9393933712123,1123.387600072548,2.587208856002545,0.1415327033616583,0.1775656384266455,0.0251313448306618,0.06445798922691845,1.9029456245661305,0.0,0.0,45.04908976060706,19.79818933171688,196.4511747413285,0.0,0.0326752999963094,0.0,0.0058020105046268
CM_005-2,-122.58061,48.81862,5.31,6.3,11.04,87.15,-1.8,-122.58061,48.81862,-79.97341187770749,108.9393933712123,1123.387600072548,2.587208856002545,0.1415327033616583,0.1775656384266455,0.0251313448306618,0.25527250510330607,1.9029456245661305,0.0,0.0,45.04908976060706,19.79818933171688,196.4511747413285,0.0,0.0326752999963094,0.0,0.0058020105046268
CM_005-3,-122.58061,48.81862,5.31,6.3,11.04,87.15,-2.56,-122.58061,48.81862,-79.97341187770749,108.9393933712123,1123.387600072548,2.587208856002545,0.1415327033616583,0.1775656384266455,0.0251313448306618,0.4082399653118496,1.9029456245661305,0.0,0.0,45.04908976060706,19.79818933171688,196.4511747413285,0.0,0.0326752999963094,0.0,0.0058020105046268
CM_006-1,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-3657.26,-119.8217832,38.9745676,-2522.505968671752,247.00531176450997,1145.8511172787337,5.361741103102718,0.3187761760717819,0.3679876790163106,0.1173057051583497,3.5631558360699276,3.4018322025236714,0.0,0.0,327.19697227106207,73.01465879915195,203.7093849908697,0.0,0.0930570765143532,0.0,0.0342438576025601
CM_006-2,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-2199.18,-119.8217832,38.9745676,-2522.505968671752,247.00531176450997,1145.8511172787337,5.361741103102718,0.3187761760717819,0.3679876790163106,0.1173057051583497,3.3422607772495927,3.4018322025236714,0.0,0.0,327.19697227106207,73.01465879915195,203.7093849908697,0.0,0.0930570765143532,0.0,0.0342438576025601
CM_006-3,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-2196.81,-119.8217832,38.9745676,-2522.505968671752,247.00531176450997,1145.8511172787337,5.361741103102718,0.3187761760717819,0.3679876790163106,0.1173057051583497,3.3417924968295583,3.4018322025236714,0.0,0.0,327.19697227106207,73.01465879915195,203.7093849908697,0.0,0.0930570765143532,0.0,0.0342438576025601
CM_007-1,-121.580361,39.007299,13.15,6.5,10.53,100.23,-2.13,-121.580361,39.007299,-70.89564206502413,109.2481299625252,1123.416838584149,4.88074657187104,0.1419795230755822,0.3349760028156343,0.0475597331215286,0.3283796034387377,1.8506195400451124,0.0,0.0,36.15532688761785,19.41890629562543,196.41803482740016,0.0,0.0324848670408953,0.0,0.0108816509133564
CM_007-2,-121.580361,39.007299,13.15,6.5,10.53,100.23,-1.78,-121.580361,39.007299,-70.89564206502413,109.2481299625252,1123.416838584149,4.88074657187104,0.1419795230755822,0.3349760028156343,0.0475597331215286,0.250420002308894,1.8506195400451124,0.0,0.0,36.15532688761785,19.41890629562543,196.41803482740016,0.0,0.0324848670408953,0.0,0.0108816509133564
CM_007-3,-121.580361,39.007299,13.15,6.5,10.53,100.23,-6.94,-121.580361,39.007299,-70.89564206502413,109.2481299625252,1123.416838584149,4.88074657187104,0.1419795230755822,0.3349760028156343,0.0475597331215286,0.8413594704548549,1.8506195400451124,0.0,0.0,36.15532688761785,19.41890629562543,196.41803482740016,0.0,0.0324848670408953,0.0,0.0108816509133564
CM_008-1,-117.611779,33.94849,29.98,9.5,18.88,249.65,-2719.07,-117.611779,33.94849,-3256.9486828348136,322.0067024017115,1164.4857168904457,4.148539886768002,0.415611029063243,0.2847231029776744,0.1183340618266309,3.434420388250395,3.5128109157840184,0.0,0.0,306.4487222054518,86.90351988018674,208.0897933586459,0.0,0.113222749081603,0.0,0.0322371324461766
CM_008-2,-117.611779,33.94849,29.98,9.5,18.88,249.65,-3664.98,-117.611779,33.94849,-3256.9486828348136,322.0067024017115,1164.4857168904457,4.148539886768002,0.415611029063243,0.2847231029776744,0.1183340618266309,3.564071609014435,3.5128109157840184,0.0,0.0,306.4487222054518,86.90351988018674,208.0897933586459,0.0,0.113222749081603,0.0,0.0322371324461766
CM_008-3,-117.611779,33.94849,29.98,9.5,18.88,249.65,-2756.74,-117.611779,33.94849,-3256.9486828348136,322.0067024017115,1164.4857168904457,4.148539886768002,0.415611029063243,0.2847231029776744,0.1183340618266309,3.440395807857696,3.5128109157840184,0.0,0.0,306.4487222054518,86.90351988018674,208.0897933586459,0.0,0.113222749081603,0.0,0.0322371324461766
CM_010-1,-79.8466751,33.666607,25.62,6.5,6.36,77.85,-6.64,-79.8466751,33.666607,-109.6948578595579,107.72224920303384,1123.2707894860896,3.421316190732264,0.1398905865460636,0.234812196262131,0.0328480158632789,0.8221680793680175,2.0401862697300346,0.0,0.0,61.00277720588246,20.06426608305629,196.4745629739529,0.0,0.0324916822253561,0.0,0.0076294432635871
CM_010-2,-79.8466751,33.666607,25.62,6.5,6.36,77.85,-4.16,-79.8466751,33.666607,-109.6948578595579,107.72224920303384,1123.2707894860896,3.421316190732264,0.1398905865460636,0.234812196262131,0.0328480158632789,0.6190933306267428,2.0401862697300346,0.0,0.0,61.00277720588246,20.06426608305629,196.4745629739529,0.0,0.0324916822253561,0.0,0.0076294432635871
CM_010-3,-79.8466751,33.666607,25.62,6.5,6.36,77.85,-5.69,-79.8466751,33.666607,-109.6948578595579,107.72224920303384,1123.2707894860896,3.421316190732264,0.1398905865460636,0.234812196262131,0.0328480158632789,0.7551122663950712,2.0401862697300346,0.0,0.0,61.00277720588246,20.06426608305629,196.4745629739529,0.0,0.0324916822253561,0.0,0.0076294432635871
CM_011-1,-73.506215,42.505483,24.95,6.5,8.49,102.7,-93.9,-73.506215,42.505483,-148.627390291344,105.8345355401092,1123.0891548613406,0.6061574253339613,0.1377011118868555,0.0416018714402431,0.0057286239538954,1.972665592266111,2.172098852198612,0.0,0.0,20.342911773759678,18.567563267041763,196.3411794142454,0.0,0.0320440763451803,0.0,0.0013330935445335
CM_011-2,-73.506215,42.505483,24.95,6.5,8.49,102.7,-82.29,-73.506215,42.505483,-148.627390291344,105.8345355401092,1123.0891548613406,0.6061574253339613,0.1377011118868555,0.0416018714402431,0.0057286239538954,1.915347062324192,2.172098852198612,0.0,0.0,20.342911773759678,18.567563267041763,196.3411794142454,0.0,0.0320440763451803,0.0,0.0013330935445335
CM_011-3,-73.506215,42.505483,24.95,6.5,8.49,102.7,-105.08,-73.506215,42.505483,-148.627390291344,105.8345355401092,1123.0891548613406,0.6061574253339613,0.1377011118868555,0.0416018714402431,0.0057286239538954,2.0215200641140325,2.172098852198612,0.0,0.0,20.342911773759678,18.567563267041763,196.3411794142454,0.0,0.0320440763451803,0.0,0.0013330935445335
CM_012-1,-73.33724,42.763802,22.49,6.5,10.32,119.16,-38.69,-73.33724,42.763802,-96.300890291214,108.0455935012172,1123.2997122007305,0.9642188901437616,0.1405790179957295,0.0661763902107021,0.0093030119503226,1.587598729721245,1.983630302148151,0.0,0.0,18.769652867311912,18.88669307057156,196.3713546995278,0.0,0.0326795602223131,0.0,0.0021626153291859
CM_012-2,-73.33724,42.763802,22.49,6.5,10.32,119.16,-33.77,-73.33724,42.763802,-96.300890291214,108.0455935012172,1123.2997122007305,0.9642188901437616,0.1405790179957295,0.0661763902107021,0.0093030119503226,1.5285310606354117,1.983630302148151,0.0,0.0,18.769652867311912,18.88669307057156,196.3713546995278,0.0,0.0326795602223131,0.0,0.0021626153291859
CM_012-3,-73.33724,42.763802,22.49,6.5,10.32,119.16,-28.09,-73.33724,42.763802,-96.300890291214,108.0455935012172,1123.2997122007305,0.9642188901437616,0.1405790179957295,0.0661763902107021,0.0093030119503226,1.448551739201578,1.983630302148151,0.0,0.0,18.769652867311912,18.88669307057156,196.3713546995278,0.0,0.0326795602223131,0.0,0.0021626153291859
CM_013-1,-83.1577589,41.309341,24.56,7.0,8.56,102.8,-38.07,-83.1577589,41.309341,-187.12727774438065,104.62590177306856,1122.976796516598,3.285691200021256,0.1360379566443273,0.2255039651132098,0.0306770986291946,1.5805828768143673,2.272137099688024,0.0,0.0,61.31175537238684,19.242449292001872,196.4004786877176,0.0,0.0320875254447036,0.0,0.0072358642184516
CM_013-2,-83.1577589,41.309341,24.56,7.0,8.56,102.8,-35.25,-83.1577589,41.309341,-187.12727774438065,104.62590177306856,1122.976796516598,3.285691200021256,0.1360379566443273,0.2255039651132098,0.0306770986291946,1.5471591213274176,2.272137099688024,0.0,0.0,61.31175537238684,19.242449292001872,196.4004786877176,0.0,0.0320875254447036,0.0,0.0072358642184516
CM_013-3,-83.1577589,41.309341,24.56,7.0,8.56,102.8,-39.92,-83.1577589,41.309341,-187.12727774438065,104.62590177306856,1122.976796516598,3.285691200021256,0.1360379566443273,0.2255039651132098,0.0306770986291946,1.6011905326153335,2.272137099688024,0.0,0.0,61.31175537238684,19.242449292001872,196.4004786877176,0.0,0.0320875254447036,0.0,0.0072358642184516
