Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric,Log_Observed_Normalized_Respiration_Rate,Log_Predicted_Normalized_Respiration_Rate,Observed_Normalized_Respiration_Rate,Predicted_Normalized_Respiration_Rate,Sample_Longitude,Sample_Latitude,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,mean.error_pre_std,predict.error_pre_std,pca.dist_pre_std,mean.error.scaled_pre_std,pca.dist.scaled_pre_std,combined.metric_pre_std
CM_001-1,-117.180494,46.732215,8.66,6.5,10.25,87.93,-41.53,-117.180494,46.732215,-250.60806875673703,112.61297029552574,1144.766528215558,2.521517386394006,0.1920242539867634,0.1731581279326281,0.0332505603380074,1.6183619311098782,2.3989950497391925,-41.53,-250.60806875673703,0.0,0.0,181.12136783382263,36.223516368654266,350.7461585113172,0.0,0.048633343538311,0.0,0.0084212587221983
CM_001-2,-117.180494,46.732215,8.66,6.5,10.25,87.93,-47.82,-117.180494,46.732215,-250.60806875673703,112.61297029552574,1144.766528215558,2.521517386394006,0.1920242539867634,0.1731581279326281,0.0332505603380074,1.6796095717797561,2.3989950497391925,-47.82,-250.60806875673703,0.0,0.0,181.12136783382263,36.223516368654266,350.7461585113172,0.0,0.048633343538311,0.0,0.0084212587221983
CM_001-3,-117.180494,46.732215,8.66,6.5,10.25,87.93,-42.31,-117.180494,46.732215,-250.60806875673703,112.61297029552574,1144.766528215558,2.521517386394006,0.1920242539867634,0.1731581279326281,0.0332505603380074,1.6264430253312947,2.3989950497391925,-42.31,-250.60806875673703,0.0,0.0,181.12136783382263,36.223516368654266,350.7461585113172,0.0,0.048633343538311,0.0,0.0084212587221983
CM_002-1,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-83.28,-77.388447,38.7819267,-241.92802677591948,112.3526615105298,1144.7445166865568,0.4272385377653948,0.1907423421899133,0.0293394072074699,0.0055962672492164,1.9205407165024797,2.383686183240173,-83.28,-241.92802677591948,0.0,0.0,94.28690590538446,38.042439352681214,350.92574665098493,0.0,0.0472828767455266,0.0,0.0013872515747776
CM_002-2,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-173.76,-77.388447,38.7819267,-241.92802677591948,112.3526615105298,1144.7445166865568,0.4272385377653948,0.1907423421899133,0.0293394072074699,0.0055962672492164,2.239949807908753,2.383686183240173,-173.76,-241.92802677591948,0.0,0.0,94.28690590538446,38.042439352681214,350.92574665098493,0.0,0.0472828767455266,0.0,0.0013872515747776
CM_003-1,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-6.67,-77.1803039,40.1046605,-95.21244113978597,118.59455072468356,1145.3789623404978,0.5788931780643899,0.2009533301547089,0.0397538638946097,0.0079886713361388,0.8241258339165489,1.9786937001212095,-6.67,-95.21244113978597,0.0,0.0,28.50398333656955,41.88550847064623,351.345084380138,0.0,0.0513579817173146,0.0,0.0020416782150919
CM_003-2,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-8.08,-77.1803039,40.1046605,-95.21244113978597,118.59455072468356,1145.3789623404978,0.5788931780643899,0.2009533301547089,0.0397538638946097,0.0079886713361388,0.9074113607745862,1.9786937001212095,-8.08,-95.21244113978597,0.0,0.0,28.50398333656955,41.88550847064623,351.345084380138,0.0,0.0513579817173146,0.0,0.0020416782150919
CM_003-3,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-9.91,-77.1803039,40.1046605,-95.21244113978597,118.59455072468356,1145.3789623404978,0.5788931780643899,0.2009533301547089,0.0397538638946097,0.0079886713361388,0.9960736544852753,1.9786937001212095,-9.91,-95.21244113978597,0.0,0.0,28.50398333656955,41.88550847064623,351.345084380138,0.0,0.0513579817173146,0.0,0.0020416782150919
CM_004-1,-73.19778,42.72306,14.89,6.5,11.31,111.85,-7.22,-73.19778,42.72306,-93.82012453245252,118.68712787505362,1145.389128775745,0.6678580808929752,0.2011111391551697,0.0458632788479352,0.0092236162544994,0.8585371975696391,1.9722960050737388,-7.22,-93.82012453245252,0.0,0.0,29.04353700336047,42.03072258013778,351.36033520706656,0.0,0.0514248327959722,0.0,0.0023585114462301
CM_004-2,-73.19778,42.72306,14.89,6.5,11.31,111.85,-17.87,-73.19778,42.72306,-93.82012453245252,118.68712787505362,1145.389128775745,0.6678580808929752,0.2011111391551697,0.0458632788479352,0.0092236162544994,1.2521245525056444,1.9722960050737388,-17.87,-93.82012453245252,0.0,0.0,29.04353700336047,42.03072258013778,351.36033520706656,0.0,0.0514248327959722,0.0,0.0023585114462301
