Sample_ID,Sample_Longitude_obs,Sample_Latitude_obs,Mean_Temp_Deg_C,pH,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_obs,Sample_Longitude_pre_avg,Sample_Latitude_pre_avg,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment_pre_avg,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric
CM_001-1,-117.180494,46.732215,8.66,6.5,10.25,87.93,-41.54,-117.180494,46.732215,-229.89375342095795,71.84811499008285,899.2757287787084,2.639314174518227,0.1063766475460225,0.183886366623824,0.0195612152108611
CM_001-2,-117.180494,46.732215,8.66,6.5,10.25,87.93,-47.82,-117.180494,46.732215,-229.89375342095795,71.84811499008285,899.2757287787084,2.639314174518227,0.1063766475460225,0.183886366623824,0.0195612152108611
CM_001-3,-117.180494,46.732215,8.66,6.5,10.25,87.93,-42.32,-117.180494,46.732215,-229.89375342095795,71.84811499008285,899.2757287787084,2.639314174518227,0.1063766475460225,0.183886366623824,0.0195612152108611
CM_002-1,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-83.28,-77.388447,38.7819267,-141.5831485728676,72.70137623291363,899.3435707760112,0.303651660066543,0.1080531665976994,0.0211560264511221,0.0022859756506683
CM_002-2,-77.388447,38.7819267,19.95,6.5,9.42,103.51,-173.76,-77.388447,38.7819267,-141.5831485728676,72.70137623291363,899.3435707760112,0.303651660066543,0.1080531665976994,0.0211560264511221,0.0022859756506683
CM_003-1,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-6.67,-77.1803039,40.1046605,-62.58827115820255,74.8355686795953,899.519916180004,0.6571034228972674,0.1107068578189136,0.045781726972581,0.0050683511386578
CM_003-2,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-8.08,-77.1803039,40.1046605,-62.58827115820255,74.8355686795953,899.519916180004,0.6571034228972674,0.1107068578189136,0.045781726972581,0.0050683511386578
CM_003-3,-77.1803039,40.1046605,14.93,6.5,9.42,93.22,-9.91,-77.1803039,40.1046605,-62.58827115820255,74.8355686795953,899.519916180004,0.6571034228972674,0.1107068578189136,0.045781726972581,0.0050683511386578
CM_004-1,-73.19778,42.72306,14.89,6.5,11.31,111.85,-7.22,-73.19778,42.72306,-60.09561238477844,74.89341468625322,899.5248353714785,0.568610892180014,0.1107881234643592,0.039616273043659,0.0043890125491586
CM_004-2,-73.19778,42.72306,14.89,6.5,11.31,111.85,-17.87,-73.19778,42.72306,-60.09561238477844,74.89341468625322,899.5248353714785,0.568610892180014,0.1107881234643592,0.039616273043659,0.0043890125491586
CM_004-3,-73.19778,42.72306,14.89,6.5,11.31,111.85,-9.84,-73.19778,42.72306,-60.09561238477844,74.89341468625322,899.5248353714785,0.568610892180014,0.1107881234643592,0.039616273043659,0.0043890125491586
CM_005-1,-122.58061,48.81862,5.31,6.3,11.04,87.15,-1.16,-122.58061,48.81862,-72.41822388829003,74.62282414415293,899.5026078255066,2.431658339640034,0.1103116852695431,0.1694185638314725,0.0186888472921953
CM_005-2,-122.58061,48.81862,5.31,6.3,11.04,87.15,-1.8,-122.58061,48.81862,-72.41822388829003,74.62282414415293,899.5026078255066,2.431658339640034,0.1103116852695431,0.1694185638314725,0.0186888472921953
CM_005-3,-122.58061,48.81862,5.31,6.3,11.04,87.15,-2.56,-122.58061,48.81862,-72.41822388829003,74.62282414415293,899.5026078255066,2.431658339640034,0.1103116852695431,0.1694185638314725,0.0186888472921953
CM_006-1,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-3657.26,-119.8217832,38.9745676,-2756.0208071810416,231.9718542305804,927.1507262302006,5.361758187168161,0.341269676876531,0.3735645575176239,0.1274862558365637
CM_006-2,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-2199.18,-119.8217832,38.9745676,-2756.0208071810416,231.9718542305804,927.1507262302006,5.361758187168161,0.341269676876531,0.3735645575176239,0.1274862558365637
CM_006-3,-119.8217832,38.9745676,17.8,7.5,7.63,80.23,-2196.81,-119.8217832,38.9745676,-2756.0208071810416,231.9718542305804,927.1507262302006,5.361758187168161,0.341269676876531,0.3735645575176239,0.1274862558365637
CM_007-1,-121.580361,39.007299,13.15,6.5,10.53,100.23,-2.13,-121.580361,39.007299,-67.31746868565513,74.72541352082587,899.5109498315754,4.799644345548141,0.1104737369368053,0.3344009471515586,0.0369425222670398
CM_007-2,-121.580361,39.007299,13.15,6.5,10.53,100.23,-1.78,-121.580361,39.007299,-67.31746868565513,74.72541352082587,899.5109498315754,4.799644345548141,0.1104737369368053,0.3344009471515586,0.0369425222670398
CM_007-3,-121.580361,39.007299,13.15,6.5,10.53,100.23,-6.94,-121.580361,39.007299,-67.31746868565513,74.72541352082587,899.5109498315754,4.799644345548141,0.1104737369368053,0.3344009471515586,0.0369425222670398
CM_008-1,-117.611779,33.94849,29.98,9.5,18.88,249.65,-2719.07,-117.611779,33.94849,-3291.5824587135157,284.39799956528793,941.7099361690132,4.082852203160725,0.4167193687908762,0.2844605861438781,0.1185402359037595
CM_008-2,-117.611779,33.94849,29.98,9.5,18.88,249.65,-3664.98,-117.611779,33.94849,-3291.5824587135157,284.39799956528793,941.7099361690132,4.082852203160725,0.4167193687908762,0.2844605861438781,0.1185402359037595
CM_008-3,-117.611779,33.94849,29.98,9.5,18.88,249.65,-2756.74,-117.611779,33.94849,-3291.5824587135157,284.39799956528793,941.7099361690132,4.082852203160725,0.4167193687908762,0.2844605861438781,0.1185402359037595
CM_009-1,-121.10824,37.7323106,16.62,6.25,9.35,95.97,-16.93,-121.10824,37.7323106,-79.19221778905471,74.3505464826146,899.479427916488,5.099192099461111,0.1099349380874196,0.3552710461451497,0.0390567004622198
CM_009-2,-121.10824,37.7323106,16.62,6.25,9.35,95.97,-15.64,-121.10824,37.7323106,-79.19221778905471,74.3505464826146,899.479427916488,5.099192099461111,0.1099349380874196,0.3552710461451497,0.0390567004622198
CM_009-3,-121.10824,37.7323106,16.62,6.25,9.35,95.97,-13.12,-121.10824,37.7323106,-79.19221778905471,74.3505464826146,899.479427916488,5.099192099461111,0.1099349380874196,0.3552710461451497,0.0390567004622198
CM_010-1,-79.8466751,33.666607,25.62,6.5,6.36,77.85,-6.64,-79.8466751,33.666607,-89.6915084542069,74.15970469983871,899.4640873781606,3.2366595403171674,0.1097164645005572,0.2255046286696437,0.0247415705861442
CM_010-2,-79.8466751,33.666607,25.62,6.5,6.36,77.85,-4.16,-79.8466751,33.666607,-89.6915084542069,74.15970469983871,899.4640873781606,3.2366595403171674,0.1097164645005572,0.2255046286696437,0.0247415705861442
CM_010-3,-79.8466751,33.666607,25.62,6.5,6.36,77.85,-5.69,-79.8466751,33.666607,-89.6915084542069,74.15970469983871,899.4640873781606,3.2366595403171674,0.1097164645005572,0.2255046286696437,0.0247415705861442
CM_011-1,-73.506215,42.505483,24.95,6.5,8.49,102.7,-93.9,-73.506215,42.505483,-132.8443204430426,72.87480250448343,899.3580044215136,0.4943612178661259,0.1078952853639761,0.0344431477808906,0.0037162532586527
CM_011-2,-73.506215,42.505483,24.95,6.5,8.49,102.7,-82.29,-73.506215,42.505483,-132.8443204430426,72.87480250448343,899.3580044215136,0.4943612178661259,0.1078952853639761,0.0344431477808906,0.0037162532586527
CM_011-3,-73.506215,42.505483,24.95,6.5,8.49,102.7,-105.08,-73.506215,42.505483,-132.8443204430426,72.87480250448343,899.3580044215136,0.4943612178661259,0.1078952853639761,0.0344431477808906,0.0037162532586527
CM_012-1,-73.33724,42.763802,22.49,6.5,10.32,119.16,-38.69,-73.33724,42.763802,-83.4611772821531,74.17077047402454,899.4645079270258,1.0053353910273628,0.1097745538489886,0.0700437538202924,0.0076890218255309
CM_012-2,-73.33724,42.763802,22.49,6.5,10.32,119.16,-33.77,-73.33724,42.763802,-83.4611772821531,74.17077047402454,899.4645079270258,1.0053353910273628,0.1097745538489886,0.0700437538202924,0.0076890218255309
CM_012-3,-73.33724,42.763802,22.49,6.5,10.32,119.16,-28.09,-73.33724,42.763802,-83.4611772821531,74.17077047402454,899.4645079270258,1.0053353910273628,0.1097745538489886,0.0700437538202924,0.0076890218255309
CM_013-1,-83.1577589,41.309341,24.56,7.0,8.56,102.8,-38.07,-83.1577589,41.309341,-171.0002662818675,72.45024190306393,899.3240400803573,3.188952565762363,0.1071964682667228,0.2221807870829938,0.0238169956920176
CM_013-2,-83.1577589,41.309341,24.56,7.0,8.56,102.8,-35.25,-83.1577589,41.309341,-171.0002662818675,72.45024190306393,899.3240400803573,3.188952565762363,0.1071964682667228,0.2221807870829938,0.0238169956920176
CM_013-3,-83.1577589,41.309341,24.56,7.0,8.56,102.8,-39.92,-83.1577589,41.309341,-171.0002662818675,72.45024190306393,899.3240400803573,3.188952565762363,0.1071964682667228,0.2221807870829938,0.0238169956920176
CM_014-1,-77.4402867,35.3667814,27.92,6.5,5.15,65.74,-46.59,-77.4402867,35.3667814,-139.08119443158537,72.97914577208584,899.3669793186657,3.11964457815476,0.1080237585683764,0.2173519591464722,0.0234791755592021
CM_014-2,-77.4402867,35.3667814,27.92,6.5,5.15,65.74,-56.28,-77.4402867,35.3667814,-139.08119443158537,72.97914577208584,899.3669793186657,3.11964457815476,0.1080237585683764,0.2173519591464722,0.0234791755592021
CM_014-3,-77.4402867,35.3667814,27.92,6.5,5.15,65.74,-32.54,-77.4402867,35.3667814,-139.08119443158537,72.97914577208584,899.3669793186657,3.11964457815476,0.1080237585683764,0.2173519591464722,0.0234791755592021
CM_015-1,-106.046835,39.480297,11.05,6.5,7.86,71.4,-40.73,-106.04683500000002,39.480297,-72.09763700269943,74.54937310792869,899.4961109393329,3.716099538455174,0.1103132556420786,0.2589081848369666,0.0285610047817468
CM_015-2,-106.046835,39.480297,11.05,6.5,7.86,71.4,-33.1,-106.04683500000002,39.480297,-72.09763700269943,74.54937310792869,899.4961109393329,3.716099538455174,0.1103132556420786,0.2589081848369666,0.0285610047817468
CM_015-3,-106.046835,39.480297,11.05,6.5,7.86,71.4,-22.8,-106.04683500000002,39.480297,-72.09763700269943,74.54937310792869,899.4961109393329,3.716099538455174,0.1103132556420786,0.2589081848369666,0.0285610047817468
CM_016-1,-83.96496,43.40991,26.1,7.2,11.35,140.2,-3860.77,-83.96496,43.40991,-3672.561212644636,315.0065055716536,951.922034228946,3.2479149903225646,0.4705165125512615,0.2262888186786208,0.1064726257940094
CM_016-2,-83.96496,43.40991,26.1,7.2,11.35,140.2,-3462.55,-83.96496,43.40991,-3672.561212644636,315.0065055716536,951.922034228946,3.2479149903225646,0.4705165125512615,0.2262888186786208,0.1064726257940094
CM_016-3,-83.96496,43.40991,26.1,7.2,11.35,140.2,-3840.88,-83.96496,43.40991,-3672.561212644636,315.0065055716536,951.922034228946,3.2479149903225646,0.4705165125512615,0.2262888186786208,0.1064726257940094
CM_017-1,-110.5660089,45.597409,0.38,6.0,11.69,80.84,-2.54,-110.5660089,45.597409,-48.78348482198748,75.28836593161736,899.5580398373713,1.0881320817382356,0.1112964756889024,0.0758123670343968,0.0084376492645618
CM_017-2,-110.5660089,45.597409,0.38,6.0,11.69,80.84,-2.85,-110.5660089,45.597409,-48.78348482198748,75.28836593161736,899.5580398373713,1.0881320817382356,0.1112964756889024,0.0758123670343968,0.0084376492645618
CM_017-3,-110.5660089,45.597409,0.38,6.0,11.69,80.84,-2.5,-110.5660089,45.597409,-48.78348482198748,75.28836593161736,899.5580398373713,1.0881320817382356,0.1112964756889024,0.0758123670343968,0.0084376492645618
CM_018-1,-102.126046,41.316592,20.47,8.0,8.26,91.71,-1.78,-102.126046,41.316592,-131.78613883796635,73.35103266510434,899.3984880437089,3.6290323619956006,0.108002747906577,0.2528420382273957,0.0273076349148585
CM_018-2,-102.126046,41.316592,20.47,8.0,8.26,91.71,-1.64,-102.126046,41.316592,-131.78613883796635,73.35103266510434,899.3984880437089,3.6290323619956006,0.108002747906577,0.2528420382273957,0.0273076349148585
CM_018-3,-102.126046,41.316592,20.47,8.0,8.26,91.71,-0.86,-102.126046,41.316592,-131.78613883796635,73.35103266510434,899.3984880437089,3.6290323619956006,0.108002747906577,0.2528420382273957,0.0273076349148585
CM_020-1,-79.04489,33.82767,30.16,6.5,4.36,57.87,-18.49,-79.04489,33.82767,-96.02430472004748,74.03051373483979,899.4535743549523,1.9577814891537204,0.1096265098586195,0.1364026034337394,0.0149533413500701
CM_020-2,-79.04489,33.82767,30.16,6.5,4.36,57.87,-21.45,-79.04489,33.82767,-96.02430472004748,74.03051373483979,899.4535743549523,1.9577814891537204,0.1096265098586195,0.1364026034337394,0.0149533413500701
CM_020-3,-79.04489,33.82767,30.16,6.5,4.36,57.87,-15.72,-79.04489,33.82767,-96.02430472004748,74.03051373483979,899.4535743549523,1.9577814891537204,0.1096265098586195,0.1364026034337394,0.0149533413500701
CM_021-1,-111.0953268,32.3504894,32.44,7.0,4.87,67.11,-5.78,-111.0953268,32.3504894,-120.73861873494953,73.6018092165865,899.418717135515,3.13791336092841,0.1084778023414472,0.2186247822606434,0.0237159359170119
CM_021-2,-111.0953268,32.3504894,32.44,7.0,4.87,67.11,-4.15,-111.0953268,32.3504894,-120.73861873494953,73.6018092165865,899.418717135515,3.13791336092841,0.1084778023414472,0.2186247822606434,0.0237159359170119
CM_021-3,-111.0953268,32.3504894,32.44,7.0,4.87,67.11,-5.71,-111.0953268,32.3504894,-120.73861873494953,73.6018092165865,899.418717135515,3.13791336092841,0.1084778023414472,0.2186247822606434,0.0237159359170119
CM_022-1,-123.2497244,44.550507,15.67,6.25,9.42,94.79,-6.39,-123.24972440000002,44.550507,-73.13538725254253,74.60043408184099,899.5006004152219,4.159367577890341,0.1103307529264887,0.2897915673456359,0.0319729218169912
CM_022-2,-123.2497244,44.550507,15.67,6.25,9.42,94.79,-4.79,-123.24972440000002,44.550507,-73.13538725254253,74.60043408184099,899.5006004152219,4.159367577890341,0.1103307529264887,0.2897915673456359,0.0319729218169912
CM_022-3,-123.2497244,44.550507,15.67,6.25,9.42,94.79,-9.54,-123.24972440000002,44.550507,-73.13538725254253,74.60043408184099,899.5006004152219,4.159367577890341,0.1103307529264887,0.2897915673456359,0.0319729218169912
CM_023-1,-123.27687,44.55596,19.14,6.25,8.31,89.78,-2228.76,-123.27687,44.55596,-2232.329548476683,187.41825739968223,916.4284054675504,2.1997405746391827,0.2851626916365052,0.1532603832051327,0.0437041433960178
CM_023-2,-123.27687,44.55596,19.14,6.25,8.31,89.78,-2718.25,-123.27687,44.55596,-2232.329548476683,187.41825739968223,916.4284054675504,2.1997405746391827,0.2851626916365052,0.1532603832051327,0.0437041433960178
CM_023-3,-123.27687,44.55596,19.14,6.25,8.31,89.78,-2289.87,-123.27687,44.55596,-2232.329548476683,187.41825739968223,916.4284054675504,2.1997405746391827,0.2851626916365052,0.1532603832051327,0.0437041433960178
CM_024-1,-84.41527,33.68401,23.66,6.0,7.27,85.82,-4.93,-84.41527,33.68401,-60.96327184352665,74.87701393395166,899.5232798875152,0.8380296518999713,0.1108071930377111,0.0583872239609529,0.0064697243963773
CM_024-2,-84.41527,33.68401,23.66,6.0,7.27,85.82,-5.02,-84.41527,33.68401,-60.96327184352665,74.87701393395166,899.5232798875152,0.8380296518999713,0.1108071930377111,0.0583872239609529,0.0064697243963773
CM_024-3,-84.41527,33.68401,23.66,6.0,7.27,85.82,-5.3,-84.41527,33.68401,-60.96327184352665,74.87701393395166,899.5232798875152,0.8380296518999713,0.1108071930377111,0.0583872239609529,0.0064697243963773
CM_027-1,-95.28318,29.33381,32.93,7.5,10.96,152.38,-3293.85,-95.28318,29.33381,-2527.7957644890857,208.07448093445652,922.0071524270796,2.779878863030391,0.3285391337167353,0.1936797933009756,0.0636313915095388
CM_027-2,-95.28318,29.33381,32.93,7.5,10.96,152.38,-2717.18,-95.28318,29.33381,-2527.7957644890857,208.07448093445652,922.0071524270796,2.779878863030391,0.3285391337167353,0.1936797933009756,0.0636313915095388
CM_027-3,-95.28318,29.33381,32.93,7.5,10.96,152.38,-1941.4,-95.28318,29.33381,-2527.7957644890857,208.07448093445652,922.0071524270796,2.779878863030391,0.3285391337167353,0.1936797933009756,0.0636313915095388
CM_028-1,-96.57826799,28.83182444,33.25,8.0,8.1,113.29,-42.78,-96.57826799,28.83182444,-259.7230350957331,72.10959265260996,899.2968678611785,3.904027755901948,0.1068311318267931,0.2720015245484799,0.0290582307261273
CM_028-2,-96.57826799,28.83182444,33.25,8.0,8.1,113.29,-30.01,-96.57826799,28.83182444,-259.7230350957331,72.10959265260996,899.2968678611785,3.904027755901948,0.1068311318267931,0.2720015245484799,0.0290582307261273
CM_028-3,-96.57826799,28.83182444,33.25,8.0,8.1,113.29,-41.12,-96.57826799,28.83182444,-259.7230350957331,72.10959265260996,899.2968678611785,3.904027755901948,0.1068311318267931,0.2720015245484799,0.0290582307261273
CM_032-1,-96.798,46.804,15.02,7.6,9.38,93.04,-4001.81,-96.798,46.804,-4336.020453410196,370.18339116981446,971.4286195628914,4.170186099097797,0.5469708892869957,0.2905453156399044,0.1589198296737293
CM_032-2,-96.798,46.804,15.02,7.6,9.38,93.04,-3971.85,-96.798,46.804,-4336.020453410196,370.18339116981446,971.4286195628914,4.170186099097797,0.5469708892869957,0.2905453156399044,0.1589198296737293
CM_032-3,-96.798,46.804,15.02,7.6,9.38,93.04,-4007.87,-96.798,46.804,-4336.020453410196,370.18339116981446,971.4286195628914,4.170186099097797,0.5469708892869957,0.2905453156399044,0.1589198296737293
CM_033-1,-111.3042085,32.4712725,28.8,7.5,6.33,82.03,-4.36,-111.3042085,32.4712725,-125.10079763250636,73.51527898257686,899.4117951888254,3.590944385857232,0.1083630129407912,0.2501883717515514,0.0271111657657488
CM_033-2,-111.3042085,32.4712725,28.8,7.5,6.33,82.03,-2.98,-111.3042085,32.4712725,-125.10079763250636,73.51527898257686,899.4117951888254,3.590944385857232,0.1083630129407912,0.2501883717515514,0.0271111657657488
CM_033-3,-111.3042085,32.4712725,28.8,7.5,6.33,82.03,-2.16,-111.3042085,32.4712725,-125.10079763250636,73.51527898257686,899.4117951888254,3.590944385857232,0.1083630129407912,0.2501883717515514,0.0271111657657488
CM_034-1,-84.37418,46.49794,20.7,6.5,6.22,69.32,-1542.53,-84.37418,46.49794,-2006.2533911886896,166.9104931268003,911.9190180200524,3.9480896008657047,0.248563811035838,0.2750714025703362,0.0683727961298559
CM_034-2,-84.37418,46.49794,20.7,6.5,6.22,69.32,-1776.15,-84.37418,46.49794,-2006.2533911886896,166.9104931268003,911.9190180200524,3.9480896008657047,0.248563811035838,0.2750714025703362,0.0683727961298559
CM_034-3,-84.37418,46.49794,20.7,6.5,6.22,69.32,-1842.39,-84.37418,46.49794,-2006.2533911886896,166.9104931268003,911.9190180200524,3.9480896008657047,0.248563811035838,0.2750714025703362,0.0683727961298559
CM_035-1,-92.785556,45.084433,7.86,6.5,13.12,110.39,-2420.28,-92.785556,45.084433,-2715.472381149403,230.7009508906536,926.3812326968076,1.4932773940657689,0.3442211489586037,0.1040396618967766,0.035812651955373
CM_035-2,-92.785556,45.084433,7.86,6.5,13.12,110.39,-3023.27,-92.785556,45.084433,-2715.472381149403,230.7009508906536,926.3812326968076,1.4932773940657689,0.3442211489586037,0.1040396618967766,0.035812651955373
CM_035-3,-92.785556,45.084433,7.86,6.5,13.12,110.39,-2757.22,-92.785556,45.084433,-2715.472381149403,230.7009508906536,926.3812326968076,1.4932773940657689,0.3442211489586037,0.1040396618967766,0.035812651955373
CM_037-1,-72.8972,41.3825,10.8,6.5,9.86,89.03,-6.16,-72.8972,41.3825,-52.242702246002594,75.14734533950069,899.5461758166408,0.5942784683803649,0.1111663229292709,0.0414045850881636,0.0046027954766632
CM_037-2,-72.8972,41.3825,10.8,6.5,9.86,89.03,-6.7,-72.8972,41.3825,-52.242702246002594,75.14734533950069,899.5461758166408,0.5942784683803649,0.1111663229292709,0.0414045850881636,0.0046027954766632
CM_037-3,-72.8972,41.3825,10.8,6.5,9.86,89.03,-8.2,-72.8972,41.3825,-52.242702246002594,75.14734533950069,899.5461758166408,0.5942784683803649,0.1111663229292709,0.0414045850881636,0.0046027954766632
CM_038-1,-72.20667,41.52361,10.06,6.0,6.51,57.77,-4.09,-72.20667,41.52361,-56.035527933956544,75.19690727998311,899.5508734278859,1.0919831410561194,0.1113676992038609,0.0760806781405378,0.0084729300783811
CM_038-2,-72.20667,41.52361,10.06,6.0,6.51,57.77,-5.29,-72.20667,41.52361,-56.035527933956544,75.19690727998311,899.5508734278859,1.0919831410561194,0.1113676992038609,0.0760806781405378,0.0084729300783811
CM_038-3,-72.20667,41.52361,10.06,6.0,6.51,57.77,-5.01,-72.20667,41.52361,-56.035527933956544,75.19690727998311,899.5508734278859,1.0919831410561194,0.1113676992038609,0.0760806781405378,0.0084729300783811
CM_039-1,-97.69147,30.24565,24.59,7.5,9.88,118.65,-16.39,-97.69147,30.24565,-80.15705273466413,74.32573802865285,899.4775251509587,3.943632214946312,0.1098946158219775,0.2747608474612588,0.0301947377746759
CM_039-2,-97.69147,30.24565,24.59,7.5,9.88,118.65,-9.11,-97.69147,30.24565,-80.15705273466413,74.32573802865285,899.4775251509587,3.943632214946312,0.1098946158219775,0.2747608474612588,0.0301947377746759
CM_039-3,-97.69147,30.24565,24.59,7.5,9.88,118.65,-7.18,-97.69147,30.24565,-80.15705273466413,74.32573802865285,899.4775251509587,3.943632214946312,0.1098946158219775,0.2747608474612588,0.0301947377746759
CM_040-1,-91.191226,30.438365,22.7,7.75,8.1,93.9,-3601.52,-91.191226,30.438365,-3469.387228260212,297.4955229572819,945.7224172526724,7.471445468801901,0.4413907858747096,0.5205507453226187,0.2297663025656164
CM_040-2,-91.191226,30.438365,22.7,7.75,8.1,93.9,-3105.59,-91.191226,30.438365,-3469.387228260212,297.4955229572819,945.7224172526724,7.471445468801901,0.4413907858747096,0.5205507453226187,0.2297663025656164
CM_040-3,-91.191226,30.438365,22.7,7.75,8.1,93.9,-3855.6,-91.191226,30.438365,-3469.387228260212,297.4955229572819,945.7224172526724,7.471445468801901,0.4413907858747096,0.5205507453226187,0.2297663025656164
CM_041-1,-80.8599379,37.3724372,15.97,6.0,9.8,99.22,-73.38,-80.8599379,37.3724372,-100.32536124691168,73.72329203305553,899.4276389188137,1.2858191674769253,0.1090460387736695,0.089585626874361,0.009768957741705
CM_041-2,-80.8599379,37.3724372,15.97,6.0,9.8,99.22,-56.24,-80.8599379,37.3724372,-100.32536124691168,73.72329203305553,899.4276389188137,1.2858191674769253,0.1090460387736695,0.089585626874361,0.009768957741705
CM_041-3,-80.8599379,37.3724372,15.97,6.0,9.8,99.22,-47.2,-80.8599379,37.3724372,-100.32536124691168,73.72329203305553,899.4276389188137,1.2858191674769253,0.1090460387736695,0.089585626874361,0.009768957741705
CM_042-1,-80.5627036,37.0421794,14.49,6.0,9.95,97.59,-11.88,-80.5627036,37.0421794,-72.66383647135993,74.53061595959905,899.4943858460217,0.6742381117338346,0.1102733476434466,0.0469755354641227,0.0051801495529722
CM_042-2,-80.5627036,37.0421794,14.49,6.0,9.95,97.59,-8.82,-80.5627036,37.0421794,-72.66383647135993,74.53061595959905,899.4943858460217,0.6742381117338346,0.1102733476434466,0.0469755354641227,0.0051801495529722
CM_042-3,-80.5627036,37.0421794,14.49,6.0,9.95,97.59,-8.79,-80.5627036,37.0421794,-72.66383647135993,74.53061595959905,899.4943858460217,0.6742381117338346,0.1102733476434466,0.0469755354641227,0.0051801495529722
CM_044-1,-72.33026,42.47158,1.8,7.0,12.88,92.59,-6.87,-72.33026,42.47158,-47.50664605842709,75.29114801975702,899.5580436372271,2.198187362751177,0.1113680315158503,0.1531521677855969,0.0170562554486671
CM_044-2,-72.33026,42.47158,1.8,7.0,12.88,92.59,-7.34,-72.33026,42.47158,-47.50664605842709,75.29114801975702,899.5580436372271,2.198187362751177,0.1113680315158503,0.1531521677855969,0.0170562554486671
CM_044-3,-72.33026,42.47158,1.8,7.0,12.88,92.59,-11.78,-72.33026,42.47158,-47.50664605842709,75.29114801975702,899.5580436372271,2.198187362751177,0.1113680315158503,0.1531521677855969,0.0170562554486671
CM_045-1,-72.3303,42.47173,0.03,6.5,13.42,91.83,-1.64,-72.3303,42.47173,-40.30276816282153,75.51702020904818,899.5770456794855,2.2115758761517665,0.1117318019316981,0.1540849726435779,0.0172161916440633
CM_045-2,-72.3303,42.47173,0.03,6.5,13.42,91.83,-2.11,-72.3303,42.47173,-40.30276816282153,75.51702020904818,899.5770456794855,2.2115758761517665,0.1117318019316981,0.1540849726435779,0.0172161916440633
CM_045-3,-72.3303,42.47173,0.03,6.5,13.42,91.83,-2.02,-72.3303,42.47173,-40.30276816282153,75.51702020904818,899.5770456794855,2.2115758761517665,0.1117318019316981,0.1540849726435779,0.0172161916440633
CM_046-1,-72.33038,42.47168,3.82,6.5,12.27,93.16,-9.31,-72.33038,42.47168,-46.87932897685339,75.30561073293524,899.5592814702483,2.059657732585387,0.1114080633937578,0.1435005277471088,0.0159871158922875
CM_046-2,-72.33038,42.47168,3.82,6.5,12.27,93.16,-9.42,-72.33038,42.47168,-46.87932897685339,75.30561073293524,899.5592814702483,2.059657732585387,0.1114080633937578,0.1435005277471088,0.0159871158922875
CM_046-3,-72.33038,42.47168,3.82,6.5,12.27,93.16,-9.44,-72.33038,42.47168,-46.87932897685339,75.30561073293524,899.5592814702483,2.059657732585387,0.1114080633937578,0.1435005277471088,0.0159871158922875
CM_047-1,-72.330175,42.471505,13.67,7.5,9.46,91.09,-3.46,-72.330175,42.471505,-51.86834409706762,75.16987936370802,899.5478998756919,1.7686462667934344,0.1111791292434583,0.1232251692441282,0.0137000670174399
CM_047-2,-72.330175,42.471505,13.67,7.5,9.46,91.09,-4.99,-72.330175,42.471505,-51.86834409706762,75.16987936370802,899.5478998756919,1.7686462667934344,0.1111791292434583,0.1232251692441282,0.0137000670174399
CM_047-3,-72.330175,42.471505,13.67,7.5,9.46,91.09,-3.3,-72.330175,42.471505,-51.86834409706762,75.16987936370802,899.5478998756919,1.7686462667934344,0.1111791292434583,0.1232251692441282,0.0137000670174399
CM_048-1,-72.3301,42.4715,16.85,6.0,9.01,92.91,-0.52,-72.3301,42.4715,-43.56220711093757,75.42374591284343,899.5692033127573,1.566887295616937,0.1115820078654111,0.1091682128947844,0.0121812083898786
CM_048-2,-72.3301,42.4715,16.85,6.0,9.01,92.91,-0.73,-72.3301,42.4715,-43.56220711093757,75.42374591284343,899.5692033127573,1.566887295616937,0.1115820078654111,0.1091682128947844,0.0121812083898786
CM_048-3,-72.3301,42.4715,16.85,6.0,9.01,92.91,-0.51,-72.3301,42.4715,-43.56220711093757,75.42374591284343,899.5692033127573,1.566887295616937,0.1115820078654111,0.1091682128947844,0.0121812083898786
CM_050-1,-121.92941,45.79232,5.17,6.5,11.74,92.34,-10.54,-121.92941,45.79232,-316.19623598630227,91.02457525846262,901.7790570909012,5.903841366739771,0.1295241844407438,0.411332591070321,0.0532775183922813
CM_050-2,-121.92941,45.79232,5.17,6.5,11.74,92.34,-12.27,-121.92941,45.79232,-316.19623598630227,91.02457525846262,901.7790570909012,5.903841366739771,0.1295241844407438,0.411332591070321,0.0532775183922813
