#Columns,6,,,,,
#Header_Rows,12,,,,,
Field_Name,Sample_Name,Material,Mean_Fe_mg_per_L,Mean_Fe_mg_per_kg,Mean_Respiration_Rate_mg_DO_per_L_per_H,Mean_Missing_Reps
Unit,N/A,N/A,milligrams_per_liter,milligrams_per_kilogram,milligrams_per_liter_water_per_hour,N/A
Unit_Basis,N/A,N/A,as_mg_Fe_per_L_water,as_mg_Fe_per_kg_dry_weight,as_rate_of_Oxygen_consumed,N/A
MethodID_Analysis,N/A,N/A,Fe_T_AN_001,Fe_T_AN_001,INC_T_AN_000,N/A
MethodID_Inspection,N/A,N/A,Fe_T_IN_001,Fe_T_IN_001,INC_T_IN_000,N/A
MethodID_Storage,N/A,N/A,Fe_T_ST_001,Fe_T_ST_001,INC_T_ST_000,N/A
MethodID_Preservation,N/A,N/A,Fe_T_PRES_001,Fe_T_PRES_001,INC_T_PRES_000,N/A
MethodID_Preparation,N/A,N/A,Fe_T_PREP_001,Fe_T_PREP_001,INC_T_PREP_000,N/A
MethodID_DataProcessing,N/A,N/A,Fe_T_DP_001,Fe_T_DP_001,INC_T_DP_000,N/A
Analysis_DetectionLimit,N/A,N/A,0-0.029,-9999,-9999,N/A
Analysis_Precision,N/A,N/A,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,ready_to_use,ready_to_use,ready_to_use,N/A
#Start_Data,CM_001_Sediment,Sediment,-9999,-9999,-12.858,TRUE
N/A,CM_002_Sediment,Sediment,1.538,0.529,-33.675,FALSE
N/A,CM_003_Sediment,Sediment,0.251,0.125,-2.294,FALSE
N/A,CM_004_Sediment,Sediment,0.932,0.468,-3.228,FALSE
N/A,CM_005_Sediment,Sediment,1.171,0.562,-0.517,TRUE
N/A,CM_006_Sediment,Sediment,4.233,1.371,-709.467,FALSE
N/A,CM_007_Sediment,Sediment,0.211,0.082,-0.981,FALSE
N/A,CM_008_Sediment,Sediment,1.014,0.359,-797.6,FALSE
N/A,CM_009_Sediment,Sediment,0.579,0.279,-4.224,FALSE
N/A,CM_010_Sediment,Sediment,0.151,0.056,-1.478,FALSE
N/A,CM_011_Sediment,Sediment,3.924,1.431,-25.317,FALSE
N/A,CM_012_Sediment,Sediment,1.948,0.736,-8.989,TRUE
N/A,CM_013_Sediment,Sediment,1.157,0.543,-10.523,FALSE
N/A,CM_014_Sediment,Sediment,1.392,0.586,-12.278,FALSE
N/A,CM_015_Sediment,Sediment,2.108,0.945,-8.962,TRUE
N/A,CM_016_Sediment,Sediment,9.529,2.898,-982.133,TRUE
N/A,CM_017_Sediment,Sediment,0.401,0.163,-0.714,FALSE
N/A,CM_018_Sediment,Sediment,0.136,0.083,-0.415,FALSE
N/A,CM_020_Sediment,Sediment,0.238,0.144,-5.401,FALSE
N/A,CM_021_Sediment,Sediment,0.126,0.044,-1.403,TRUE
N/A,CM_022_Sediment,Sediment,1.117,0.365,-1.818,FALSE
N/A,CM_023_Sediment,Sediment,2.916,0.895,-632.933,FALSE
N/A,CM_024_Sediment,Sediment,0.238,0.09,-1.384,FALSE
N/A,CM_025_Sediment,Sediment,-9999,-9999,-9999,TRUE
N/A,CM_026_Sediment,Sediment,-9999,-9999,-9999,TRUE
N/A,CM_027_Sediment,Sediment,6.988,2.81,-722.133,FALSE
N/A,CM_028_Sediment,Sediment,0.478,0.219,-10.44,FALSE
N/A,CM_029_Sediment,Sediment,-9999,-9999,-9999,TRUE
N/A,CM_030_Sediment,Sediment,-9999,-9999,-9999,TRUE
N/A,CM_032_Sediment,Sediment,6.449,1.331,-1009.867,FALSE
N/A,CM_033_Sediment,Sediment,0.044,0.016,-0.843,FALSE
N/A,CM_034_Sediment,Sediment,2.299,0.975,-473.6,FALSE
N/A,CM_035_Sediment,Sediment,0.834,0.363,-758.133,FALSE
N/A,CM_037_Sediment,Sediment,0.514,0.224,-1.936,TRUE
N/A,CM_038_Sediment,Sediment,0.348,0.132,-1.304,TRUE
N/A,CM_039_Sediment,Sediment,0.078,0.038,-3.047,FALSE
N/A,CM_040_Sediment,Sediment,6.692,2.851,-914.6,FALSE
N/A,CM_041_Sediment,Sediment,0.404,0.194,-16.358,FALSE
N/A,CM_042_Sediment,Sediment,0.12,0.058,-2.763,FALSE
N/A,CM_043_Sediment,Sediment,-9999,-9999,-9999,TRUE
N/A,CM_044_Sediment,Sediment,0.394,0.188,-2.428,FALSE
N/A,CM_045_Sediment,Sediment,0.082,0.047,-0.543,FALSE
N/A,CM_046_Sediment,Sediment,0.806,0.398,-2.625,FALSE
N/A,CM_050_Sediment,Sediment,1.781,0.548,-2.684,FALSE
N/A,CM_051_Sediment,Sediment,0.632,0.275,-0.664,TRUE
N/A,CM_052_Sediment,Sediment,1.985,0.659,-1.382,FALSE
N/A,CM_056_Sediment,Sediment,0.123,0.051,-0.399,FALSE
N/A,CM_057_Sediment,Sediment,0.073,0.034,-0.326,FALSE
N/A,CM_058_Sediment,Sediment,0.114,0.053,-0.201,FALSE
N/A,CM_062_Sediment,Sediment,0.74,0.321,-0.803,TRUE
N/A,CM_063_Sediment,Sediment,1.582,0.563,-0.77,FALSE
N/A,CM_064_Sediment,Sediment,0.235,0.1,-7.48,FALSE
N/A,CM_066_Sediment,Sediment,0.321,0.136,-0.342,TRUE
N/A,CM_068_Sediment,Sediment,12.276,1.71,-19.267,FALSE
N/A,CM_069_Sediment,Sediment,0.531,0.263,-503.733,FALSE
N/A,CM_070_Sediment,Sediment,0.771,0.386,-1.903,FALSE
N/A,CM_071_Sediment,Sediment,8.222,1.648,-16.468,FALSE
N/A,CM_072_Sediment,Sediment,4.213,0.272,-18.863,TRUE
N/A,CM_073_Sediment,Sediment,0.217,0.109,-1.153,FALSE
N/A,CM_074_Sediment,Sediment,0.059,0.029,-2.022,FALSE
N/A,CM_075_Sediment,Sediment,2.518,0.533,-15.633,FALSE
N/A,CM_076_Sediment,Sediment,2.87,1.322,-2.551,FALSE
N/A,CM_077_Sediment,Sediment,0.079,0.041,-1.879,FALSE
N/A,CM_078_Sediment,Sediment,3.46,0.521,-11.497,FALSE
N/A,CM_079_Sediment,Sediment,0.305,0.144,-21.4,TRUE
N/A,CM_080_Sediment,Sediment,6.696,0.331,-10.06,FALSE
N/A,CM_081_Sediment,Sediment,1.419,0.639,-5.388,FALSE
N/A,CM_082_Sediment,Sediment,0.832,0.208,-29.093,FALSE
N/A,CM_084_Sediment,Sediment,1.002,0.46,-3.258,FALSE
N/A,CM_085_Sediment,Sediment,3.817,1.816,-10.147,FALSE
N/A,CM_088_Sediment,Sediment,0.984,0.383,-4.773,FALSE
N/A,SSS001_Sediment,Sediment,0.484,0.142,-861.333,FALSE
