#Columns,4,,,
#Header_Rows,12,,,
Field_Name,Sample_Name,Material,Mean_Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,Mean_Missing_Reps
Unit,N/A,N/A,milligrams_per_hour_per_liter_sediment,N/A
Unit_Basis,N/A,N/A,as_rate_of_Oxygen_consumed_per_liter_sediment,N/A
MethodID_Analysis,N/A,N/A,INC_T_AN_001,N/A
MethodID_Inspection,N/A,N/A,INC_T_IN_001,N/A
MethodID_Storage,N/A,N/A,INC_T_ST_001,N/A
MethodID_Preservation,N/A,N/A,INC_T_PRES_001,N/A
MethodID_Preparation,N/A,N/A,INC_T_PREP_001,N/A
MethodID_DataProcessing,N/A,N/A,INC_T_DP_001,N/A
Analysis_DetectionLimit,N/A,N/A,-9999,N/A
Analysis_Precision,N/A,N/A,-9999,N/A
Data_Status,N/A,N/A,ready_to_use,N/A
#Start_Data,CM_001_Sediment,Sediment,-43.906,FALSE
N/A,CM_002_Sediment,Sediment,-128.518,TRUE
N/A,CM_003_Sediment,Sediment,-8.224,FALSE
N/A,CM_004_Sediment,Sediment,-11.638,FALSE
N/A,CM_005_Sediment,Sediment,-1.841,FALSE
N/A,CM_006_Sediment,Sediment,-2684.419,FALSE
N/A,CM_007_Sediment,Sediment,-3.62,FALSE
N/A,CM_008_Sediment,Sediment,-3046.928,FALSE
N/A,CM_009_Sediment,Sediment,-15.23,FALSE
N/A,CM_010_Sediment,Sediment,-5.499,FALSE
N/A,CM_011_Sediment,Sediment,-93.76,FALSE
N/A,CM_012_Sediment,Sediment,-33.509,FALSE
N/A,CM_013_Sediment,Sediment,-37.746,FALSE
N/A,CM_014_Sediment,Sediment,-45.144,FALSE
N/A,CM_015_Sediment,Sediment,-32.218,FALSE
N/A,CM_016_Sediment,Sediment,-3721.402,FALSE
N/A,CM_017_Sediment,Sediment,-2.621,FALSE
N/A,CM_018_Sediment,Sediment,-1.423,FALSE
N/A,CM_020_Sediment,Sediment,-18.557,FALSE
N/A,CM_021_Sediment,Sediment,-5.215,FALSE
N/A,CM_022_Sediment,Sediment,-6.899,FALSE
N/A,CM_023_Sediment,Sediment,-2412.294,FALSE
N/A,CM_024_Sediment,Sediment,-5.084,FALSE
N/A,CM_025_Sediment,Sediment,-9999,TRUE
N/A,CM_026_Sediment,Sediment,-9999,TRUE
N/A,CM_027_Sediment,Sediment,-2650.813,FALSE
N/A,CM_028_Sediment,Sediment,-37.97,FALSE
N/A,CM_029_Sediment,Sediment,-9999,TRUE
N/A,CM_030_Sediment,Sediment,-9999,TRUE
N/A,CM_032_Sediment,Sediment,-3993.842,FALSE
N/A,CM_033_Sediment,Sediment,-3.154,FALSE
