#Samples have International Geo Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration). This file maps between sample names and IGSNs. It conforms to the ESS-DIVE Sample ID and Metadata Reporting Format (IGSN-ESS) v1.1.0 (Damerow et al. 2020). Some information may be repeated between the field metadata file and this file. Parent_IGSN is the IGSN for each site ID. The original site ID is listed in the Locality column.,,,,,,,,,,,,,,,,,,,,,,
Sample_Name,IGSN,Parent_IGSN,Material,Field_Name_Informal_Classification,Collection_Method,Collection_Method_Description,Comment,Latitude,Longitude,Primary_Physiographic_Feature,Physiographic_Feature_Name,Locality,Other_Names,Locality_Description,Country,State_or_Province,City_or_Township,Field_Program_Cruise,Collector_Chief_Scientist,Collection_Date,Related_URL,Related_URL_Type
CM_001_Water,10.58052/IEWDR01LH,10.58052/IEWDR01KZ,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,46.7322,-117.1805,stream,South Fork Palouse,MP-2699,N/A,In stream site,United States,Washington,Pullman,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Philip Moffatt, 2022-04-18,https://whondrs.pnnl.gov,regular URL
CM_002_Water,10.58052/IEWDR01LI,10.58052/IEWDR01KN,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,38.7819,-77.3884,stream,Pope's Head Creek,MP-587,Clifton; VA,In stream site,United States,Virginia,Clifton,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Karen Knee, 2022-05-30,https://whondrs.pnnl.gov,regular URL
CM_003_Water,10.58052/IEWDR01LJ,10.58052/IEWDR01L4,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,40.1047,-77.1803,stream,Mountain Creek,MP-3508,N/A,In stream site,United States,Pennsylvania,Mount Holly Springs,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Jorden Hayes, 2022-05-02,https://whondrs.pnnl.gov,regular URL
CM_004_Water,10.58052/IEWDR01LK,10.58052/IEWDR01KK,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,42.7231,-73.1978,stream,Hoosic River,MP-161,N/A,In stream site,United States,Massachusetts,Williamstown,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Jose Constantine, 2022-05-24,https://whondrs.pnnl.gov,regular URL
CM_005_Water,10.58052/IEWDR01LL,10.58052/IEWDR01KY,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,48.8186,-122.5806,stream,Nooksack River,MP-2529,Slater Rd,In stream site,United States,Washington,Bellingham,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Kaatje Kraft, 2022-11-07,https://whondrs.pnnl.gov,regular URL
CM_006_Water,10.58052/IEWDR01LM,10.58052/IEWDR01L2,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,38.9746,-119.8218,stream,West Fork Carson River,MP-3254,N/A,In stream site,United States,Nevada,N/A,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Nick Bouskill, 2022-05-15,https://whondrs.pnnl.gov,regular URL
CM_007_Water,10.58052/IEWDR01LN,10.58052/IEWDR01KX,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,39.0073,-121.5804,stream,Bear/Feather River,MP-2376,N/A,In stream site,United States,California,Yuba City,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Nick Bouskill, 2022-05-15,https://whondrs.pnnl.gov,regular URL
CM_008_Water,10.58052/IEWDR01LO,10.58052/IEWDR01L1,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,33.9485,-117.6118,stream,Cucamonga Creek,MP-3102,Cucamonga Creek,In stream site,United States,California,Chino,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),James Guilinger, 2022-05-22,https://whondrs.pnnl.gov,regular URL
CM_010_Water,10.58052/IEWDR01LP,10.58052/IEWDR01KQ,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,33.6666,-79.8467,stream,Black River,MP-1285,N/A,In stream site,United States,South Carolina,Kingstree,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Carl Trettin, 2022-06-06,https://whondrs.pnnl.gov,regular URL
CM_011_Water,10.58052/IEWDR01LQ,10.58052/IEWDR01KM,Liquid>aqueous,Surface water,grab,Surface water was either (1) pulled into syringe from 50% water column depth and expelled through 0.22 micron filter into sample vials or (2) was not filtered and collected into a bottle.,WHONDRS CONUS-Scale Model-Sample Study,42.5055,-73.5062,stream,Kinderhook Creek,MP-195,N/A,In stream site,United States,New York,East Nassau,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Kevin Ryan, 2022-08-21,https://whondrs.pnnl.gov,regular URL
