Method_Name,Method_ID,Method_Type,Method_Description,Method_Instrument,Method_Lab
DP_Method_QA_QC,DTL_000,MethodID_DataProcessing,"Individual data cells contain sample concentration and a flag if the concentration measured was outside of the standard curve or below the limit of detection (LOD). Values for the maximum or minimum standard concentration or the limit of detection are contained in the data cell as part of the flag text. Example: ""Bromide_0.00585_ppm_Below_LOD_0.026_ppm"" means that the Bromide concentration was 0.00585 milligrams_per_liter (ppm) which was below the 0.026 milligrams_per_liter (ppm) limit of detection.",N/A,Pacific Northwest National Laboratory (PNNL)
Data_Status,ready_to_use,N/A,The data have been evaluated and are ready to use,N/A,Pacific Northwest National Laboratory (PNNL)
GRN_Typical,GRN_T_IN_001,MethodID_Inspection,Vials were intact.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
GRN_Typical,GRN_T_ST_001,MethodID_Storage,Samples were dried in an oven at 60 degC and stored at room temperature.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
GRN_Typical,GRN_T_PRES_001,MethodID_Preservation,No preservatives added.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
GRN_Typical,GRN_T_PREP_001,MethodID_Preparation,Samples were sieved to 2 milliliters when received and then stored until ready for final preparation. Samples were added to mixing cup with 100 milliliters of 50 grams_per_liter of sodium hexametaphosphate and 250 milliliters deionized water and left to soak overnight. If needed; 5 - 20 milliliters of 30 percent hydrogen peroxide was added to samples with 25 milliliters of Milli-Q water before adding sodium hexametaphosphate to remove organic matter. Samples were mixed with blender for five minutes then added to sedimentation cylinder and brought to 1 liter volume with deionized water. Samples were hand shaken for 30 seconds and left to settle.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
GRN_Typical,GRN_T_AN_001,MethodID_Analysis,Temperature and hydrometer readings taken at 90 minutes and 24 hours. Sediments were then separated using 53 micrometer; 250 micrometer; and 500 micrometer sieves.,Gilson SA-2 ASTM 152H Soil Hydrometer,Pacific Northwest National Laboratory (PNNL) - Richland
GRN_Typical,GRN_T_DP_001,MethodID_DataProcessing,Fine sand was defined as sediment between 53 micrometers and 250 micrometers. Medium sand was defined as sediment between 250 micrometers and 500 micrometers. Coarse sand was defined as sediment between 500 micrometers and 2000 micrometers (2 millimeters). Percent fine; medium; and coarse sand were calculated by dividing the respective weight by the total dry weight. Percent clay was calculated from equations taken from Gee & Bauder 1986 in Methods of Soil Analysis; Part I; Physical and Mineralogical Methods using hydrometer readings at 1.5 hours (90 minutes) and 24 hours (1440 minutes). Negative clay values calculated by the script were considered below detection limit and reported as zero percent clay. When clay plus sand were greater than 100 percent; clay was adjusted so that the total percentage was 100 percent. Percent silt was calculated as percent sand minus percent clay. ,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
GRN_Method,GRN_PREP_005,MethodID_Preparation,Sample spilled while sieving. Sample still analyzed.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
Fe_Typical,Fe_T_IN_001,MethodID_Inspection,Vials were intact.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
Fe_Typical,Fe_T_ST_001,MethodID_Storage,Stored at 4 degC and brought to room temperature before analysis.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
Fe_Typical,Fe_T_PRES_001,MethodID_Preservation,2 milliliters of sediment/water incubation slurry was subsampled immediately following incubation for oxygen partial pressure measurements and preserved with 40 microliters of 12 molar hydrochloric acid.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
Fe_Typical,Fe_T_PREP_001,MethodID_Preparation,Samples were filtered with a 0.45 micrometer nylon disc filter.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
Fe_Typical,Fe_T_AN_001,MethodID_Analysis,Three analytical replicates (a; b; c) were analyzed for each biological replicate (1;2; 3) (i.e. each sample has the following reps:-1a; -1b; -1c; -2a; -2b; -2c; -3a; -3b; -3c). 20 microliters of filtered sample was used for analysis. Standard concentration range was 0 to 2 milligrams iron (II) per liter. Samples were diluted with 0.5 molar hydrochloric acid if they were above the highest standard concentration.,Agilent BioTek Synergy Neo2 Hybrid Multimode Reader,Pacific Northwest National Laboratory (PNNL) - Richland
Fe_Typical,Fe_T_DP_001,MethodID_DataProcessing,Manually checked data and calibration curves prior to uploading data. Raw absorbance data was processed through a data evaluation script that calculated milligrams iron (II) per liter based on the standard curve and flagged samples below limit of detection and outside of the standard curve. The coefficient of variation (CV) was calculated among analytical replicates; samples were flagged and reran with five more analytical replicates (d; e; f; g; h) if CV was greater than 10 percent and range was greater than 0.04. Samples were normalized to milligrams iron (II) per kilogram sediment in the incubation vial using the dry mass of sediment and mass of water in the incubation vial.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
INC_Deviation,INC_001,MethodID_Analysis,Samples that started below 5 milligrams_per_liter oxygen at time zero following the typical incubation methods were re-incubated using 2.5 milliliters of material (rather than 10 milliliters) into a 40 milliliter glass vial with an oxygen sensor spot and a breathe-easy membrane added to the vial opening. Samples were kept in a temperature controlled chamber set at 21 degC overnight until analysis. The following day unfiltered water from the same sample site was added to the vial until there was no headspace. This was considered the start time for the incubation. 10 milliliter incubation results were removed from the dataset.,N/A,Pacific Northwest National Laboratory (PNNL) - Richland
INC_Method_QA_QC,INC_QA_000,MethodID_DataProcessing,Mass of 50 milliliter proteomic friendly falcon tube was not weighed for calculating dry weight. The average mass of all other 50 milliliter proteomic friendly falcon tubes was used instead.,N/A,Pacific Northwest National Laboratory (PNNL)
INC_Method_QA_QC,INC_QA_001,MethodID_DataProcessing,Mass of 40 milliliter glass vial with sediment and water added was not recorded. Calculated mass of water from mass of sediment and water after transfer to 50 milliliter proteomic friendly falcon tube minus the mass of dry sediment and mass of 50 milliliter proteomic friendly falcon tube.,N/A,Pacific Northwest National Laboratory (PNNL)
INC_Method_QA_QC,INC_QA_002,MethodID_DataProcessing,Mass of 40 milliliter vial with wet sediment and mass of 40 milliliter vial with wet sediment and water not recorded. Mass of wet sediment and mass of water in vial calculated as an average of all other incubations.,N/A,Pacific Northwest National Laboratory (PNNL)
INC_Typical,INC_T_IN_000,MethodID_Inspection,Vials were intact and filled to appropriate levels.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
INC_Typical,INC_T_ST_000,MethodID_Storage,Samples were kept in a temperature controlled chamber set at 21 deg C overnight until analysis.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
INC_Typical,INC_T_PRES_000,MethodID_Preservation,No additional preservation performed.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
INC_Typical,INC_T_PREP_000,MethodID_Preparation,Upon arrival 10 milliliters (or 2.5 milliliters) of sample was subsampled into a 40 milliliter glass vial with an oxygen sensor spot and a breathe-easy membrane was added to the vial opening. They were then kept in an temperature controlled chamber set at 21 deg C overnight until analysis. The following day unfiltered water from the same sample site was added to the vial until there was no headspace. This was considered the start time for the incubation.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
INC_Typical,INC_T_AN_000,MethodID_Analysis,Time series measurements of the incubation were taken on a Fibox 3 to measure dissolved oxygen in a nondestructive manner.  A polymer optic cable connected to a Fibox 3 takes measurements through the vial wall using the oxygen sensor spots placed inside of the vial for contactless partial pressure measurements of oxygen. Measurements were taken at the following time intervals: 0 minutes; 5 minutes; 10 minutes; 15 minutes; 30 minutes; 1 hour; and 2 hour or until the sample was below 5 parts per million of dissolved oxygen.,Fibox 3,Pacific Northwest National Laboratory (PNNL) – Richland
INC_Typical,INC_T_DP_000,MethodID_DataProcessing,Respiration rates were calculated as the slope of the linear regression between dissolved oxygen (DO) measurements and incubation time. Points were removed from the regression for the following two reasons: 1) DO at time zero (the beginning of the incubation) was removed from the regression if the concentration was above the 1 milligram_per_liter above the threshold of expected DO concentration for 100 percent saturation at the experimental temperature and pressure. 2) If the regression does not seem to have a linear relationship (R-Squared value below 0.99) then points are removed from the end of the regression line (end of the time series) until the R-Squared value stops increasing or the total number of points reaches four. Note that points are removed only if the R-Squared value goes up after removing. If it goes down then the point is not removed.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
INC_Typical,INC_T_IN_001,MethodID_Inspection,Vials were intact and filled to appropriate levels.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
INC_Typical,INC_T_ST_001,MethodID_Storage,Samples were kept in a temperature controlled chamber set at 21 deg C overnight until analysis.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
INC_Typical,INC_T_PRES_001,MethodID_Preservation,No additional preservation performed.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
INC_Typical,INC_T_PREP_001,MethodID_Preparation,Upon arrival 10 milliliters (or 2.5 milliliters) of sample was subsampled into a 40 milliliter glass vial with an oxygen sensor spot and a breathe-easy membrane was added to the vial opening. They were then kept in an temperature controlled chamber set at 21 deg C overnight until analysis. The following day unfiltered water from the same sample site was added to the vial until there was no headspace. This was considered the start time for the incubation.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
INC_Typical,INC_T_AN_001,MethodID_Analysis,Time series measurements of the incubation were taken on a Fibox 3 to measure dissolved oxygen in a nondestructive manner.  A polymer optic cable connected to a Fibox 3 takes measurements through the vial wall using the oxygen sensor spots placed inside of the vial for contactless partial pressure measurements of oxygen. Measurements were taken at the following time intervals: 0 minutes; 5 minutes; 10 minutes; 15 minutes; 30 minutes; 1 hour; and 2 hour or until the sample was below 5 parts per million of dissolved oxygen.,Fibox 3,Pacific Northwest National Laboratory (PNNL) – Richland
INC_Typical,INC_T_DP_001,MethodID_DataProcessing,"Dissolved oxygen (DO) respiration rates as milligrams_of_DO_per_liter_of_water_per_hour were normalized to per_liter_sediment by multiplying the rate by the liters of water in the incubation and dividing it by the liters of sediment In the equation. Therefore the normalized rates units are milligrams_of_DO_per_liter_of_sediment_per_hour.  Sediment and water volume can be found in the file ""CM_Sediment_Water_Mass_Volume.csv"".",N/A,Pacific Northwest National Laboratory (PNNL) – Richland
