Sample_Name,Date,Median_Time_Unix,Median_Time_Local,Time_Zone,Mean_Dissolved_Oxygen,Dissolved_Oxygen_sd,Mean_Dissolved_Oxygen_Saturation,Dissolved_Oxygen_Saturation_sd,Mean_Temperature,Temperature_sd
CM_001, 2022-04-27,1651080150,10:22:30,Pacific Daylight Time (UTC-7),10.25,0.06,87.93,0.56,8.66,0.02
CM_002, 2022-05-30,1653925890,11:51:30,Eastern Daylight Time (UTC-4),9.42,0.09,103.51,1.44,19.95,0.24
CM_003, 2022-05-02,1651534710,19:38:30,Eastern Daylight Time (UTC-4),9.42,0.06,93.22,0.86,14.93,0.12
CM_004, 2022-05-24,1653403290,10:41:30,Eastern Daylight Time (UTC-4),11.31,0.07,111.85,1.13,14.89,0.19
CM_005, 2022-11-07,1667859420,14:17:00,Pacific Standard Time (UTC-8),11.04,0.01,87.15,0.07,5.31,0.02
CM_006, 2022-05-15,1652647050,12:37:30,Pacific Standard Time (UTC-8),7.63,0.14,80.23,2.45,17.8,1.71
CM_007, 2022-05-15,1652666790,18:06:30,Pacific Standard Time (UTC-8),10.53,0.1,100.23,0.08,13.15,0.47
CM_008, 2022-06-17,1655490000,11:20:00,Pacific Daylight Time (UTC-7),18.88,0.26,249.65,2.89,29.98,0.39
CM_009, 2023-04-16,1681666320,9:32:00,Pacific Standard Time (UTC-8),9.35,0.16,95.97,0.15,16.62,0.74
CM_010, 2022-06-06,1654533720,11:42:00,Eastern Standard Time (UTC-5),6.36,0.07,77.85,1.05,25.62,0.11
CM_011, 2022-08-16,1660685040,17:24:00,Eastern Daylight Time (UTC-4),9.66,0.01,97.68,0.06,15.88,0.05
CM_012, 2022-08-17,1660759650,14:07:30,Eastern Daylight Time (UTC-4),9.45,0.01,101.19,0.09,18.68,0.04
CM_013, 2022-07-11,1657551150,10:52:30,Eastern Daylight Time (UTC-4),8.56,0.05,102.8,1.18,24.56,0.31
CM_014, 2022-06-13,1655136030,12:00:30,Eastern Daylight Time (UTC-4),5.15,0.08,65.74,1.11,27.92,0.25
CM_015, 2022-06-06,1654548810,14:53:30,Mountain Daylight Time (UTC-6),7.86,0.03,71.4,0.45,11.05,0.16
CM_016, 2022-07-18,1658161830,12:30:30,Eastern Daylight Time (UTC-4),11.35,0.31,140.2,4.81,26.1,0.42
CM_017, 2022-11-14,1668452190,12:56:30,Mountain Daylight Time (UTC-6),11.63,0.06,80.42,0.33,0.4,0.03
CM_018, 2022-06-28,1656403050,1:57:30,Mountain Daylight Time (UTC-6),8.26,0.04,91.71,0.05,20.47,0.22
CM_020, 2022-07-18,1658174250,15:57:30,Eastern Daylight Time (UTC-4),4.36,0.17,57.87,2.47,30.16,0.23
CM_021, 2022-09-05,1662412830,14:20:30,Mountain Standard Time (UTC-7),4.87,0.03,67.11,0.35,32.44,0.19
CM_022, 2022-09-12,1663002990,10:16:30,Pacific Daylight Time (UTC-7),9.42,0.05,94.79,0.71,15.67,0.1
CM_023, 2022-09-12,1663010940,12:29:00,Pacific Daylight Time (UTC-7),8.31,0.03,89.78,0.51,19.14,0.11
CM_024, 2022-08-01,1659372660,12:51:00,Eastern Daylight Time (UTC-4),7.27,0.02,85.82,0.37,23.66,0.07
CM_025, 2022-08-15,1660579890,11:11:30,Central Daylight Time (UTC-5),8.58,0.12,111.26,1.64,28.87,0.06
CM_026, 2022-08-15,1660600650,16:57:30,Central Daylight Time (UTC-5),9.89,0.14,130.81,2.22,29.99,0.17
CM_027, 2022-07-11,1657558200,11:50:00,Central Daylight Time (UTC-5),10.96,0.16,152.38,2.85,32.93,0.32
CM_028, 2022-07-11,1657573200,16:00:00,Central Daylight Time (UTC-5),8.1,0.23,113.29,3.26,33.25,0.05
CM_029, 2022-09-12,1663015170,14:39:30,Mountain Daylight Time (UTC-6),6.55,0,71.56,0.03,19.68,0.01
CM_030, 2022-09-12,1663001370,10:49:30,Mountain Daylight Time (UTC-6),6.52,0,71.47,0.04,19.83,0.02
CM_032, 2022-10-03,1664811300,10:35:00,Central Daylight Time (UTC-5),9.38,0.02,93.04,0.26,15.02,0.07
CM_033, 2022-09-05,1662400590,10:56:30,Mountain Standard Time (UTC-7),6.33,0.04,82.03,0.69,28.8,0.8
CM_034, 2022-08-30,1661866110,9:28:30,Eastern Daylight Time (UTC-4),6.22,0.11,69.32,1.2,20.7,0.06
CM_035, 2022-10-17,1666025220,11:47:00,Central Daylight Time (UTC-5),13.12,0.28,110.39,2.6,7.86,0.45
CM_037, 2022-10-31,1667232360,12:06:00,Eastern Daylight Time (UTC-4),9.86,0.06,89.03,0.72,10.8,0.08
CM_038, 2022-10-31,1667222820,9:27:00,Eastern Daylight Time (UTC-4),6.51,0.22,57.77,1.93,10.06,0.03
CM_039, 2022-10-24,1666645050,15:57:30,Central Daylight Time (UTC-5),9.88,0.07,118.65,0.93,24.59,0.04
CM_040, 2022-10-16,1665931260,9:41:00,Central Daylight Time (UTC-5),8.1,0.06,93.9,0.82,22.7,0.19
CM_041, 2022-10-10,1665417450,11:57:30,Eastern Daylight Time (UTC-4),9.8,0.17,99.22,2.2,15.97,0.25
CM_042, 2022-10-10,1665429750,15:22:30,Eastern Daylight Time (UTC-4),9.95,0.03,97.59,0.31,14.49,0.05
CM_043, 2022-12-19,1671481200,14:20:00,Central Standard Time (UTC-6),14.61,0.07,105.82,0.45,2.06,0.02
CM_044, 2022-12-05,1670254110,10:28:30,Eastern Standard Time (UTC-5),12.88,0.04,92.59,0.43,1.8,0.06
CM_045, 2023-02-06,1675710540,14:09:00,Eastern Standard Time (UTC-5),13.42,0.01,91.83,0.06,0.03,0.02
CM_046, 2023-04-03,1680535320,11:22:00,Eastern Daylight Time (UTC-4),12.27,0.06,93.16,0.09,3.82,0.21
CM_050, 2022-11-28,1669678350,15:32:30,Pacific Standard Time (UTC-8),11.74,0.02,92.34,0.2,5.17,0.02
CM_051, 2023-01-24,1674596550,13:42:30,Pacific Standard Time (UTC-8),11.89,0.02,93.19,0.09,5.05,0.04
CM_052, 2023-03-20,1679349750,15:02:30,Pacific Daylight Time (UTC-7),11.74,0.01,91.16,0.07,4.67,0.02
CM_056, 2022-12-05,1670253150,9:12:30,Central Standard Time (UTC-6),9.05,0.01,87.68,0.1,13.94,0.02
CM_057, 2023-02-06,1675706610,12:03:30,Central Standard Time (UTC-6),10.91,0.03,95.89,0.11,9.66,0.12
CM_058, 2023-04-04,1680622140,10:29:00,Central Daylight Time (UTC-5),9.28,0.02,96.67,0.08,17.33,0.08
CM_062, 2022-11-14,1668450780,13:33:00,Eastern Standard Time (UTC-5),10.35,0.03,85.97,0.18,7.34,0.04
CM_063, 2022-11-14,1668440010,10:33:30,Eastern Standard Time (UTC-5),10.39,0.03,90.92,0.21,9.5,0.03
CM_064, 2022-12-12,1670870640,12:44:00,Central Standard Time (UTC-6),9.36,0.01,95.15,0.1,16.14,0.01
CM_066, 2022-11-27,1669564650,10:57:30,Eastern Standard Time (UTC-5),10.39,0.02,79.94,0.09,4.32,0.04
CM_068, 2023-03-06,1678127190,12:26:30,Central Standard Time (UTC-6),3.4,1.21,39.59,14.07,22.93,0.16
CM_069, 2023-01-23,1674499950,11:52:30,Mountain Standard Time (UTC-7),11.04,0.04,85.68,0.52,4.67,0.1
CM_070, 2023-01-09,1673289720,13:42:00,Eastern Standard Time (UTC-5),14.27,0.03,98.33,0.16,0.27,0.03
CM_071, 2023-04-03,1680541620,12:07:00,Central Daylight Time (UTC-5),11.23,0.67,100.5,6.23,10.41,0.11
CM_072, 2023-01-16,1673893500,12:25:00,Central Standard Time (UTC-6),12.55,0.13,127.98,2.01,16.31,0.26
CM_073, 2023-02-13,1676317890,14:51:30,Eastern Standard Time (UTC-5),12.81,0.01,87.86,0.13,0.09,0.03
CM_074, 2023-01-08,1673201700,11:15:00,Mountain Standard Time (UTC-7),11.67,0.1,87.26,0.73,3.24,0.06
CM_075, 2023-03-06,1678122960,12:16:00,Eastern Standard Time (UTC-5),4.95,0.01,55.85,0.2,21.35,0.09
CM_076, 2023-02-27,1677518940,11:29:00,Central Standard Time (UTC-6),12.3,0.03,87.88,0.35,1.56,0.07
CM_077, 2023-02-20,1676930910,15:08:30,Mountain Standard Time (UTC-7),10.34,0.02,71.53,0.12,0.39,0.06
CM_078, 2023-02-27,1677515400,11:30:00,Eastern Standard Time (UTC-5),12.43,0.04,109.2,0.57,9.64,0.15
CM_079, 2023-02-17,1676668800,16:20:00,Eastern Standard Time (UTC-5),8.11,0.19,96.66,2.54,24.15,0.13
CM_080, 2023-03-20,1679334270,12:44:30,Central Daylight Time (UTC-5),2.31,0.11,23.2,1.11,15.67,0.51
CM_081, 2023-04-24,1682346750,10:32:30,Eastern Daylight Time (UTC-4),6.88,0.03,76.13,0.33,20.28,0.03
CM_082, 2023-04-24,1682356800,13:20:00,Eastern Daylight Time (UTC-4),6.53,0.01,72.21,0.08,20.26,0.02
CM_084, 2023-03-12,1678654020,14:47:00,Mountain Daylight Time (UTC-6),9.6,0.02,66.78,0.07,0.61,0.04
CM_085, 2023-03-13,1678747470,17:44:30,Eastern Standard Time (UTC-5),10.09,0.18,94.26,0.46,12.32,0.61
CM_088, 2023-04-10,1681152540,11:49:00,Pacific Daylight Time (UTC-7),10.92,0.01,95.95,0.16,9.64,0.04
SSS001, 2022-08-08,1659979110,9:18:30,Pacific Standard Time (UTC-8),9.31,0.04,93.99,0.27,15.84,0.34
SSS002, 2022-08-08,1659986610,11:23:30,Pacific Standard Time (UTC-8),9.73,0.02,108.23,0.61,20.57,0.33
SSS003, 2022-08-08,1659994650,13:37:30,Pacific Standard Time (UTC-8),8.72,0.04,96.75,0.15,20.46,0.15
SSS004, 2022-08-09,1660062990,8:36:30,Pacific Standard Time (UTC-8),8.63,0.05,90.92,0.57,17.86,0.04
SSS005, 2022-08-09,1660072470,11:14:30,Pacific Standard Time (UTC-8),9.41,0.06,98.43,0.75,17.54,0.04
SSS006, 2022-08-09,1660081470,13:44:30,Pacific Standard Time (UTC-8),9.74,0.15,105.93,1.7,19.43,0.02
SSS007, 2022-08-10,1660144530,7:15:30,Pacific Standard Time (UTC-8),9.23,0.01,88.83,0.12,13.61,0.02
SSS008, 2022-08-10,1660152030,9:20:30,Pacific Standard Time (UTC-8),8.95,0.01,85.27,0.12,13.16,0.04
SSS009, 2022-08-10,1660158870,11:14:30,Pacific Standard Time (UTC-8),8.97,0.06,87.47,0.08,14.2,0.3
SSS010, 2022-08-11,1660230270,7:04:30,Pacific Standard Time (UTC-8),9.25,0.02,88.98,0.18,13.61,0.01
SSS011, 2022-08-11,1660234050,8:07:30,Pacific Standard Time (UTC-8),9.48,0.01,89.11,0.14,12.59,0.08
SSS012, 2022-08-11,1660245810,11:23:30,Pacific Standard Time (UTC-8),9.42,0.04,101.88,0.23,19.15,0.21
SSS013, 2022-08-08,1659973770,7:49:30,Pacific Standard Time (UTC-8),7.99,0.18,92.23,2.26,22.45,0.08
SSS014, 2022-08-08,1659988020,11:47:00,Pacific Standard Time (UTC-8),10.54,0.21,121,2.67,22.19,0.1
SSS015, 2022-08-08,1659998070,14:34:30,Pacific Standard Time (UTC-8),9.8,0.01,105.77,0.09,19.08,0.08
SSS016, 2022-08-09,1660067430,9:50:30,Pacific Standard Time (UTC-8),9.48,0.04,96.65,0.52,16.28,0.04
SSS017, 2022-08-09,1660074630,11:50:30,Pacific Standard Time (UTC-8),9.98,0.07,104.25,0.83,17.45,0.07
SSS018, 2022-08-10,1660146840,7:54:00,Pacific Standard Time (UTC-8),8.5,0.03,81.53,0.34,13.46,0.02
SSS019, 2022-08-10,1660155270,10:14:30,Pacific Standard Time (UTC-8),9.45,0.02,88.18,0.06,12.24,0.11
SSS020, 2022-08-10,1660165770,13:09:30,Pacific Standard Time (UTC-8),8.56,0.07,91.92,0.27,18.79,0.24
SSS021, 2022-08-11,1660231590,7:26:30,Pacific Standard Time (UTC-8),9.05,0.03,89.67,0.37,14.94,0.03
SSS022, 2022-08-11,1660239510,9:38:30,Pacific Standard Time (UTC-8),9.12,0.03,89.7,0.05,14.6,0.16
SSS023, 2022-08-12,1660317450,7:17:30,Pacific Standard Time (UTC-8),6.05,0.02,58.37,0.26,13.77,0.05
SSS024, 2022-08-12,1660319190,7:46:30,Pacific Standard Time (UTC-8),8.78,0.16,92.2,1.97,17.71,0.17
SSS025, 2022-08-08,1659973950,7:52:30,Pacific Standard Time (UTC-8),6.36,0.24,67.47,2.59,18.24,0.01
SSS026, 2022-08-08,1659986430,11:20:30,Pacific Standard Time (UTC-8),12.46,0.41,138.28,5.1,20.46,0.19
SSS027, 2022-08-08,1659999690,15:01:30,Pacific Standard Time (UTC-8),8.96,0.07,105.54,0.79,23.53,0.05
SSS028, 2022-08-09,1660062630,8:30:30,Pacific Standard Time (UTC-8),8.03,0.03,80.53,0.37,15.5,0.03
SSS029, 2022-08-09,1660071090,10:51:30,Pacific Standard Time (UTC-8),8.75,0.05,92.78,0.64,18.19,0.05
SSS030, 2022-08-09,1660081170,13:39:30,Pacific Standard Time (UTC-8),10.52,0.07,115.01,0.94,19.71,0.07
SSS031, 2022-08-10,1660144110,7:08:30,Pacific Standard Time (UTC-8),9.85,0.03,86.3,0.28,9.51,0.01
SSS032, 2022-08-10,1660153110,9:38:30,Pacific Standard Time (UTC-8),10.71,0.02,85.64,0.14,5.82,0.11
SSS033, 2022-08-10,1660163670,12:34:30,Pacific Standard Time (UTC-8),10.11,0.04,94.02,0.47,12.1,0.08
SSS034, 2022-08-11,1660238850,9:27:30,Pacific Standard Time (UTC-8),9.35,0.01,92.88,0.09,15.09,0.06
SSS035, 2022-08-11,1660247970,11:59:30,Pacific Standard Time (UTC-8),8.33,0.03,90.49,0.13,19.35,0.25
SSS036, 2022-08-12,1660317510,7:18:30,Pacific Standard Time (UTC-8),8.23,0.01,84.59,0.16,16.69,0.03
SSS037, 2022-08-08,1659981210,9:53:30,Pacific Standard Time (UTC-8),9.33,0.04,90.88,0.1,14.2,0.24
