# HeaderRows_8
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss; Minidot_02; PME miniDOT Logger real time clock.
# Battery; volts; Minidot_02; PME miniDOT Logger internal batteries.
# Temperature; degree_celsius; Minidot_02; PME miniDOT Logger with temperature sensor.
# Dissolved_Oxygen; milligrams_per_liter; Minidot_02; PME miniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_Saturation; percent_saturation; Minidot_02; PME miniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
DateTime,Time_Zone,Parent_ID,miniDOT_SN,Battery,Temperature,Dissolved_Oxygen,Dissolved_Oxygen_Saturation
 2022-08-08 07:27:00,Pacific Standard Time (UTC-8),SSS025,182707,3.49,18.23,5.966,63.32
 2022-08-08 07:28:00,Pacific Standard Time (UTC-8),SSS025,182707,3.49,18.23,5.981,63.48
 2022-08-08 07:29:00,Pacific Standard Time (UTC-8),SSS025,182707,3.49,18.23,5.996,63.64
 2022-08-08 07:30:00,Pacific Standard Time (UTC-8),SSS025,182707,3.49,18.23,6.005,63.72
 2022-08-08 07:31:00,Pacific Standard Time (UTC-8),SSS025,182707,3.49,18.23,6.023,63.93
 2022-08-08 07:32:00,Pacific Standard Time (UTC-8),SSS025,182707,3.49,18.23,6.036,64.06
 2022-08-08 07:33:00,Pacific Standard Time (UTC-8),SSS025,182707,3.49,18.23,6.06,64.3
 2022-08-08 07:34:00,Pacific Standard Time (UTC-8),SSS025,182707,3.49,18.22,6.063,64.32
 2022-08-08 07:35:00,Pacific Standard Time (UTC-8),SSS025,182707,3.49,18.23,6.075,64.48
 2022-08-08 07:36:00,Pacific Standard Time (UTC-8),SSS025,182707,3.49,18.24,6.087,64.62
 2022-08-08 07:37:00,Pacific Standard Time (UTC-8),SSS025,182707,3.49,18.23,6.113,64.87
 2022-08-08 07:38:00,Pacific Standard Time (UTC-8),SSS025,182707,3.49,18.24,6.115,64.92
 2022-08-08 07:39:00,Pacific Standard Time (UTC-8),SSS025,182707,3.49,18.24,6.134,65.12
 2022-08-08 07:40:00,Pacific Standard Time (UTC-8),SSS025,182707,3.49,18.25,6.155,65.35
 2022-08-08 07:41:00,Pacific Standard Time (UTC-8),SSS025,182707,3.49,18.23,6.161,65.38
 2022-08-08 07:42:00,Pacific Standard Time (UTC-8),SSS025,182707,3.49,18.23,6.181,65.6
 2022-08-08 07:43:00,Pacific Standard Time (UTC-8),SSS025,182707,3.49,18.23,6.195,65.75
