#Columns,6,,,,,
#Header_Rows,12,,,,,
Field_Name,Sample_Name,IGSN,Material,00681_NPOC_mg_per_L_as_C,00602_TN_mg_per_L_as_N,Methods_Deviation
Unit,N/A,N/A,N/A,milligrams_per_liter,milligrams_per_liter,N/A
Unit_Basis,N/A,N/A,N/A,as_dissolvable_Carbon,as_dissolvable_Nitrogen,N/A
MethodID_Analysis,N/A,N/A,N/A,NPOC_T_AN_005,TN_T_AN_005,N/A
MethodID_Inspection,N/A,N/A,N/A,NPOC_T_IN_005,TN_T_IN_005,N/A
MethodID_Storage,N/A,N/A,N/A,NPOC_T_ST_005,TN_T_ST_005,N/A
MethodID_Preservation,N/A,N/A,N/A,NPOC_T_PRES_005,TN_T_PRES_005,N/A
MethodID_Preparation,N/A,N/A,N/A,NPOC_T_PREP_005,TN_T_PREP_005,N/A
MethodID_DataProcessing,N/A,N/A,N/A,NPOC_T_DP_005,TN_T_DP_005,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,0.09-0.51,0.01-0.03,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,N/A
#Start_Data,CM_001_OCN-1,10.58052/IEWDR01LH,Liquid>aqueous,4.66,TN_Above_3_ppm_Standard|5.03_ppm_Raw_Not_Corrected|5.03_ppm_Final_Corrected,DTL_003
N/A,CM_001_OCN-2,10.58052/IEWDR01LH,Liquid>aqueous,4.62,TN_Above_3_ppm_Standard|5.07_ppm_Raw_Not_Corrected|5.07_ppm_Final_Corrected,DTL_003
N/A,CM_001_OCN-3,10.58052/IEWDR01LH,Liquid>aqueous,4.72,TN_Above_3_ppm_Standard|5.04_ppm_Raw_Not_Corrected|5.04_ppm_Final_Corrected,DTL_003
N/A,CM_002_OCN-1,10.58052/IEWDR01LI,Liquid>aqueous,3.44,1.13,N/A
N/A,CM_002_OCN-2,10.58052/IEWDR01LI,Liquid>aqueous,3.4,1.14,N/A
N/A,CM_002_OCN-3,10.58052/IEWDR01LI,Liquid>aqueous,3.46,1.12,N/A
N/A,CM_003_OCN-1,10.58052/IEWDR01LJ,Liquid>aqueous,1.68,0.44,N/A
N/A,CM_003_OCN-2,10.58052/IEWDR01LJ,Liquid>aqueous,1.54,0.43,N/A
N/A,CM_003_OCN-3,10.58052/IEWDR01LJ,Liquid>aqueous,1.52,0.44,N/A
N/A,CM_004_OCN-1,10.58052/IEWDR01LK,Liquid>aqueous,2.49,0.34,N/A
N/A,CM_004_OCN-2,10.58052/IEWDR01LK,Liquid>aqueous,2.4,0.32,N/A
N/A,CM_004_OCN-3,10.58052/IEWDR01LK,Liquid>aqueous,2.4,0.35,N/A
N/A,CM_005_OCN-1,10.58052/IEWDR01LL,Liquid>aqueous,2.7,0.61,N/A
N/A,CM_005_OCN-2,10.58052/IEWDR01LL,Liquid>aqueous,2.7,0.61,N/A
N/A,CM_005_OCN-3,10.58052/IEWDR01LL,Liquid>aqueous,3.09,0.62,N/A
N/A,CM_006_OCN-1,10.58052/IEWDR01LM,Liquid>aqueous,11.05,0.75,N/A
N/A,CM_006_OCN-2,10.58052/IEWDR01LM,Liquid>aqueous,10.72,0.73,N/A
N/A,CM_006_OCN-3,10.58052/IEWDR01LM,Liquid>aqueous,10.53,0.7,N/A
N/A,CM_007_OCN-1,10.58052/IEWDR01LN,Liquid>aqueous,1.79,0.24,N/A
N/A,CM_007_OCN-2,10.58052/IEWDR01LN,Liquid>aqueous,1.7,0.22,N/A
N/A,CM_007_OCN-3,10.58052/IEWDR01LN,Liquid>aqueous,1.84,0.24,N/A
N/A,CM_008_OCN-1,10.58052/IEWDR01LO,Liquid>aqueous,16.79,1.97,N/A
N/A,CM_008_OCN-2,10.58052/IEWDR01LO,Liquid>aqueous,16.24,1.82,N/A
N/A,CM_008_OCN-3,10.58052/IEWDR01LO,Liquid>aqueous,16.16,1.83,N/A
N/A,CM_009_OCN-1,10.58052/IEWDR01UV,Liquid>aqueous,2.18,0.19,N/A
N/A,CM_009_OCN-2,10.58052/IEWDR01UV,Liquid>aqueous,2.15,0.17,N/A
N/A,CM_009_OCN-3,10.58052/IEWDR01UV,Liquid>aqueous,2.18,0.17,N/A
N/A,CM_010_OCN-1,10.58052/IEWDR01LP,Liquid>aqueous,10.6,0.87,N/A
N/A,CM_010_OCN-2,10.58052/IEWDR01LP,Liquid>aqueous,10.8,0.89,N/A
N/A,CM_010_OCN-3,10.58052/IEWDR01LP,Liquid>aqueous,10.75,0.88,N/A
N/A,CM_011_OCN-1,10.58052/IEWDR01LQ,Liquid>aqueous,1.25,0.27,N/A
N/A,CM_011_OCN-2,10.58052/IEWDR01LQ,Liquid>aqueous,1.13,0.23,N/A
N/A,CM_011_OCN-3,10.58052/IEWDR01LQ,Liquid>aqueous,1.22,0.27,N/A
N/A,CM_012_OCN-1,10.58052/IEWDR01LR,Liquid>aqueous,1.05,0.22,N/A
N/A,CM_012_OCN-2,10.58052/IEWDR01LR,Liquid>aqueous,0.96,0.21,N/A
N/A,CM_012_OCN-3,10.58052/IEWDR01LR,Liquid>aqueous,0.9,0.2,N/A
