#Columns,6,,,,,
#Header_Rows,12,,,,,
Field_Name,Sample_Name,IGSN,Material,Mean_00681_NPOC_mg_per_L_as_C,Mean_00602_TN_mg_per_L_as_N,Mean_Missing_Reps
Unit,N/A,N/A,N/A,milligrams_per_liter,milligrams_per_liter,N/A
Unit_Basis,N/A,N/A,N/A,as_dissolvable_Carbon,as_dissolvable_Nitrogen,N/A
MethodID_Analysis,N/A,N/A,N/A,NPOC_T_AN_005,TN_T_AN_005,N/A
MethodID_Inspection,N/A,N/A,N/A,NPOC_T_IN_005,TN_T_IN_005,N/A
MethodID_Storage,N/A,N/A,N/A,NPOC_T_ST_005,TN_T_ST_005,N/A
MethodID_Preservation,N/A,N/A,N/A,NPOC_T_PRES_005,TN_T_PRES_005,N/A
MethodID_Preparation,N/A,N/A,N/A,NPOC_T_PREP_005,TN_T_PREP_005,N/A
MethodID_DataProcessing,N/A,N/A,N/A,NPOC_T_DP_005,TN_T_DP_005,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,0.09-0.51,0.01-0.03,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,N/A
#Start_Data,CM_001_Water,10.58052/IEWDR01LH,Liquid>aqueous,4.667,-9999,TRUE
N/A,CM_002_Water,10.58052/IEWDR01LI,Liquid>aqueous,3.433,1.13,FALSE
N/A,CM_003_Water,10.58052/IEWDR01LJ,Liquid>aqueous,1.58,0.437,FALSE
N/A,CM_004_Water,10.58052/IEWDR01LK,Liquid>aqueous,2.43,0.337,FALSE
N/A,CM_005_Water,10.58052/IEWDR01LL,Liquid>aqueous,2.83,0.613,FALSE
N/A,CM_006_Water,10.58052/IEWDR01LM,Liquid>aqueous,10.767,0.727,FALSE
N/A,CM_007_Water,10.58052/IEWDR01LN,Liquid>aqueous,1.777,0.233,FALSE
N/A,CM_008_Water,10.58052/IEWDR01LO,Liquid>aqueous,16.397,1.873,FALSE
N/A,CM_009_Water,10.58052/IEWDR01UV,Liquid>aqueous,2.17,0.177,FALSE
N/A,CM_010_Water,10.58052/IEWDR01LP,Liquid>aqueous,10.717,0.88,FALSE
N/A,CM_011_Water,10.58052/IEWDR01LQ,Liquid>aqueous,1.2,0.257,FALSE
N/A,CM_012_Water,10.58052/IEWDR01LR,Liquid>aqueous,0.97,0.21,FALSE
N/A,CM_013_Water,10.58052/IEWDR01LS,Liquid>aqueous,7.943,3.027,FALSE
N/A,CM_014_Water,10.58052/IEWDR01LT,Liquid>aqueous,7.097,0.657,FALSE
N/A,CM_015_Water,10.58052/IEWDR01LU,Liquid>aqueous,1.823,0.233,FALSE
N/A,CM_016_Water,10.58052/IEWDR01LV,Liquid>aqueous,5.247,0.55,FALSE
N/A,CM_017_Water,10.58052/IEWDR01LW,Liquid>aqueous,1.285,0.265,TRUE
N/A,CM_018_Water,10.58052/IEWDR01LX,Liquid>aqueous,2.673,1.007,FALSE
N/A,CM_020_Water,10.58052/IEWDR01LY,Liquid>aqueous,15.593,0.687,FALSE
N/A,CM_021_Water,10.58052/IEWDR01LZ,Liquid>aqueous,6.693,5.94,FALSE
N/A,CM_022_Water,10.58052/IEWDR01M0,Liquid>aqueous,1.183,-9999,TRUE
N/A,CM_023_Water,10.58052/IEWDR01M1,Liquid>aqueous,1.923,0.143,FALSE
N/A,CM_024_Water,10.58052/IEWDR01M2,Liquid>aqueous,2.455,1.015,TRUE
N/A,CM_025_Water,10.58052/IEWDR021W,Liquid>aqueous,2.643,0.28,FALSE
N/A,CM_026_Water,10.58052/IEWDR021X,Liquid>aqueous,2.62,0.94,FALSE
N/A,CM_027_Water,10.58052/IEWDR01M3,Liquid>aqueous,4.707,0.427,FALSE
N/A,CM_028_Water,10.58052/IEWDR01M4,Liquid>aqueous,6.96,0.603,FALSE
N/A,CM_029_Water,10.58052/IEWDR021Y,Liquid>aqueous,0.517,-9999,TRUE
N/A,CM_030_Water,10.58052/IEWDR021Z,Liquid>aqueous,0.807,0.11,TRUE
N/A,CM_032_Water,10.58052/IEWDR01M5,Liquid>aqueous,5.117,0.437,FALSE
N/A,CM_033_Water,10.58052/IEWDR01M6,Liquid>aqueous,5.667,4.75,FALSE
N/A,CM_034_Water,10.58052/IEWDR01M7,Liquid>aqueous,-9999,-9999,TRUE
N/A,CM_035_Water,10.58052/IEWDR01M8,Liquid>aqueous,3.447,0.307,FALSE
N/A,CM_037_Water,10.58052/IEWDR01M9,Liquid>aqueous,3.647,0.72,FALSE
N/A,CM_038_Water,10.58052/IEWDR01MA,Liquid>aqueous,6.057,0.523,FALSE
N/A,CM_039_Water,10.58052/IEWDR01MB,Liquid>aqueous,3.187,0.353,FALSE
N/A,CM_040_Water,10.58052/IEWDR01MC,Liquid>aqueous,2.827,0.493,FALSE
N/A,CM_041_Water,10.58052/IEWDR01MD,Liquid>aqueous,0.517,0.657,FALSE
N/A,CM_042_Water,10.58052/IEWDR01ME,Liquid>aqueous,-9999,0.37,TRUE
N/A,CM_043_Water,10.58052/IEWDR01UY,Liquid>aqueous,-9999,-9999,TRUE
N/A,CM_044_Water,10.58052/IEWDR01V1,Liquid>aqueous,3.877,0.113,FALSE
