# HeaderRows_8
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss; Minidot_01; PME miniDOT Logger real time clock.
# Battery; volts; Minidot_01; PME miniDOT Logger internal batteries.
# Temperature; degree_celsius; Minidot_01; PME miniDOT Logger with temperature sensor.
# Dissolved_Oxygen; milligrams_per_liter; Minidot_01; PME miniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_Saturation; percent_saturation; Minidot_01; PME miniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
DateTime,Time_Zone,Sample_Kit_ID,miniDOT_SN,Battery,Temperature,Dissolved_Oxygen,Dissolved_Oxygen_Saturation
 2022-11-14 09:48:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.47,10.355,90.6
 2022-11-14 09:49:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.47,10.362,90.66
 2022-11-14 09:50:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.45,10.375,90.72
 2022-11-14 09:51:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.49,10.351,90.6
 2022-11-14 09:52:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.47,10.356,90.61
 2022-11-14 09:53:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.5,10.357,90.68
 2022-11-14 09:54:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.52,10.344,90.6
 2022-11-14 09:55:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.5,10.361,90.71
 2022-11-14 09:56:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.51,10.347,90.61
 2022-11-14 09:57:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.53,10.346,90.64
 2022-11-14 09:58:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.51,10.364,90.76
 2022-11-14 09:59:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.51,10.349,90.63
 2022-11-14 10:00:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.52,10.352,90.67
 2022-11-14 10:01:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.52,10.348,90.64
 2022-11-14 10:02:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.53,10.336,90.55
 2022-11-14 10:03:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.52,10.354,90.69
 2022-11-14 10:04:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.53,10.361,90.77
 2022-11-14 10:05:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.55,10.347,90.69
 2022-11-14 10:06:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.53,10.348,90.66
 2022-11-14 10:07:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.53,10.356,90.73
 2022-11-14 10:08:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.51,10.357,90.7
 2022-11-14 10:09:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.52,10.353,90.68
 2022-11-14 10:10:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.54,10.346,90.66
 2022-11-14 10:11:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.5,10.374,90.83
 2022-11-14 10:12:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.54,10.35,90.7
 2022-11-14 10:13:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.53,10.364,90.8
 2022-11-14 10:14:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.53,10.364,90.8
 2022-11-14 10:15:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.53,10.351,90.68
 2022-11-14 10:16:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.52,10.369,90.82
 2022-11-14 10:17:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.5,10.368,90.78
 2022-11-14 10:18:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.53,10.36,90.76
 2022-11-14 10:19:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.54,10.362,90.8
 2022-11-14 10:20:00,Eastern Standard Time (UTC-5),CM_063,186138,3.43,9.53,10.369,90.84
