# HeaderRows_8
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss; Minidot_01; PME miniDOT Logger real time clock.
# Battery; volts; Minidot_01; PME miniDOT Logger internal batteries.
# Temperature; degree_celsius; Minidot_01; PME miniDOT Logger with temperature sensor.
# Dissolved_Oxygen; milligrams_per_liter; Minidot_01; PME miniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
# Dissolved_Oxygen_Saturation; percent_saturation; Minidot_01; PME miniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
DateTime,Time_Zone,Parent_ID,miniDOT_SN,Battery,Temperature,Dissolved_Oxygen,Dissolved_Oxygen_Saturation
 2023-02-20 14:08:00,Mountain Standard Time (UTC-7),CM_077,443657,3.48,0.73,10.264,71.65
 2023-02-20 14:09:00,Mountain Standard Time (UTC-7),CM_077,443657,3.48,0.71,10.275,71.69
 2023-02-20 14:10:00,Mountain Standard Time (UTC-7),CM_077,443657,3.48,0.66,10.275,71.6
 2023-02-20 14:11:00,Mountain Standard Time (UTC-7),CM_077,443657,3.48,0.67,10.293,71.75
 2023-02-20 14:12:00,Mountain Standard Time (UTC-7),CM_077,443657,3.48,0.63,10.285,71.6
 2023-02-20 14:13:00,Mountain Standard Time (UTC-7),CM_077,443657,3.48,0.63,10.285,71.6
 2023-02-20 14:14:00,Mountain Standard Time (UTC-7),CM_077,443657,3.48,0.6,10.303,71.66
 2023-02-20 14:15:00,Mountain Standard Time (UTC-7),CM_077,443657,3.48,0.58,10.295,71.56
 2023-02-20 14:16:00,Mountain Standard Time (UTC-7),CM_077,443657,3.48,0.55,10.311,71.63
 2023-02-20 14:17:00,Mountain Standard Time (UTC-7),CM_077,443657,3.48,0.56,10.305,71.61
 2023-02-20 14:18:00,Mountain Standard Time (UTC-7),CM_077,443657,3.48,0.53,10.311,71.59
 2023-02-20 14:19:00,Mountain Standard Time (UTC-7),CM_077,443657,3.48,0.54,10.318,71.66
 2023-02-20 14:20:00,Mountain Standard Time (UTC-7),CM_077,443657,3.48,0.53,10.323,71.67
 2023-02-20 14:21:00,Mountain Standard Time (UTC-7),CM_077,443657,3.48,0.52,10.312,71.57
 2023-02-20 14:22:00,Mountain Standard Time (UTC-7),CM_077,443657,3.48,0.51,10.306,71.51
 2023-02-20 14:23:00,Mountain Standard Time (UTC-7),CM_077,443657,3.48,0.48,10.329,71.6
 2023-02-20 14:24:00,Mountain Standard Time (UTC-7),CM_077,443657,3.48,0.5,10.332,71.66
 2023-02-20 14:25:00,Mountain Standard Time (UTC-7),CM_077,443657,3.48,0.49,10.353,71.79
 2023-02-20 14:26:00,Mountain Standard Time (UTC-7),CM_077,443657,3.48,0.48,10.349,71.74
 2023-02-20 14:27:00,Mountain Standard Time (UTC-7),CM_077,443657,3.48,0.49,10.338,71.68
 2023-02-20 14:28:00,Mountain Standard Time (UTC-7),CM_077,443657,3.48,0.49,10.326,71.6
 2023-02-20 14:29:00,Mountain Standard Time (UTC-7),CM_077,443657,3.48,0.48,10.338,71.66
 2023-02-20 14:30:00,Mountain Standard Time (UTC-7),CM_077,443657,3.48,0.47,10.332,71.6
 2023-02-20 14:31:00,Mountain Standard Time (UTC-7),CM_077,443657,3.48,0.46,10.324,71.52
 2023-02-20 14:32:00,Mountain Standard Time (UTC-7),CM_077,443657,3.48,0.47,10.326,71.56
 2023-02-20 14:33:00,Mountain Standard Time (UTC-7),CM_077,443657,3.48,0.46,10.328,71.55
 2023-02-20 14:34:00,Mountain Standard Time (UTC-7),CM_077,443657,3.48,0.42,10.333,71.52
 2023-02-20 14:35:00,Mountain Standard Time (UTC-7),CM_077,443657,3.48,0.43,10.343,71.61
