#Columns,6
#Header_Rows,12
Field_Name,Sample_Name,IGSN,Material,ATP_nanomoles_per_L,ATP_picomoles_per_g,Methods_Deviation
Unit,N/A,N/A,N/A,nanomoles_per_liter,picomoles_per_gram,N/A
Unit_Basis,N/A,N/A,N/A,as_nanomoles_ATP_per_liter,as_picomoles_ATP_per_g_dry_weight,N/A
MethodID_Analysis,N/A,N/A,N/A,ATP_T_AN_002,ATP_T_AN_002,N/A
MethodID_Inspection,N/A,N/A,N/A,ATP_T_IN_002,ATP_T_IN_002,N/A
MethodID_Storage,N/A,N/A,N/A,ATP_T_ST_002,ATP_T_ST_002,N/A
MethodID_Preservation,N/A,N/A,N/A,ATP_T_PRES_002,ATP_T_PRES_002,N/A
MethodID_Preparation,N/A,N/A,N/A,ATP_T_PREP_002,ATP_T_PREP_002,N/A
MethodID_DataProcessing,N/A,N/A,N/A,ATP_T_DP_002,ATP_T_DP_002,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,0-0.036,-9999,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,N/A
#Start_Data,CM_001_ATP-1,10.58052/IEWDR01Q5,Sediment,4.1,26.7,N/A
N/A,CM_001_ATP-2,10.58052/IEWDR01Q5,Sediment,3.15,21.45,N/A
N/A,CM_001_ATP-3,10.58052/IEWDR01Q5,Sediment,4.33,28.88,N/A
N/A,CM_002_ATP-1,10.58052/IEWDR01Q6,Sediment,7.57,32.43,N/A
N/A,CM_002_ATP-2,10.58052/IEWDR01Q6,Sediment,5.88,26.62,N/A
N/A,CM_002_ATP-3,10.58052/IEWDR01Q6,Sediment,6.14,21.15,N/A
N/A,CM_003_ATP-1,10.58052/IEWDR01Q7,Sediment,0.36,1.93,N/A
N/A,CM_003_ATP-2,10.58052/IEWDR01Q7,Sediment,0.31,1.99,N/A
N/A,CM_003_ATP-3,10.58052/IEWDR01Q7,Sediment,0.34,2.04,N/A
N/A,CM_004_ATP-1,10.58052/IEWDR01Q8,Sediment,0.32,1.1,N/A
N/A,CM_004_ATP-2,10.58052/IEWDR01Q8,Sediment,0.54,1.39,N/A
N/A,CM_004_ATP-3,10.58052/IEWDR01Q8,Sediment,0.74,1.75,N/A
N/A,CM_005_ATP-1,10.58052/IEWDR01Q9,Sediment,5.15,18.89,N/A
N/A,CM_005_ATP-2,10.58052/IEWDR01Q9,Sediment,5.71,18.64,N/A
N/A,CM_005_ATP-3,10.58052/IEWDR01Q9,Sediment,4.97,17.41,N/A
N/A,CM_006_ATP-1,10.58052/IEWDR01QA,Sediment,16.81,69.59,N/A
N/A,CM_006_ATP-2,10.58052/IEWDR01QA,Sediment,18.09,62.98,N/A
N/A,CM_006_ATP-3,10.58052/IEWDR01QA,Sediment,10.07,41.66,N/A
N/A,CM_007_ATP-1,10.58052/IEWDR01QB,Sediment,0.09,0.32,N/A
N/A,CM_007_ATP-2,10.58052/IEWDR01QB,Sediment,0.1,0.33,N/A
N/A,CM_007_ATP-3,10.58052/IEWDR01QB,Sediment,-9999,-9999,VI_ATP_002
N/A,CM_008_ATP-1,10.58052/IEWDR01QC,Sediment,3.37,18.88,N/A
N/A,CM_008_ATP-2,10.58052/IEWDR01QC,Sediment,3.97,17.23,N/A
N/A,CM_008_ATP-3,10.58052/IEWDR01QC,Sediment,2.66,16.35,N/A
N/A,CM_009_ATP-1,10.58052/IEWDR01UU,Sediment,41.4,123.32,N/A
N/A,CM_009_ATP-2,10.58052/IEWDR01UU,Sediment,46.54,140.62,N/A
N/A,CM_009_ATP-3,10.58052/IEWDR01UU,Sediment,42.24,157.38,N/A
N/A,CM_010_ATP-1,10.58052/IEWDR01QD,Sediment,0.13,0.47,N/A
N/A,CM_010_ATP-2,10.58052/IEWDR01QD,Sediment,0.13,0.43,N/A
N/A,CM_010_ATP-3,10.58052/IEWDR01QD,Sediment,0.13,0.3,N/A
N/A,CM_011_ATP-1,10.58052/IEWDR01QE,Sediment,16.85,67.27,N/A
N/A,CM_011_ATP-2,10.58052/IEWDR01QE,Sediment,21.84,83.08,N/A
N/A,CM_011_ATP-3,10.58052/IEWDR01QE,Sediment,20.13,76.39,N/A
N/A,CM_012_ATP-1,10.58052/IEWDR01QF,Sediment,11.57,52.87,N/A
N/A,CM_012_ATP-2,10.58052/IEWDR01QF,Sediment,10.13,45.68,N/A
N/A,CM_012_ATP-3,10.58052/IEWDR01QF,Sediment,14.42,60.12,N/A
N/A,CM_013_ATP-1,10.58052/IEWDR01QG,Sediment,3.06,9.65,N/A
N/A,CM_013_ATP-2,10.58052/IEWDR01QG,Sediment,4.23,11.28,N/A
N/A,CM_013_ATP-3,10.58052/IEWDR01QG,Sediment,4.56,12.4,N/A
N/A,CM_014_ATP-1,10.58052/IEWDR01QH,Sediment,12.93,34.18,N/A
N/A,CM_014_ATP-2,10.58052/IEWDR01QH,Sediment,8.03,23.67,N/A
N/A,CM_014_ATP-3,10.58052/IEWDR01QH,Sediment,7.76,27.76,N/A
N/A,CM_015_ATP-1,10.58052/IEWDR01QI,Sediment,73.12,186.12,N/A
N/A,CM_015_ATP-2,10.58052/IEWDR01QI,Sediment,74.26,208.96,N/A
N/A,CM_015_ATP-3,10.58052/IEWDR01QI,Sediment,66.93,172.2,N/A
N/A,CM_016_ATP-1,10.58052/IEWDR01QJ,Sediment,11.11,53.8,ATP_CV_030
N/A,CM_016_ATP-2,10.58052/IEWDR01QJ,Sediment,4.59,17.5,ATP_CV_030
N/A,CM_016_ATP-3,10.58052/IEWDR01QJ,Sediment,7.92,37.14,ATP_CV_030
