#Columns,6
#Header_Rows,12
Field_Name,Sample_Name,IGSN,Material,01395_C_percent_per_mg,01397_N_percent_per_mg,Methods_Deviation
Unit,N/A,N/A,N/A,percent,percent,N/A
Unit_Basis,N/A,N/A,N/A,as_percent_Carbon_dry_weight,as_percent_Nitrogen_dry_weight,N/A
MethodID_Analysis,N/A,N/A,N/A,CN_T_AN_004,CN_T_AN_004,N/A
MethodID_Inspection,N/A,N/A,N/A,CN_T_IN_004,CN_T_IN_004,N/A
MethodID_Storage,N/A,N/A,N/A,CN_T_ST_004,CN_T_ST_004,N/A
MethodID_Preservation,N/A,N/A,N/A,CN_T_PRES_004,CN_T_PRES_004,N/A
MethodID_Preparation,N/A,N/A,N/A,CN_T_PREP_004,CN_T_PREP_004,N/A
MethodID_DataProcessing,N/A,N/A,N/A,CN_T_DP_004,CN_T_DP_004,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,-9999,-9999,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,N/A
#Start_Data,CM_001_SCN-1,10.58052/IEWDR01Q5,Sediment,0.58,0.23,CN_000
N/A,CM_002_SCN-1,10.58052/IEWDR01Q6,Sediment,0.94,0.23,CN_000
N/A,CM_003_SCN-1,10.58052/IEWDR01Q7,Sediment,0.28,0.22,N/A
N/A,CM_004_SCN-1,10.58052/IEWDR01Q8,Sediment,0.39,0.09,N/A
N/A,CM_005_SCN-1,10.58052/IEWDR01Q9,Sediment,0.27,0.17,N/A
N/A,CM_006_SCN-1,10.58052/IEWDR01QA,Sediment,1.12,0.19,N/A
N/A,CM_007_SCN-1,10.58052/IEWDR01QB,Sediment,0.24,0.21,N/A
N/A,CM_008_SCN-1,10.58052/IEWDR01QC,Sediment,1.91,0.33,N/A
N/A,CM_009_SCN-1,10.58052/IEWDR01UU,Sediment,0.51,0.21,N/A
N/A,CM_010_SCN-1,10.58052/IEWDR01QD,Sediment,0.28,0.25,N/A
N/A,CM_011_SCN-1,10.58052/IEWDR01QE,Sediment,0.88,0.14,N/A
N/A,CM_012_SCN-1,10.58052/IEWDR01QF,Sediment,0.93,0.19,N/A
N/A,CM_013_SCN-1,10.58052/IEWDR01QG,Sediment,1.5,0.21,N/A
N/A,CM_014_SCN-1,10.58052/IEWDR01QH,Sediment,0.4,0.21,N/A
N/A,CM_015_SCN-1,10.58052/IEWDR01QI,Sediment,0.44,0.23,N/A
N/A,CM_016_SCN-1,10.58052/IEWDR01QJ,Sediment,3.21,0.32,N/A
N/A,CM_017_SCN-1,10.58052/IEWDR01QK,Sediment,0.19,0.17,N/A
N/A,CM_018_SCN-1,10.58052/IEWDR01QL,Sediment,0.18,0.06,VI_SCN_001
N/A,CM_020_SCN-1,10.58052/IEWDR01QM,Sediment,4.68,0.17,N/A
N/A,CM_021_SCN-1,10.58052/IEWDR01QN,Sediment,0.23,0.14,N/A
N/A,CM_022_SCN-1,10.58052/IEWDR01QO,Sediment,0.3,0.21,N/A
N/A,CM_023_SCN-1,10.58052/IEWDR01QP,Sediment,0.82,0.23,N/A
N/A,CM_024_SCN-1,10.58052/IEWDR01QQ,Sediment,0.4,0.19,N/A
