#Columns,15
#Header_Rows,12
Field_Name,Sample_Name,IGSN,Material,Quartz_percent,Albite_percent,Microcline_percent,Pyroxene_percent,Calcite_percent,Dolomite_percent,Muscovite_percent,Smectite_percent,Chlorite_percent,Amphibole_percent,Apatite_percent,Methods_Deviation
Unit,N/A,N/A,N/A,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,N/A
Unit_Basis,N/A,N/A,N/A,as_Quartz,as_Albite,as_Microcline,as_Pyroxene,as_Calcite,as_Dolomite,as_Muscovite,as_Smectite,as_Chlorite,as_Amphibole,as_Apatite,N/A
MethodID_Analysis,N/A,N/A,N/A,XRD_T_AN_000,XRD_T_AN_000,XRD_T_AN_000,XRD_T_AN_000,XRD_T_AN_000,XRD_T_AN_000,XRD_T_AN_000,XRD_T_AN_000,XRD_T_AN_000,XRD_T_AN_000,XRD_T_AN_000,N/A
MethodID_Inspection,N/A,N/A,N/A,XRD_T_IN_000,XRD_T_IN_000,XRD_T_IN_000,XRD_T_IN_000,XRD_T_IN_000,XRD_T_IN_000,XRD_T_IN_000,XRD_T_IN_000,XRD_T_IN_000,XRD_T_IN_000,XRD_T_IN_000,N/A
MethodID_Storage,N/A,N/A,N/A,XRD_T_ST_000,XRD_T_ST_000,XRD_T_ST_000,XRD_T_ST_000,XRD_T_ST_000,XRD_T_ST_000,XRD_T_ST_000,XRD_T_ST_000,XRD_T_ST_000,XRD_T_ST_000,XRD_T_ST_000,N/A
MethodID_Preservation,N/A,N/A,N/A,XRD_T_PRES_000,XRD_T_PRES_000,XRD_T_PRES_000,XRD_T_PRES_000,XRD_T_PRES_000,XRD_T_PRES_000,XRD_T_PRES_000,XRD_T_PRES_000,XRD_T_PRES_000,XRD_T_PRES_000,XRD_T_PRES_000,N/A
MethodID_Preparation,N/A,N/A,N/A,XRD_T_PREP_000,XRD_T_PREP_000,XRD_T_PREP_000,XRD_T_PREP_000,XRD_T_PREP_000,XRD_T_PREP_000,XRD_T_PREP_000,XRD_T_PREP_000,XRD_T_PREP_000,XRD_T_PREP_000,XRD_T_PREP_000,N/A
MethodID_DataProcessing,N/A,N/A,N/A,XRD_T_DP_000,XRD_T_DP_000,XRD_T_DP_000,XRD_T_DP_000,XRD_T_DP_000,XRD_T_DP_000,XRD_T_DP_000,XRD_T_DP_000,XRD_T_DP_000,XRD_T_DP_000,XRD_T_DP_000,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,N/A
#Start_Data,CM_001_XRD-1,10.58052/IEWDR01Q5,Sediment,52.66,21.2,7.81,10.72,0,0,6.18,0,0,1.43,0,N/A
N/A,CM_002_XRD-1,10.58052/IEWDR01Q6,Sediment,84.88,4.25,0,0,0,0,9.29,0,0.09,1.49,0,N/A
N/A,CM_003_XRD-1,10.58052/IEWDR01Q7,Sediment,94.53,0,0,0,0,0,5.47,0,0,0,0,N/A
N/A,CM_004_XRD-1,10.58052/IEWDR01Q8,Sediment,73.22,9.99,5.74,0,0,0,10.4,0,0.65,0,0,N/A
N/A,CM_005_XRD-1,10.58052/IEWDR01Q9,Sediment,38.09,34.37,4.15,9.12,0,0,11.54,0,2.73,0,0,N/A
N/A,CM_006_XRD-1,10.58052/IEWDR01QA,Sediment,32.98,36.26,14.77,6.46,0,0,7.03,0,0.91,1.61,0,N/A
N/A,CM_007_XRD-1,10.58052/IEWDR01QB,Sediment,70.61,16.56,0,3.56,0,0,3.55,0,1.13,4.59,0,N/A
N/A,CM_008_XRD-1,10.58052/IEWDR01QC,Sediment,40.17,31.59,9.67,4.78,0.05,0,5.27,0,0.56,2.88,0,N/A
N/A,CM_009_XRD-1,10.58052/IEWDR01UU,Sediment,36,34.65,7.54,5.58,0,0,8.09,0,1.17,6.97,0,N/A
N/A,CM_010_XRD-1,10.58052/IEWDR01QD,Sediment,100,0,0,0,0,0,0,0,0,0,0,N/A
N/A,CM_011_XRD-1,10.58052/IEWDR01QE,Sediment,71.63,9.34,0,0,0,0,18.7,0,0.32,0,0,N/A
N/A,CM_012_XRD-1,10.58052/IEWDR01QF,Sediment,55.47,11.29,0,0,0,0,32.4,0,0.85,0,0,N/A
N/A,CM_013_XRD-1,10.58052/IEWDR01QG,Sediment,62.94,18.48,10.5,0,0,0,7.65,0,0,0.43,0,N/A
N/A,CM_014_XRD-1,10.58052/IEWDR01QH,Sediment,95.5,0,0,0,0,0,4.5,0,0,0,0,N/A
N/A,CM_015_XRD-1,10.58052/IEWDR01QI,Sediment,61.72,15.87,8.96,0,0,0,10.22,0,1.22,2.01,0,N/A
N/A,CM_016_XRD-1,10.58052/IEWDR01QJ,Sediment,69.32,10.39,4.7,0,0.1,0,5.44,0,0.34,0,0,N/A
N/A,CM_017_XRD-1,10.58052/IEWDR01QK,Sediment,20.84,45.87,15.26,12.31,0,0,3.23,0,0,2.49,0,N/A
N/A,CM_018_XRD-1,10.58052/IEWDR01QL,Sediment,65.31,19.54,12.8,0,0,0,1.69,0,0,0.66,0,N/A
N/A,CM_020_XRD-1,10.58052/IEWDR01QM,Sediment,66.68,0,0,0,0.33,0,0,0,0,0,0,N/A
N/A,CM_021_XRD-1,10.58052/IEWDR01QN,Sediment,38.89,29.62,22.48,3.12,0,0,4.54,0,0.33,1.02,0,N/A
N/A,CM_022_XRD-1,10.58052/IEWDR01QO,Sediment,21.18,46.03,13.17,15.44,0,0,0.87,0,3.3,0,0,N/A
N/A,CM_023_XRD-1,10.58052/IEWDR01QP,Sediment,40.06,25.42,11.95,8.11,0,0,10.83,0,2.65,0.97,0,N/A
N/A,CM_024_XRD-1,10.58052/IEWDR01QQ,Sediment,83.69,8.2,0,0,0,0,1.87,0,0,6.24,0,N/A
N/A,CM_025_XRD-1,N/A,Sediment,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,VI_XRD_001
N/A,CM_026_XRD-1,N/A,Sediment,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,VI_XRD_001
N/A,CM_027_XRD-1,10.58052/IEWDR01QR,Sediment,79.95,4.04,4.96,0,0.03,0,7.89,0,0,0,0,XRD_QAQC_001
N/A,CM_028_XRD-1,10.58052/IEWDR01QS,Sediment,95.11,0,2.93,0,0,0,1.96,0,0,0,0,N/A
N/A,CM_029_XRD-1,N/A,Sediment,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,VI_XRD_001
N/A,CM_030_XRD-1,N/A,Sediment,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,VI_XRD_001
N/A,CM_032_XRD-1,10.58052/IEWDR01QT,Sediment,38.88,15.7,12.29,4,0.05,0,22.9,0,0.97,0,0,N/A
N/A,CM_033_XRD-1,10.58052/IEWDR01QU,Sediment,52.43,22.42,15.16,3.76,0,0,5.35,0,0,0.89,0,N/A
N/A,CM_034_XRD-1,10.58052/IEWDR01QV,Sediment,73.24,10.85,11.23,0,0,0,2.82,0,0,1.86,0,XRD_QAQC_002
N/A,CM_035_XRD-1,10.58052/IEWDR01QW,Sediment,79.85,6.61,12.38,0,0,0,0,0,0.59,0.57,0,N/A
N/A,CM_037_XRD-1,10.58052/IEWDR01QX,Sediment,58.18,20.55,12.22,3.69,0,0,3.76,0,0,1.6,0,N/A
N/A,CM_038_XRD-1,10.58052/IEWDR01QY,Sediment,76.45,16.37,3.14,0,0,0,3.32,0,0.72,0,0,N/A
N/A,CM_039_XRD-1,10.58052/IEWDR01QZ,Sediment,64.96,13.14,10.42,0,0.09,0,1.23,0,0.26,0.58,0,N/A
N/A,CM_040_XRD-1,10.58052/IEWDR01R0,Sediment,65.97,11.61,6.13,0,0,0,14.24,0,1.36,0.7,0,N/A
N/A,CM_041_XRD-1,10.58052/IEWDR01R1,Sediment,80.64,5.61,4.3,0,0.03,0,3.28,0,0.13,2.6,0,N/A
N/A,CM_042_XRD-1,10.58052/IEWDR01R2,Sediment,79.26,6.83,7.48,0,0,0,5.02,0,0.51,0.9,0,N/A
N/A,CM_043_XRD-1,10.58052/IEWDR01UX,Sediment,71.01,11.47,13.56,0,0,0,3.35,0,0,0.61,0,N/A
N/A,CM_044_XRD-1,10.58052/IEWDR01V0,Sediment,68.6,18.06,5.3,0,0,0,4.76,0,0.2,3.08,0,N/A
N/A,CM_045_XRD-1,10.58052/IEWDR01V3,Sediment,69.48,14.51,4.28,0,0,0,6.88,0,0.86,3.99,0,N/A
N/A,CM_046_XRD-1,10.58052/IEWDR01V6,Sediment,100,0,0,0,0,0,0,0,0,0,0,N/A
N/A,CM_047_XRD-1,10.58052/IEWDR01ZH,Sediment,63.12,20.61,6.12,0,0,0,4.65,2.77,0,0,0,N/A
N/A,CM_048_XRD-1,10.58052/IEWDR01ZI,Sediment,100,0,0,0,0,0,0,0,0,0,0,N/A
N/A,CM_049_XRD-1,10.58052/IEWDR01ZJ,Sediment,63.63,24.82,5.43,0,0,0,0,3.16,0,0,0,N/A
N/A,CM_050_XRD-1,10.58052/IEWDR01V9,Sediment,13.41,54.97,7.37,17.93,0,0,0,0,6.32,0,0,N/A
N/A,CM_051_XRD-1,10.58052/IEWDR01VC,Sediment,12.01,33.38,18.99,25.97,0,0,0,0,4.98,4.67,0,N/A
N/A,CM_052_XRD-1,10.58052/IEWDR01VF,Sediment,13.7,46.62,14.8,24.87,0,0,0,0,0,0,0,XRD_QAQC_004
N/A,CM_053_XRD-1,10.58052/IEWDR01ZK,Sediment,8.61,28.93,11.53,14.96,0,0,0,33.22,0,0,0,N/A
N/A,CM_054_XRD-1,10.58052/IEWDR01ZL,Sediment,9.69,25.32,10,12.69,0,0,0,40.14,0,0,0,N/A
N/A,CM_055_XRD-1,10.58052/IEWDR01ZM,Sediment,10.91,24.7,9.56,12.64,0,0,0,40.05,0,0,0,N/A
N/A,CM_056_XRD-1,10.58052/IEWDR01VI,Sediment,100,0,0,0,0,0,0,0,0,0,0,N/A
N/A,CM_057_XRD-1,10.58052/IEWDR01VL,Sediment,98.59,0,0,0,0,0,1.41,0,0,0,0,N/A
N/A,CM_058_XRD-1,10.58052/IEWDR01VO,Sediment,62.75,23.18,3.14,0,0,0,6.61,0,0.56,3.77,0,N/A
N/A,CM_059_XRD-1,10.58052/IEWDR01ZN,Sediment,100,0,0,0,0,0,0,0,0,0,0,N/A
N/A,CM_060_XRD-1,10.58052/IEWDR01ZO,Sediment,63.15,21.87,6.91,0,0,0,5.2,1.1,0,0,0,N/A
N/A,CM_061_XRD-1,10.58052/IEWDR01ZP,Sediment,100,0,0,0,0,0,0,0,0,0,0,N/A
N/A,CM_062_XRD-1,10.58052/IEWDR01R3,Sediment,72.39,11.21,5.41,0,0,0,9.74,0,0.59,0.65,0,N/A
N/A,CM_063_XRD-1,10.58052/IEWDR01R4,Sediment,75.78,15.04,4.86,0,0,0,3.79,0,0,0.53,0,N/A
N/A,CM_064_XRD-1,10.58052/IEWDR01VR,Sediment,100,0,0,0,0,0,0,0,0,0,0,N/A
N/A,CM_065_XRD-1,10.58052/IEWDR01ZQ,Sediment,97.44,0,0,0,0,0,0,2.56,0,0,0,N/A
N/A,CM_066_XRD-1,10.58052/IEWDR01VU,Sediment,54.53,22.4,10.31,0,0,0,10.13,0,0.84,1.81,0,N/A
N/A,CM_068_XRD-1,10.58052/IEWDR01VX,Sediment,70.15,8.81,4.72,0,0,0,16.33,0,0,0,0,N/A
N/A,CM_069_XRD-1,10.58052/IEWDR01W0,Sediment,67.07,8.46,7.61,0,0.11,0,6,0,0.16,0,0,N/A
N/A,CM_070_XRD-1,10.58052/IEWDR01W3,Sediment,68.63,15.11,4,0,0,0,10.52,0,0.2,1.54,0,N/A
N/A,CM_071_XRD-1,10.58052/IEWDR01W6,Sediment,74.29,9.6,6.25,0,0,0,8.98,0,0,0.88,0,N/A
N/A,CM_072_XRD-1,10.58052/IEWDR01W9,Sediment,51,6.19,4.88,0,0.15,0,22.41,0,0.7,0,0,N/A
N/A,CM_073_XRD-1,10.58052/IEWDR01WC,Sediment,68.84,17.49,0,0,0,0,12.76,0,0.54,0.37,0,N/A
N/A,CM_074_XRD-1,10.58052/IEWDR01WF,Sediment,47.28,28.53,18.09,0,0,0,5.28,0,0,0.82,0,N/A
N/A,CM_075_XRD-1,10.58052/IEWDR01WI,Sediment,100,0,0,0,0,0,0,0,0,0,0,N/A
N/A,CM_076_XRD-1,10.58052/IEWDR01WL,Sediment,67.08,13,8.4,0,0.06,0,5.55,0,0.34,0,0,N/A
N/A,CM_077_XRD-1,10.58052/IEWDR01WO,Sediment,67,11.02,3.85,0,0,0,7.11,0,0.97,10.05,0,N/A
N/A,CM_078_XRD-1,10.58052/IEWDR01WR,Sediment,66.73,11.12,5.69,0,0,0,12.81,0,0.93,2.71,0,N/A
N/A,CM_079_XRD-1,10.58052/IEWDR01WU,Sediment,49.48,0,0,0,0.26,0,0,0,0,0,24.69,N/A
N/A,CM_080_XRD-1,10.58052/IEWDR01WX,Sediment,59.92,0,0,0,0,0,0,0,0,0,0,XRD_QAQC_003
N/A,CM_081_XRD-1,10.58052/IEWDR01X0,Sediment,92.71,3.24,4.05,0,0,0,0,0,0,0,0,N/A
N/A,CM_082_XRD-1,10.58052/IEWDR01X3,Sediment,96.15,0,3.85,0,0,0,0,0,0,0,0,XRD_QAQC_001
N/A,CM_083_XRD-1,10.58052/IEWDR01ZR,Sediment,88.68,4.43,4.28,0,0,0,0,2.62,0,0,0,N/A
N/A,CM_084_XRD-1,10.58052/IEWDR01X6,Sediment,56.56,17.16,15.03,3.3,0,0,5.34,0,0.36,2.24,0,N/A
N/A,CM_085_XRD-1,10.58052/IEWDR01X9,Sediment,76.19,14.89,3.58,0,0,0,2.87,0,0.18,2.3,0,N/A
N/A,CM_086_XRD-1,10.58052/IEWDR01ZS,Sediment,24.08,15.65,3.81,0,0,0,7.45,44.98,0,0,0,N/A
N/A,CM_087_XRD-1,10.58052/IEWDR01ZT,Sediment,35.81,25.91,8.58,2.54,0,0,6.04,16.76,0,0,0,N/A
N/A,CM_088_XRD-1,10.58052/IEWDR01XC,Sediment,40.08,32.1,6.37,7.55,0,0,10.37,0,0,3.53,0,XRD_QAQC_004
N/A,CM_089_XRD-1,10.58052/IEWDR01ZU,Sediment,45.89,26.89,9.3,0,0,0,7.94,6.36,0,0,0,N/A
N/A,CM_090_XRD-1,10.58052/IEWDR01ZV,Sediment,43.74,31.88,13.04,4.46,0,0,0,4.53,0,0,0,N/A
N/A,CM_091_XRD-1,10.58052/IEWDR01ZW,Sediment,95.48,0,3.8,0,0,0,0,0.72,0,0,0,N/A
N/A,CM_092_XRD-1,10.58052/IEWDR01ZX,Sediment,100,0,0,0,0,0,0,0,0,0,0,N/A
N/A,CM_093_XRD-1,10.58052/IEWDR01ZY,Sediment,77.55,8.59,6.61,4.14,0,0,0,3.12,0,0,0,N/A
N/A,CM_094_XRD-1,10.58052/IEWDR01ZZ,Sediment,62.92,18.69,6.93,0,0,0,5.95,5.51,0,0,0,N/A
N/A,CM_095_XRD-1,10.58052/IEWDR0200,Sediment,89.81,0,0,0,0,0,0,10.19,0,0,0,N/A
