#Columns,6,,,,,
#Header_Rows,12,,,,,
Field_Name,Sample_Name,IGSN,Material,Fe_mg_per_kg,Fe_mg_per_L,Methods_Deviation
Unit,N/A,N/A,N/A,milligrams_per_kilogram,milligrams_per_liter,N/A
Unit_Basis,N/A,N/A,N/A,as_mg_Fe_per_kg_dry_weight,as_mg_Fe_per_L_water,N/A
MethodID_Analysis,N/A,N/A,N/A,Fe_T_AN_001,Fe_T_AN_001,N/A
MethodID_Inspection,N/A,N/A,N/A,Fe_T_IN_001,Fe_T_IN_001,N/A
MethodID_Storage,N/A,N/A,N/A,Fe_T_ST_001,Fe_T_ST_001,N/A
MethodID_Preservation,N/A,N/A,N/A,Fe_T_PRES_001,Fe_T_PRES_001,N/A
MethodID_Preparation,N/A,N/A,N/A,Fe_T_PREP_001,Fe_T_PREP_001,N/A
MethodID_DataProcessing,N/A,N/A,N/A,Fe_T_DP_001,Fe_T_DP_001,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,-9999,0-0.029,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,N/A
#Start_Data,CM_001_SFE-1a,10.58052/IEWDR01Q5,Sediment,-9999,-9999,SFE_ACID_001; INC_QA_000; INC_QA_001
N/A,CM_001_SFE-1b,10.58052/IEWDR01Q5,Sediment,-9999,-9999,SFE_ACID_001; INC_QA_000; INC_QA_001
N/A,CM_001_SFE-1c,10.58052/IEWDR01Q5,Sediment,-9999,-9999,SFE_ACID_001; INC_QA_000; INC_QA_001
N/A,CM_001_SFE-2a,10.58052/IEWDR01Q5,Sediment,-9999,-9999,SFE_RERUN_002; SFE_ACID_001; INC_QA_000; INC_QA_001
N/A,CM_001_SFE-2b,10.58052/IEWDR01Q5,Sediment,-9999,-9999,SFE_RERUN_002; SFE_ACID_001; INC_QA_000; INC_QA_001
N/A,CM_001_SFE-2c,10.58052/IEWDR01Q5,Sediment,-9999,-9999,SFE_RERUN_002; SFE_ACID_001; INC_QA_000; INC_QA_001
N/A,CM_001_SFE-2d,10.58052/IEWDR01Q5,Sediment,-9999,-9999,SFE_RERUN_002; SFE_ACID_001; INC_QA_000; INC_QA_001
N/A,CM_001_SFE-2e,10.58052/IEWDR01Q5,Sediment,-9999,-9999,SFE_RERUN_002; SFE_ACID_001; INC_QA_000; INC_QA_001
N/A,CM_001_SFE-2f,10.58052/IEWDR01Q5,Sediment,-9999,-9999,SFE_RERUN_002; SFE_ACID_001; INC_QA_000; INC_QA_001
N/A,CM_001_SFE-2g,10.58052/IEWDR01Q5,Sediment,-9999,-9999,SFE_RERUN_002; SFE_ACID_001; INC_QA_000; INC_QA_001
N/A,CM_001_SFE-2h,10.58052/IEWDR01Q5,Sediment,-9999,-9999,SFE_RERUN_002; SFE_ACID_001; INC_QA_000; INC_QA_001
N/A,CM_001_SFE-3a,10.58052/IEWDR01Q5,Sediment,-9999,-9999,SFE_ACID_001; INC_QA_000; INC_QA_001
N/A,CM_001_SFE-3b,10.58052/IEWDR01Q5,Sediment,-9999,-9999,SFE_ACID_001; INC_QA_000; INC_QA_001
N/A,CM_001_SFE-3c,10.58052/IEWDR01Q5,Sediment,-9999,-9999,SFE_ACID_001; INC_QA_000; INC_QA_001
N/A,CM_002_SFE-1a,10.58052/IEWDR01Q6,Sediment,1.49,0.508,SFE_RERUN_002
N/A,CM_002_SFE-1b,10.58052/IEWDR01Q6,Sediment,1.405,0.479,SFE_RERUN_002
N/A,CM_002_SFE-1c,10.58052/IEWDR01Q6,Sediment,1.727,0.589,SFE_RERUN_002
N/A,CM_002_SFE-1d,10.58052/IEWDR01Q6,Sediment,1.519,0.518,SFE_RERUN_002
N/A,CM_002_SFE-1e,10.58052/IEWDR01Q6,Sediment,1.566,0.534,SFE_RERUN_002
N/A,CM_002_SFE-1f,10.58052/IEWDR01Q6,Sediment,1.548,0.528,SFE_RERUN_002
N/A,CM_002_SFE-1g,10.58052/IEWDR01Q6,Sediment,1.457,0.497,SFE_RERUN_002
N/A,CM_002_SFE-1h,10.58052/IEWDR01Q6,Sediment,1.408,0.48,SFE_RERUN_002
N/A,CM_002_SFE-2a,10.58052/IEWDR01Q6,Sediment,1.827,0.545,N/A
N/A,CM_002_SFE-2b,10.58052/IEWDR01Q6,Sediment,1.831,0.546,N/A
N/A,CM_002_SFE-2c,10.58052/IEWDR01Q6,Sediment,1.807,0.539,N/A
N/A,CM_002_SFE-3a,10.58052/IEWDR01Q6,Sediment,1.33,0.554,N/A
N/A,CM_002_SFE-3b,10.58052/IEWDR01Q6,Sediment,1.289,0.537,N/A
N/A,CM_002_SFE-3c,10.58052/IEWDR01Q6,Sediment,1.323,0.551,N/A
N/A,CM_003_SFE-1a,10.58052/IEWDR01Q7,Sediment,0.31,0.153,N/A
N/A,CM_003_SFE-1b,10.58052/IEWDR01Q7,Sediment,0.287,0.142,N/A
N/A,CM_003_SFE-1c,10.58052/IEWDR01Q7,Sediment,0.308,0.152,N/A
N/A,CM_003_SFE-2a,10.58052/IEWDR01Q7,Sediment,0.24,0.124,SFE_RERUN_002
N/A,CM_003_SFE-2b,10.58052/IEWDR01Q7,Sediment,0.203,0.105,SFE_RERUN_002
N/A,CM_003_SFE-2c,10.58052/IEWDR01Q7,Sediment,0.265,0.137,SFE_RERUN_002
N/A,CM_003_SFE-2d,10.58052/IEWDR01Q7,Sediment,0.234,0.121,SFE_RERUN_002
N/A,CM_003_SFE-2e,10.58052/IEWDR01Q7,Sediment,0.245,0.127,SFE_RERUN_002
N/A,CM_003_SFE-2f,10.58052/IEWDR01Q7,Sediment,0.234,0.121,SFE_RERUN_002
N/A,CM_003_SFE-2g,10.58052/IEWDR01Q7,Sediment,0.218,0.113,SFE_RERUN_002
N/A,CM_003_SFE-2h,10.58052/IEWDR01Q7,Sediment,0.222,0.115,SFE_RERUN_002
N/A,CM_003_SFE-3a,10.58052/IEWDR01Q7,Sediment,0.248,0.113,N/A
N/A,CM_003_SFE-3b,10.58052/IEWDR01Q7,Sediment,0.239,0.109,N/A
N/A,CM_003_SFE-3c,10.58052/IEWDR01Q7,Sediment,0.261,0.119,N/A
N/A,CM_004_SFE-1a,10.58052/IEWDR01Q8,Sediment,1.048,0.529,N/A
N/A,CM_004_SFE-1b,10.58052/IEWDR01Q8,Sediment,1.007,0.508,N/A
N/A,CM_004_SFE-1c,10.58052/IEWDR01Q8,Sediment,1.009,0.509,N/A
