#Columns,31
#Header_Rows,12
Field_Name,Sample_Name,IGSN,Material,Mean_ATP_nanomoles_per_L,Mean_ATP_picomoles_per_g,Mean_62948_Gravimetric_Moisture_g_per_g,Quartz_percent,Albite_percent,Microcline_percent,Pyroxene_percent,Calcite_percent,Dolomite_percent,Muscovite_percent,Smectite_percent,Chlorite_percent,Amphibole_percent,Apatite_percent,01395_C_percent_per_mg,01397_N_percent_per_mg,Percent_Fine_Sand,Percent_Med_Sand,Percent_Coarse_Sand,Percent_Tot_Sand,Percent_Clay,Percent_Silt,Mean_Fe_mg_per_kg,Mean_Fe_mg_per_L,Mean_Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,Mean_Respiration_Rate_mg_DO_per_L_per_H,Mean_Specific_Surface_Area_m2_per_g,Mean_Missing_Reps
Unit,N/A,N/A,N/A,nanomoles_per_liter,picomoles_per_gram,grams_per_gram,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,percent,milligrams_per_kilogram,milligrams_per_liter,milligrams_per_hour_per_liter_sediment,milligrams_per_liter_water_per_hour,square_meters_per_gram,N/A
Unit_Basis,N/A,N/A,N/A,as_nanomoles_ATP_per_liter,as_picomoles_ATP_per_g_dry_weight,as_grams_Water_per_gram_Dry_Sediment,as_Quartz,as_Albite,as_Microcline,as_Pyroxene,as_Calcite,as_Dolomite,as_Muscovite,as_Smectite,as_Chlorite,as_Amphibole,as_Apatite,as_percent_Carbon_dry_weight,as_percent_Nitrogen_dry_weight,as_percent_of_dry_weight,as_percent_of_dry_weight,as_percent_of_dry_weight,as_percent_of_dry_weight,as_percent_of_dry_weight,as_percent_of_dry_weight,as_mg_Fe_per_kg_dry_weight,as_mg_Fe_per_L_water,as_rate_of_Oxygen_consumed_per_liter_sediment,as_rate_of_Oxygen_consumed,as_square_meter_surface_area_per_gram_sediment,N/A
MethodID_Analysis,N/A,N/A,N/A,ATP_T_AN_002,ATP_T_AN_002,MOIS_T_AN_002,XRD_T_AN_000,XRD_T_AN_000,XRD_T_AN_000,XRD_T_AN_000,XRD_T_AN_000,XRD_T_AN_000,XRD_T_AN_000,XRD_T_AN_000,XRD_T_AN_000,XRD_T_AN_000,XRD_T_AN_000,CN_T_AN_004,CN_T_AN_004,GRN_T_AN_001,GRN_T_AN_001,GRN_T_AN_001,GRN_T_AN_001,GRN_T_AN_001,GRN_T_AN_001,Fe_T_AN_001,Fe_T_AN_001,INC_T_AN_001,INC_T_AN_000,SSA_T_AN_000,N/A
MethodID_Inspection,N/A,N/A,N/A,ATP_T_IN_002,ATP_T_IN_002,MOIS_T_IN_002,XRD_T_IN_000,XRD_T_IN_000,XRD_T_IN_000,XRD_T_IN_000,XRD_T_IN_000,XRD_T_IN_000,XRD_T_IN_000,XRD_T_IN_000,XRD_T_IN_000,XRD_T_IN_000,XRD_T_IN_000,CN_T_IN_004,CN_T_IN_004,GRN_T_IN_001,GRN_T_IN_001,GRN_T_IN_001,GRN_T_IN_001,GRN_T_IN_001,GRN_T_IN_001,Fe_T_IN_001,Fe_T_IN_001,INC_T_IN_001,INC_T_IN_000,SSA_T_IN_000,N/A
MethodID_Storage,N/A,N/A,N/A,ATP_T_ST_002,ATP_T_ST_002,MOIS_T_ST_002,XRD_T_ST_000,XRD_T_ST_000,XRD_T_ST_000,XRD_T_ST_000,XRD_T_ST_000,XRD_T_ST_000,XRD_T_ST_000,XRD_T_ST_000,XRD_T_ST_000,XRD_T_ST_000,XRD_T_ST_000,CN_T_ST_004,CN_T_ST_004,GRN_T_ST_001,GRN_T_ST_001,GRN_T_ST_001,GRN_T_ST_001,GRN_T_ST_001,GRN_T_ST_001,Fe_T_ST_001,Fe_T_ST_001,INC_T_ST_001,INC_T_ST_000,SSA_T_ST_000,N/A
MethodID_Preservation,N/A,N/A,N/A,ATP_T_PRES_002,ATP_T_PRES_002,MOIS_T_PRES_002,XRD_T_PRES_000,XRD_T_PRES_000,XRD_T_PRES_000,XRD_T_PRES_000,XRD_T_PRES_000,XRD_T_PRES_000,XRD_T_PRES_000,XRD_T_PRES_000,XRD_T_PRES_000,XRD_T_PRES_000,XRD_T_PRES_000,CN_T_PRES_004,CN_T_PRES_004,GRN_T_PRES_001,GRN_T_PRES_001,GRN_T_PRES_001,GRN_T_PRES_001,GRN_T_PRES_001,GRN_T_PRES_001,Fe_T_PRES_001,Fe_T_PRES_001,INC_T_PRES_001,INC_T_PRES_000,SSA_T_PRES_000,N/A
MethodID_Preparation,N/A,N/A,N/A,ATP_T_PREP_002,ATP_T_PREP_002,MOIS_T_PREP_002,XRD_T_PREP_000,XRD_T_PREP_000,XRD_T_PREP_000,XRD_T_PREP_000,XRD_T_PREP_000,XRD_T_PREP_000,XRD_T_PREP_000,XRD_T_PREP_000,XRD_T_PREP_000,XRD_T_PREP_000,XRD_T_PREP_000,CN_T_PREP_004,CN_T_PREP_004,GRN_T_PREP_001,GRN_T_PREP_001,GRN_T_PREP_001,GRN_T_PREP_001,GRN_T_PREP_001,GRN_T_PREP_001,Fe_T_PREP_001,Fe_T_PREP_001,INC_T_PREP_001,INC_T_PREP_000,SSA_T_PREP_000,N/A
MethodID_DataProcessing,N/A,N/A,N/A,ATP_T_DP_002,ATP_T_DP_002,MOIS_T_DP_002,XRD_T_DP_000,XRD_T_DP_000,XRD_T_DP_000,XRD_T_DP_000,XRD_T_DP_000,XRD_T_DP_000,XRD_T_DP_000,XRD_T_DP_000,XRD_T_DP_000,XRD_T_DP_000,XRD_T_DP_000,CN_T_DP_004,CN_T_DP_004,GRN_T_DP_001,GRN_T_DP_001,GRN_T_DP_001,GRN_T_DP_001,GRN_T_DP_001,GRN_T_DP_001,Fe_T_DP_001,Fe_T_DP_001,INC_T_DP_001,INC_T_DP_000,SSA_T_DP_000,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,0-0.036,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0,0,0,-9999,0-0.029,-9999,-9999,-9999,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.1,0.1,0.1,0.1,0.1,0.1,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,N/A
#Start_Data,CM_001_Sediment,10.58052/IEWDR01Q5,Sediment,3.86,25.677,0.68,52.66,21.2,7.81,10.72,0,0,6.18,0,0,1.43,0,0.58,0.23,3.3,1.6,85.1,90,4.1,5.9,-9999,-9999,-43.906,-12.858,-9999,TRUE
N/A,CM_002_Sediment,10.58052/IEWDR01Q6,Sediment,6.53,26.733,1.213,84.88,4.25,0,0,0,0,9.29,0,0.09,1.49,0,0.94,0.23,50.5,23.3,7.8,81.6,1.7,16.7,1.538,0.529,-128.518,-33.675,-9999,TRUE
N/A,CM_003_Sediment,10.58052/IEWDR01Q7,Sediment,0.337,1.987,0.297,94.53,0,0,0,0,0,5.47,0,0,0,0,0.28,0.22,4.2,10.8,82,97,3,0,0.251,0.125,-8.224,-2.294,-9999,FALSE
N/A,CM_004_Sediment,10.58052/IEWDR01Q8,Sediment,0.533,1.413,0.863,73.22,9.99,5.74,0,0,0,10.4,0,0.65,0,0,0.39,0.09,5.5,12.2,77,94.7,2.3,3,0.932,0.468,-11.638,-3.228,-9999,FALSE
N/A,CM_005_Sediment,10.58052/IEWDR01Q9,Sediment,5.277,18.313,0.273,38.09,34.37,4.15,9.12,0,0,11.54,0,2.73,0,0,0.27,0.17,6,56.2,33.4,95.6,0.4,4,1.171,0.562,-1.841,-0.517,8.187,TRUE
N/A,CM_006_Sediment,10.58052/IEWDR01QA,Sediment,14.99,58.077,0.753,32.98,36.26,14.77,6.46,0,0,7.03,0,0.91,1.61,0,1.12,0.19,13.8,14.5,58.9,87.2,9,3.8,4.233,1.371,-2684.419,-709.467,-9999,FALSE
N/A,CM_007_Sediment,10.58052/IEWDR01QB,Sediment,0.095,0.325,0.653,70.61,16.56,0,3.56,0,0,3.55,0,1.13,4.59,0,0.24,0.21,2.4,9,84.3,95.7,0.4,3.9,0.211,0.082,-3.62,-0.981,-9999,TRUE
N/A,CM_008_Sediment,10.58052/IEWDR01QC,Sediment,3.333,17.487,1.853,40.17,31.59,9.67,4.78,0.05,0,5.27,0,0.56,2.88,0,1.91,0.33,9.6,6.2,77.4,93.2,2,4.8,1.014,0.359,-3046.928,-797.6,-9999,FALSE
N/A,CM_009_Sediment,10.58052/IEWDR01UU,Sediment,43.393,140.44,0.363,36,34.65,7.54,5.58,0,0,8.09,0,1.17,6.97,0,0.51,0.21,31.4,36.4,13.3,81.1,1.4,17.5,0.579,0.279,-15.23,-4.224,18.075,FALSE
N/A,CM_010_Sediment,10.58052/IEWDR01QD,Sediment,0.13,0.4,0.707,100,0,0,0,0,0,0,0,0,0,0,0.28,0.25,4.4,36.2,57.8,98.4,1.4,0.2,0.151,0.056,-5.499,-1.478,-9999,FALSE
N/A,CM_011_Sediment,10.58052/IEWDR01QE,Sediment,19.607,75.58,0.54,71.63,9.34,0,0,0,0,18.7,0,0.32,0,0,0.88,0.14,21.6,29,25.7,76.3,0,23.7,3.924,1.431,-93.76,-25.317,6.987,FALSE
N/A,CM_012_Sediment,10.58052/IEWDR01QF,Sediment,12.04,52.89,0.793,55.47,11.29,0,0,0,0,32.4,0,0.85,0,0,0.93,0.19,27.1,24.4,37.3,88.8,0,11.2,1.948,0.736,-33.509,-8.989,10.584,TRUE
N/A,CM_013_Sediment,10.58052/IEWDR01QG,Sediment,3.95,11.11,1.017,62.94,18.48,10.5,0,0,0,7.65,0,0,0.43,0,1.5,0.21,5.5,4.1,82,91.6,1.2,7.2,1.157,0.543,-37.746,-10.523,5.573,FALSE
N/A,CM_014_Sediment,10.58052/IEWDR01QH,Sediment,9.573,28.537,0.613,95.5,0,0,0,0,0,4.5,0,0,0,0,0.4,0.21,6.7,41.8,43.5,92,2.7,5.3,1.392,0.586,-45.144,-12.278,5.241,TRUE
N/A,CM_015_Sediment,10.58052/IEWDR01QI,Sediment,71.437,189.093,0.73,61.72,15.87,8.96,0,0,0,10.22,0,1.22,2.01,0,0.44,0.23,6.7,5.8,75.6,88.1,1.7,10.2,2.108,0.945,-32.218,-8.962,-9999,TRUE
N/A,CM_016_Sediment,10.58052/IEWDR01QJ,Sediment,9.515,45.47,0.73,69.32,10.39,4.7,0,0.1,0,5.44,0,0.34,0,0,3.21,0.32,23.3,31.2,22.5,77,0,23,9.529,2.898,-3721.402,-982.133,-9999,TRUE
N/A,CM_017_Sediment,10.58052/IEWDR01QK,Sediment,7.14,23.51,0.253,20.84,45.87,15.26,12.31,0,0,3.23,0,0,2.49,0,0.19,0.17,5.9,18.8,70.2,94.9,3.8,1.3,0.401,0.163,-2.621,-0.714,14.889,FALSE
