Method_Name,Method_ID,Method_Type,Method_Description,Method_Instrument,Method_Lab
ATP_Method_QA_QC,ATP_CV_030,MethodID_DataProcessing,Adenosine triphosphate (ATP) in picomol per gram had a coefficient of variation higher than the set threshold.,N/A,Pacific Northwest National Laboratory (PNNL)
ATP_RERUN,ATP_001,MethodID_Analysis,Sample was rerun because the value fell below the standard curve or because the diluted value was greater than the undiluted sample indicating an interference in the sample. A 2-times dilution (100 microliters reacted sample + 100 microliters reagent) was made to achieve a total volume of 200 microliters.,N/A,Pacific Northwest National Laboratory (PNNL)
ATP_Typical,ATP_T_IN_002,MethodID_Inspection,Vials were intact.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
ATP_Typical,ATP_T_ST_002,MethodID_Storage,Stored at -20 degC.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
ATP_Typical,ATP_T_PRES_002,MethodID_Preservation,1 milliliter of sediment was subsampled from sediments received from the field. Samples were left at 21 degC overnight before adding 2.5 milliliters of 20 millimolar ethylenediaminetetraacetic acid (EDTA) and freezing on dry ice.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
ATP_Typical,ATP_T_PREP_002,MethodID_Preparation,Samples were thawed at 4 degC overnight before being brought to room temperature for one hour before analysis.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
ATP_Typical,ATP_T_AN_002,MethodID_Analysis,At the time of analysis 2.5 milliliters of BacTiter Glo adenosine triphosphate (ATP) reagent and 125 microliters of 0.4 molar magnesium chloride were added to the sample at the same time. The sample was vortexed for 5 seconds before being placed in the dark for four minutes and thirty seconds. After four minutes and thirty seconds the samples were filtered using a 0.45 micrometer nylon disc filter. 200 microliters of filtered sample were placed in a 2 milliliter eppi tube for reading on the luminometer. Standard concentration ranged from 0 to 5 nanomolar for the low concentration range; 0 to 100 nanomolar for the medium concentration range; and 100 - 500 nanomolar for the high concentration range.,Turner Biosystems Modulus Luminometer/Fluormeter W/ E6072 Uv Module - 9200-000,Pacific Northwest National Laboratory (PNNL) – Richland
ATP_Typical,ATP_T_DP_002,MethodID_DataProcessing,Manually checked data and calibration curves prior to uploading data. Raw data were processed through a data evaluation script that calculated nanomoles of Adenosine triphosphate (ATP) per liter based on the standard curve and flagged samples below the limit of detection. Samples were normalized to picomoles of ATP per gram sediment using the estimated dry mass of sediment and mass of water; ethylenediaminetetraacetic acid (EDTA); and reagent used for extraction.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
ATP_Vial_Inspection_Method,VI_ATP_001,MethodID_Inspection,Sediment frozen upon arrival to lab.,N/A,Pacific Northwest National Laboratory (PNNL)
ATP_Vial_Inspection_Method,VI_ATP_002,MethodID_Inspection,Sample missing.,N/A,Pacific Northwest National Laboratory (PNNL)
ATP_Vial_Inspection_Method,VI_ATP_003,MethodID_Inspection,Sediment was not collected.,N/A,Pacific Northwest National Laboratory (PNNL)
ATP_Vial_Inspection_Method,VI_SCN_003,MethodID_Inspection,Sediment was not collected.,N/A,Pacific Northwest National Laboratory (PNNL)
CN_Method_QA_QC,CN_000,MethodID_DataProcessing,Biological replicates were averaged together.,N/A,Pacific Northwest National Laboratory (PNNL)
CN_Typical,CN_T_IN_004,MethodID_Inspection,Tin and silver capsules were wrapped and inspected to ensure there were no tears or splits.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
CN_Typical,CN_T_ST_004,MethodID_Storage,Ground solid sediment samples were stored at room temperature in capitol vials. Weighed capsules in well plates were stored in desiccator until day of analysis.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
CN_Typical,CN_T_PRES_004,MethodID_Preservation,No preservatives added.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
CN_Typical,CN_T_PREP_004,MethodID_Preparation,Ground solid sediment samples were weighed into silver boats on a microbalance and placed into labelled well plate. 90 microliters of water was added to each silver boat and samples were stored in desiccator with 12 molar hydrochloric acid for approximately 24-hour fumigation. Samples were dried in 60 degC oven following fumigation and then added to a tin boat for final wrapping. Samples were placed into labelled well plate and stored in desiccator until analysis on the instrument.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
CN_Typical,CN_T_AN_004,MethodID_Analysis,Total organic carbon and total nitrogen content in solid sediment samples were measured via catalytic combustion with a thermal conductivity detector using an elemental analyzer in CN mode; with helium flow set to 230 milliliters per minute; sample run time 10 minutes; combustion tube furnace at 950 degC; reduction tube furnace at 600 degC; Aspartic acid standard used with factory calibration; standards kept at room temperature between runs. Carbon and nitrogen content reported in percent organic carbon or percent nitrogen.,VarioIsotope Cube and Isoprime precisION isotope ratio mass spectrometer (IRMS; Elementar GmbH),Pacific Northwest National Laboratory (PNNL) – Richland
CN_Typical,CN_T_DP_004,MethodID_DataProcessing,"Final percent organic carbon and percent nitrogen were calculated using the instrument software based on peak area values from the thermal conductivity detector. Every 15 samples, a blank and two aspartic acid standards were ran. Samples were rerun if greater or less than 10 percent of the calibrated value. Analytical replicates were included every 15 samples and biological replicates (-1; -2; -3) were included every 10 samples. If the total organic carbon percentage was more than 1 percent three more biological replicates were ran. Samples with biological replicates are reported as the average value and a method deviation is included. Analytical replicates were only used for QAQC purposes and are not included in the provided data. For samples starting with ""SSS"": samples were rerun if the either the carbon or nitrogen analytical replicate coefficient of variation was greater than 15 percent. For samples starting with CM: samples were rerun if the carbon analytical replicate coefficient of variation was greater than 15 percent. For samples starting with ""CM"": nitrogen analytical replicate coefficient of variations ranged from 0 to 34 percent. Higher coefficient of variations in the CM samples may be a result of heterogenous parent material rather than a function of the method used. See Brodie et al. (2011) and Harris et al. (2001) for more information about methodologies. We also measured nitrogen percent on a subset of CM samples without fumigation and found no significant difference between these methodologies.",N/A,Pacific Northwest National Laboratory (PNNL) – Richland
DP_Method_QA_QC,DTL_003,MethodID_DataProcessing,"Individual data cells contain a flag if the concentration measured was (1) negative; (2) outside of the standard curve; or (3) below the limit of detection (LOD). The text flag is formatted as ""[DataType]_[Below/Above]_[##]_ppm_[LOD/Standard]|[##]_ppm_Raw_Not_Corrected|[##]_ppm_Final_Corrected"". The ""|"" is used to allow the user to parse apart the three pieces of information. The first part of the text string indicates the reason for the flag and the value of the LOD or Standard. The second part indicates the raw data value without any correction. The third part indicates the final corrected value. This value could be corrected based on dilution or other corrections (see the alphanumeric codes at the top of the data column for more details). A text string such as ""NPOC_Above_30_ppm_Standard|30.1_ppm_Raw_Not_Corrected|415.2_ppm_Final_Corrected"" indicates that the NPOC value is above the 30 parts per million (ppm) standard (the highest standard used); the raw value was 30.1ppm; and the corrected value (due to dilution) is 415.2ppm. The raw not corrected and final corrected values could be the same if there was no dilution or other corrections needed. Negative concentration values are not reported; rather ""Negative_Value"" and ""-9999"" are included in the text string (e.g. ""NPOC_Below_0.5_ppm_LOD|Negative_Value_Raw_Not_Corrected|-9999_ppm_Final_Corrected""). For samples corrected to milligrams per kilogram values the raw data value without correction is the same as the raw milligrams per liter not corrected value.",N/A,Pacific Northwest National Laboratory (PNNL)
DWA_Deviation,DWA_001,MethodID_Analysis,Sample was incubated with 2.5 milliliters of sediment instead of 10 milliliters of sediment.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
DWA_Typical,DWA_T_IN_000,MethodID_Inspection,Vials were intact and filled to appropriate levels.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
DWA_Typical,DWA_T_ST_000,MethodID_Storage,Sediment and water samples were kept in a temperature controlled chamber set at 21 degC before incubations. Following incubations combined sediment and water samples were kept at room temperature.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
DWA_Typical,DWA_T_PRES_000,MethodID_Preservation,No additional preservation performed.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
DWA_Typical,DWA_T_PREP_000,MethodID_Preparation,Upon arrival sediment was subsampled into pre-weighed 40 milliliter glass vial with an oxygen sensor spot.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
DWA_Typical,DWA_T_AN_000,MethodID_Analysis,The mass of the 40 milliliter glass vial with an oxygen sensor spot and sediment was recorded and a breathe-easy membrane was added to the vial opening. Samples were then kept in an temperature controlled chamber set at 21 degC overnight until analysis. The following day unfiltered water from the same sample site was added to the vial until there was no headspace. Following incubation 2 milliliters of slurry were subsampled for iron (II) analysis from the 40 milliliter glass vials before reweighing the samples. The 40 milliliter glass vials contained 1) an oxygen sensor spot; 2) sediment; and 3) unfiltered water. Samples of the slurry were then transferred to pre-weighed 50 milliliter proteomic friendly falcon tubes and mass was recorded. Samples were then centrifuged and water was disposed of. The 50 milliliter tube with wet sediment was then weighed. The remaining sediment sample was then dried at 105 degC for 48 hours or until mass of dry sediment was stable. The 50 milliliter tubes with dry sediment were allowed to cool to room temperature in a desiccator and then weighed again.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
DWA_Typical,DWA_T_DP_000,MethodID_DataProcessing,The wet mass of sediment in grams was calculated as the mass of wet sediment and 40 milliliter glass vial minus the mass of the 40 milliliter glass vial. The dry mass of sediment in grams was calculated from the mass of dry sediment minus the mass of the 50 milliliter proteomic friendly falcon tube it was transferred to following lab incubations. The mass of water in grams in the 40 milliliter glass vials was calculated as the mass of the 40 milliliter glass vial with sediment and water minus the mass of the 40 milliliter vial and the mass of dry sediment plus the approximately 2 grams removed for iron subsampling. Sediment volume was either 10 milliliters or 2.5 milliliters as subsampled into the 40 milliliter glass vial.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
Data_Status,ready_to_use,N/A,The data have been evaluated and are ready to use.,N/A,Pacific Northwest National Laboratory (PNNL)
Fe_Typical,Fe_T_IN_001,MethodID_Inspection,Vials were intact.,N/A,Pacific Northwest National Laboratory (PNNL) – Richland
