#Columns,19,,,,,,,,,,,,,,,,,,
#Header_Rows,12,,,,,,,,,,,,,,,,,,
Field_Name,Sample_Name,IGSN,Material,Mean_NH4_mg_per_L_as_NH4,Mean_71870_Br_mg_per_L,Mean_00915_Ca_mg_per_L,Mean_00940_Cl_mg_per_L,Mean_00950_F_mg_per_L,Mean_01130_Li_mg_per_L,Mean_00925_Mg_mg_per_L,Mean_71851_NO3_mg_per_L_as_NO3,Mean_71856_NO2_mg_per_L_as_NO2,Mean_00653_PO4_mg_per_L_as_PO4,Mean_00935_K_mg_per_L,Mean_00930_Na_mg_per_L,Mean_00945_SO4_mg_per_L_as_SO4,Mean_00681_NPOC_mg_per_L_as_C,Mean_00602_TN_mg_per_L_as_N,Mean_Missing_Reps
Unit,N/A,N/A,N/A,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,N/A
Unit_Basis,N/A,N/A,N/A,as_Ammonium,as_Bromide,as_Calcium,as_Chloride,as_Fluoride,as_Lithium,as_Magnesium,as_Nitrate,as_Nitrite,as_Phosphate,as_Potassium,as_Sodium,as_Sulfate,as_dissolvable_Carbon,as_dissolvable_Nitrogen,N/A
MethodID_Analysis,N/A,N/A,N/A,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,ION_T_AN_005,NPOC_T_AN_005,TN_T_AN_005,N/A
MethodID_Inspection,N/A,N/A,N/A,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,ION_T_IN_005,NPOC_T_IN_005,TN_T_IN_005,N/A
MethodID_Storage,N/A,N/A,N/A,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,ION_T_ST_005,NPOC_T_ST_005,TN_T_ST_005,N/A
MethodID_Preservation,N/A,N/A,N/A,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,ION_T_PRES_005,NPOC_T_PRES_005,TN_T_PRES_005,N/A
MethodID_Preparation,N/A,N/A,N/A,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,ION_T_PREP_005,NPOC_T_PREP_005,TN_T_PREP_005,N/A
MethodID_DataProcessing,N/A,N/A,N/A,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,ION_T_DP_005,NPOC_T_DP_005,TN_T_DP_005,N/A
Analysis_DetectionLimit,-9999,-9999,-9999,0.13,0.05,0.77,0.03,0.01,0.16,0.65,0.04,0.08,0.23,0.14,0.1,0.04,0.09-0.51,0.01-0.03,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
Data_Status,N/A,N/A,N/A,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,ready_to_use,N/A
#Start_Data,CM_001_Water,10.58052/IEWDR01LH,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.667,-9999,TRUE
N/A,CM_002_Water,10.58052/IEWDR01LI,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.433,1.13,FALSE
N/A,CM_003_Water,10.58052/IEWDR01LJ,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.58,0.437,FALSE
N/A,CM_004_Water,10.58052/IEWDR01LK,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.43,0.337,FALSE
N/A,CM_005_Water,10.58052/IEWDR01LL,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.83,0.613,FALSE
N/A,CM_006_Water,10.58052/IEWDR01LM,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.767,0.727,FALSE
N/A,CM_007_Water,10.58052/IEWDR01LN,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.777,0.233,FALSE
N/A,CM_008_Water,10.58052/IEWDR01LO,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.397,1.873,FALSE
N/A,CM_009_Water,10.58052/IEWDR01UV,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.17,0.177,FALSE
N/A,CM_010_Water,10.58052/IEWDR01LP,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.717,0.88,FALSE
N/A,CM_011_Water,10.58052/IEWDR01LQ,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.2,0.257,FALSE
N/A,CM_012_Water,10.58052/IEWDR01LR,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.97,0.21,FALSE
N/A,CM_013_Water,10.58052/IEWDR01LS,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.943,3.027,FALSE
N/A,CM_014_Water,10.58052/IEWDR01LT,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.097,0.657,FALSE
N/A,CM_015_Water,10.58052/IEWDR01LU,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.823,0.233,FALSE
N/A,CM_016_Water,10.58052/IEWDR01LV,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.247,0.55,FALSE
N/A,CM_017_Water,10.58052/IEWDR01LW,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.285,0.265,TRUE
N/A,CM_018_Water,10.58052/IEWDR01LX,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.673,1.007,FALSE
N/A,CM_020_Water,10.58052/IEWDR01LY,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.593,0.687,FALSE
N/A,CM_021_Water,10.58052/IEWDR01LZ,Liquid>aqueous,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.693,5.94,FALSE
