# HeaderRows_7
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary
# DateTime; YYYY-MM-DD hh:mm:ss; Minidot_01; PME miniDOT Logger real time clock.
# Battery; volts; Minidot_01; PME miniDOT Logger internal batteries.
# Temperature; degree_celsius; Minidot_01; PME miniDOT Logger with temperature sensor.
# Dissolved_Oxygen; milligrams_per_liter; Minidot_01; PME miniDOT Logger with optical dissolved oxygen sensor (fluorescence quenching).
DateTime,Time_Zone,Parent_ID,miniDOT_SN,Battery,Temperature,Dissolved_Oxygen
 2023-05-22 20:04:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.47,26.66,7.629
 2023-05-22 20:05:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.47,26.66,7.64
 2023-05-22 20:06:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.47,26.66,7.638
 2023-05-22 20:07:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.47,26.64,7.623
 2023-05-22 20:08:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.47,26.65,7.629
 2023-05-22 20:09:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.47,26.66,7.615
 2023-05-22 20:10:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.47,26.66,7.616
 2023-05-22 20:11:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.47,26.66,7.618
 2023-05-22 20:12:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.47,26.65,7.625
 2023-05-22 20:13:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.47,26.65,7.607
 2023-05-22 20:14:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.47,26.62,7.618
 2023-05-22 20:15:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.47,26.62,7.609
 2023-05-22 20:16:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.47,26.61,7.607
 2023-05-22 20:17:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.47,26.63,7.595
 2023-05-22 20:18:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.47,26.62,7.597
 2023-05-22 20:19:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.47,26.64,7.599
 2023-05-22 20:20:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.47,26.62,7.596
 2023-05-22 20:21:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.47,26.62,7.607
 2023-05-22 20:22:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.48,26.61,7.611
 2023-05-22 20:23:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.47,26.61,7.617
 2023-05-22 20:24:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.48,26.63,7.603
 2023-05-22 20:25:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.47,26.6,7.595
 2023-05-22 20:26:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.48,26.6,7.606
 2023-05-22 20:27:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.48,26.6,7.606
 2023-05-22 20:28:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.48,26.6,7.623
 2023-05-22 20:29:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.48,26.6,7.609
 2023-05-22 20:30:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.48,26.6,7.597
 2023-05-22 20:31:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.48,26.6,7.596
 2023-05-22 20:32:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.48,26.6,7.577
 2023-05-22 20:33:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.48,26.6,7.583
 2023-05-22 20:34:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.48,26.59,7.593
 2023-05-22 20:35:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.48,26.59,7.588
 2023-05-22 20:36:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.48,26.57,7.595
 2023-05-22 20:37:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.48,26.6,7.589
 2023-05-22 20:38:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.48,26.58,7.583
 2023-05-22 20:39:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.48,26.6,7.568
 2023-05-22 20:40:00,Eastern Daylight Time (UTC-4),CM_091,284528,3.48,26.56,7.59
