File_Name,File_Description,Standard,Date_Start,Date_End,Missing_Value_Codes,File_Path
v4_readme_CM_SSS.pdf,Data package level readme. Contains data package summary; acknowledgements; and contact information. ,N/A,-9999,-9999,N/A,/v4_CM_SSS_Data_Package
v4_CM_SSS_dd.csv,Data dictionary that defines columns headers across all comma-separated values (CSV) files contained in the data package.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021),-9999,-9999,N/A,/v4_CM_SSS_Data_Package
v4_CM_SSS_flmd.csv,File-level metadata that lists and describes all of the files contained in the data package.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021); ESS-DIVE Reporting Format for File-level Metadata (Velliquette et al. 2021),-9999,-9999,N/A; -9999,/v4_CM_SSS_Data_Package
CM_Field_Protocol.pdf,"Step-by-step instructions used to complete the sampling in the field for data and sample names that have ""CM"" at the beginning.",N/A,-9999,-9999,N/A,/v4_CM_SSS_Data_Package
SSS_Field_Protocol.pdf,"Step-by-step instructions used to complete the sampling in the field for data and sample names that have ""SSS"" at the beginning.",N/A,-9999,-9999,N/A,/v4_CM_SSS_Data_Package
v3_CM_SSS_Field_Metadata.csv,Metadata for each set of samples collected at a given point in space and time. Each row generally refers to a set of many vials collected for different analysis and often includes three replicates per analysis collected together that are each named with the same sample name and each have a replicate identifier appended to the end to create a unique identifier (e.g. CM_005 provides information for the samples CM_005_ICR-1; CM_005_ICR-2; CM_005_ICR-3; which were individual vials collected in the field at the same time and location and can be treated as biological replicates). The metadata file provides accompanying information captured in the field (i.e. coordinates; date; turbidity; water color; weather; etc.).,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021), 2022-04-18, 2023-10-10,N/A; -9999,/v4_CM_SSS_Data_Package
v3_CM_SSS_Metadata_IGSN-Mapping.csv,File that maps between sample names and registered International Generic Sample Numbers (IGSNs). Includes metadata required by Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Sample ID and Metadata (Damerow et al. 2020). Some fields are repeated from the field metadata. In compliance with the ESS-DIVE Location Metadata Reporting Format (Crystal-Ornelas et al. 2022) the Submission_Contact_Name; Submission_Contact_Email; Location_ID; Description; Latitude; and Longitude can all be found in the Dataset Metadata associated with this data package (and found on the ESS-DIVE landing page). The Location_ID; Latitude; and Longitude can also be found in v3_CM_SSS_IGSN-Mapping.csv as Locality; Latitude; and Longitude; respectively. There is no separate file associated with the ESS-DIVE Location Metadata Reporting Format.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021); ESS-DIVE Reporting Format for Sample ID and Metadata (Damerow et al. 2020); ESS-DIVE Location Metadata Reporting Format (Crystal-Ornelas et al. 2022), 2022-04-18, 2023-10-10,N/A; -9999,/v4_CM_SSS_Data_Package
v4_CM_SSS_Methods_Codes.csv,Definitions of methods codes used in sample data files. The file follows the Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Soil; Sediment; and Water Chemistry data (Boye et al. 2022).,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021); ESS-DIVE Reporting Format for Soil; Sediment; and Water Chemistry (Boye et al. 2022), 2022-04-18, 2023-10-10,N/A,/v4_CM_SSS_Data_Package/Sample_Data
CM_SSS_Sediment_ATP.csv,Adenosine triphosphate (ATP) data from sediment samples. Methods information is embedded with methods codes that are defined in v4_CM_SSS_Methods_Codes.csv. The file follows the Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Soil; Sediment; and Water Chemistry data (Boye et al. 2022).,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021); ESS-DIVE Reporting Format for Soil; Sediment; and Water Chemistry (Boye et al. 2022), 2022-04-18, 2023-10-10,N/A; -9999,/v4_CM_SSS_Data_Package/Sample_Data
CM_SSS_Sediment_CN.csv,Total organic carbon and total nitrogen content data from sediment samples. Methods information is embedded with methods codes that are defined in v4_CM_SSS_Methods_Codes.csv. The file follows the Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Soil; Sediment; and Water Chemistry data (Boye et al. 2022).,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021); ESS-DIVE Reporting Format for Soil; Sediment; and Water Chemistry (Boye et al. 2022), 2022-04-18, 2023-10-10,N/A; -9999; SSA_*|*_Raw_Not_Corrected|*_Final_Corrected,/v4_CM_SSS_Data_Package/Sample_Data
CM_SSS_Sediment_Gravimetric_Moisture.csv,Gravimetric moisture from sediment samples. Methods information is embedded with methods codes that are defined in v4_CM_SSS_Methods_Codes.csv. The file follows the Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Soil; Sediment; and Water Chemistry data (Boye et al. 2022).,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021); ESS-DIVE Reporting Format for Soil; Sediment; and Water Chemistry (Boye et al. 2022), 2022-04-18, 2023-10-10,N/A; -9999; SSA_*|*_Raw_Not_Corrected|*_Final_Corrected,/v4_CM_SSS_Data_Package/Sample_Data
CM_SSS_Sediment_Specific_Surface_Area.csv,Specific surface area data from sediment samples. This analysis was run on a subset of samples; more samples may be added in the future. Methods information is embedded with methods codes that are defined in v4_CM_SSS_Methods_Codes.csv. The file follows the Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Soil; Sediment; and Water Chemistry data (Boye et al. 2022).,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021); ESS-DIVE Reporting Format for Soil; Sediment; and Water Chemistry (Boye et al. 2022), 2022-04-18, 2023-10-10,N/A; -9999; SSA_*|*_Raw_Not_Corrected|*_Final_Corrected,/v4_CM_SSS_Data_Package/Sample_Data
CM_SSS_Sediment_XRD.csv,X-ray diffraction (XRD) data from sediment samples. Methods information is embedded with methods codes that are defined in v4_CM_SSS_Methods_Codes.csv. The file follows the Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Soil; Sediment; and Water Chemistry data (Boye et al. 2022).,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021); ESS-DIVE Reporting Format for Soil; Sediment; and Water Chemistry (Boye et al. 2022), 2022-04-18, 2023-10-10,N/A; -9999; SSA_*|*_Raw_Not_Corrected|*_Final_Corrected,/v4_CM_SSS_Data_Package/Sample_Data
CM_SSS_Water_Ions.csv,Ion data from water samples. Methods information is embedded with methods codes that are defined in v4_CM_SSS_Methods_Codes.csv. The file follows the Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Soil; Sediment; and Water Chemistry data (Boye et al. 2022).,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021); ESS-DIVE Reporting Format for Soil; Sediment; and Water Chemistry (Boye et al. 2022), 2022-04-18, 2023-10-10,N/A; -9999; *_*|*_Raw_Not_Corrected|*_Final_Corrected,/v4_CM_SSS_Data_Package/Sample_Data
v2_CM_SSS_Sediment_Fe.csv,Iron (II) data from sediment samples. Methods information is embedded with methods codes that are defined in v4_CM_SSS_Methods_Codes.csv. The file follows the Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Soil; Sediment; and Water Chemistry data (Boye et al. 2022). Samples that were incubated with both 10 milliliters of sediment and 2.5 milliliters of sediment have three additional replicates (-4; -5; -6 in addition to -1; -2; -3). Each biological replicate also has analytical replicates (-1a; -1b; -1c).,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021); ESS-DIVE Reporting Format for Soil; Sediment; and Water Chemistry (Boye et al. 2022), 2022-04-18, 2023-10-10,N/A; -9999,/v4_CM_SSS_Data_Package/Sample_Data
v2_CM_SSS_Sediment_Normalized_Respiration_Rates.csv,Mean respiration rates normalized to sediment volume in the incubation vials. Methods information is embedded with methods codes that are defined in v4_CM_SSS_Methods_Codes.csv. The file follows the Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Soil; Sediment; and Water Chemistry data (Boye et al. 2022). The calculation used to produce some of these data (theoretical respiration rates) includes assumptions that the project team has decided are appropriate; but the user should decide if using this data is appropriate for their analysis. See methods deviation codes for more detail.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021); ESS-DIVE Reporting Format for Soil; Sediment; and Water Chemistry (Boye et al. 2022), 2022-04-18, 2023-10-10,N/A; -9999,/v4_CM_SSS_Data_Package/Sample_Data
v3_CM_SSS_Sediment_Grain_Size.csv,Sediment grain size distribution (percent fine sane; percent medium sand; percent coarse sand; percent total sand; percent clay; percent silt) measured from the less than 2 millimeter fraction of sediment. Methods information is embedded with methods codes that are defined in v4_CM_SSS_Methods_Codes.csv. The file follows the Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Soil; Sediment; and Water Chemistry data (Boye et al. 2022).,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021); ESS-DIVE Reporting Format for Soil; Sediment; and Water Chemistry (Boye et al. 2022), 2022-04-18, 2023-10-10,N/A; -9999,/v4_CM_SSS_Data_Package/Sample_Data
v3_CM_SSS_Sediment_Incubations_Respiration_Rates.csv,Respiration rates calculated from time series dissolved oxygen data measured from laboratory incubations of sediment. This data is used by the machine learning model. Methods information is embedded with methods codes that are defined in v4_CM_SSS_Methods_Codes.csv. The file follows the Environmental System Science Data Infrastructure for a Virtual Ecosystem (ESS-DIVE) Reporting Format for Soil; Sediment; and Water Chemistry data (Boye et al. 2022). Samples where data from the 2.5 milliliters of sediment was used have reps 4; 5; and 6 instead of 1; 2; and 3. Reps 1; 2; and 3 were used for the 10 milliliter incubation and that data was not used. The calculation used to produce some of these data (theoretical respiration rates) includes assumptions that the project team has decided are appropriate; but the user should decide if using this data is appropriate for their analysis. See methods deviation codes for more detail.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021); ESS-DIVE Reporting Format for Soil; Sediment; and Water Chemistry (Boye et al. 2022), 2022-04-18, 2023-10-10,N/A; -9999,/v4_CM_SSS_Data_Package/Sample_Data
