Study_Code,Sample_ID,Date,StartMeasureTime,StopMeasureTime,M1_DO_mg_per_L,M2_DO_mg_per_L,M3_DO_mg_per_L,AVG_DO_mg_per_L,Temperature_degreesC
WHONDRS_S19S,S19S_0006_SED_INC-D,7/31/2019,9:30:00 AM,9:30:00 AM,4.24,4.3,4.34,4.29,21.3
WHONDRS_S19S,S19S_0006_SED_INC-M,7/31/2019,9:12:00 AM,9:12:00 AM,6.76,6.77,6.78,6.77,21.7
WHONDRS_S19S,S19S_0006_SED_INC-M,7/31/2019,9:27:00 AM,9:27:00 AM,7.81,7.84,7.79,7.81,21.2
WHONDRS_S19S,S19S_0006_SED_INC-M,8/1/2019,9:43:00 AM,9:43:00 AM,7.29,7.27,7.27,7.28,21.4
WHONDRS_S19S,S19S_0006_SED_INC-M,8/1/2019,10:10:00 AM,10:11:00 AM,6.67,6.7,6.75,6.71,20.8
WHONDRS_S19S,S19S_0006_SED_INC-M,8/1/2019,10:40:00 AM,10:40:00 AM,6.02,6.01,5.98,6,-9999
WHONDRS_S19S,S19S_0006_SED_INC-M,8/1/2019,11:12:00 AM,11:12:00 AM,5.21,5.24,5.22,5.22,-9999
WHONDRS_S19S,S19S_0006_SED_INC-U,7/31/2019,9:10:00 AM,9:10:00 AM,8.05,8.07,8.05,8.06,-9999
WHONDRS_S19S,S19S_0006_SED_INC-U,7/31/2019,9:16:00 AM,9:16:00 AM,6.5,6.51,6.52,6.51,21.1
WHONDRS_S19S,S19S_0006_SED_INC-U,7/31/2019,9:30:00 AM,9:30:00 AM,3,2.97,2.98,2.98,20.8
WHONDRS_S19S,S19S_0007_SED_INC-D,7/31/2019,9:11:00 AM,9:12:00 AM,7.2,7.21,7.23,7.21,22.1
WHONDRS_S19S,S19S_0007_SED_INC-D,7/31/2019,9:27:00 AM,9:28:00 AM,6.43,6.38,6.34,6.38,20.8
WHONDRS_S19S,S19S_0007_SED_INC-D,7/31/2019,9:43:00 AM,9:44:00 AM,5.48,5.44,5.41,5.44,20.7
WHONDRS_S19S,S19S_0007_SED_INC-U,7/31/2019,9:14:00 AM,9:15:00 AM,8.28,6.26,6.29,6.94,21.4
WHONDRS_S19S,S19S_0007_SED_INC-U,7/31/2019,9:27:00 AM,9:28:00 AM,5.82,5.8,5.78,5.8,21
WHONDRS_S19S,S19S_0008_SED_INC-D,7/31/2019,9:18:00 AM,9:18:00 AM,8.09,8.1,8.19,8.13,20.7
WHONDRS_S19S,S19S_0008_SED_INC-D,7/31/2019,9:31:00 AM,9:31:00 AM,7.81,7.59,7.65,7.68,21.1
WHONDRS_S19S,S19S_0008_SED_INC-D,7/31/2019,9:45:00 AM,9:45:00 AM,7.19,7.16,7.19,7.18,20.9
WHONDRS_S19S,S19S_0008_SED_INC-D,7/31/2019,10:10:00 AM,10:10:00 AM,6.23,6.28,6.29,6.27,20.8
WHONDRS_S19S,S19S_0008_SED_INC-D,7/31/2019,10:41:00 AM,10:41:00 AM,4.72,4.77,4.9,4.8,20.7
WHONDRS_S19S,S19S_0008_SED_INC-M,7/31/2019,9:20:00 AM,9:20:00 AM,8.57,8.53,8.56,8.55,21.3
WHONDRS_S19S,S19S_0008_SED_INC-M,7/31/2019,9:31:00 AM,9:32:00 AM,7.69,7.67,7.64,7.67,21.3
WHONDRS_S19S,S19S_0008_SED_INC-M,8/1/2019,9:44:00 AM,9:45:00 AM,7.45,7.41,7.35,7.4,21.4
WHONDRS_S19S,S19S_0008_SED_INC-M,8/1/2019,10:11:00 AM,10:11:00 AM,5.05,5.22,6.35,5.54,21.5
