#Samples have International Generic Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration). This file maps between sample names and IGSNs. It conforms to the ESS-DIVE Sample ID and Metadata Reporting Format (IGSN-ESS) v1.1.0 (Damerow et al. 2020). Some information may be repeated between the field metadata file and this file. Parent_IGSN is the IGSN for each site ID. The original site ID is listed in the Locality column.,,,,,,,,,,,,,,,,,,,,,
Sample_Name,IGSN,Parent_IGSN,Other_Names,Material,Field_Name_Informal_Classification,Collection_Method,Collection_Method_Description,Comment,Latitude,Longitude,Primary_Physiographic_Feature,Physiographic_Feature_Name,Locality,Country,State_or_Province,City_or_Township,Field_Program_Cruise,Collector_Chief_Scientist,Collection_Date,Related_URL,Related_URL_Type
S19S_0001_Sediment-D,10.58052/IEWDR012I,10.58052/IEWDR00OJ,N/A,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,49.38609,-121.45047,stream,Fraser,S19S_0001,Canada,British Columbia,Hope,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Eric Bottos, 2019-09-19,https://whondrs.pnnl.gov,regular URL
S19S_0001_Sediment-M,10.58052/IEWDR012J,10.58052/IEWDR00OJ,N/A,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,49.38626,-121.45055,stream,Fraser,S19S_0001,Canada,British Columbia,Hope,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Eric Bottos, 2019-09-19,https://whondrs.pnnl.gov,regular URL
S19S_0001_Sediment-U,10.58052/IEWDR012K,10.58052/IEWDR00OJ,N/A,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,49.38639,-121.45063,stream,Fraser,S19S_0001,Canada,British Columbia,Hope,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Eric Bottos, 2019-09-19,https://whondrs.pnnl.gov,regular URL
S19S_0003_Sediment-D,10.58052/IEWDR012L,10.58052/IEWDR00OK,N/A,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,50.6888,-120.36647,stream,Thompson,S19S_0003,Canada,British Columbia,Kamloops,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Eric Bottos, 2019-09-08,https://whondrs.pnnl.gov,regular URL
S19S_0003_Sediment-M,10.58052/IEWDR012M,10.58052/IEWDR00OK,N/A,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,50.68883,-120.36647,stream,Thompson,S19S_0003,Canada,British Columbia,Kamloops,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Eric Bottos, 2019-09-08,https://whondrs.pnnl.gov,regular URL
S19S_0003_Sediment-U,10.58052/IEWDR012N,10.58052/IEWDR00OK,N/A,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,50.6887,-120.36646,stream,Thompson,S19S_0003,Canada,British Columbia,Kamloops,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Eric Bottos, 2019-09-08,https://whondrs.pnnl.gov,regular URL
S19S_0004_Sediment-D,10.58052/IEWDR012O,10.58052/IEWDR00OL,N/A,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,50.7751,-119.72196,stream,South Thompson,S19S_0004,Canada,British Columbia,Chase,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Eric Bottos, 2019-09-08,https://whondrs.pnnl.gov,regular URL
S19S_0004_Sediment-M,10.58052/IEWDR012P,10.58052/IEWDR00OL,N/A,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,50.77505,-119.72175,stream,South Thompson,S19S_0004,Canada,British Columbia,Chase,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Eric Bottos, 2019-09-08,https://whondrs.pnnl.gov,regular URL
S19S_0004_Sediment-U,10.58052/IEWDR012Q,10.58052/IEWDR00OL,N/A,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,50.7753,-119.72159,stream,South Thompson,S19S_0004,Canada,British Columbia,Chase,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Eric Bottos, 2019-09-08,https://whondrs.pnnl.gov,regular URL
S19S_0005_Sediment-D,10.58052/IEWDR012R,10.58052/IEWDR00OM,N/A,Sediment,Riverbed sediment,grab,"Sediment was scooped with a baked metal spoon into a 125 milliliter glass jar and two 50 milliliter vials containing ""RNAlater"" to preserve for future microbial analysis. See ""WHONDRS_S19S_Sampling-Protocol.pdf"" for more details.",WHONDRS Summer 2019 Sampling Campaign,49.86887,-97.40781,stream,Assiniboine,S19S_0005,Canada,Manitoba,Winnipeg,US Department of Energy River Corridor Science Focus Area; Worldwide Hydrobiogeochemical Observation Network for Dynamic River Systems (WHONDRS),Eric Bottos, 2019-08-06,https://whondrs.pnnl.gov,regular URL
