Study_Code,Sample_ID,INC_Method,Vial_Break_Method,SED_INC_DESC
Study Code,Sample Name,Incubation method,Did the vial break? (method code),Domestic vs. International
WHONDRS_S19S,S19S_0006_SED_INC-D,SED_INC_002,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0006_SED_INC-M,SED_INC_003,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0006_SED_INC-U,SED_INC_003,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0007_SED_INC-D,SED_INC_003,VB_009,SED_INC_DESC_000
WHONDRS_S19S,S19S_0007_SED_INC-M,SED_INC_003,VB_009,SED_INC_DESC_000
WHONDRS_S19S,S19S_0007_SED_INC-U,SED_INC_003,VB_009,SED_INC_DESC_000
WHONDRS_S19S,S19S_0008_SED_INC-D,SED_INC_003,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0008_SED_INC-M,SED_INC_003,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0008_SED_INC-U,SED_INC_003,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0009_SED_INC-D,SED_INC_003,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0009_SED_INC-M,SED_INC_003,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0009_SED_INC-U,SED_INC_003,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0011_SED_INC-U,SED_INC_003,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0011_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0010_SED_INC-D,SED_INC_003,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0012_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0012_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0010_SED_INC-M,SED_INC_003,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0010_SED_INC-U,SED_INC_003,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0011_SED_INC-M,SED_INC_004,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0014_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0013_SED_INC-D,SED_INC_004,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0013_SED_INC-M,SED_INC_004,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0015_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0015_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0015_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0016_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0016_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0013_SED_INC-U,SED_INC_004,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0017_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0017_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0017_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0018_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0018_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0018_SED_INC-M,SED_INC_000,VB_013,SED_INC_DESC_000
WHONDRS_S19S,S19S_0019_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0019_SED_INC-D,SED_INC_001,VB_008,SED_INC_DESC_000
WHONDRS_S19S,S19S_0019_SED_INC-M,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0020_SED_INC-U,SED_INC_001,VB_000,SED_INC_DESC_000
WHONDRS_S19S,S19S_0020_SED_INC-D,SED_INC_001,VB_000,SED_INC_DESC_000
