Sample_ID,Wet_Sediment_Mass_g,Dry_Sediment_Mass_g,Water_Mass_g,Wet_Sediment_Volume_mL
S19S_0006_SED_INC-D,-9999,-9999,31.19,10
S19S_0006_SED_INC-M,-9999,-9999,31.19,10
S19S_0006_SED_INC-U,-9999,-9999,31.19,10
S19S_0007_SED_INC-D,-9999,-9999,31.19,10
S19S_0007_SED_INC-M,-9999,-9999,31.19,10
S19S_0007_SED_INC-U,-9999,-9999,31.19,10
S19S_0008_SED_INC-D,-9999,-9999,31.19,10
S19S_0008_SED_INC-M,-9999,-9999,31.19,10
S19S_0008_SED_INC-U,-9999,-9999,31.19,10
S19S_0009_SED_INC-D,-9999,-9999,31.19,10
S19S_0009_SED_INC-M,-9999,-9999,31.19,10
S19S_0009_SED_INC-U,-9999,-9999,31.19,10
S19S_0010_SED_INC-D,-9999,-9999,31.19,10
S19S_0010_SED_INC-M,-9999,-9999,31.19,10
S19S_0010_SED_INC-U,-9999,-9999,31.19,10
S19S_0011_SED_INC-D,18.0856,-9999,29.44,10
S19S_0011_SED_INC-M,23.0536,-9999,27.29,10
S19S_0011_SED_INC-U,22.7836,-9999,27.91,10
S19S_0012_SED_INC-D,18.2136,-9999,32.55,10
S19S_0012_SED_INC-M,22.7136,-9999,30.51,10
S19S_0012_SED_INC-U,24.5636,-9999,29.65,10
S19S_0013_SED_INC-D,15.9736,-9999,28.45,10
S19S_0013_SED_INC-M,10.6936,-9999,33.45,10
S19S_0013_SED_INC-U,15.0236,-9999,29.17,10
S19S_0014_SED_INC-D,16.7236,-9999,29.07,10
S19S_0014_SED_INC-M,14.9836,-9999,31.92,10
S19S_0014_SED_INC-U,13.9836,-9999,31.19,10
S19S_0015_SED_INC-D,22.6466,-9999,28.82,10
S19S_0015_SED_INC-M,21.5116,-9999,30.06,10
S19S_0015_SED_INC-U,22.6236,-9999,29.55,10
S19S_0016_SED_INC-D,19.1636,-9999,32.35,10
S19S_0016_SED_INC-M,20.8236,-9999,29.69,10
S19S_0016_SED_INC-U,18.9336,-9999,30.81,10
S19S_0017_SED_INC-D,24.4676,-9999,28.44,10
S19S_0017_SED_INC-M,15.1936,-9999,33.16,10
S19S_0017_SED_INC-U,20.2236,-9999,31.46,10
S19S_0018_SED_INC-D,20.1036,-9999,31.46,10
S19S_0018_SED_INC-M,17.0336,-9999,33.06,10
S19S_0018_SED_INC-U,17.9036,-9999,31.09,10
S19S_0019_SED_INC-D,19.7336,-9999,32.17,10
S19S_0019_SED_INC-M,17.8136,-9999,31.53,10
S19S_0019_SED_INC-U,21.7036,-9999,29.82,10
S19S_0020_SED_INC-D,18.2536,-9999,32.48,10
S19S_0020_SED_INC-M,17.4836,-9999,32.88,10
S19S_0020_SED_INC-U,19.5436,-9999,32.12,10
S19S_0021_SED_INC-D,22.2536,-9999,29.87,10
S19S_0021_SED_INC-M,17.6136,-9999,32.58,10
S19S_0021_SED_INC-U,17.9736,-9999,32.14,10
S19S_0022_SED_INC-D,23.4036,-9999,30.63,10
S19S_0022_SED_INC-M,22.6936,-9999,30.91,10
S19S_0022_SED_INC-U,20.3946,-9999,30.78,10
S19S_0023_SED_INC-D,25.0836,-9999,29.59,10
S19S_0023_SED_INC-M,20.8636,-9999,31.61,10
S19S_0023_SED_INC-U,22.9536,-9999,29.95,10
S19S_0024_SED_INC-D,14.4756,-9999,35.06,10
S19S_0024_SED_INC-M,20.3436,-9999,30.77,10
S19S_0024_SED_INC-U,17.2836,-9999,31.57,10
S19S_0025_SED_INC-D,19.5236,-9999,31.68,10
S19S_0025_SED_INC-M,23.8036,-9999,30.82,10
S19S_0025_SED_INC-U,20.3236,-9999,31.63,10
S19S_0026_SED_INC-D,24.6436,-9999,28.09,10
S19S_0026_SED_INC-M,24.2976,-9999,29.05,10
S19S_0026_SED_INC-U,22.4136,-9999,30.46,10
S19S_0027_SED_INC-D,22.5336,-9999,30.57,10
S19S_0027_SED_INC-M,18.6136,-9999,32.61,10
S19S_0027_SED_INC-U,20.6036,-9999,31.06,10
S19S_0028_SED_INC-D,22.3736,-9999,30,10
S19S_0028_SED_INC-M,19.8336,-9999,31.18,10
S19S_0028_SED_INC-U,21.4536,-9999,31.27,10
S19S_0029_SED_INC-D,20.1036,-9999,29.68,10
S19S_0029_SED_INC-M,19.5396,-9999,27.72,10
S19S_0029_SED_INC-U,21.7526,-9999,29.92,10
S19S_0030_SED_INC-U,18.0936,-9999,31.41,10
S19S_0031_SED_INC-D,17.2736,-9999,31.15,10
S19S_0031_SED_INC-M,14.5236,-9999,34.91,10
S19S_0031_SED_INC-U,16.2836,-9999,33.05,10
S19S_0032_SED_INC-D,17.2446,-9999,32.75,10
S19S_0032_SED_INC-M,17.3936,-9999,32.69,10
S19S_0032_SED_INC-U,17.9326,-9999,32.03,10
S19S_0033_SED_INC-D,21.0136,-9999,31.09,10
S19S_0033_SED_INC-M,18.4736,-9999,32.14,10
S19S_0033_SED_INC-U,17.5136,-9999,32.01,10
S19S_0034_SED_INC-D,17.3536,-9999,30.52,10
S19S_0034_SED_INC-M,18.4236,-9999,31.63,10
