Sample_ID,Mg_wt_percent,Al_wt_percent,Si_wt_percent,P_wt_percent,S_wt_percent,Ca_wt_percent,Mn_wt_percent,Fe_wt_percent,Cu_wt_percent,W_wt_percent,Hg_wt_percent
S19S_0029-U,0,0,35.315,2.625,0.07,54.809,0.258,6.658,0.265,0,0
S19S_0039-U,3.048,0,63.925,5.555,0,11.92,0.328,14.781,0.442,0,0
S19S_0039-M,0,0,58.025,3.89,0,10.11,0.946,26.494,0.536,0,0
S19S_0090-M,0,0,69.693,11.075,0,16.399,0.062,2.328,0.442,0,0
S19S_0029-D,0,0,38.747,3.095,0,51.561,0.148,6.162,0.287,0,0
S19S_0028-U,0,0.016,62.818,5.921,0,16.775,0.305,13.713,0.453,0,0
S19S_0055-M,0,0,54.308,2.444,0,13.165,0.824,28.796,0.464,0,0
S19S_0015-D,0,0,68.141,9.566,0,15.42,0.845,5.49,0.458,0,0.08
S19S_0029-M,0,1.848,39.068,2.54,0,48.956,0.173,6.959,0.285,0,0.17
S19S_0024-M,0,0,56.595,4.835,0,30.395,0.354,7.465,0.355,0,0
S19S_0074-M,0,0,60.16,6.261,0,15.838,0.227,17.089,0.423,0,0
S19S_0026-M,0,0,65.726,3.575,0,14.111,0.451,15.683,0.455,0,0
S19S_0074-U,0,0,62.437,6.063,0,15.582,0.189,15.324,0.405,0,0
S19S_0011-M,0,0,67.147,6.817,0,13.821,0.229,11.512,0.473,0,0
S19S_0036-M,0,0,51.231,4.805,0,13.867,0.646,29.054,0.397,0,0
S19S_0023-D,0,0,67.571,9.261,0,18.565,0.092,4.091,0.421,0,0
S19S_0018-D,0,3.704,61.8,5.524,0,9.865,0.265,18.446,0.396,0,0
S19S_0097-D,0,0,37.922,2.414,0,55.432,0.086,3.858,0.288,0,0
S19S_0039-D,0,0,60.551,5.548,0,10.978,0.559,21.88,0.483,0,0
S19S_0011-U,0,0,64.673,6.323,0,12.956,0.523,15.038,0.488,0,0
S19S_0026-D,0,0,64.698,4.901,0,13.947,0.222,15.801,0.431,0,0
S19S_0023-M,0,0,68.676,10.981,0,17.722,0.041,2.162,0.417,0,0
S19S_0074-D,0,0.117,58.878,5.294,0,15.07,0.281,19.948,0.412,0,0
S19S_0026-U,0,0,59.298,5.039,0,13.68,0.397,21.088,0.497,0,0
S19S_0036-U,0,0,55.21,3.922,0,14.693,0.549,25.193,0.433,0,0
