File_Name,File_Description,Standard,Date_Start,Date_End,Missing_Value_Codes,File_Path
v8_readme_WHONDRS_S19S_Sediment.pdf,Data package level readme. Contains data package summary; critical information; acknowledgements; and contact information.,N/A,-9999,-9999,N/A,/v8_WHONDRS_S19S_Sediment
v6_flmd.csv,File-level metadata that lists and describes all of the files contained in the data package. Two copies of the flmd have been included in this data package: one outside of the data zip folder and one inside. The purpose of this duplicated file is for the user to see the data package contents without downloading and unzipping the data folder; while still maintaining a complete set of files inside the zip.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021); ESS-DIVE Reporting Format for File-level Metadata (Velliquette et al. 2021),-9999,-9999,N/A,/v8_WHONDRS_S19S_Sediment
v6_dd.csv,Data dictionary that defines columns headers across all csv files contained in the data package.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021),-9999,-9999,N/A,/v8_WHONDRS_S19S_Sediment
v2_WHONDRS_S19S_Sediment_Incubations_Respiration_Rates.csv,Respiration rates calculated from time series dissolved oxygen data measured from laboratory incubations of sediment and unfiltered stream surface water. The calculation used to produce some of these data (theoretical respiration rates) includes assumptions that the project team has decided are appropriate; but the user should decide if using this data is appropriate for their analysis. See method codes for more detail.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021), 2019-07-29, 2019-09-19,N/A; -9999,/v8_WHONDRS_S19S_Sediment
WHONDRS_S19S_Sediment_CN.csv,Sediment total organic carbon and total nitrogen content.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021), 2019-07-29, 2019-09-19,NA; -9999,/v8_WHONDRS_S19S_Sediment
WHONDRS_S19S_Sediment_FlowCytometry.csv,Sediment bacterial abundance (total bacteria; total phototrophs; total heterotrophs).,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021), 2019-07-29, 2019-09-19,-9999,/v8_WHONDRS_S19S_Sediment
WHONDRS_S19S_Sediment_GrainSize.csv,Sediment grain size distribution measured from the less than 2 millimeter fraction of sediment.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021), 2019-07-29, 2019-09-19,NA; -9999,/v8_WHONDRS_S19S_Sediment
WHONDRS_S19S_Sediment_Isotopes.csv,Sediment carbon and nitrogen stable isotope data.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021), 2019-07-29, 2019-09-19,-9999,/v8_WHONDRS_S19S_Sediment
WHONDRS_S19S_Sediment_Normalized_Respiration_Rates.csv,"Respiration rates calculated from time series dissolved oxygen data measured from laboratory incubations of sediment and then normalized to sediment volume in the incubation vials. The calculation used to produce some of these data (theoretical respiration rates) includes assumptions that the project team has decided are appropriate; but the user should decide if using this data is appropriate for their analysis. See ""WHONDRS_S19S_Sediment_Normalized_Respiration_Methods.txt"" for more detail.",ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021), 2019-07-29, 2019-09-19,-9999,/v8_WHONDRS_S19S_Sediment
WHONDRS_S19S_Sediment_NPOC.csv,"Sediment dissolved organic carbon (DOC, measured as non-purgeable organic carbon, NPOC) data from both the “Sed_Field” and “SED_INC” samples. See readme for more information about the difference between these samples. ",ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021), 2019-07-29, 2019-09-19,N/A; -9999; Above_Range_Greater_Than_22,/v8_WHONDRS_S19S_Sediment
WHONDRS_S19S_Sediment_Water_Mass_Volume.csv,Wet sediment mass; dry sediment mass; water mass; and wet sediment volume in incubation vial. ,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021), 2019-07-29, 2019-09-19,-9999,/v8_WHONDRS_S19S_Sediment
Respiration_06-01-2023.R,The R code used to calculate respiration rates from the time series dissolved oxygen data.,N/A,-9999,-9999,N/A,/v8_WHONDRS_S19S_Sediment/RespirationRateCalculation_R_Code_and_Plots
v2_readme_respirationcode.txt,Brief description of the R code and input file used to calculate respiration rates from time series dissolved oxygen data.,N/A,-9999,-9999,N/A,/v8_WHONDRS_S19S_Sediment/RespirationRateCalculation_R_Code_and_Plots
v2_WHONDRS_S19S_Sediment_Incubations_DO_vs_Incubation_Time_Plots.pdf,Plots of time series dissolved oxygen data and incubation time.,N/A, 2019-07-29, 2019-09-19,N/A,/v8_WHONDRS_S19S_Sediment/RespirationRateCalculation_R_Code_and_Plots
DO_data_formatted.csv,Time series dissolved oxygen data used to calculate respiration rates.,N/A, 2019-07-29, 2019-09-19,-9999,/v8_WHONDRS_S19S_Sediment/RespirationRateCalculation_R_Code_and_Plots/Inputs
readme_FTICR.txt,Brief description of file structure and methods associated with FTICR-MS data.,N/A,-9999,-9999,N/A,/v8_WHONDRS_S19S_Sediment/WHONDRS_S19S_Sediment_FTICR_Data_And_Instructions
30November2020_FTICR_Instructions_WHONDRS.pdf,Instructions to calibrate and align the FTICR-MS data.,N/A,-9999,-9999,N/A,/v8_WHONDRS_S19S_Sediment/WHONDRS_S19S_Sediment_FTICR_Data_And_Instructions/FTICR_Instructions
Formularity_Log_Processing_27Feb2020.R,R script to process FTICR-MS data.,N/A,-9999,-9999,N/A,/v8_WHONDRS_S19S_Sediment/WHONDRS_S19S_Sediment_FTICR_Data_And_Instructions/FTICR_Instructions
neg_calibrants_PIP_NTwHMC.ref,Calibration file needed to process FTICR-MS data.,N/A,-9999,-9999,N/A,/v8_WHONDRS_S19S_Sediment/WHONDRS_S19S_Sediment_FTICR_Data_And_Instructions/FTICR_Instructions
S19S_*_Sed_Field_ICR_*.xml ,"Raw FTICR-MS instrument files. The first asterisk * indicates sample ID. The second asterisk is the replicate indicator (U; M; or D) and the ion accumulation time (IAT) after the letter ""p"". Each sample had three replicates (Upstream; Midstream; Downstream). See readme for more information about the difference between these samples and the SED_INC samples. ",N/A, 2019-07-29, 2019-09-19,N/A,/v8_WHONDRS_S19S_Sediment/WHONDRS_S19S_Sediment_FTICR_Data_And_Instructions/WHONDRS_S19S_FTICR_FieldSediment_Data
S19S_*_SED_INC_ICR_*.xml ,"Raw FTICR-MS instrument files. The first asterisk * indicates sample ID. The second asterisk is the replicate indicator (U; M; or D) and the ion accumulation time (IAT) after the letter ""p"". Each sample had three replicates (Upstream; Midstream; Downstream). See readme for more information about the difference between these samples and the Sed_Field samples.",N/A, 2019-07-29, 2019-09-19,N/A,/v8_WHONDRS_S19S_Sediment/WHONDRS_S19S_Sediment_FTICR_Data_And_Instructions/WHONDRS_S19S_FTICR_IncubationConditionsSediment_Data
v2_WHONDRS_Methods_Codes.csv,Defines the codes used in the two lab tracker files. It contains a series of codes used to describe the methods and other pertinent information regarding sample processing. ,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021),-9999,-9999,N/A,/v8_WHONDRS_S19S_Sediment/WHONDRS_S19S_Sediment_Metadata
v2_WHONDRS_S19S_Sediment_LabTracker_Incubations.csv,Laboratory methods information for each incubation vial; including Sample_ID (with suffix and replicate indicators) and the appropriate methods code for each sample. Methods codes are defined in the Methods_Codes file.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021),-9999,-9999,N/A,/v8_WHONDRS_S19S_Sediment/WHONDRS_S19S_Sediment_Metadata
v4_WHONDRS_S19S_Metadata.csv,Sample metadata including Sample_ID information for each vial used during the campaign and accompanying information captured in the field (i.e. coordinates; date; time; stream name; temperature; pH; SpC).,N/A,-9999,-9999,N/A,/v8_WHONDRS_S19S_Sediment/WHONDRS_S19S_Sediment_Metadata
WHONDRS_S19S_Sampling-Protocol.pdf,Step-by-step instructions used to complete the sampling in the field.,N/A,-9999,-9999,N/A,/v8_WHONDRS_S19S_Sediment/WHONDRS_S19S_Sediment_Metadata
